G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,UIC,W,72,71,27,61,.443,6,28,.214,12,24,.500,11,31,14,10,4,8,22,21,57,.368,5,19,.263,24,29,.828,15,42,7,6,2,13,22,104.3,102.9,69.1,.393,.459,.497,42.5,51.9,14.5,10.5,.492,10.0,28.9,.197,.412,15.5,57.1,.421
2,2014-11-18,,Drake,W,80,62,27,49,.551,9,20,.450,17,21,.810,6,29,15,3,5,13,21,23,54,.426,4,12,.333,12,17,.706,5,21,11,7,1,9,17,121.2,93.9,66.0,.429,.408,.678,58.0,55.6,4.5,11.9,.643,18.1,27.3,.347,.463,12.7,82.1,.222
3,2014-11-26,,Lehigh,L,74,86,22,60,.367,8,24,.333,22,26,.846,14,31,10,9,3,13,18,29,51,.569,9,18,.500,19,21,.905,6,31,16,5,4,17,21,102.8,119.4,71.7,.433,.400,.511,50.0,45.5,12.5,9.1,.433,15.2,35.9,.367,.657,21.8,73.9,.373
4,2014-11-30,,Stanford,W,87,72,31,57,.544,7,14,.500,18,24,.750,7,26,19,12,5,12,18,30,62,.484,4,19,.211,8,11,.727,12,31,14,6,5,21,19,116.0,96.0,74.8,.421,.246,.636,45.6,61.3,16.0,11.6,.605,14.9,26.9,.316,.516,23.8,61.3,.129
5,2014-12-02,,Northern Illinois,W,78,67,28,52,.538,11,22,.500,11,17,.647,5,21,22,12,8,15,19,24,50,.480,2,11,.182,17,22,.773,13,33,11,11,4,21,15,113.0,97.1,69.3,.327,.423,.649,38.9,78.6,17.4,20.5,.644,20.0,20.0,.212,.500,25.8,55.2,.340
6,2014-12-04,@,Chicago State,W,84,60,22,42,.524,8,18,.444,32,41,.780,7,33,9,9,3,22,23,21,57,.368,6,18,.333,12,25,.480,10,21,8,14,2,16,28,110.5,78.9,75.7,.976,.429,.683,61.1,40.9,11.8,7.7,.619,26.4,38.9,.762,.421,18.9,72.2,.211
7,2014-12-07,,Milwaukee,W,83,61,26,49,.531,10,18,.556,21,23,.913,3,32,16,4,10,14,18,24,64,.375,4,23,.174,9,15,.600,9,30,11,6,2,11,20,115.3,84.7,72.0,.469,.367,.693,51.6,61.5,5.6,24.4,.633,18.9,12.5,.429,.406,13.4,76.3,.141
8,2014-12-11,@,George Washington,L,68,81,26,53,.491,8,23,.348,8,14,.571,5,26,11,9,5,19,24,32,56,.571,3,5,.600,14,27,.519,10,32,8,10,4,14,16,93.2,111.0,73.2,.264,.434,.570,44.8,42.3,12.3,9.8,.566,24.2,18.5,.151,.598,16.9,67.7,.250
9,2014-12-14,,Illinois State,L,72,78,26,55,.473,8,20,.400,12,21,.571,6,35,18,6,2,18,23,26,67,.388,5,21,.238,21,29,.724,14,41,10,12,4,13,20,92.3,100.0,78.4,.382,.364,.554,46.1,69.2,7.7,4.3,.545,21.7,18.2,.218,.425,13.9,67.4,.313
10,2014-12-18,@,Oregon State,L,59,90,18,53,.340,5,25,.200,18,27,.667,11,24,9,8,3,16,20,30,55,.545,7,16,.438,23,26,.885,11,36,18,14,4,11,22,85.5,130.4,69.1,.509,.472,.448,40.0,50.0,11.6,7.7,.387,19.6,30.6,.340,.609,14.0,54.2,.418
11,2014-12-22,N,Colorado,L,68,82,21,63,.333,6,27,.222,20,22,.909,12,35,8,8,2,18,24,24,53,.453,3,13,.231,31,38,.816,7,33,12,10,3,12,14,87.2,105.1,77.8,.349,.429,.463,51.5,38.1,10.3,5.0,.381,19.7,31.6,.317,.481,14.4,76.7,.585
12,2014-12-23,N,Ohio,L,78,99,25,61,.410,8,26,.308,20,24,.833,8,26,7,4,2,14,21,38,64,.594,10,24,.417,13,18,.722,10,36,14,7,2,10,19,104.0,132.0,75.5,.393,.426,.539,41.9,28.0,5.3,5.0,.475,16.2,23.5,.328,.672,12.1,64.3,.203
13,2014-12-25,N,Loyola Marymount,L,69,72,23,56,.411,11,28,.393,12,14,.857,7,22,13,9,1,13,26,23,43,.535,3,8,.375,23,39,.590,11,31,5,7,1,17,15,101.5,105.9,68.1,.250,.500,.551,41.5,56.5,13.2,2.9,.509,17.2,25.9,.214,.570,21.6,57.7,.535
14,2014-12-31,,Marquette,W,61,58,23,57,.404,5,19,.263,10,15,.667,10,32,11,12,6,9,12,22,57,.386,3,23,.130,11,18,.611,13,36,11,6,3,14,15,93.8,89.2,64.8,.263,.333,.476,47.1,47.8,18.5,17.6,.447,12.3,30.3,.175,.412,17.6,62.9,.193
15,2015-01-03,,Xavier,W,71,68,24,46,.522,10,20,.500,13,17,.765,3,20,15,5,4,13,19,21,50,.420,8,23,.348,18,22,.818,10,31,13,6,2,15,14,109.2,104.6,64.8,.370,.435,.656,39.2,62.5,7.7,14.8,.630,19.4,12.5,.283,.500,19.9,63.0,.360
16,2015-01-07,@,Creighton,W,70,60,22,51,.431,11,22,.500,15,20,.750,7,31,14,7,4,11,15,20,57,.351,10,28,.357,10,12,.833,5,25,14,3,2,10,19,106.1,90.9,66.1,.392,.431,.579,55.4,63.6,10.6,13.8,.539,15.4,25.9,.294,.439,13.8,82.8,.175
17,2015-01-10,@,Villanova,L,64,81,20,51,.392,6,16,.375,18,21,.857,7,26,7,7,3,14,16,30,56,.536,13,29,.448,8,18,.444,8,31,23,7,3,12,17,94.1,119.1,68.3,.412,.314,.525,45.6,35.0,10.3,11.1,.451,18.7,23.3,.353,.652,15.7,70.4,.143
18,2015-01-13,,Georgetown,L,72,78,25,57,.439,9,22,.409,13,17,.765,7,24,10,3,3,7,23,23,46,.500,6,15,.400,26,32,.813,7,30,10,5,8,9,21,112.5,121.9,64.1,.298,.386,.553,44.4,40.0,4.7,9.7,.518,9.7,23.3,.228,.565,12.8,70.8,.565
19,2015-01-18,,St. John's (NY),W (1 OT),71,67,18,51,.353,10,30,.333,25,29,.862,13,41,9,6,4,21,26,20,53,.377,2,12,.167,25,32,.781,5,24,11,13,4,13,23,95.9,90.5,66.2,.569,.588,.548,63.1,50.0,8.1,9.8,.451,24.5,40.6,.490,.396,16.0,84.8,.472
20,2015-01-22,@,Seton Hall,W,64,60,21,56,.375,3,17,.176,19,33,.576,13,39,4,6,4,13,29,18,60,.300,1,16,.063,23,35,.657,17,43,6,3,4,14,26,87.7,82.2,72.7,.589,.304,.446,47.6,19.0,8.2,9.1,.402,15.4,33.3,.339,.308,15.4,60.5,.383
21,2015-01-24,@,Xavier,L,76,89,28,60,.467,13,32,.406,7,13,.538,8,27,20,2,2,14,27,31,54,.574,3,17,.176,24,36,.667,9,32,19,9,1,5,14,108.6,127.1,69.6,.217,.533,.574,45.8,71.4,2.9,5.4,.575,17.5,25.8,.117,.602,6.6,67.9,.444
22,2015-01-29,@,Providence,L,72,83,26,53,.491,7,18,.389,13,16,.813,6,17,11,4,1,14,23,27,51,.529,3,10,.300,26,34,.765,15,36,15,8,5,13,16,107.5,123.9,66.9,.302,.340,.594,32.1,42.3,6.0,2.4,.557,18.8,22.2,.245,.559,16.2,42.3,.510
23,2015-01-31,,Villanova,L,55,68,19,45,.422,8,23,.348,9,16,.563,3,17,12,1,3,8,21,20,44,.455,5,19,.263,23,27,.852,11,33,11,6,2,10,14,96.5,119.3,56.7,.356,.511,.523,34.0,63.2,1.8,12.0,.511,13.2,12.0,.200,.511,15.0,56.0,.523
24,2015-02-03,,Seton Hall,W,75,62,30,59,.508,5,21,.238,10,13,.769,11,33,14,9,6,12,18,18,50,.360,3,15,.200,23,26,.885,9,26,5,7,4,10,14,115.4,95.4,64.8,.220,.356,.575,55.9,46.7,13.8,17.1,.551,15.5,39.3,.169,.390,13.8,71.0,.460
25,2015-02-07,@,Butler,L,73,83,23,55,.418,9,24,.375,18,23,.783,5,22,13,5,2,11,23,27,47,.574,8,14,.571,21,30,.700,6,29,15,7,2,13,21,104.3,118.6,70.1,.418,.436,.554,43.1,56.5,7.1,6.1,.500,14.3,17.9,.327,.660,17.5,73.9,.447
26,2015-02-11,@,St. John's (NY),L,78,86,28,62,.452,9,25,.360,13,17,.765,6,25,11,5,2,10,25,27,52,.519,8,14,.571,24,32,.750,12,40,10,6,7,12,15,109.9,121.1,70.6,.274,.403,.557,38.5,39.3,7.0,5.3,.524,12.5,17.6,.210,.596,15.2,61.3,.462
27,2015-02-18,,Providence,L,57,84,17,50,.340,7,18,.389,16,25,.640,9,31,12,4,2,16,25,28,53,.528,1,9,.111,27,33,.818,6,33,14,10,4,9,18,81.4,120.0,70.3,.500,.360,.461,48.4,70.6,5.7,4.5,.410,20.5,25.0,.320,.538,11.6,78.6,.509
28,2015-02-21,@,Georgetown,L,63,68,21,54,.389,9,24,.375,12,18,.667,11,30,14,7,8,10,18,25,56,.446,4,13,.308,14,20,.700,15,42,12,6,2,13,17,100.0,107.9,62.5,.333,.444,.504,41.7,66.7,11.1,18.6,.472,13.8,28.9,.222,.482,16.6,55.9,.250
