G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,NYIT,W,94,77,34,74,.459,11,23,.478,15,17,.882,20,42,22,6,2,9,15,27,53,.509,12,25,.480,11,17,.647,6,22,10,3,6,14,16,134.3,110.0,70.1,.230,.311,.573,65.6,64.7,8.6,7.1,.534,9.9,55.6,.203,.623,18.6,78.6,.208
2,2014-11-16,@,Penn State,L,54,73,17,58,.293,8,27,.296,12,19,.632,12,34,9,8,6,16,23,25,53,.472,7,18,.389,16,25,.640,6,35,13,7,2,14,18,75.0,101.4,72.0,.328,.466,.403,49.3,52.9,11.1,17.1,.362,19.3,29.3,.207,.538,17.7,78.6,.302
3,2014-11-20,@,Maryland,L,50,66,19,62,.306,7,29,.241,5,8,.625,16,35,11,5,2,15,21,21,47,.447,8,23,.348,16,27,.593,10,37,13,6,2,15,15,76.9,101.5,64.8,.129,.468,.380,48.6,57.9,7.7,8.3,.363,18.6,37.2,.081,.532,20.0,65.5,.340
4,2014-11-23,,UMass-Lowell,L,57,64,20,59,.339,5,27,.185,12,20,.600,18,49,13,2,8,17,22,25,59,.424,7,24,.292,7,26,.269,8,33,10,7,1,7,19,82.6,92.8,68.9,.339,.458,.416,59.8,65.0,2.9,22.9,.381,19.9,41.9,.203,.483,8.9,79.5,.119
5,2014-11-29,,Maryland-Eastern Shore,L,66,72,21,45,.467,4,17,.235,20,31,.645,10,26,10,10,2,20,23,22,42,.524,6,14,.429,22,28,.786,5,23,15,8,3,18,23,95.7,104.3,69.0,.689,.378,.553,53.1,47.6,14.5,7.1,.511,25.1,35.7,.444,.595,24.6,76.2,.524
6,2014-12-01,,Siena,W,69,67,21,48,.438,7,18,.389,20,32,.625,11,37,13,3,7,12,20,25,60,.417,6,18,.333,11,18,.611,11,31,13,6,6,7,25,107.8,104.7,64.4,.667,.375,.546,54.4,61.9,4.7,16.7,.510,16.0,35.5,.417,.467,9.3,70.3,.183
7,2014-12-10,,Monmouth,W (1 OT),68,58,23,52,.442,6,15,.400,16,27,.593,11,35,11,10,6,13,17,18,50,.360,6,21,.286,16,22,.727,9,31,9,6,6,18,29,100.0,85.3,60.6,.519,.288,.524,53.0,47.8,14.7,20.7,.500,16.7,33.3,.308,.420,22.9,72.7,.320
8,2014-12-14,@,St. John's (NY),L,53,74,19,49,.388,5,22,.227,10,17,.588,8,27,11,8,4,20,21,27,56,.482,6,19,.316,14,20,.700,8,28,10,10,1,8,16,79.1,110.4,67.3,.347,.449,.464,49.1,57.9,11.9,10.8,.439,25.9,28.6,.204,.536,10.9,70.4,.250
9,2014-12-22,N,Manhattan,L,57,71,20,47,.426,5,16,.313,12,25,.480,10,32,13,7,5,17,20,23,50,.460,9,18,.500,16,25,.640,6,28,14,8,1,11,19,86.4,107.6,66.4,.532,.340,.484,53.3,65.0,10.6,15.6,.479,22.4,31.3,.255,.550,15.1,78.6,.320
10,2014-12-28,,Howard,W,74,59,28,52,.538,6,18,.333,12,13,.923,12,34,22,7,3,14,13,20,54,.370,5,19,.263,14,17,.824,7,18,8,11,2,11,13,117.5,93.7,63.1,.250,.346,.636,65.4,78.6,11.1,8.6,.596,19.4,52.2,.231,.417,15.1,75.9,.259
11,2014-12-31,,South Carolina State,W,74,54,28,54,.519,5,19,.263,13,16,.813,14,43,20,11,7,19,10,21,59,.356,9,26,.346,3,5,.600,7,19,14,10,3,14,13,110.4,80.6,67.5,.296,.352,.601,69.4,71.4,16.4,21.2,.565,23.6,53.8,.241,.432,18.6,80.6,.051
12,2015-01-04,,VCU,L,58,75,20,57,.351,4,23,.174,14,19,.737,12,39,9,13,3,27,22,27,55,.491,7,22,.318,14,30,.467,7,33,14,21,3,17,18,72.5,93.8,80.1,.333,.404,.439,54.2,45.0,16.3,9.1,.386,29.0,31.6,.246,.555,19.7,79.4,.255
13,2015-01-07,@,Rhode Island,L,65,68,24,52,.462,4,12,.333,13,19,.684,7,32,7,8,1,17,24,24,51,.471,1,14,.071,19,35,.543,9,31,9,8,8,15,16,90.3,94.4,72.3,.365,.231,.533,50.8,29.2,11.1,2.7,.500,21.8,24.1,.250,.480,18.2,73.5,.373
14,2015-01-10,,Dayton,L,58,76,20,60,.333,5,20,.250,13,14,.929,11,23,11,5,1,6,19,26,43,.605,7,16,.438,17,20,.850,4,29,12,4,1,11,14,95.1,124.6,60.6,.233,.333,.435,44.2,55.0,8.2,3.7,.375,8.3,30.6,.217,.686,17.3,75.0,.395
15,2015-01-14,@,St. Joseph's,L,55,66,20,52,.385,7,15,.467,8,15,.533,6,21,8,10,3,14,16,20,51,.392,7,24,.292,19,22,.864,12,38,11,4,3,16,15,83.3,100.0,66.3,.288,.288,.465,35.6,40.0,15.2,11.1,.452,19.1,18.8,.154,.461,20.7,55.6,.373
16,2015-01-17,@,La Salle,L,49,60,19,60,.317,3,26,.115,8,12,.667,11,33,5,3,0,11,22,18,44,.409,5,17,.294,19,29,.655,5,32,12,6,1,13,14,74.2,90.9,65.7,.200,.433,.373,50.8,26.3,4.5,0.0,.342,14.3,28.9,.133,.466,18.4,81.5,.432
17,2015-01-22,,George Washington,L,59,79,22,61,.361,5,19,.263,10,14,.714,12,28,11,5,1,8,24,27,48,.563,4,10,.400,21,29,.724,8,35,15,5,5,12,14,90.8,121.5,64.7,.230,.311,.436,44.4,50.0,7.7,2.6,.402,10.6,30.8,.164,.604,16.3,66.7,.438
18,2015-01-28,,Rhode Island,L,63,64,21,51,.412,4,12,.333,17,23,.739,10,36,13,5,7,16,20,23,55,.418,7,17,.412,11,27,.407,12,31,15,10,5,15,20,91.3,92.8,69.4,.451,.235,.509,53.7,61.9,7.2,18.4,.451,20.5,34.5,.333,.482,18.1,68.4,.200
19,2015-02-01,@,Dayton,L,77,101,30,66,.455,3,18,.167,14,20,.700,8,27,14,8,0,10,26,32,52,.615,9,22,.409,28,34,.824,3,30,21,7,1,12,16,100.0,131.2,77.3,.303,.273,.510,47.4,46.7,10.4,0.0,.477,11.7,22.9,.212,.702,15.0,86.4,.538
20,2015-02-04,,UMass,L,72,78,24,64,.375,5,19,.263,19,23,.826,14,38,14,5,4,10,22,24,57,.421,7,22,.318,23,29,.793,9,34,12,6,6,11,21,100.0,108.3,71.9,.359,.297,.480,52.8,58.3,6.9,11.4,.414,11.8,35.9,.297,.482,13.5,72.7,.404
21,2015-02-07,,Saint Louis,W,83,65,23,46,.500,7,17,.412,30,39,.769,9,32,18,9,3,10,18,22,49,.449,9,19,.474,12,16,.750,3,18,9,4,2,18,28,120.3,94.2,68.6,.848,.370,.643,64.0,78.3,13.0,10.0,.576,13.4,37.5,.652,.541,24.1,88.5,.245
22,2015-02-11,@,Richmond,L,71,73,24,53,.453,4,17,.235,19,20,.950,12,41,7,3,5,17,20,25,64,.391,8,25,.320,15,23,.652,14,31,14,7,1,6,16,106.0,109.0,67.2,.377,.321,.568,56.9,29.2,4.5,12.8,.491,21.4,41.4,.358,.453,7.4,67.4,.234
23,2015-02-15,,St. Joseph's,W,69,55,26,54,.481,8,16,.500,9,11,.818,12,38,19,5,3,11,8,20,58,.345,7,28,.250,8,11,.727,8,24,13,6,3,7,13,115.0,91.7,60.2,.204,.296,.583,61.3,73.1,8.3,10.0,.556,15.7,42.9,.167,.405,10.0,76.5,.138
24,2015-02-18,@,George Mason,W,80,68,26,49,.531,11,18,.611,17,19,.895,6,27,12,5,3,14,24,22,51,.431,3,13,.231,21,31,.677,9,28,10,6,0,13,16,117.6,100.0,67.9,.388,.367,.689,49.1,46.2,7.4,7.9,.643,19.4,24.0,.347,.461,16.5,70.0,.412
25,2015-02-21,@,Davidson,L,57,76,20,53,.377,7,21,.333,10,11,.909,5,29,10,4,3,14,13,30,60,.500,11,26,.423,5,6,.833,4,29,17,9,4,6,15,86.4,115.2,66.0,.208,.396,.489,50.0,50.0,6.1,8.8,.443,19.4,16.7,.189,.592,8.7,85.7,.083
26,2015-02-25,,La Salle,W,63,48,28,61,.459,6,17,.353,1,2,.500,10,43,15,7,6,15,10,18,61,.295,7,21,.333,5,9,.556,10,30,8,8,3,12,9,94.0,71.6,67.1,.033,.279,.508,58.9,53.6,10.4,15.0,.508,19.5,33.3,.016,.352,15.5,76.7,.082
27,2015-02-28,@,UMass,L,74,82,26,57,.456,9,18,.500,13,15,.867,10,28,15,8,6,12,15,31,66,.470,6,19,.316,14,17,.824,16,39,21,9,5,13,14,107.2,118.8,68.6,.263,.316,.577,41.8,57.7,11.6,12.8,.535,15.8,30.3,.228,.515,14.9,52.9,.212
28,2015-03-04,,Duquesne,L,66,81,27,66,.409,6,31,.194,6,8,.750,12,32,14,6,5,12,20,26,53,.491,10,22,.455,19,25,.760,7,29,14,5,4,10,8,95.7,117.4,68.8,.121,.470,.473,52.5,51.9,8.7,16.1,.455,14.7,35.3,.091,.585,13.4,74.1,.358
29,2015-03-07,@,St. Bonaventure,L,52,66,19,54,.352,5,23,.217,9,10,.900,8,31,9,7,7,14,17,23,53,.434,3,12,.250,17,23,.739,8,32,12,6,5,9,6,80.0,101.5,64.8,.185,.426,.443,49.2,47.4,10.8,17.1,.398,19.2,25.0,.167,.462,12.3,74.2,.321
30,2015-03-11,N,George Mason,W,71,65,23,48,.479,5,19,.263,20,27,.741,3,23,13,9,3,10,16,24,50,.480,6,15,.400,11,15,.733,5,23,12,8,3,14,21,106.0,97.0,67.0,.563,.396,.584,50.0,56.5,13.4,8.6,.531,14.1,14.3,.417,.540,19.7,80.0,.220
31,2015-03-12,N,VCU,L,57,63,19,49,.388,10,21,.476,9,13,.692,9,33,11,7,3,15,21,18,59,.305,8,25,.320,19,27,.704,17,39,9,7,4,11,18,89.1,98.4,63.5,.265,.429,.517,45.8,57.9,10.9,8.8,.490,21.4,29.0,.184,.373,13.3,58.5,.322
