G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Tennessee Temple,W,115,55,40,64,.625,13,21,.619,22,35,.629,8,38,27,15,3,10,17,20,55,.364,5,24,.208,10,16,.625,4,25,6,4,0,25,26,138.6,66.3,83.1,.547,.328,.713,60.3,67.5,18.1,9.7,.727,11.0,27.6,.344,.409,28.5,88.2,.182
2,2014-11-17,@,Iowa State,L,58,81,25,64,.391,5,19,.263,3,5,.600,6,27,13,4,1,15,18,29,60,.483,8,27,.296,15,19,.789,6,36,23,5,4,11,12,77.3,108.0,74.7,.078,.297,.437,42.9,52.0,5.3,3.0,.430,18.4,16.7,.047,.550,13.7,77.8,.250
3,2014-11-21,@,Colorado State,L,70,80,28,57,.491,6,16,.375,8,17,.471,6,29,12,9,2,9,22,25,59,.424,9,23,.391,21,27,.778,13,38,18,2,4,12,17,101.4,115.9,69.5,.298,.281,.538,43.3,42.9,13.0,5.6,.544,12.1,19.4,.140,.500,14.3,63.9,.356
4,2014-11-24,N,Chicago State,W,69,46,20,41,.488,5,13,.385,24,33,.727,3,26,13,13,5,13,20,14,48,.292,5,21,.238,13,18,.722,10,30,7,6,0,22,25,101.5,67.6,67.6,.805,.317,.609,46.4,65.0,19.1,18.5,.549,18.7,13.0,.585,.344,28.0,69.7,.271
5,2014-11-25,N,Western Carolina,W,85,70,30,61,.492,5,15,.333,20,30,.667,16,32,16,9,2,6,20,22,50,.440,8,23,.348,18,25,.720,8,26,15,3,0,13,23,128.8,106.1,66.1,.492,.246,.565,55.2,53.3,13.6,7.4,.533,7.4,47.1,.328,.520,17.4,66.7,.360
6,2014-11-26,@,Oakland,W,83,78,29,46,.630,11,17,.647,14,19,.737,5,24,18,7,2,10,19,27,61,.443,13,34,.382,11,18,.611,16,31,19,1,0,11,17,133.9,125.8,62.3,.413,.370,.754,43.6,62.1,11.3,7.4,.750,15.4,25.0,.304,.549,13.7,54.3,.180
7,2014-11-29,@,IUPUI,W,66,63,23,52,.442,2,13,.154,18,24,.750,11,24,9,13,5,12,18,20,44,.455,8,16,.500,15,17,.882,11,31,15,8,0,24,23,101.5,96.9,64.7,.462,.250,.521,43.6,39.1,20.0,17.9,.462,15.9,35.5,.346,.545,31.5,54.2,.341
8,2014-12-04,,Green Bay,W,72,48,26,49,.531,7,18,.389,13,26,.500,8,35,15,9,7,13,17,15,52,.288,4,15,.267,14,23,.609,7,28,10,5,2,14,20,105.9,70.6,68.1,.531,.367,.587,55.6,57.7,13.2,18.9,.602,17.5,27.6,.265,.327,18.2,79.4,.269
9,2014-12-17,@,Old Dominion,L (1 OT),54,58,22,59,.373,2,15,.133,8,15,.533,10,33,13,6,5,6,13,22,63,.349,5,23,.217,9,14,.643,18,48,12,1,6,14,18,84.4,90.6,56.8,.254,.254,.408,40.7,59.1,9.4,12.5,.390,8.3,25.0,.136,.389,16.7,56.1,.143
10,2014-12-21,,Southern Miss,W,68,55,24,56,.429,8,24,.333,12,13,.923,8,26,14,12,7,8,12,19,49,.388,12,30,.400,5,8,.625,7,28,12,2,2,21,11,106.3,85.9,64.5,.232,.429,.547,48.1,58.3,18.8,36.8,.500,11.4,27.6,.214,.510,28.5,72.0,.102
