G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,@,Iowa,L,56,90,20,59,.339,4,18,.222,12,17,.706,9,30,10,10,1,16,25,29,61,.475,9,21,.429,23,33,.697,15,44,20,9,7,14,14,74.7,120.0,74.9,.288,.305,.417,40.5,50.0,13.3,2.5,.373,19.3,23.7,.203,.549,15.4,58.3,.377
2,2014-11-16,@,Syracuse,L,47,65,20,53,.377,4,19,.211,3,8,.375,8,30,8,6,0,13,22,22,53,.415,5,18,.278,16,23,.696,10,35,14,4,4,10,13,74.6,103.2,62.9,.151,.358,.414,46.2,40.0,9.5,0.0,.415,18.6,24.2,.057,.462,13.5,68.8,.302
3,2014-11-21,N,Alcorn State,W,82,69,26,56,.464,7,18,.389,23,26,.885,13,36,16,7,3,17,27,20,53,.377,6,13,.462,23,32,.719,11,25,10,4,2,13,22,115.5,97.2,71.3,.464,.321,.600,59.0,61.5,9.9,7.5,.527,19.9,48.1,.411,.434,16.0,67.6,.434
4,2014-11-22,@,North Dakota State,L,66,74,26,55,.473,8,14,.571,6,7,.857,2,24,11,4,3,9,17,23,51,.451,11,23,.478,17,19,.895,4,26,16,2,6,8,11,101.5,113.8,64.7,.127,.255,.566,48.0,42.3,6.2,10.7,.545,13.4,8.3,.109,.559,11.8,84.6,.333
5,2014-11-24,@,Appalachian State,L,74,82,21,53,.396,8,24,.333,24,34,.706,9,32,13,5,4,14,28,23,52,.442,5,14,.357,31,38,.816,6,33,8,6,3,12,27,98.7,109.3,75.1,.642,.453,.535,49.2,61.9,6.7,10.5,.472,16.8,25.0,.453,.490,14.6,79.3,.596
6,2014-11-26,,American,L,60,64,24,48,.500,5,15,.333,7,9,.778,4,21,12,5,5,11,12,24,48,.500,11,26,.423,5,7,.714,6,23,16,6,4,12,9,103.4,110.3,58.3,.188,.313,.574,47.7,50.0,8.6,22.7,.552,17.4,19.0,.146,.615,18.9,73.9,.104
7,2014-12-02,@,Tennessee State,W,62,54,17,56,.304,4,22,.182,24,32,.750,13,43,4,7,6,12,23,17,54,.315,4,17,.235,16,26,.615,12,40,6,4,4,14,23,89.9,78.3,69.3,.571,.393,.435,51.8,23.5,10.1,16.2,.339,14.4,31.7,.429,.352,17.4,71.4,.296
8,2014-12-06,,Coppin State,W,71,52,23,58,.397,5,16,.313,20,35,.571,14,51,14,7,5,21,21,16,60,.267,6,29,.207,14,21,.667,9,30,7,10,4,20,29,87.7,64.2,81.3,.603,.276,.476,63.0,60.9,8.6,16.1,.440,22.0,40.0,.345,.317,22.2,80.4,.233
9,2014-12-08,,Morgan State,W,62,58,21,51,.412,4,15,.267,16,25,.640,12,39,7,5,8,18,24,16,65,.246,4,15,.267,22,29,.759,19,40,2,5,6,10,19,89.9,84.1,69.3,.490,.294,.493,49.4,33.3,7.2,16.0,.451,22.3,36.4,.314,.277,11.3,58.7,.338
10,2014-12-17,@,Illinois,L,55,73,23,66,.348,7,15,.467,2,9,.222,15,35,9,7,3,12,21,21,49,.429,9,21,.429,22,26,.846,4,34,12,3,8,16,16,78.6,104.3,70.3,.136,.227,.391,50.7,39.1,10.0,10.7,.402,14.6,33.3,.030,.520,20.7,83.3,.449
11,2014-12-19,,Tennessee State,W,66,54,23,67,.343,4,22,.182,16,22,.727,17,41,11,9,7,12,26,17,49,.347,3,10,.300,17,30,.567,11,37,5,7,3,21,24,90.4,74.0,72.9,.328,.328,.426,52.6,47.8,12.3,17.9,.373,13.4,39.5,.239,.378,24.9,68.6,.347
12,2014-12-21,,Northern Arizona,W,75,66,24,55,.436,4,15,.267,23,38,.605,16,40,10,8,8,18,21,20,64,.313,4,22,.182,22,29,.759,19,44,8,4,3,22,26,96.2,84.6,77.9,.691,.273,.513,47.6,41.7,10.3,19.0,.473,19.8,39.0,.418,.344,22.0,55.8,.344
13,2014-12-29,@,Northern Illinois,L,51,83,16,48,.333,5,16,.313,14,22,.636,8,33,6,4,1,25,26,28,59,.475,5,17,.294,22,37,.595,14,35,9,16,6,9,19,68.9,112.2,73.5,.458,.333,.436,48.5,37.5,5.4,2.4,.385,30.0,27.6,.292,.517,10.5,64.1,.373
14,2015-01-03,@,USC Upstate,L,54,68,20,61,.328,5,25,.200,9,18,.500,16,37,10,5,1,11,23,22,49,.449,4,12,.333,20,25,.800,7,34,12,5,6,10,16,84.4,106.3,64.2,.295,.410,.388,52.1,50.0,7.8,2.7,.369,13.7,37.2,.148,.490,14.1,75.0,.408
15,2015-01-10,@,Bethune-Cookman,W,58,56,21,53,.396,5,11,.455,11,17,.647,14,33,12,9,3,17,16,21,52,.404,5,17,.294,9,15,.600,13,34,9,5,5,19,17,89.2,86.2,64.6,.321,.208,.475,49.3,57.1,13.8,8.6,.443,21.8,40.0,.208,.452,24.3,59.4,.173
16,2015-01-12,@,Florida A&M,W,78,63,26,53,.491,6,18,.333,20,35,.571,9,38,17,13,6,20,32,17,50,.340,4,13,.308,25,38,.658,4,21,6,4,0,20,26,95.1,76.8,82.3,.660,.340,.560,64.4,65.4,15.9,16.2,.547,22.3,34.6,.377,.380,22.7,87.9,.500
17,2015-01-17,,North Carolina A&T,L,61,64,26,64,.406,4,22,.182,5,12,.417,14,32,11,7,7,11,18,24,46,.522,5,10,.500,11,19,.579,5,29,5,6,2,16,15,92.4,97.0,66.4,.188,.344,.438,52.5,42.3,10.6,19.4,.438,13.6,36.8,.078,.576,22.5,78.3,.239
18,2015-01-19,,North Carolina Central,L,52,59,19,54,.352,1,17,.059,13,19,.684,12,36,4,7,4,17,23,19,41,.463,5,15,.333,16,25,.640,5,25,7,6,1,17,21,78.8,89.4,66.5,.352,.315,.413,59.0,21.1,10.6,15.4,.361,21.2,37.5,.241,.524,24.3,82.8,.390
19,2015-01-24,@,Savannah State,L,66,68,23,41,.561,3,10,.300,17,29,.586,5,25,10,12,4,19,30,21,41,.512,4,9,.444,22,35,.629,5,21,12,8,1,16,20,95.7,98.6,68.7,.707,.244,.602,54.3,43.5,17.4,12.5,.598,25.8,23.8,.415,.561,21.7,80.0,.537
20,2015-01-26,@,South Carolina State,L,56,65,20,55,.364,5,21,.238,11,19,.579,8,32,9,7,3,18,22,22,55,.400,2,8,.250,19,26,.731,9,34,7,9,3,12,20,77.8,90.3,72.2,.345,.382,.437,48.5,45.0,9.7,6.4,.409,21.9,24.2,.200,.418,15.1,72.7,.345
21,2015-01-31,@,Norfolk State,L,60,63,23,57,.404,5,23,.217,9,17,.529,10,35,9,3,3,10,18,25,59,.424,2,14,.143,11,16,.688,9,34,15,3,5,8,18,92.3,96.9,65.3,.298,.404,.461,50.7,39.1,4.6,6.7,.447,13.3,28.6,.158,.441,10.7,73.5,.186
22,2015-02-02,@,NJIT,L,67,86,23,56,.411,6,17,.353,15,26,.577,10,23,7,8,3,10,14,31,53,.585,13,22,.591,11,18,.611,8,31,24,5,5,15,21,98.5,126.5,68.5,.464,.304,.490,42.6,30.4,11.8,9.7,.464,12.8,30.3,.268,.708,19.6,61.9,.208
23,2015-02-07,,Maryland-Eastern Shore,W,64,61,23,52,.442,5,19,.263,13,25,.520,9,31,10,7,5,10,17,20,50,.400,8,16,.500,13,21,.619,7,30,15,8,1,14,19,97.0,92.4,65.9,.481,.365,.501,50.8,43.5,10.6,14.7,.490,13.5,28.1,.250,.480,18.9,75.9,.260
