G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Southeast Missouri State,W,76,66,28,53,.528,6,14,.429,14,18,.778,12,40,13,2,5,14,19,28,66,.424,4,20,.200,6,12,.500,11,23,16,7,3,3,18,118.8,103.1,63.6,.340,.264,.617,63.5,46.4,3.1,10.9,.585,18.5,50.0,.264,.455,4.0,71.8,.091
2,2014-11-15,,Boise State,L,69,77,24,52,.462,4,14,.286,17,22,.773,7,27,14,3,1,13,20,24,51,.471,8,23,.348,21,24,.875,5,27,13,3,1,8,22,103.0,114.9,66.9,.423,.269,.552,50.0,58.3,4.5,3.6,.500,17.2,24.1,.327,.549,11.4,80.0,.412
3,2014-11-20,@,Arizona State,L,44,68,16,57,.281,1,11,.091,11,19,.579,11,30,7,10,2,9,23,21,45,.467,10,22,.455,16,23,.696,8,39,15,5,5,16,20,68.8,106.3,64.0,.333,.193,.333,43.5,43.8,15.6,8.7,.289,12.0,26.2,.193,.578,22.2,70.4,.356
4,2014-11-23,,San Diego Christian,W,82,60,32,61,.525,7,16,.438,11,14,.786,9,38,24,7,7,15,12,25,66,.379,8,25,.320,2,2,1.000,7,24,14,8,2,14,16,110.8,81.1,73.8,.230,.262,.606,61.3,75.0,9.5,17.1,.582,18.1,34.6,.180,.439,17.3,80.6,.030
5,2014-11-26,,UC-Riverside,W,66,62,18,42,.429,4,15,.267,26,30,.867,7,29,9,11,7,22,21,22,60,.367,6,18,.333,12,19,.632,14,29,12,6,4,21,28,89.2,83.8,73.6,.714,.357,.587,50.0,50.0,14.9,16.7,.476,28.1,31.8,.619,.417,23.3,61.1,.200
6,2014-11-29,,UC-Irvine,L,72,80,27,62,.435,8,20,.400,10,19,.526,7,31,15,5,4,9,21,31,58,.534,6,15,.400,12,20,.600,10,41,21,7,9,11,18,101.4,112.7,70.8,.306,.323,.507,43.1,55.6,7.0,9.3,.500,11.2,18.4,.161,.586,14.0,70.6,.207
7,2014-12-03,@,USC,L,61,77,25,68,.368,7,17,.412,4,10,.400,15,36,11,6,7,14,12,29,62,.468,9,21,.429,10,15,.667,8,32,18,8,5,13,14,83.6,105.5,72.9,.147,.250,.419,52.9,44.0,8.2,17.1,.419,16.1,38.5,.059,.540,15.8,72.4,.161
8,2014-12-13,@,Northern Arizona,L,69,71,21,46,.457,7,19,.368,20,25,.800,6,33,10,2,5,16,20,27,60,.450,4,17,.235,13,22,.591,8,29,14,3,7,8,15,100.0,102.9,69.2,.543,.413,.596,53.2,47.6,2.9,11.6,.533,21.7,22.2,.435,.483,10.2,77.1,.217
9,2014-12-17,@,Stanford,L,58,67,24,51,.471,6,14,.429,4,6,.667,5,26,12,4,1,16,17,22,53,.415,6,19,.316,17,23,.739,5,28,11,11,3,8,14,87.9,101.5,65.9,.118,.275,.539,48.1,50.0,6.1,2.9,.529,22.9,17.9,.078,.472,11.1,80.8,.321
10,2014-12-22,N,Wichita State,L,53,80,18,38,.474,0,5,.000,17,22,.773,7,17,5,5,5,16,21,26,56,.464,11,24,.458,17,24,.708,14,28,15,10,0,7,20,89.8,135.6,58.9,.579,.132,.547,37.8,27.8,8.5,15.6,.474,24.8,33.3,.447,.563,9.4,41.7,.304
