G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,@,Texas Tech,L,59,71,17,50,.340,9,19,.474,16,23,.696,10,33,9,6,5,15,24,23,58,.397,7,18,.389,18,28,.643,13,34,13,9,10,7,21,89.4,107.6,65.6,.460,.380,.484,49.3,52.9,9.1,12.5,.430,19.8,32.3,.320,.457,8.9,63.9,.310
2,2014-11-16,,Cornell,W,76,71,22,59,.373,8,19,.421,24,34,.706,14,36,11,6,3,10,28,21,53,.396,3,19,.158,26,36,.722,11,33,7,4,9,10,24,108.6,101.4,70.1,.576,.322,.506,52.2,50.0,8.6,8.8,.441,11.7,38.9,.407,.425,12.5,66.7,.491
3,2014-11-19,,UMBC,W,45,38,15,51,.294,1,13,.077,14,25,.560,12,39,4,11,2,18,15,14,53,.264,2,21,.095,8,13,.615,4,31,11,11,7,19,18,62.5,52.8,71.5,.490,.255,.358,55.7,26.7,15.3,6.3,.304,22.3,30.8,.275,.283,24.3,87.1,.151
4,2014-11-22,@,Butler,L,39,80,15,51,.294,4,16,.250,5,11,.455,8,27,5,6,3,20,16,30,56,.536,9,16,.563,11,17,.647,8,33,17,11,6,10,10,58.2,119.4,67.2,.216,.314,.347,45.0,33.3,9.0,7.5,.333,26.2,24.2,.098,.616,13.5,70.4,.196
5,2014-11-25,@,Syracuse,L,37,70,10,52,.192,7,28,.250,10,19,.526,13,32,7,5,2,17,20,27,52,.519,2,12,.167,14,24,.583,8,35,20,10,9,12,15,56.1,106.1,66.2,.365,.538,.303,47.8,70.0,7.6,5.0,.260,21.8,32.5,.192,.538,15.9,70.4,.269
6,2014-11-29,,Siena,L,71,81,21,48,.438,3,14,.214,26,33,.788,8,25,8,3,6,13,26,27,58,.466,5,14,.357,22,26,.846,10,23,18,4,3,6,25,104.4,119.1,67.5,.688,.292,.558,52.1,38.1,4.4,13.6,.469,17.0,38.1,.542,.509,7.9,63.0,.379
7,2014-12-02,@,Columbia,W,64,62,23,48,.479,5,10,.500,13,17,.765,7,26,12,6,4,13,17,23,57,.404,7,24,.292,9,14,.643,14,31,13,4,4,12,18,103.2,100.0,61.9,.354,.208,.571,45.6,52.2,9.7,12.1,.531,18.8,29.2,.271,.465,15.9,57.6,.158
8,2014-12-06,,Mount St. Mary's,L,65,74,22,52,.423,11,19,.579,10,18,.556,10,29,14,6,4,14,17,28,54,.519,7,17,.412,11,17,.647,10,31,10,11,6,12,17,101.6,115.6,64.3,.346,.365,.537,48.3,63.6,9.4,10.8,.529,18.8,32.3,.192,.583,16.2,65.5,.204
9,2014-12-09,@,St. Joseph's,L,42,68,15,53,.283,2,16,.125,10,18,.556,8,28,2,4,2,9,20,23,49,.469,5,13,.385,17,25,.680,7,37,11,7,5,8,17,67.7,109.7,62.2,.340,.302,.341,43.1,13.3,6.5,5.6,.302,12.8,21.1,.189,.520,11.6,74.1,.347
10,2014-12-21,@,Stony Brook,L,52,67,15,47,.319,4,14,.286,18,22,.818,9,26,6,4,2,8,22,23,47,.489,2,12,.167,19,28,.679,13,34,13,3,9,9,18,92.9,119.6,56.4,.468,.298,.453,43.3,40.0,7.1,5.7,.362,12.2,30.0,.383,.511,13.0,56.7,.404
11,2014-12-28,N,Fairfield,W (1 OT),61,59,20,48,.417,4,8,.500,17,27,.630,8,39,13,9,4,15,24,19,55,.345,4,17,.235,17,27,.630,8,29,8,5,4,10,23,88.4,85.5,61.2,.563,.167,.501,57.4,65.0,13.0,10.5,.458,19.8,27.6,.354,.382,12.8,79.5,.309
12,2014-12-31,@,Navy,L,47,70,18,50,.360,4,14,.286,7,11,.636,5,25,10,3,2,9,17,28,57,.491,6,12,.500,8,10,.800,7,32,17,6,5,4,12,79.7,118.6,59.0,.220,.280,.426,43.9,55.6,5.1,4.4,.400,14.0,16.7,.140,.544,6.1,74.1,.140
13,2015-01-03,,Army,L,53,77,18,48,.375,1,10,.100,16,27,.593,7,30,13,6,2,17,18,27,62,.435,9,26,.346,14,22,.636,13,41,17,6,3,11,21,74.6,108.5,70.6,.563,.208,.436,42.3,72.2,8.5,5.6,.385,21.8,20.0,.333,.508,13.2,63.9,.226
14,2015-01-07,,American,W (1 OT),56,53,20,46,.435,4,12,.333,12,18,.667,7,28,12,6,1,15,22,17,44,.386,3,15,.200,16,23,.696,6,27,5,4,4,15,16,88.9,84.1,57.5,.391,.261,.513,50.9,60.0,9.5,3.4,.478,21.6,25.0,.261,.420,21.5,77.8,.364
15,2015-01-10,@,Lehigh,W,65,60,22,59,.373,9,17,.529,12,12,1.000,13,33,18,4,4,14,16,23,55,.418,4,13,.308,10,18,.556,14,32,13,5,8,12,15,101.6,93.8,63.6,.203,.288,.502,50.8,81.8,6.3,9.5,.449,17.8,41.9,.203,.455,15.9,58.8,.182
16,2015-01-14,@,Lafayette,L,65,69,21,50,.420,9,19,.474,14,17,.824,6,31,8,3,3,9,13,25,59,.424,9,22,.409,10,15,.667,9,28,6,4,2,5,14,104.8,111.3,61.6,.340,.380,.560,52.5,38.1,4.8,8.1,.510,13.4,24.0,.280,.500,7.0,73.5,.169
17,2015-01-18,,Boston University,W (1 OT),91,86,30,64,.469,7,20,.350,24,32,.750,10,34,14,7,4,9,27,26,54,.481,12,27,.444,22,41,.537,9,34,15,5,3,13,24,116.7,110.3,69.2,.500,.313,.574,50.0,46.7,9.0,14.8,.523,10.2,28.6,.375,.593,15.0,72.7,.407
18,2015-01-21,,Bucknell,L,61,75,20,54,.370,4,13,.308,17,24,.708,10,31,8,4,2,9,18,27,51,.529,9,21,.429,12,21,.571,9,31,15,5,2,8,18,98.4,121.0,62.2,.444,.241,.466,50.0,40.0,6.5,6.7,.407,12.1,31.3,.315,.618,11.6,70.0,.235
19,2015-01-24,@,Colgate,L,58,59,19,51,.373,3,13,.231,17,21,.810,12,30,6,5,2,12,19,19,40,.475,3,9,.333,18,22,.818,5,26,8,4,5,16,19,95.1,96.7,61.2,.412,.255,.476,53.6,31.6,8.2,6.5,.402,16.4,36.4,.333,.513,24.1,78.3,.450
20,2015-01-29,,Holy Cross,W,64,54,22,47,.468,5,11,.455,15,22,.682,11,41,12,4,2,17,17,16,52,.308,4,22,.182,18,21,.857,8,22,4,7,6,11,17,100.0,84.4,64.2,.468,.234,.557,65.1,54.5,6.3,6.7,.521,22.8,44.0,.319,.346,15.1,78.9,.346
21,2015-01-31,@,Army,W,77,71,30,59,.508,5,15,.333,12,20,.600,12,37,12,3,4,17,22,23,54,.426,10,24,.417,15,21,.714,4,22,16,10,2,15,19,104.1,95.9,74.2,.339,.254,.562,62.7,40.0,4.1,13.3,.551,19.9,40.0,.203,.519,19.0,86.2,.278
22,2015-02-04,@,American,L,49,64,20,50,.400,3,12,.250,6,9,.667,10,25,6,7,1,11,21,21,35,.600,3,9,.333,19,23,.826,2,22,14,7,2,11,13,89.1,116.4,55.1,.180,.240,.451,53.2,30.0,12.7,3.8,.430,16.9,33.3,.120,.643,19.3,88.2,.543
23,2015-02-07,,Lehigh,L,63,69,25,65,.385,5,16,.313,8,16,.500,14,29,16,8,4,7,20,24,47,.511,4,11,.364,17,22,.773,6,29,13,2,8,12,17,96.9,106.2,64.5,.246,.246,.434,50.0,64.0,12.3,11.1,.423,8.8,37.8,.123,.553,17.3,71.4,.362
24,2015-02-11,,Lafayette,W,62,43,24,52,.462,7,18,.389,7,9,.778,8,32,11,8,3,11,16,14,45,.311,4,18,.222,11,19,.579,7,25,7,5,2,13,13,103.3,71.7,59.7,.173,.346,.551,56.1,45.8,13.3,11.1,.529,16.4,30.8,.135,.356,19.4,77.4,.244
