G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,@,Western Illinois,W (1 OT),73,71,26,62,.419,4,19,.211,17,24,.708,11,42,11,6,2,11,29,23,58,.397,8,27,.296,17,31,.548,8,32,12,4,4,8,20,100.0,97.3,64.9,.387,.306,.497,56.8,42.3,8.2,6.5,.452,13.0,31.4,.274,.466,9.9,79.5,.293
2,2014-11-16,@,UC-Irvine,L,50,68,16,47,.340,8,24,.333,10,20,.500,9,24,10,4,2,15,17,24,50,.480,5,16,.313,15,17,.882,11,32,13,4,5,13,20,82.0,111.5,61.3,.426,.511,.442,42.9,62.5,6.6,5.9,.426,21.0,30.0,.213,.530,18.3,57.7,.300
3,2014-11-20,,Pacific Union,W,81,56,35,62,.565,6,18,.333,5,17,.294,19,42,21,5,3,18,25,16,48,.333,4,15,.267,20,31,.645,10,24,4,10,2,15,21,119.1,82.4,68.4,.274,.290,.578,63.6,60.0,7.4,9.1,.613,20.4,57.6,.081,.375,19.3,69.7,.417
4,2014-11-23,N,Washington,L,69,76,23,57,.404,7,18,.389,16,26,.615,8,28,6,4,2,9,21,26,60,.433,7,21,.333,17,24,.708,11,34,15,4,6,10,20,98.6,108.6,70.4,.456,.316,.497,45.2,26.1,5.7,5.1,.465,11.5,25.8,.281,.492,12.3,64.5,.283
5,2014-11-26,@,Alaska-Anchorage,W,71,62,24,49,.490,4,15,.267,19,26,.731,8,36,15,0,3,9,24,19,49,.388,10,20,.500,14,24,.583,5,24,14,2,6,6,21,114.5,100.0,61.9,.531,.306,.579,60.0,62.5,0.0,10.3,.531,12.8,29.6,.388,.490,9.0,84.8,.286
6,2014-11-28,N,Colorado State,L,64,75,21,53,.396,13,26,.500,9,17,.529,7,26,12,3,2,12,26,24,46,.522,8,18,.444,19,33,.576,7,29,15,5,4,7,18,100.0,117.2,63.9,.321,.491,.524,47.3,57.1,4.7,7.1,.519,16.4,24.1,.170,.609,10.2,73.1,.413
7,2014-11-29,N,Mercer,W,55,48,17,44,.386,7,19,.368,14,17,.824,8,31,11,2,2,14,23,16,47,.340,3,10,.300,13,18,.722,11,28,9,4,3,11,17,96.5,84.2,56.8,.386,.432,.528,52.5,64.7,3.5,5.4,.466,21.2,32.0,.318,.372,16.5,67.6,.277
8,2014-12-03,,Cal State East Bay,W,80,51,21,42,.500,8,13,.615,30,41,.732,11,39,15,5,2,14,22,17,51,.333,6,24,.250,11,18,.611,7,20,10,5,2,12,31,123.1,78.5,64.5,.976,.310,.651,66.1,71.4,7.7,7.4,.595,18.5,45.8,.714,.392,16.8,80.0,.216
9,2014-12-06,@,Idaho State,W,68,62,21,50,.420,8,22,.364,18,31,.581,11,39,11,2,5,15,23,22,56,.393,3,19,.158,15,28,.536,9,27,10,4,5,8,24,98.6,89.9,68.5,.620,.440,.525,59.1,52.4,2.9,13.5,.500,18.8,37.9,.360,.420,10.3,75.7,.268
10,2014-12-14,,Western Michigan,L,72,80,22,49,.449,10,23,.435,18,23,.783,8,24,18,6,3,20,24,28,50,.560,8,19,.421,16,26,.615,7,26,21,12,2,15,19,101.4,112.7,71.1,.469,.469,.601,48.0,81.8,8.5,9.7,.551,25.0,29.6,.367,.640,19.4,69.6,.320
11,2014-12-18,,Nevada,W,69,65,23,58,.397,5,17,.294,18,36,.500,22,44,12,4,2,13,21,21,52,.404,3,17,.176,20,26,.769,9,30,4,3,5,11,31,104.5,98.5,66.2,.621,.293,.459,59.5,52.2,6.1,5.7,.440,14.8,51.2,.310,.433,14.6,71.0,.385
12,2014-12-20,,Fresno State,W,71,68,27,52,.519,8,22,.364,9,10,.900,8,31,17,1,1,15,16,23,53,.434,4,13,.308,18,21,.857,7,24,10,9,6,8,20,110.9,106.3,63.9,.192,.423,.626,56.4,63.0,1.6,2.5,.596,20.9,32.0,.173,.472,11.3,76.7,.340
13,2014-12-27,,San Francisco,L,71,77,26,54,.481,8,20,.400,11,15,.733,9,33,14,2,3,14,20,28,61,.459,5,16,.313,16,20,.800,9,29,19,7,5,3,19,109.2,118.5,65.3,.278,.370,.581,53.2,53.8,3.1,6.7,.556,18.6,31.0,.204,.500,4.1,72.7,.262
14,2014-12-29,,Santa Clara,L,40,57,13,45,.289,6,15,.400,8,17,.471,10,22,8,5,2,8,17,21,43,.488,9,20,.450,6,8,.750,8,33,11,4,4,14,15,76.9,109.6,51.9,.378,.333,.377,40.0,61.5,9.6,8.7,.356,13.1,28.6,.178,.593,23.0,60.0,.140
15,2015-01-01,@,Loyola Marymount,W,77,63,27,47,.574,9,19,.474,14,22,.636,7,20,18,9,1,9,20,20,38,.526,3,6,.500,20,24,.833,7,22,8,2,3,15,17,132.8,108.6,58.4,.468,.404,.670,47.6,66.7,15.5,3.1,.670,13.5,31.8,.298,.566,23.3,65.0,.526
16,2015-01-03,@,Pepperdine,L,61,71,23,56,.411,5,20,.250,10,18,.556,11,30,11,2,0,10,23,20,46,.435,7,17,.412,24,27,.889,5,29,17,4,1,10,18,95.3,110.9,63.7,.321,.357,.473,50.8,47.8,3.1,0.0,.455,13.4,31.4,.179,.511,14.5,79.2,.522
17,2015-01-10,,Saint Mary's,L,47,54,19,48,.396,1,12,.083,8,18,.444,11,34,9,3,5,9,19,16,49,.327,5,20,.250,17,21,.810,8,31,11,5,2,8,21,82.5,94.7,56.8,.375,.250,.416,52.3,47.4,5.3,17.2,.406,13.7,32.4,.167,.378,11.9,74.2,.347
18,2015-01-15,,BYU,L,80,93,27,59,.458,4,18,.222,22,27,.815,9,26,12,7,2,12,27,28,52,.538,10,20,.500,27,32,.844,8,34,19,6,4,14,26,108.1,125.7,74.0,.458,.305,.557,43.3,44.4,9.5,6.3,.492,14.3,25.7,.373,.635,17.2,68.0,.519
19,2015-01-17,,San Diego,W,59,57,16,41,.390,5,13,.385,22,33,.667,7,33,7,4,8,18,30,14,48,.292,4,25,.160,25,33,.758,8,29,11,8,2,12,30,86.8,83.8,67.7,.805,.317,.521,53.2,43.8,5.9,34.8,.451,24.1,25.0,.537,.333,15.9,76.5,.521
20,2015-01-22,@,Portland,L,69,72,22,54,.407,5,16,.313,20,33,.606,17,40,6,4,5,12,26,25,62,.403,8,20,.400,14,26,.538,20,35,16,5,5,7,24,109.5,114.3,63.0,.611,.296,.495,53.3,27.3,6.3,11.9,.454,14.7,53.1,.370,.468,8.6,53.5,.226
21,2015-01-24,@,Gonzaga,L,60,91,18,54,.333,5,22,.227,19,27,.704,9,27,9,2,1,10,19,33,55,.600,11,25,.440,14,20,.700,6,29,15,4,1,5,23,90.9,137.9,65.7,.500,.407,.449,48.2,50.0,3.0,3.3,.380,13.0,28.1,.352,.700,7.2,75.0,.255
22,2015-01-29,,Pepperdine,L,43,50,15,52,.288,5,19,.263,8,13,.615,13,38,10,7,1,12,18,17,51,.333,5,17,.294,11,14,.786,9,37,11,3,7,11,16,74.1,86.2,58.7,.250,.365,.370,50.7,66.7,12.1,2.9,.337,17.1,31.7,.154,.382,16.0,73.5,.216
23,2015-01-31,,Loyola Marymount,L (1 OT),71,76,26,56,.464,12,27,.444,7,11,.636,9,28,20,3,3,13,19,28,61,.459,6,12,.500,14,19,.737,16,37,20,9,4,10,9,109.2,116.9,57.2,.196,.482,.580,43.1,76.9,4.6,6.1,.571,17.5,30.0,.125,.508,12.5,54.3,.230
24,2015-02-07,@,Saint Mary's,L,58,73,20,47,.426,4,15,.267,14,19,.737,6,21,9,6,0,9,18,24,44,.545,12,22,.545,13,17,.765,5,29,18,4,2,12,19,98.3,123.7,59.1,.404,.319,.518,42.0,45.0,10.2,0.0,.468,13.8,20.0,.298,.682,18.7,75.0,.295
25,2015-02-12,@,San Diego,L,48,68,19,55,.345,4,16,.250,6,10,.600,8,27,7,6,0,12,16,24,49,.490,9,20,.450,11,14,.786,6,30,18,8,6,11,14,77.4,109.7,62.2,.182,.291,.402,47.4,36.8,9.7,0.0,.382,16.7,25.0,.109,.582,16.5,76.0,.224
26,2015-02-14,@,BYU,L,59,84,24,65,.369,6,20,.300,5,12,.417,9,27,12,3,3,5,20,29,58,.500,9,18,.500,17,22,.773,11,37,18,1,9,8,16,89.4,127.3,66.1,.185,.308,.417,42.2,50.0,4.5,7.5,.415,6.6,25.7,.077,.578,10.5,62.1,.293
27,2015-02-19,,Gonzaga,L,74,86,25,57,.439,11,19,.579,13,19,.684,11,25,9,3,1,13,21,30,50,.600,10,18,.556,16,17,.941,5,27,20,3,3,11,22,112.1,130.3,66.1,.333,.333,.560,48.1,36.0,4.5,3.1,.535,16.5,33.3,.228,.700,15.9,73.7,.320
28,2015-02-21,,Portland,W (1 OT),79,77,28,57,.491,6,16,.375,17,22,.773,7,31,11,2,4,12,27,25,54,.463,9,18,.500,18,28,.643,7,30,17,4,8,9,21,111.3,108.5,63.0,.386,.281,.586,50.8,39.3,2.8,11.1,.544,15.1,23.3,.298,.546,11.8,77.4,.333
29,2015-02-26,@,Santa Clara,W,64,57,21,51,.412,2,12,.167,20,30,.667,13,41,15,9,4,14,15,23,53,.434,6,23,.261,5,8,.625,8,30,10,7,4,11,22,101.6,90.5,63.0,.588,.235,.490,57.7,71.4,14.3,13.3,.431,17.7,37.1,.392,.491,16.2,77.8,.094
30,2015-02-28,@,San Francisco,L,55,65,18,51,.353,7,24,.292,12,14,.857,11,31,8,5,1,18,18,24,50,.480,4,18,.222,13,18,.722,7,24,11,6,1,12,13,85.9,101.6,64.1,.275,.471,.477,56.4,44.4,7.8,3.1,.422,23.8,39.3,.235,.520,17.0,74.1,.260
31,2015-03-06,N,San Francisco,L,58,62,18,59,.305,9,25,.360,13,19,.684,13,39,9,1,1,9,23,18,45,.400,7,26,.269,19,29,.655,6,31,12,3,5,6,18,95.1,101.6,61.4,.322,.424,.426,55.7,50.0,1.6,5.3,.381,11.7,34.2,.220,.478,9.3,81.3,.422
