G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Harris-Stowe,W,104,56,36,74,.486,12,26,.462,20,26,.769,15,48,22,8,10,11,26,19,63,.302,3,13,.231,15,32,.469,12,31,7,5,2,17,21,125.3,67.5,82.8,.351,.351,.602,60.8,61.1,9.6,20.0,.568,11.3,44.1,.270,.325,17.9,73.3,.238
2,2014-11-17,,Purdue-Fort Wayne,L,71,74,28,66,.424,5,18,.278,10,13,.769,13,34,10,4,4,9,22,24,54,.444,7,17,.412,19,28,.679,8,33,18,5,3,11,17,102.9,107.2,69.2,.197,.273,.492,50.7,35.7,5.8,10.8,.462,11.1,34.2,.152,.509,14.0,72.4,.352
3,2014-11-22,@,Portland,L,53,75,22,56,.393,4,19,.211,5,8,.625,7,25,8,6,7,14,14,31,65,.477,9,22,.409,4,9,.444,13,41,20,5,8,12,13,77.9,110.3,67.5,.143,.339,.443,37.9,36.4,8.8,16.3,.429,19.0,20.0,.089,.546,14.8,58.1,.062
4,2014-11-24,@,Portland State,L (1 OT),87,90,33,61,.541,8,20,.400,13,21,.619,11,27,20,6,3,13,22,30,60,.500,7,14,.500,23,30,.767,11,30,16,7,1,10,20,119.2,123.3,65.0,.344,.328,.613,47.4,60.6,8.2,6.5,.607,15.5,36.7,.213,.558,11.9,59.3,.383
5,2014-12-03,,Southern Illinois,L,67,79,21,45,.467,5,15,.333,20,28,.714,4,17,11,6,10,16,25,24,52,.462,7,12,.583,24,32,.750,13,31,12,6,2,16,24,95.7,112.9,70.3,.622,.333,.575,35.4,52.4,8.6,25.0,.522,21.5,18.2,.444,.529,19.2,50.0,.462
6,2014-12-06,@,Central Michigan,L,61,94,22,55,.400,5,16,.313,12,16,.750,4,23,10,4,2,9,21,28,55,.509,20,35,.571,18,22,.818,10,36,21,3,5,6,14,93.8,144.6,64.5,.291,.291,.487,39.0,45.5,6.2,10.0,.445,12.6,13.3,.218,.691,8.4,65.5,.327
7,2014-12-13,@,Saint Louis,L,61,67,23,56,.411,5,14,.357,10,15,.667,9,22,11,8,2,15,26,23,42,.548,3,10,.300,18,28,.643,5,25,16,6,6,18,18,88.4,97.1,68.7,.268,.250,.483,46.8,47.8,11.6,6.3,.455,19.2,31.0,.179,.583,24.6,72.2,.429
8,2014-12-17,@,Campbell,L,65,70,22,51,.431,7,16,.438,14,22,.636,3,26,12,3,1,8,18,22,49,.449,8,21,.381,18,24,.750,6,33,16,5,2,9,18,100.0,107.7,64.9,.431,.314,.529,44.1,54.5,4.6,3.6,.500,11.5,10.0,.275,.531,13.0,79.3,.367
9,2014-12-20,,Milwaukee,W,61,56,22,51,.431,4,12,.333,13,28,.464,8,34,9,9,8,16,17,20,63,.317,3,21,.143,13,16,.813,13,39,8,9,2,18,24,82.4,75.7,74.0,.549,.235,.474,46.6,40.9,12.2,19.0,.471,19.9,23.5,.255,.341,20.3,66.7,.206
10,2014-12-22,,Chicago State,W,63,38,18,47,.383,8,17,.471,19,35,.543,8,35,13,11,5,18,13,16,53,.302,5,20,.250,1,5,.200,7,32,11,9,3,25,26,85.1,51.4,73.5,.745,.362,.495,52.2,72.2,14.9,15.2,.468,22.1,24.2,.404,.349,31.1,79.4,.019
11,2014-12-28,,Robert Morris (IL),W,104,56,34,66,.515,12,24,.500,24,31,.774,13,45,23,14,5,11,14,20,55,.364,6,21,.286,10,17,.588,4,21,9,3,6,20,21,131.6,70.9,78.9,.470,.364,.644,68.2,67.6,17.7,14.7,.606,12.0,43.3,.364,.418,24.1,88.9,.182
12,2015-01-01,,Jacksonville State,W,73,57,26,48,.542,6,15,.400,15,24,.625,5,33,12,5,3,18,19,20,59,.339,5,19,.263,12,20,.600,10,31,10,7,3,13,23,101.4,79.2,72.0,.500,.313,.614,51.6,46.2,6.9,7.5,.604,23.3,19.2,.313,.381,16.0,73.7,.203
13,2015-01-03,,Tennessee Tech,W,85,62,29,51,.569,8,11,.727,19,29,.655,10,36,17,7,5,12,22,22,58,.379,3,13,.231,15,23,.652,12,31,10,3,4,13,23,125.0,91.2,68.4,.569,.216,.656,53.7,58.6,10.3,11.1,.647,15.6,34.5,.373,.405,15.9,68.4,.259
14,2015-01-07,@,Belmont,L,69,73,25,64,.391,9,24,.375,10,13,.769,13,35,10,5,2,13,21,25,51,.490,4,19,.211,19,25,.760,5,31,15,7,3,12,13,98.6,104.3,70.0,.203,.375,.492,53.0,40.0,7.1,6.3,.461,15.6,33.3,.156,.529,16.0,81.5,.373
15,2015-01-10,,Tennessee State,W,45,38,16,48,.333,6,25,.240,7,15,.467,6,32,10,3,2,9,12,14,51,.275,2,9,.222,8,11,.727,12,41,6,6,1,16,24,76.3,64.4,59.2,.313,.521,.408,43.8,62.5,5.1,4.8,.396,14.0,17.1,.146,.294,22.2,68.4,.157
16,2015-01-15,@,Morehead State,L,63,91,15,53,.283,4,13,.308,29,39,.744,6,26,10,5,3,15,16,34,63,.540,10,23,.435,13,16,.813,8,41,22,9,10,11,29,81.8,118.2,77.1,.736,.245,.440,38.8,66.7,6.5,7.5,.321,17.3,15.4,.547,.619,13.5,71.4,.206
17,2015-01-17,@,Eastern Kentucky,L,62,78,19,48,.396,10,20,.500,14,23,.609,15,32,13,9,4,23,21,26,46,.565,6,18,.333,20,26,.769,3,21,18,9,1,14,22,91.2,114.7,68.1,.479,.417,.526,60.4,68.4,13.2,14.3,.500,28.1,45.5,.292,.630,19.4,85.0,.435
18,2015-01-22,,Austin Peay,W,69,65,24,52,.462,6,20,.300,15,21,.714,11,37,13,4,4,14,15,23,58,.397,5,21,.238,14,24,.583,12,30,11,6,4,9,17,104.5,98.5,65.7,.404,.385,.557,55.2,54.2,6.1,10.8,.519,18.4,37.9,.288,.440,11.5,68.4,.241
19,2015-01-24,,Murray State,L,54,60,20,54,.370,7,19,.368,7,13,.538,10,33,8,5,6,11,19,21,59,.356,6,19,.316,12,23,.522,19,46,9,6,3,13,11,85.7,95.2,62.6,.241,.352,.449,41.8,40.0,7.9,15.0,.435,15.5,27.0,.130,.407,15.7,54.8,.203
20,2015-01-29,@,Southeast Missouri State,W,75,61,23,54,.426,9,16,.563,20,24,.833,12,35,8,12,4,15,16,21,53,.396,6,17,.353,13,18,.722,10,29,10,7,4,19,24,108.7,88.4,69.5,.444,.296,.573,54.7,34.8,17.4,11.1,.509,18.7,38.7,.370,.453,23.6,69.7,.245
21,2015-01-31,@,Eastern Illinois,L,54,57,19,51,.373,8,18,.444,8,11,.727,10,38,11,4,5,17,18,19,56,.339,5,18,.278,14,18,.778,8,26,12,5,4,7,11,85.7,90.5,63.4,.216,.353,.480,59.4,57.9,6.3,13.2,.451,23.2,35.7,.157,.384,9.8,77.8,.250
22,2015-02-07,@,UT-Martin,L,59,64,19,53,.358,9,25,.360,12,17,.706,9,28,10,3,1,13,18,23,51,.451,6,12,.500,12,18,.667,9,34,12,6,4,13,18,92.2,100.0,64.3,.321,.472,.483,45.2,52.6,4.7,2.6,.443,17.5,26.5,.226,.510,17.9,67.9,.235
23,2015-02-12,@,Murray State,L,46,78,15,56,.268,8,27,.296,8,10,.800,9,24,9,5,4,15,21,29,52,.558,7,15,.467,13,23,.565,11,40,20,8,9,14,17,69.7,118.2,66.3,.179,.482,.379,37.5,60.0,7.6,10.8,.339,19.8,23.7,.143,.625,18.2,57.7,.250
24,2015-02-14,,Eastern Illinois,W,80,63,32,57,.561,8,20,.400,8,12,.667,8,32,19,8,3,11,16,24,51,.471,8,21,.381,7,12,.583,4,21,11,8,3,11,17,123.1,96.9,64.7,.211,.351,.638,60.4,59.4,12.3,10.0,.632,14.9,32.0,.140,.549,16.2,85.7,.137
25,2015-02-19,,Southeast Missouri State,W,75,72,29,56,.518,3,14,.214,14,22,.636,5,27,12,6,6,9,16,27,65,.415,6,20,.300,12,18,.667,12,31,14,5,0,14,22,102.7,98.6,73.0,.393,.250,.564,46.6,41.4,8.2,13.3,.545,11.9,20.8,.250,.462,16.0,64.7,.185
26,2015-02-21,,UT-Martin,W,76,68,27,50,.540,8,17,.471,14,21,.667,5,30,15,4,6,13,10,27,59,.458,10,25,.400,4,8,.500,6,23,15,4,2,12,19,111.8,100.0,68.4,.420,.340,.634,56.6,55.6,5.9,17.6,.620,17.8,22.7,.280,.542,16.0,80.6,.068
27,2015-02-26,@,Austin Peay,L,61,64,20,55,.364,9,24,.375,12,18,.667,4,30,12,10,3,12,21,20,54,.370,3,11,.273,21,27,.778,12,46,12,4,5,18,15,84.7,88.9,72.2,.327,.436,.480,39.5,60.0,13.9,7.0,.445,15.9,10.5,.218,.398,21.2,68.4,.389
28,2015-03-04,N,Eastern Illinois,L,66,78,21,54,.389,5,16,.313,19,24,.792,8,30,7,4,2,11,19,25,50,.500,9,20,.450,19,24,.792,5,32,17,4,2,9,20,98.5,116.4,66.9,.444,.296,.505,48.4,33.3,6.0,6.7,.435,14.4,22.9,.352,.590,12.8,81.5,.380
