G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Columbia,W,57,56,22,54,.407,3,9,.333,10,21,.476,15,37,10,5,1,9,13,21,48,.438,10,24,.417,4,13,.308,8,31,13,7,3,13,25,96.6,94.9,58.6,.389,.167,.445,54.4,45.5,8.5,4.2,.435,12.3,39.5,.185,.542,19.4,73.3,.083
2,2014-11-18,@,Georgia,L,70,80,21,66,.318,8,25,.320,20,26,.769,12,40,11,5,4,9,30,21,47,.447,5,16,.313,33,48,.688,7,39,14,5,8,12,24,93.3,106.7,75.1,.394,.379,.447,50.6,52.4,6.7,12.9,.379,10.3,27.3,.303,.500,14.7,80.0,.702
3,2014-11-21,@,Hofstra,L,65,66,27,51,.529,4,18,.222,7,8,.875,10,32,14,6,2,19,16,27,56,.482,4,16,.250,8,16,.500,5,16,10,11,0,8,15,100.0,101.5,65.2,.157,.353,.593,66.7,51.9,9.2,5.0,.569,25.7,47.6,.137,.518,11.2,81.5,.143
4,2014-11-23,,Merchant Marine,W,89,54,32,62,.516,10,18,.556,15,26,.577,22,46,16,9,7,13,10,19,51,.373,10,23,.435,6,6,1.000,2,16,11,7,3,17,23,132.8,80.6,67.1,.419,.290,.599,74.2,50.0,13.4,25.0,.597,14.9,61.1,.242,.471,24.0,92.3,.118
5,2014-11-25,,Western Kentucky,W,71,61,22,54,.407,3,10,.300,24,35,.686,12,38,10,6,7,11,18,22,58,.379,6,17,.353,11,18,.611,8,33,13,5,5,13,26,100.0,85.9,70.6,.648,.185,.503,53.5,45.5,8.5,17.1,.435,13.5,32.4,.444,.431,16.3,76.5,.190
6,2014-11-27,N,LIU-Brooklyn,W,73,54,28,51,.549,5,11,.455,12,18,.667,12,36,16,3,4,18,20,20,57,.351,2,21,.095,12,13,.923,7,17,9,8,4,14,21,107.4,79.4,67.9,.353,.216,.613,67.9,57.1,4.4,11.1,.598,23.2,54.5,.235,.368,18.1,77.4,.211
7,2014-11-29,,St. Thomas Aquinas,W,70,49,27,60,.450,6,14,.429,10,13,.769,11,44,19,2,8,10,9,20,60,.333,5,22,.227,4,8,.500,6,29,9,3,3,10,16,106.1,74.2,66.5,.217,.233,.529,60.3,70.4,3.0,21.1,.500,13.1,32.4,.167,.375,13.6,84.6,.067
8,2014-12-02,@,Cincinnati,L,52,78,23,57,.404,2,13,.154,4,10,.400,12,27,15,4,1,13,16,29,55,.527,7,11,.636,13,20,.650,8,30,17,7,8,8,12,81.3,121.9,63.6,.175,.228,.421,47.4,65.2,6.3,2.3,.421,17.4,35.3,.070,.591,11.0,65.2,.236
9,2014-12-06,@,Princeton,L,64,77,24,54,.444,5,17,.294,11,17,.647,11,36,11,6,2,23,22,23,49,.469,12,26,.462,19,25,.760,2,23,18,14,0,13,19,87.7,105.5,73.0,.315,.315,.516,61.0,45.8,8.2,8.7,.491,27.0,34.4,.204,.592,17.6,92.6,.388
10,2014-12-13,@,Providence,L,61,79,22,71,.310,9,24,.375,8,13,.615,19,43,9,4,1,15,22,25,61,.410,8,19,.421,21,28,.750,13,42,18,12,7,8,11,85.9,111.3,71.2,.183,.338,.395,50.6,40.9,5.6,2.4,.373,16.3,39.6,.113,.475,9.7,64.9,.344
