G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,South Dakota,W,60,52,17,43,.395,2,9,.222,24,35,.686,10,34,8,6,3,17,20,15,52,.288,4,24,.167,18,28,.643,16,36,6,7,2,18,31,89.6,77.6,67.0,.814,.209,.503,48.6,47.1,9.0,10.7,.419,22.2,33.3,.558,.327,21.6,60.0,.346
2,2014-11-17,@,Eastern Washington,L,50,75,19,54,.352,6,13,.462,6,10,.600,7,22,12,4,3,9,8,30,55,.545,11,26,.423,4,5,.800,6,32,14,5,9,10,12,82.0,123.0,61.1,.185,.241,.426,40.7,63.2,6.6,10.3,.407,13.3,21.2,.111,.645,14.8,71.4,.073
3,2014-11-22,@,Southern Utah,W,85,75,31,55,.564,7,13,.538,16,22,.727,4,25,15,4,1,12,16,26,51,.510,9,19,.474,14,20,.700,5,25,9,5,6,15,21,118.1,104.2,72.0,.400,.236,.649,50.0,48.4,5.6,3.1,.627,15.5,16.7,.291,.598,19.9,80.8,.275
4,2014-11-26,@,Idaho State,W,60,57,22,44,.500,6,14,.429,10,15,.667,4,30,16,1,5,11,19,22,56,.393,6,20,.300,7,12,.583,10,30,10,7,2,5,18,105.3,100.0,57.4,.341,.318,.587,50.0,72.7,1.8,13.9,.568,17.7,16.7,.227,.446,7.5,72.2,.125
5,2014-11-29,@,UC-Davis,L,43,64,15,51,.294,4,19,.211,9,13,.692,10,29,10,6,0,16,9,27,52,.519,7,20,.350,3,8,.375,6,30,10,9,1,14,15,68.3,101.6,63.5,.255,.373,.376,49.2,66.7,9.5,0.0,.333,21.9,29.4,.176,.587,20.1,76.0,.058
6,2014-12-01,@,Sacramento State,L,56,65,21,53,.396,3,19,.158,11,17,.647,9,29,12,9,3,14,18,25,44,.568,6,15,.400,9,16,.563,5,28,14,3,8,16,17,87.5,101.6,64.3,.321,.358,.458,50.9,57.1,14.1,10.3,.425,18.6,28.1,.208,.636,23.7,80.0,.205
7,2014-12-06,@,Montana State,L,60,68,23,51,.451,2,12,.167,12,20,.600,8,25,11,5,1,13,20,24,53,.453,6,18,.333,14,17,.824,12,31,10,7,4,12,20,95.2,107.9,63.3,.392,.235,.496,44.6,47.8,7.9,2.9,.471,17.7,29.6,.235,.509,16.4,58.6,.264
8,2014-12-09,@,Arizona,L,56,87,17,47,.362,6,13,.462,16,24,.667,4,19,11,1,2,18,29,31,52,.596,6,20,.300,19,32,.594,9,39,16,9,8,15,18,76.7,119.2,72.8,.511,.277,.479,32.8,64.7,1.4,6.3,.426,23.6,11.8,.340,.654,18.2,62.5,.365
9,2014-12-13,,Utah State,L,47,50,15,51,.294,5,16,.313,12,20,.600,6,38,10,4,0,9,19,14,47,.298,4,14,.286,18,25,.720,3,35,7,4,10,8,18,73.4,78.1,63.7,.392,.314,.388,52.1,66.7,6.3,0.0,.343,12.9,15.8,.235,.340,12.0,91.4,.383
10,2014-12-20,@,Weber State,L,61,73,17,47,.362,3,12,.250,24,28,.857,7,32,9,7,1,13,18,22,54,.407,12,26,.462,17,18,.944,7,32,18,5,3,11,22,92.4,110.6,66.4,.596,.255,.506,50.0,52.9,10.6,3.6,.394,17.7,21.9,.511,.519,15.0,78.1,.315
11,2014-12-23,,Idaho State,W,51,47,18,49,.367,4,22,.182,11,13,.846,10,35,12,10,2,16,18,16,53,.302,3,15,.200,12,18,.667,13,33,10,12,2,16,17,81.0,74.6,62.9,.265,.449,.462,51.5,66.7,15.9,5.3,.408,22.5,33.3,.224,.330,20.6,65.8,.226
12,2014-12-27,,Sacramento State,L,49,74,18,55,.327,5,27,.185,8,11,.727,12,27,14,7,1,14,16,24,43,.558,10,17,.588,16,19,.842,5,31,13,8,0,13,13,80.3,121.3,61.1,.200,.491,.407,46.6,77.8,11.5,3.8,.373,18.9,31.6,.145,.674,20.0,75.0,.372
13,2014-12-30,,Bristol University,W,83,50,30,60,.500,6,20,.300,17,26,.654,15,47,20,5,1,14,20,18,54,.333,4,17,.235,10,17,.588,5,22,11,5,2,13,22,116.9,70.4,70.7,.433,.333,.574,68.1,66.7,7.0,2.7,.550,16.2,46.9,.283,.370,17.3,86.5,.185
14,2015-01-03,@,Arkansas,L,46,79,17,58,.293,8,27,.296,4,8,.500,3,28,10,3,2,15,18,27,67,.403,4,21,.190,21,25,.840,15,52,14,8,6,11,10,62.2,106.8,74.0,.138,.466,.372,35.0,58.8,4.1,4.3,.362,19.5,7.5,.069,.433,12.2,62.5,.313
15,2015-01-10,,Seattle,W,70,52,20,54,.370,8,23,.348,22,28,.786,15,36,16,5,2,9,20,20,48,.417,1,14,.071,11,15,.733,9,28,18,4,5,16,28,112.9,83.9,61.7,.519,.426,.520,56.3,80.0,8.1,5.9,.444,11.8,44.1,.407,.427,22.5,70.0,.229
16,2015-01-15,,Grand Canyon,L,74,83,24,57,.421,7,21,.333,19,23,.826,13,33,15,2,1,6,19,29,61,.475,8,25,.320,17,19,.895,13,36,19,3,1,7,23,119.4,133.9,62.5,.404,.368,.545,47.8,62.5,3.2,2.8,.482,8.1,36.1,.333,.541,9.1,60.6,.279
17,2015-01-22,@,Texas-Rio Grande Valley,W,72,54,27,48,.563,5,16,.313,13,19,.684,6,27,17,8,3,9,18,17,49,.347,5,14,.357,15,22,.682,7,24,11,4,2,13,16,114.3,85.7,62.7,.396,.333,.631,52.9,63.0,12.7,8.6,.615,13.6,26.1,.271,.398,17.9,75.0,.306
18,2015-01-24,@,New Mexico State,L,44,69,17,50,.340,4,15,.267,6,6,1.000,7,24,11,5,0,13,12,25,58,.431,8,17,.471,11,13,.846,16,38,13,7,4,8,8,75.9,119.0,57.5,.120,.300,.416,38.7,64.7,8.6,0.0,.380,19.7,24.1,.120,.500,11.1,51.5,.190
19,2015-01-29,,Chicago State,W,78,62,23,52,.442,9,20,.450,23,34,.676,14,42,16,2,5,9,18,22,61,.361,4,16,.250,14,17,.824,10,29,9,5,6,6,24,121.9,96.9,64.1,.654,.385,.572,59.2,69.6,3.1,11.1,.529,11.7,42.4,.442,.393,8.0,73.7,.230
20,2015-01-31,,UMKC,L,59,66,24,58,.414,7,26,.269,4,8,.500,12,36,19,2,6,14,19,21,51,.412,8,18,.444,16,25,.640,5,25,10,8,6,7,14,92.2,103.1,64.3,.138,.448,.477,59.0,79.2,3.1,18.2,.474,18.5,37.5,.069,.490,10.0,82.8,.314
21,2015-02-05,@,Cal State Bakersfield,L,69,72,25,57,.439,9,19,.474,10,12,.833,13,29,13,5,3,11,19,24,41,.585,6,12,.500,18,27,.667,4,21,13,4,2,11,16,113.1,118.0,60.8,.211,.333,.550,58.0,52.0,8.2,10.3,.518,14.9,43.3,.175,.659,17.0,80.0,.439
22,2015-02-07,@,Seattle,L,33,53,12,44,.273,0,17,.000,9,13,.692,6,28,4,4,4,13,17,20,49,.408,4,14,.286,9,14,.643,10,37,11,9,1,10,15,58.9,94.6,56.4,.295,.386,.329,43.1,33.3,7.1,11.4,.273,20.6,18.2,.205,.449,15.2,68.8,.184
23,2015-02-09,,St. Katherine,W,77,55,32,58,.552,6,19,.316,7,14,.500,6,44,19,4,6,19,9,21,67,.313,9,30,.300,4,5,.800,5,24,6,11,3,11,15,100.0,71.4,76.5,.241,.328,.596,64.7,59.4,5.2,16.2,.603,22.7,24.0,.121,.381,13.7,88.4,.060
24,2015-02-14,@,Grand Canyon,L,57,83,21,54,.389,6,22,.273,9,14,.643,5,21,11,1,0,7,15,34,55,.618,6,14,.429,9,11,.818,7,32,12,4,3,5,16,95.0,138.3,60.4,.259,.407,.470,39.6,52.4,1.7,0.0,.444,10.3,16.7,.167,.673,7.7,69.6,.164
25,2015-02-19,,New Mexico State,L,38,51,14,49,.286,1,16,.063,9,10,.900,8,23,11,4,4,10,14,18,44,.409,2,8,.250,13,16,.813,11,35,7,9,5,14,12,69.1,92.7,55.2,.204,.327,.353,39.7,78.6,7.3,11.1,.296,15.7,25.0,.184,.432,21.3,57.7,.295
26,2015-02-21,,Texas-Rio Grande Valley,W,72,49,28,51,.549,9,23,.391,7,9,.778,8,32,17,5,1,10,17,19,42,.452,4,13,.308,7,16,.438,3,20,11,6,0,10,10,126.3,86.0,56.9,.176,.451,.651,61.5,60.7,8.8,3.4,.637,15.3,32.0,.137,.500,16.8,88.9,.167
