G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-14,@,Butler,L,71,144,20,74,.270,10,47,.213,21,27,.778,8,21,9,5,1,20,28,56,88,.636,8,26,.308,24,33,.727,18,61,27,15,2,11,26,72.4,146.9,97.8,.365,.635,.409,25.6,45.0,5.1,1.6,.338,18.7,15.7,.284,.682,9.6,41.9,.273
2,2015-11-17,,Stetson,W,94,93,36,62,.581,6,18,.333,16,18,.889,4,30,16,4,5,11,20,39,71,.549,6,20,.300,9,13,.692,10,31,13,5,1,13,20,119.0,117.7,79.3,.290,.290,.666,49.2,44.4,5.1,9.8,.629,13.5,16.0,.258,.592,14.4,72.2,.127
3,2015-11-19,,Mid-Atlantic Christian,W,132,60,49,73,.671,19,34,.559,15,23,.652,7,33,37,16,2,10,26,21,57,.368,4,15,.267,14,25,.560,10,27,10,5,2,25,23,155.3,70.6,85.4,.315,.466,.786,55.0,75.5,18.8,4.8,.801,10.6,29.2,.205,.404,26.6,72.2,.246
4,2015-11-21,@,Presbyterian,L,79,95,27,66,.409,9,31,.290,16,17,.941,6,23,13,12,7,20,18,34,57,.596,7,13,.538,20,24,.833,6,31,15,7,2,20,15,92.9,111.8,85.2,.258,.470,.533,42.6,48.1,14.1,15.9,.477,21.3,19.4,.242,.658,22.6,73.9,.351
5,2015-11-25,,Georgia Southern,W,95,90,33,65,.508,18,41,.439,11,15,.733,6,28,26,7,5,17,28,28,67,.418,10,27,.370,24,32,.750,15,41,11,8,1,18,19,113.1,107.1,84.2,.231,.631,.659,40.6,78.8,8.3,12.5,.646,19.1,18.8,.169,.493,18.0,59.5,.358
6,2015-11-27,N,Bob Jones University,W (1 OT),121,81,46,89,.517,13,34,.382,16,23,.696,16,41,19,22,5,12,22,29,64,.453,6,19,.316,17,19,.895,12,41,16,5,3,34,19,127.4,85.3,89.6,.258,.382,.605,50.0,41.3,23.2,11.1,.590,10.7,35.6,.180,.500,31.8,67.6,.266
7,2015-11-28,@,USC Upstate,W,88,81,31,70,.443,16,43,.372,10,13,.769,9,32,24,9,6,10,19,28,63,.444,8,22,.364,17,25,.680,15,45,21,4,3,18,15,112.8,103.8,77.5,.186,.614,.578,41.6,77.4,11.5,14.6,.557,11.6,23.1,.143,.508,19.4,60.5,.270
8,2015-12-02,@,Air Force,L,93,97,31,72,.431,18,50,.360,13,15,.867,4,28,21,7,5,10,32,32,58,.552,4,13,.308,29,45,.644,8,43,25,6,1,12,13,110.7,115.5,84.3,.208,.694,.588,39.4,67.7,8.3,11.1,.556,11.2,10.3,.181,.586,13.1,75.0,.500
9,2015-12-05,,College of Charleston,L,74,82,28,67,.418,9,36,.250,9,12,.750,9,28,15,10,1,16,25,30,51,.588,2,13,.154,20,30,.667,5,29,14,8,3,20,16,92.5,102.5,80.0,.179,.537,.509,49.1,53.6,12.5,2.6,.485,18.0,27.3,.134,.608,23.5,79.2,.392
10,2015-12-08,,Voorhees,W,89,85,26,77,.338,10,41,.244,27,36,.750,23,43,14,7,3,19,21,29,59,.492,8,17,.471,19,26,.731,8,33,14,14,6,24,26,100.0,95.5,88.7,.468,.532,.473,56.6,53.8,7.9,7.1,.403,16.8,47.9,.351,.559,25.2,71.4,.322
