G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,,Grambling,W,61,53,14,45,.311,4,16,.250,29,42,.690,11,40,10,7,2,12,16,21,58,.362,8,29,.276,3,8,.375,8,32,11,7,2,14,26,91.0,79.1,66.9,.933,.356,.470,55.6,71.4,10.4,6.9,.356,15.6,31.4,.644,.431,18.5,78.4,.052
2,2015-11-16,,Charlotte,W,88,74,30,53,.566,7,11,.636,21,28,.750,7,35,16,7,4,14,16,28,63,.444,10,26,.385,8,13,.615,11,24,16,6,5,11,20,123.9,104.2,71.2,.528,.208,.664,59.3,53.3,9.9,10.8,.632,17.4,35.0,.396,.524,13.7,71.8,.127
3,2015-11-20,@,California,L,62,70,18,55,.327,5,15,.333,21,25,.840,9,23,10,6,1,10,26,24,55,.436,3,23,.130,19,31,.613,18,44,14,1,6,15,19,92.5,104.5,67.3,.455,.273,.464,34.3,55.6,9.0,3.1,.373,13.0,25.7,.382,.464,17.7,43.8,.345
4,2015-11-23,@,San Diego State,L,54,79,18,56,.321,7,21,.333,11,14,.786,9,28,8,4,3,12,23,26,53,.491,11,27,.407,16,25,.640,9,33,17,4,5,11,16,81.8,119.7,66.3,.250,.375,.431,45.9,44.4,6.1,11.5,.384,16.1,27.3,.196,.594,14.5,67.9,.302
5,2015-11-26,N,Little Rock,L,46,54,13,42,.310,6,17,.353,14,21,.667,5,35,10,3,3,22,19,15,57,.263,4,22,.182,20,22,.909,9,30,10,10,4,6,18,68.7,80.6,66.7,.500,.405,.443,53.8,76.9,4.5,8.6,.381,29.7,19.2,.333,.298,8.2,76.9,.351
6,2015-11-27,N,Stetson,W,93,73,33,61,.541,10,21,.476,17,18,.944,13,38,19,8,1,14,19,22,53,.415,8,26,.308,21,24,.875,7,20,12,9,1,14,11,131.0,102.8,71.0,.295,.344,.669,65.5,57.6,11.3,3.7,.623,16.8,50.0,.279,.491,17.9,78.1,.396
7,2015-12-01,,Florida Atlantic,W,74,48,32,59,.542,5,13,.385,5,11,.455,9,38,23,5,3,11,17,19,53,.358,5,23,.217,5,12,.417,6,27,16,3,4,12,13,113.8,73.8,65.5,.186,.220,.576,58.5,71.9,7.7,10.0,.585,14.6,30.0,.085,.406,17.0,82.9,.094
8,2015-12-04,,USC Upstate,W,82,71,27,50,.540,3,13,.231,25,32,.781,10,30,15,5,2,11,19,24,55,.436,13,27,.481,10,18,.556,11,28,19,7,2,16,25,122.4,106.0,67.4,.640,.260,.629,51.7,55.6,7.5,7.1,.570,14.4,37.0,.500,.555,20.1,64.5,.182
9,2015-12-07,@,College of Charleston,L,73,77,29,63,.460,5,16,.313,10,22,.455,10,37,14,3,4,9,22,25,56,.446,5,15,.333,22,29,.759,8,36,18,6,2,8,19,102.8,108.5,71.1,.349,.254,.497,50.7,48.3,4.2,9.8,.500,10.9,26.3,.159,.491,10.3,77.1,.393
10,2015-12-13,,North Carolina A&T,W,71,60,25,55,.455,4,19,.211,17,24,.708,11,35,16,6,3,10,16,21,53,.396,5,19,.263,13,17,.765,9,28,15,2,5,14,20,107.6,90.9,65.7,.436,.345,.535,55.6,64.0,9.1,8.8,.491,13.1,36.7,.309,.443,18.6,72.7,.245
11,2015-12-16,,UNC Wilmington,W,78,73,20,44,.455,3,10,.300,35,51,.686,4,35,16,3,1,15,20,28,69,.406,3,25,.120,14,21,.667,13,41,15,5,3,10,34,100.0,93.6,77.6,1.159,.227,.572,46.1,80.0,3.8,2.3,.489,18.0,12.5,.795,.428,11.2,70.5,.203
12,2015-12-20,@,James Madison,L,61,67,21,61,.344,11,37,.297,8,10,.800,9,31,14,4,2,6,12,26,56,.464,9,28,.321,6,8,.750,7,33,19,1,4,9,14,98.4,108.1,62.3,.164,.607,.464,48.4,66.7,6.5,7.1,.434,8.4,25.7,.131,.545,13.1,75.9,.107
13,2015-12-22,,South Carolina State,W,98,71,30,52,.577,16,30,.533,22,26,.846,8,36,24,6,3,16,14,29,66,.439,7,23,.304,6,8,.750,4,18,22,11,1,10,19,132.4,95.9,74.1,.500,.577,.761,66.7,80.0,8.1,7.0,.731,19.9,36.4,.423,.492,12.5,87.5,.091
14,2016-01-02,,UCF,L,68,71,23,66,.348,7,26,.269,15,23,.652,17,33,19,10,1,9,21,23,52,.442,4,18,.222,21,26,.808,12,38,12,5,7,18,17,97.1,101.4,69.6,.348,.394,.442,46.5,82.6,14.3,2.9,.402,10.5,39.5,.227,.481,21.9,57.1,.404
