G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,@,George Washington,L,76,85,20,60,.333,7,25,.280,29,33,.879,9,29,9,6,2,9,31,27,62,.435,2,17,.118,29,40,.725,18,48,13,7,7,10,26,102.7,114.9,74.3,.550,.417,.502,37.7,45.0,8.1,4.4,.392,10.6,23.1,.483,.452,11.0,52.6,.468
2,2015-11-15,,St. Peter's,W (1 OT),87,86,29,64,.453,11,22,.500,18,20,.900,6,31,16,7,6,9,25,30,71,.423,6,19,.316,20,29,.690,18,45,11,0,13,15,21,110.1,108.9,70.3,.313,.344,.592,40.8,55.2,8.9,11.5,.539,10.9,18.2,.281,.465,15.0,58.1,.282
3,2015-11-21,@,NJIT,L,66,80,23,59,.390,3,14,.214,17,25,.680,9,24,17,6,2,10,20,27,53,.509,7,21,.333,19,22,.864,7,33,21,3,4,15,21,91.7,111.1,71.7,.424,.237,.466,42.1,73.9,8.3,6.3,.415,12.4,25.7,.288,.575,19.1,68.2,.358
4,2015-11-23,@,La Salle,L,75,83,26,56,.464,5,15,.333,18,24,.750,6,22,20,7,3,13,18,30,63,.476,9,26,.346,14,18,.778,14,39,19,8,3,15,21,102.7,113.7,73.5,.429,.268,.556,36.1,76.9,9.6,8.1,.509,16.2,19.4,.321,.548,17.3,53.3,.222
5,2015-11-25,@,Princeton,L,52,104,20,58,.345,6,16,.375,6,15,.400,2,25,7,3,1,14,15,38,69,.551,17,35,.486,11,13,.846,8,49,25,9,4,10,16,67.5,135.1,77.2,.259,.276,.399,33.8,35.0,3.9,2.9,.397,17.7,4.7,.103,.674,11.7,74.2,.159
6,2015-11-29,,Penn,W,92,86,36,69,.522,7,25,.280,13,17,.765,9,35,13,5,3,7,19,31,66,.470,7,26,.269,17,27,.630,14,37,10,2,3,10,17,122.7,114.7,75.0,.246,.362,.597,48.6,36.1,6.7,7.5,.572,8.3,28.1,.188,.523,11.3,65.0,.258
7,2015-12-02,,St. Francis (NY),L,62,69,24,53,.453,2,13,.154,12,18,.667,7,26,15,6,1,13,17,25,54,.463,8,19,.421,11,20,.550,8,31,9,8,4,13,18,91.2,101.5,68.0,.340,.245,.504,45.6,62.5,8.8,2.9,.472,17.4,23.3,.226,.537,17.0,70.4,.204
8,2015-12-05,@,Cornell,L,67,85,25,61,.410,6,28,.214,11,15,.733,7,30,16,6,1,20,19,34,65,.523,5,20,.250,12,19,.632,7,35,15,15,2,14,16,82.7,104.9,81.1,.246,.459,.492,46.2,64.0,7.4,2.2,.459,22.7,20.0,.180,.562,15.9,76.7,.185
9,2015-12-09,,Fairleigh Dickinson,L (1 OT),89,91,26,62,.419,11,31,.355,26,34,.765,8,39,15,6,5,23,27,33,81,.407,6,16,.375,19,28,.679,16,43,16,11,4,13,27,96.7,98.9,82.0,.548,.500,.569,47.6,57.7,6.5,7.7,.508,22.7,22.9,.419,.444,12.1,66.0,.235
10,2015-12-12,@,Sacred Heart,W,90,86,27,45,.600,16,24,.667,20,28,.714,2,26,15,5,2,19,23,32,70,.457,6,26,.231,16,27,.593,14,36,15,9,1,11,23,115.4,110.3,77.2,.622,.533,.772,41.9,55.6,6.4,4.5,.778,24.6,8.3,.444,.500,11.7,63.2,.229
