G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,@,LSU,L,70,81,24,62,.387,5,23,.217,17,23,.739,9,37,7,4,2,10,24,28,61,.459,9,20,.450,16,32,.500,15,44,17,8,3,10,23,95.9,111.0,72.6,.371,.371,.480,45.7,29.2,5.5,4.9,.427,12.1,23.7,.274,.533,11.6,65.1,.262
2,2015-11-17,,Louisiana College,L,70,73,26,62,.419,5,20,.250,13,16,.813,13,39,15,11,6,19,29,19,55,.345,7,16,.438,28,34,.824,12,33,8,9,4,14,16,94.6,98.6,74.4,.258,.323,.503,54.2,57.7,14.9,15.4,.460,21.4,38.2,.210,.409,16.4,68.4,.509
3,2015-11-20,@,Oklahoma,L,56,85,22,65,.338,6,25,.240,6,11,.545,9,32,8,7,3,18,25,31,64,.484,11,25,.440,12,26,.462,10,42,14,10,2,13,12,70.9,107.6,79.3,.169,.385,.399,43.2,36.4,8.9,7.7,.385,20.4,22.0,.092,.570,14.5,69.7,.188
4,2015-11-25,,Dillard,W,80,79,31,62,.500,12,27,.444,6,8,.750,9,27,15,11,6,9,10,32,61,.525,12,22,.545,3,5,.600,10,30,22,2,1,12,10,121.2,119.7,65.6,.129,.435,.608,47.4,48.4,16.7,15.4,.597,12.0,31.0,.097,.623,15.9,64.3,.049
5,2015-11-28,,Texas State,L,67,70,24,57,.421,9,22,.409,10,18,.556,5,24,10,8,10,11,23,25,59,.424,2,10,.200,18,27,.667,14,45,11,5,3,17,16,91.8,95.9,73.2,.316,.386,.511,34.8,41.7,11.0,20.4,.500,14.4,13.9,.175,.441,19.1,57.6,.305
6,2015-11-30,@,Central Michigan,L,73,74,29,65,.446,6,19,.316,9,16,.563,12,33,9,8,4,9,20,23,52,.442,9,25,.360,19,25,.760,6,28,15,3,2,10,17,105.8,107.2,68.7,.246,.292,.503,54.1,31.0,11.6,14.8,.492,11.0,35.3,.138,.529,13.5,77.8,.365
7,2015-12-09,@,Louisiana,L,64,97,23,71,.324,7,22,.318,11,13,.846,14,36,8,3,5,20,13,38,74,.514,7,28,.250,14,17,.824,12,44,20,12,5,10,13,78.0,118.3,81.6,.183,.310,.415,45.0,34.8,3.7,10.9,.373,20.6,30.4,.155,.561,10.9,64.7,.189
8,2015-12-12,@,Indiana,L,60,105,20,63,.317,4,22,.182,16,20,.800,16,39,10,2,5,19,19,40,78,.513,13,28,.464,12,16,.750,18,44,21,9,6,8,17,78.9,138.2,75.6,.317,.349,.414,47.0,50.0,2.6,10.0,.349,20.8,38.1,.254,.596,8.5,56.1,.154
9,2015-12-16,,Louisiana State-Alexandria,W,77,72,21,57,.368,5,19,.263,30,37,.811,7,38,14,3,8,9,20,27,73,.370,4,22,.182,14,21,.667,14,43,15,6,8,8,24,100.0,93.5,76.8,.649,.333,.516,46.9,66.7,3.9,15.7,.412,10.8,19.4,.526,.397,8.8,68.9,.192
10,2015-12-22,@,UCLA,L,53,67,20,66,.303,8,25,.320,5,9,.556,8,31,13,7,4,8,19,28,65,.431,2,9,.222,9,19,.474,16,48,17,7,6,10,9,76.8,97.1,69.2,.136,.379,.377,39.2,65.0,10.1,7.1,.364,10.2,20.0,.076,.446,11.9,59.0,.138
