G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,@,Kansas,L,72,109,22,56,.393,7,21,.333,21,26,.808,3,26,8,6,1,21,35,34,61,.557,15,26,.577,26,34,.765,7,34,27,7,4,15,24,83.7,126.7,85.8,.464,.375,.527,43.3,36.4,7.0,2.9,.455,23.5,10.0,.375,.680,16.3,76.7,.426
2,2015-11-17,,Colorado Christian,W,85,70,29,59,.492,8,19,.421,19,24,.792,6,37,12,9,2,14,15,22,60,.367,6,20,.300,20,28,.714,8,31,9,7,1,12,17,109.0,89.7,77.9,.407,.322,.604,54.4,41.4,11.5,5.0,.559,16.6,20.7,.322,.417,14.1,79.5,.333
3,2015-11-21,,UMBC,L,72,81,26,57,.456,8,23,.348,12,18,.667,7,25,8,4,1,12,25,24,49,.490,7,22,.318,26,33,.788,9,35,15,2,1,11,18,104.3,117.4,68.6,.316,.404,.549,41.7,30.8,5.8,3.7,.526,15.5,21.2,.211,.561,14.5,66.7,.531
4,2015-11-22,,Austin Peay,L,76,91,24,52,.462,8,18,.444,20,22,.909,9,28,11,1,0,10,24,31,49,.633,9,19,.474,20,29,.690,5,25,14,4,2,10,17,115.2,137.9,65.6,.423,.346,.608,52.8,45.8,1.5,0.0,.538,13.8,31.0,.385,.724,13.7,79.2,.408
5,2015-11-25,,Omaha,L,85,105,25,63,.397,7,21,.333,28,36,.778,14,41,14,3,9,17,21,32,63,.508,8,20,.400,33,39,.846,5,29,17,11,7,11,24,100.0,123.5,85.3,.571,.333,.531,58.6,56.0,3.5,20.9,.452,17.5,36.8,.444,.571,11.9,84.4,.524
6,2015-11-29,@,Colorado,L,52,82,20,62,.323,1,7,.143,11,18,.611,9,27,5,10,2,9,23,26,54,.481,10,23,.435,20,30,.667,12,44,17,3,8,16,13,73.2,115.5,71.4,.290,.113,.369,38.0,25.0,14.1,6.5,.331,11.3,22.0,.177,.574,19.0,60.0,.370
7,2015-12-03,@,UC-Riverside,L,66,77,24,65,.369,7,18,.389,11,17,.647,10,30,7,4,3,10,21,25,56,.446,9,24,.375,18,26,.692,7,37,17,4,3,12,16,90.4,105.5,73.2,.262,.277,.452,44.8,29.2,5.5,9.4,.423,12.0,25.0,.169,.527,14.9,74.1,.321
8,2015-12-09,,York (NE),W,91,58,36,74,.486,10,18,.556,9,12,.750,17,49,16,6,2,11,12,22,62,.355,11,26,.423,3,5,.600,7,26,14,5,3,12,11,126.4,80.6,71.5,.162,.243,.571,65.3,44.4,8.3,5.6,.554,12.1,47.2,.122,.444,15.7,82.1,.048
9,2015-12-13,,Colorado State,W,73,64,24,48,.500,8,18,.444,17,27,.630,5,32,12,7,5,15,24,22,57,.386,7,23,.304,13,21,.619,5,26,11,2,3,12,21,101.4,88.9,72.4,.563,.375,.600,55.2,50.0,9.7,14.7,.583,19.8,19.2,.354,.447,15.2,84.4,.228
10,2015-12-16,,Denver,L,77,81,23,50,.460,7,14,.500,24,32,.750,8,29,11,3,3,11,28,20,41,.488,8,18,.444,33,41,.805,2,23,18,4,3,8,25,114.9,120.9,67.3,.640,.280,.590,55.8,47.8,4.5,13.0,.530,14.4,27.6,.480,.585,11.7,91.3,.805
11,2015-12-21,@,Jacksonville State,L,76,79,28,52,.538,4,12,.333,16,23,.696,9,28,10,4,5,12,24,26,56,.464,6,18,.333,21,25,.840,10,26,9,3,3,7,19,116.9,121.5,65.4,.442,.231,.604,51.9,35.7,6.2,13.2,.577,16.0,36.0,.308,.518,9.3,65.5,.375
12,2015-12-23,N,Mississippi State,L,69,93,26,55,.473,8,19,.421,9,13,.692,6,24,8,6,2,18,20,32,55,.582,8,23,.348,21,26,.808,7,27,21,12,4,10,17,95.8,129.2,71.8,.236,.345,.564,47.1,30.8,8.3,6.3,.545,22.7,23.1,.164,.655,12.9,72.0,.382
13,2015-12-31,,Eastern Washington,W,96,90,40,65,.615,9,13,.692,7,15,.467,11,36,16,1,4,12,22,33,70,.471,7,21,.333,17,22,.773,14,30,7,3,1,7,14,131.5,123.3,73.3,.231,.200,.666,54.5,40.0,1.4,8.2,.685,14.3,40.7,.108,.521,8.0,64.1,.243
14,2016-01-02,,Idaho,L,70,75,22,53,.415,11,30,.367,15,18,.833,4,24,15,5,3,15,22,21,48,.438,10,22,.455,23,27,.852,7,32,14,5,2,15,19,98.6,105.6,70.7,.340,.566,.569,42.9,68.2,7.0,11.5,.519,19.6,13.8,.283,.542,19.8,74.1,.479
15,2016-01-07,@,Idaho State,L,78,83,28,60,.467,6,19,.316,16,20,.800,6,26,11,9,2,13,31,24,48,.500,7,19,.368,28,39,.718,10,35,9,9,2,19,19,102.6,109.2,76.0,.333,.317,.561,42.6,39.3,11.8,6.9,.517,15.8,19.4,.267,.573,22.2,66.7,.583
16,2016-01-09,@,Weber State,L,68,85,23,51,.451,4,13,.308,18,34,.529,9,34,9,3,1,11,28,28,56,.500,6,19,.316,23,34,.676,11,39,13,6,4,9,25,97.1,121.4,69.7,.667,.255,.506,46.6,39.1,4.3,2.7,.490,14.1,24.3,.353,.554,11.1,69.4,.411
17,2016-01-14,,Montana,L,66,73,19,49,.388,2,15,.133,26,36,.722,4,26,7,3,1,12,27,23,50,.460,4,21,.190,23,33,.697,8,33,11,5,4,14,27,90.4,100.0,72.9,.735,.306,.499,44.1,36.8,4.1,3.4,.408,15.4,13.8,.531,.500,17.6,73.3,.460
18,2016-01-16,,Montana State,W,78,76,27,57,.474,7,18,.389,17,23,.739,7,31,16,4,4,10,19,28,66,.424,11,27,.407,9,12,.750,11,34,12,3,4,10,22,109.9,107.0,70.8,.404,.316,.574,47.7,59.3,5.6,10.3,.535,12.8,23.3,.298,.508,12.2,68.6,.136
19,2016-01-21,@,Southern Utah,W,90,80,27,52,.519,5,10,.500,31,41,.756,7,43,5,4,3,12,18,28,63,.444,14,32,.438,10,20,.500,3,23,21,4,4,8,28,116.9,103.9,77.0,.788,.192,.630,65.2,18.5,5.2,9.7,.567,14.4,25.9,.596,.556,9.9,92.3,.159
20,2016-01-23,@,Northern Arizona,W,84,79,27,59,.458,6,16,.375,24,30,.800,14,46,9,6,1,14,24,27,60,.450,9,28,.321,16,24,.667,4,24,17,5,1,9,21,112.0,105.3,74.8,.508,.271,.573,65.7,33.3,8.0,3.1,.508,16.0,41.2,.407,.525,11.2,88.9,.267
21,2016-01-30,,North Dakota,W,71,70,26,56,.464,6,22,.273,13,19,.684,9,33,12,9,1,14,18,26,53,.491,5,13,.385,13,17,.765,3,28,12,8,2,16,22,98.6,97.2,72.1,.339,.393,.546,54.1,46.2,12.5,2.5,.518,17.7,26.5,.232,.538,20.8,88.9,.245
22,2016-02-04,,Weber State,L,54,64,21,53,.396,3,10,.300,9,15,.600,7,28,6,9,1,14,19,23,53,.434,9,24,.375,9,12,.750,9,36,13,6,6,17,18,80.6,95.5,66.9,.283,.189,.449,43.8,28.6,13.4,3.4,.425,18.9,20.6,.170,.519,22.5,70.0,.170
23,2016-02-06,,Idaho State,L,57,90,23,54,.426,2,18,.111,9,21,.429,7,24,9,7,4,13,15,32,55,.582,13,20,.650,13,16,.813,5,31,15,6,4,9,17,83.8,132.4,68.3,.389,.333,.445,43.6,39.1,10.3,11.4,.444,16.9,21.2,.167,.700,12.6,77.3,.236
24,2016-02-11,@,Idaho,L,67,73,21,49,.429,10,22,.455,15,20,.750,6,18,8,9,4,11,28,20,42,.476,8,14,.571,25,30,.833,9,27,13,3,3,16,23,106.3,115.9,63.4,.408,.449,.573,40.0,38.1,14.3,14.3,.531,15.8,25.0,.306,.571,22.1,57.1,.595
25,2016-02-13,@,Eastern Washington,L,80,97,27,63,.429,5,17,.294,21,23,.913,10,29,15,8,1,15,22,33,59,.559,14,32,.438,17,23,.739,8,34,21,8,7,15,19,102.6,124.4,77.9,.365,.270,.541,46.0,55.6,10.3,3.7,.468,16.9,27.8,.333,.678,17.7,70.4,.288
26,2016-02-20,@,North Dakota,L,73,74,21,43,.488,8,20,.400,23,33,.697,4,33,10,3,3,22,23,25,60,.417,5,21,.238,19,28,.679,8,30,15,12,1,11,26,96.1,97.4,76.5,.767,.465,.622,52.4,47.6,3.9,7.7,.581,27.3,15.4,.535,.458,13.0,78.4,.317
27,2016-02-25,,Sacramento State,W,72,67,21,50,.420,6,16,.375,24,31,.774,5,31,9,6,2,10,18,24,53,.453,7,20,.350,12,15,.800,4,28,13,3,2,12,23,104.3,97.1,68.9,.620,.320,.556,52.5,42.9,8.7,6.1,.480,13.4,17.2,.480,.519,16.6,86.7,.226
28,2016-02-27,,Portland State,L,86,89,30,55,.545,10,18,.556,16,19,.842,3,27,17,8,1,18,23,32,56,.571,7,16,.438,18,30,.600,4,24,17,9,2,9,22,111.7,115.6,77.1,.345,.327,.672,52.9,56.7,10.4,2.5,.636,21.9,13.0,.291,.634,11.4,85.7,.321
29,2016-03-03,@,Montana State,L,63,81,23,56,.411,7,22,.318,10,16,.625,12,34,7,3,3,14,22,25,59,.424,9,25,.360,22,24,.917,8,28,11,7,1,7,21,92.6,119.1,67.5,.286,.393,.495,54.8,30.4,4.4,8.8,.473,18.0,37.5,.179,.500,9.0,73.3,.373
30,2016-03-05,@,Montana,W,78,72,21,44,.477,7,17,.412,29,32,.906,6,24,3,7,2,13,27,19,48,.396,12,31,.387,22,29,.759,12,27,11,3,3,14,28,120.0,110.8,65.0,.727,.386,.659,47.1,14.3,10.8,11.8,.557,18.0,28.6,.659,.521,18.5,60.0,.458
31,2016-03-08,N,Portland State,L,67,74,26,64,.406,6,21,.286,9,13,.692,13,36,14,11,2,15,25,24,52,.462,3,15,.200,23,31,.742,10,35,15,9,2,14,16,94.4,104.2,71.5,.203,.328,.477,50.7,53.8,15.5,5.4,.453,17.6,34.2,.141,.490,17.3,69.7,.442
