G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,,Brown,W,77,65,27,67,.403,6,22,.273,17,31,.548,11,43,12,8,1,7,19,21,61,.344,7,33,.212,16,22,.727,8,42,13,4,4,14,24,98.7,83.3,77.6,.463,.328,.471,50.6,44.4,10.3,3.6,.448,7.9,24.4,.254,.402,16.4,80.0,.262
2,2015-11-15,@,Lafayette,L (1 OT),86,87,30,71,.423,6,19,.316,20,29,.690,18,45,11,0,13,15,21,29,64,.453,11,22,.500,18,20,.900,6,31,16,7,6,9,25,108.9,110.1,70.3,.408,.268,.507,59.2,36.7,0.0,31.0,.465,15.0,41.9,.282,.539,10.9,81.8,.281
3,2015-11-19,,Hartford,L,66,67,25,63,.397,6,18,.333,10,15,.667,15,38,15,2,6,10,15,25,55,.455,9,20,.450,8,11,.727,5,26,7,5,4,10,18,101.5,103.1,65.2,.238,.286,.471,59.4,60.0,3.1,17.1,.444,12.5,41.7,.159,.536,14.2,82.1,.145
4,2015-11-21,@,Princeton,L,72,75,26,60,.433,8,23,.348,12,19,.632,6,33,11,3,3,10,28,25,56,.446,5,18,.278,20,38,.526,9,39,9,4,3,10,18,97.3,101.4,74.0,.317,.383,.522,45.8,42.3,4.1,7.9,.500,12.7,16.7,.200,.491,11.9,75.0,.357
5,2015-11-28,@,Fairleigh Dickinson,L,62,77,24,52,.462,8,23,.348,6,11,.545,6,20,11,11,1,17,16,28,51,.549,8,16,.500,13,15,.867,7,29,16,9,2,17,16,91.2,113.2,68.2,.212,.442,.542,40.8,45.8,16.2,2.9,.538,22.9,21.4,.115,.627,22.6,66.7,.255
6,2015-12-02,@,Rider,W,73,61,27,56,.482,10,23,.435,9,12,.750,11,35,15,8,2,16,20,20,46,.435,11,23,.478,10,19,.526,4,23,13,8,2,15,17,110.6,92.4,66.4,.214,.411,.592,60.3,55.6,12.1,8.7,.571,20.6,36.7,.161,.554,21.4,85.7,.217
7,2015-12-06,,Siena,W,72,68,21,54,.389,6,22,.273,24,33,.727,9,33,10,3,0,15,25,22,55,.400,3,13,.231,21,32,.656,8,31,9,8,6,14,29,94.7,89.5,75.9,.611,.407,.517,51.6,47.6,3.9,0.0,.444,17.7,28.1,.444,.427,16.6,75.0,.382
8,2015-12-13,@,Seton Hall,L,46,72,18,55,.327,3,16,.188,7,15,.467,12,33,7,6,4,13,11,29,58,.500,10,19,.526,4,10,.400,9,31,14,9,6,13,14,70.8,110.8,64.9,.273,.291,.370,51.6,38.9,9.2,10.3,.355,17.3,35.3,.127,.586,17.2,70.0,.069
9,2015-12-19,@,George Washington,L,74,87,26,51,.510,9,21,.429,13,20,.650,2,22,15,6,2,11,20,32,58,.552,8,18,.444,15,21,.714,8,34,17,6,3,8,19,107.2,126.1,68.7,.392,.412,.612,39.3,57.7,8.7,5.0,.598,15.4,7.1,.255,.621,10.5,71.4,.259
10,2015-12-23,,St. Francis (NY),W,56,45,19,48,.396,2,10,.200,16,28,.571,9,32,9,6,2,16,15,16,45,.356,4,22,.182,9,18,.500,5,27,5,4,5,20,26,82.4,66.2,68.4,.583,.208,.457,54.2,47.4,8.8,8.7,.417,20.7,29.0,.333,.400,27.2,82.1,.200
