G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,,Arkansas-Pine Bluff,L,56,58,17,49,.347,6,16,.375,16,28,.571,7,38,12,5,0,15,17,20,55,.364,7,30,.233,11,16,.688,8,35,12,8,6,11,23,82.4,85.3,68.0,.571,.327,.449,52.1,70.6,7.4,0.0,.408,19.4,20.6,.327,.427,14.9,79.5,.200
2,2015-11-15,,Sacramento State,L,65,77,24,68,.353,4,27,.148,13,23,.565,19,47,12,5,2,16,21,27,64,.422,9,29,.310,14,27,.519,12,36,18,8,2,10,24,86.7,102.7,75.4,.338,.397,.412,56.6,50.0,6.7,5.7,.382,16.9,44.2,.191,.492,11.5,70.0,.219
3,2015-11-18,@,Eastern Washington,L,70,76,26,51,.510,9,15,.600,9,13,.692,5,28,18,3,1,10,19,25,56,.446,15,34,.441,11,16,.688,8,28,16,3,4,7,15,112.9,122.6,62.4,.255,.294,.612,50.0,69.2,4.8,4.5,.598,14.9,20.0,.176,.580,9.9,74.2,.196
4,2015-11-23,,Eastern Washington,W,58,52,21,47,.447,1,5,.200,15,30,.500,8,35,11,8,0,13,11,20,52,.385,9,29,.310,3,5,.600,6,30,13,4,5,18,27,87.9,78.8,66.3,.638,.106,.473,53.8,52.4,12.1,0.0,.457,17.5,25.0,.319,.471,24.9,81.8,.058
5,2015-11-25,,Great Falls,W,58,48,22,49,.449,3,8,.375,11,17,.647,11,36,15,8,3,20,9,19,57,.333,4,16,.250,6,8,.750,6,23,10,15,2,12,16,87.9,72.7,66.4,.347,.163,.508,61.0,68.2,12.1,7.3,.480,25.9,39.3,.224,.368,16.5,80.6,.105
6,2015-12-01,@,California,L,52,66,23,66,.348,4,11,.364,2,4,.500,10,31,13,4,3,7,24,23,57,.404,6,21,.286,14,25,.560,17,45,12,2,10,14,13,80.0,101.5,65.4,.061,.167,.383,40.8,56.5,6.2,8.3,.379,9.3,26.3,.030,.456,16.9,55.3,.246
7,2015-12-04,,Cal State Fullerton,L,61,70,19,52,.365,7,19,.368,16,20,.800,9,37,10,4,1,19,19,24,65,.369,9,32,.281,13,18,.722,11,34,10,10,1,10,17,84.7,97.2,72.0,.385,.365,.496,52.1,52.6,5.6,3.0,.433,23.6,28.1,.308,.438,12.0,71.8,.200
8,2015-12-06,,Mississippi Valley State,W,84,72,32,67,.478,9,24,.375,11,16,.688,7,41,25,6,4,18,12,26,66,.394,9,25,.360,11,18,.611,5,29,12,11,3,13,22,100.0,85.7,84.1,.239,.358,.563,58.6,78.1,7.1,9.8,.545,19.4,22.6,.164,.462,14.8,87.2,.167
9,2015-12-13,@,Alabama-Birmingham,L,73,79,27,51,.529,9,17,.529,10,11,.909,9,27,15,5,0,17,17,30,60,.500,10,25,.400,9,12,.750,12,25,22,9,7,10,14,114.1,123.4,64.0,.216,.333,.649,51.9,55.6,7.8,0.0,.618,23.2,40.9,.196,.583,13.2,60.0,.150
10,2015-12-17,N,Northwest Indian College,W,98,36,40,71,.563,9,21,.429,9,14,.643,15,56,27,13,0,20,13,13,59,.220,8,27,.296,2,6,.333,3,16,9,12,0,23,14,119.5,43.9,82.3,.197,.296,.631,77.8,67.5,15.9,0.0,.627,20.5,53.6,.127,.288,27.1,93.2,.034
