G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,,San Diego,W,83,45,32,67,.478,6,21,.286,13,18,.722,12,52,15,4,11,14,23,15,61,.246,6,31,.194,9,26,.346,13,34,7,3,5,11,19,112.2,60.8,74.5,.269,.313,.549,60.5,46.9,5.4,36.7,.522,15.6,36.4,.194,.295,13.0,75.5,.148
2,2015-11-16,,Monmouth,W,101,90,36,71,.507,7,20,.350,22,33,.667,13,39,14,5,6,9,23,30,69,.435,10,26,.385,20,24,.833,11,31,12,4,6,12,29,123.2,109.8,82.0,.465,.282,.583,55.7,38.9,6.1,14.0,.556,9.4,39.4,.310,.507,13.0,70.3,.290
3,2015-11-21,,New Mexico,W,90,82,29,57,.509,12,25,.480,20,31,.645,8,36,21,5,11,11,15,31,80,.388,10,25,.400,10,15,.667,21,45,14,5,5,11,20,118.4,107.9,75.9,.544,.439,.627,44.4,72.4,6.6,20.0,.614,13.3,25.0,.351,.450,11.2,57.1,.125
4,2015-11-23,,Cal State Northridge,W,96,61,37,76,.487,13,30,.433,9,11,.818,16,53,26,5,5,15,17,22,64,.344,1,14,.071,16,25,.640,12,32,9,9,3,10,18,124.7,79.2,77.1,.145,.395,.591,62.4,70.3,6.5,10.0,.572,15.6,44.4,.118,.352,11.6,75.5,.250
5,2015-11-26,N,Wichita State,W,72,69,25,55,.455,12,23,.522,10,17,.588,8,32,15,11,8,23,14,26,74,.351,9,29,.310,8,10,.800,16,37,14,13,4,15,16,92.3,88.5,77.9,.309,.418,.571,46.4,60.0,14.1,17.8,.564,26.7,27.6,.182,.412,16.0,60.0,.108
6,2015-11-27,N,Xavier,L,77,87,29,63,.460,9,20,.450,10,13,.769,6,26,11,7,2,12,26,29,62,.468,7,22,.318,22,29,.759,11,38,15,6,4,12,19,101.3,114.5,76.0,.206,.317,.557,40.6,37.9,9.2,5.0,.532,14.8,18.2,.159,.524,13.7,64.5,.355
7,2015-11-29,N,Monmouth,L,73,83,25,70,.357,3,22,.136,20,33,.606,13,45,6,5,5,10,20,26,64,.406,12,30,.400,19,22,.864,7,42,13,5,3,12,26,90.1,102.5,81.1,.471,.314,.426,51.7,24.0,6.2,14.7,.379,10.5,27.1,.286,.500,13.9,82.1,.297
8,2015-12-03,@,UCSB,W,75,63,25,64,.391,7,24,.292,18,23,.783,14,42,16,7,8,10,11,25,59,.424,10,19,.526,3,6,.500,4,24,19,2,2,13,17,105.6,88.7,70.9,.359,.375,.501,63.6,64.0,9.9,20.0,.445,11.8,41.2,.281,.508,17.4,87.5,.051
9,2015-12-07,,Idaho,W,74,55,26,56,.464,12,28,.429,10,18,.556,8,24,17,10,5,12,12,23,57,.404,5,23,.217,4,7,.571,14,39,5,4,0,21,19,108.8,80.9,67.9,.321,.500,.573,38.1,65.4,14.7,14.7,.571,15.7,24.2,.179,.447,25.8,53.3,.070
10,2015-12-13,,Yale,W,68,56,23,53,.434,4,13,.308,18,25,.720,11,30,9,9,6,10,12,23,55,.418,5,19,.263,5,9,.556,10,24,11,7,0,14,18,106.3,87.5,63.6,.472,.245,.524,55.6,39.1,14.1,16.7,.472,13.4,44.0,.340,.464,19.1,65.5,.091
11,2015-12-17,,Cal Poly,W,101,82,36,64,.563,12,23,.522,17,28,.607,8,35,22,7,3,13,20,29,67,.433,8,17,.471,16,23,.696,9,30,15,11,3,10,22,124.7,101.2,80.6,.438,.359,.653,53.8,61.1,8.6,6.0,.656,14.4,27.6,.266,.493,11.4,75.0,.239
12,2015-12-21,,SIU-Edwardsville,W,70,51,24,65,.369,4,14,.286,18,29,.621,14,46,10,10,10,14,13,19,68,.279,2,21,.095,11,13,.846,13,37,7,4,5,18,25,88.6,64.6,79.0,.446,.215,.444,55.4,41.7,12.7,21.3,.400,15.1,36.8,.277,.294,19.5,71.1,.162
13,2015-12-23,,Lafayette,W,100,64,41,75,.547,13,21,.619,5,6,.833,12,41,27,8,3,7,10,26,72,.361,9,28,.321,3,4,.750,15,30,14,4,2,10,8,140.8,90.1,70.9,.080,.280,.642,57.7,65.9,11.3,6.8,.633,8.2,44.4,.067,.424,11.9,65.9,.042
14,2016-01-01,@,Washington State,W,90,77,36,68,.529,8,16,.500,10,17,.588,7,38,11,5,4,12,16,29,68,.426,5,16,.313,14,18,.778,6,32,12,3,3,11,16,111.1,95.1,81.3,.250,.235,.592,54.3,30.6,6.2,7.7,.588,13.6,21.2,.147,.463,12.6,83.8,.206
15,2016-01-03,@,Washington,L,85,87,31,66,.470,8,17,.471,15,25,.600,12,47,19,7,8,20,28,27,81,.333,9,25,.360,24,34,.706,18,42,11,15,8,11,22,96.6,98.9,88.0,.379,.258,.546,52.8,61.3,8.0,14.3,.530,20.4,33.3,.227,.389,10.2,66.0,.296
16,2016-01-07,,Arizona State,W,75,65,27,55,.491,7,16,.438,14,20,.700,7,39,17,5,9,14,15,26,68,.382,7,25,.280,6,15,.400,9,31,8,5,5,9,19,102.7,89.0,73.3,.364,.291,.581,55.7,63.0,6.8,20.9,.555,17.8,24.1,.255,.434,10.7,78.0,.088
17,2016-01-09,,Arizona,W (4 OT),103,101,34,79,.430,9,24,.375,26,33,.788,9,36,15,10,10,11,20,40,81,.494,10,23,.435,11,16,.688,12,40,15,7,10,19,23,107.3,105.2,64.1,.418,.304,.544,47.4,44.1,10.4,17.2,.487,10.4,24.3,.329,.556,17.7,69.2,.136
18,2016-01-13,@,UCLA,W,89,75,31,68,.456,9,20,.450,18,23,.783,14,42,14,4,3,8,17,31,70,.443,4,19,.211,9,15,.600,12,36,19,2,1,9,22,120.3,101.4,73.5,.338,.294,.564,53.8,45.2,5.4,5.9,.522,9.2,36.8,.265,.471,10.4,70.0,.129
19,2016-01-21,@,Oregon,L,81,89,29,66,.439,8,28,.286,15,24,.625,9,35,14,4,3,9,20,33,68,.485,8,18,.444,15,24,.625,11,38,17,5,7,11,21,103.8,114.1,78.4,.364,.424,.523,47.9,48.3,5.1,6.0,.500,10.4,25.0,.227,.544,12.2,70.3,.221
