G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,@,Baylor,L,55,97,17,52,.327,5,23,.217,16,28,.571,5,22,16,3,3,13,24,36,56,.643,9,16,.563,16,23,.696,5,35,31,6,1,8,24,76.4,134.7,71.6,.538,.442,.421,38.6,94.1,4.2,7.5,.375,16.6,14.3,.308,.723,10.7,77.3,.286
2,2015-11-17,@,Northern Iowa,L,60,70,22,62,.355,6,21,.286,10,10,1.000,7,27,10,6,2,10,24,23,44,.523,7,17,.412,17,22,.773,2,33,10,2,4,15,16,87.0,101.4,68.6,.161,.339,.449,45.0,45.5,8.7,7.4,.403,13.0,18.4,.161,.602,21.6,90.9,.386
3,2015-11-22,,Louisiana State-Shreveport,W,88,64,29,58,.500,8,21,.381,22,33,.667,9,34,21,12,5,11,17,26,62,.419,4,14,.286,8,11,.727,7,27,10,9,3,18,21,114.3,83.1,77.0,.569,.362,.597,55.7,72.4,15.6,10.4,.569,13.0,31.0,.379,.452,21.1,78.1,.129
4,2015-11-26,N,Western Michigan,W,79,71,22,62,.355,9,27,.333,26,28,.929,12,36,14,13,4,12,24,26,59,.441,8,15,.533,11,15,.733,9,35,10,3,4,21,25,102.6,92.2,76.7,.452,.435,.525,50.7,63.6,16.9,9.1,.427,13.7,31.6,.419,.508,24.1,72.7,.186
5,2015-11-27,N,Tulane,L,59,60,21,53,.396,7,20,.350,10,12,.833,6,27,10,5,6,11,21,20,51,.392,7,15,.467,13,20,.650,11,35,14,3,4,15,16,92.2,93.8,64.1,.226,.377,.503,43.5,47.6,7.8,16.7,.462,15.8,20.0,.189,.461,19.9,65.6,.255
6,2015-11-29,N,Appalachian State,W,94,84,35,56,.625,5,16,.313,19,31,.613,11,23,21,11,2,14,27,31,46,.674,5,11,.455,17,20,.850,5,19,12,6,0,25,27,125.3,112.0,75.0,.554,.286,.665,54.8,60.0,14.7,5.7,.670,16.5,44.0,.339,.728,31.1,70.6,.370
7,2015-12-05,,Texas Southern,W,66,62,23,58,.397,10,23,.435,10,11,.909,10,25,15,6,2,13,21,24,49,.490,4,14,.286,10,17,.588,10,31,14,6,4,20,19,98.5,92.5,66.7,.190,.397,.522,44.6,65.2,9.0,5.7,.483,17.1,32.3,.172,.531,25.9,60.0,.204
8,2015-12-08,,Henderson State,W,87,54,34,76,.447,11,29,.379,8,13,.615,19,41,22,14,4,12,14,21,49,.429,6,21,.286,6,12,.500,7,25,15,7,5,27,18,116.0,72.0,74.9,.171,.382,.529,62.1,64.7,18.7,14.3,.520,12.7,51.4,.105,.490,33.0,75.9,.122
9,2015-12-12,,Arkansas Tech,W,86,48,33,78,.423,9,30,.300,11,19,.579,24,48,23,13,9,10,21,18,50,.360,4,18,.222,8,20,.400,10,35,6,5,4,25,19,116.2,64.9,73.8,.244,.385,.494,57.8,69.7,17.6,28.1,.481,10.3,49.0,.141,.400,29.6,70.6,.160
10,2015-12-19,,Our Lady of the Lake,W,95,56,34,67,.507,3,16,.188,24,34,.706,12,43,25,17,4,12,22,19,55,.345,6,21,.286,12,22,.545,5,31,12,4,3,23,25,114.5,67.5,83.3,.507,.239,.571,58.1,73.5,20.5,11.8,.530,12.6,31.6,.358,.400,26.0,86.1,.218
11,2015-12-22,@,Arizona State,L,73,80,28,62,.452,8,30,.267,9,11,.818,10,28,16,9,1,13,28,25,51,.490,8,24,.333,22,30,.733,10,33,15,3,1,17,19,102.8,112.7,71.2,.177,.484,.543,45.9,57.1,12.7,3.7,.516,16.2,30.3,.145,.569,20.7,64.3,.431
12,2015-12-29,@,Alabama-Birmingham,L,66,76,27,65,.415,8,28,.286,4,7,.571,9,25,18,10,5,8,21,25,52,.481,5,13,.385,21,27,.778,10,39,18,3,4,16,14,95.7,110.1,69.1,.108,.431,.483,39.1,66.7,14.5,12.8,.477,10.5,23.7,.062,.529,19.8,61.5,.404
13,2016-01-02,,McNeese State,W,86,57,32,67,.478,12,26,.462,10,17,.588,17,44,24,8,4,10,16,20,50,.400,8,18,.444,9,16,.563,3,22,8,4,4,16,21,124.6,82.6,69.3,.254,.388,.573,66.7,75.0,11.6,12.5,.567,11.8,47.2,.149,.480,21.7,90.0,.180
14,2016-01-04,@,Southeastern Louisiana,W,89,69,33,64,.516,13,29,.448,10,12,.833,10,32,24,5,2,8,27,20,45,.444,6,20,.300,23,33,.697,6,25,11,5,2,11,16,132.8,103.0,66.7,.188,.453,.638,56.1,72.7,7.5,8.0,.617,10.3,34.5,.156,.511,15.3,78.6,.511
15,2016-01-12,,Central Arkansas,W,85,64,29,58,.500,5,13,.385,22,33,.667,11,30,15,12,6,13,12,27,59,.458,7,16,.438,3,7,.429,10,32,10,8,5,24,26,111.8,84.2,76.0,.569,.224,.577,48.4,51.7,15.8,14.0,.543,15.0,33.3,.379,.517,27.8,65.5,.051
16,2016-01-16,,Abilene Christian,W,97,62,39,54,.722,12,15,.800,7,14,.500,7,28,28,3,5,10,18,25,49,.510,4,17,.235,8,18,.444,6,17,15,4,2,14,16,149.2,95.4,64.6,.259,.278,.800,62.2,71.8,4.6,15.6,.833,14.2,38.9,.130,.551,19.6,77.8,.163
17,2016-01-18,@,New Orleans,W,82,58,30,50,.600,11,18,.611,11,15,.733,5,29,19,7,3,16,25,17,48,.354,4,17,.235,20,27,.741,8,26,12,5,2,18,16,118.8,84.1,69.5,.300,.360,.718,52.7,63.3,10.1,9.7,.710,21.9,21.7,.220,.396,22.8,75.0,.417
18,2016-01-23,,Sam Houston State,W,76,64,25,49,.510,8,21,.381,18,23,.783,6,32,17,8,1,14,20,23,53,.434,6,14,.429,12,18,.667,8,26,12,7,2,16,23,110.1,92.8,68.7,.469,.429,.634,55.2,68.0,11.6,2.6,.592,18.9,25.0,.367,.491,20.6,76.5,.226
19,2016-01-25,,Lamar,W,86,52,36,58,.621,5,16,.313,9,16,.563,5,35,26,8,4,14,23,20,54,.370,2,16,.125,10,20,.500,8,26,8,7,1,22,19,113.2,68.4,76.1,.276,.276,.655,57.4,72.2,10.5,10.5,.664,17.6,21.7,.155,.389,25.7,78.9,.185
20,2016-01-30,@,Texas A&M-Corpus Christi,W,66,61,25,55,.455,5,20,.250,11,14,.786,13,31,11,4,2,13,16,21,52,.404,6,20,.300,13,18,.722,10,24,8,9,5,11,19,106.5,98.4,61.6,.255,.364,.535,56.4,44.0,6.5,6.3,.500,17.4,48.1,.200,.462,15.4,64.3,.250
21,2016-02-06,@,Houston Baptist,W,72,66,26,57,.456,5,18,.278,15,18,.833,14,32,16,7,2,18,20,25,51,.490,2,8,.250,14,19,.737,10,27,9,7,1,17,20,105.9,97.1,68.3,.316,.316,.549,54.2,61.5,10.3,4.7,.500,21.5,45.2,.263,.510,22.1,64.3,.275
22,2016-02-08,,Northwestern State,W,83,72,35,65,.538,3,14,.214,10,17,.588,10,30,27,11,6,15,20,25,51,.490,4,12,.333,18,22,.818,4,22,13,9,3,23,22,105.1,91.1,79.3,.262,.215,.568,57.7,77.1,13.9,15.4,.562,17.0,35.7,.154,.529,27.2,83.3,.353
23,2016-02-13,,Texas A&M-Corpus Christi,W,70,58,19,44,.432,9,25,.360,23,27,.852,3,19,14,6,0,10,19,24,48,.500,3,13,.231,7,13,.538,10,31,10,7,2,17,22,111.1,92.1,62.5,.614,.568,.616,38.0,73.7,9.5,0.0,.534,15.0,12.5,.523,.531,23.9,61.5,.146
24,2016-02-15,,Incarnate Word,W,84,46,32,59,.542,8,22,.364,12,21,.571,12,36,24,11,4,11,19,17,48,.354,1,13,.077,11,17,.647,6,26,8,4,0,19,18,121.7,66.7,68.5,.356,.373,.609,58.1,75.0,15.9,11.4,.610,13.8,37.5,.203,.365,25.3,80.0,.229
25,2016-02-20,@,Nicholls State,W,88,53,31,57,.544,10,16,.625,16,18,.889,7,41,18,10,7,18,24,19,59,.322,2,12,.167,13,26,.500,11,25,8,11,5,15,17,115.8,69.7,76.0,.316,.281,.671,62.1,58.1,13.2,14.9,.632,21.5,33.3,.281,.339,17.4,75.6,.220
26,2016-02-22,@,Lamar,W,79,58,22,59,.373,10,27,.370,25,32,.781,16,40,16,10,3,15,23,20,55,.364,5,21,.238,13,22,.591,11,29,9,6,2,17,25,109.7,80.6,72.3,.542,.458,.532,58.0,72.7,13.9,8.8,.458,16.8,47.1,.424,.409,20.6,68.6,.236
27,2016-02-27,,Houston Baptist,W,82,54,28,59,.475,8,22,.364,18,22,.818,10,26,19,14,3,12,17,21,43,.488,3,12,.250,9,18,.500,6,27,13,6,1,25,21,115.5,76.1,71.0,.373,.373,.590,49.1,67.9,19.7,9.7,.542,14.7,32.3,.305,.523,32.7,72.7,.209
28,2016-02-29,@,Incarnate Word,W,84,58,32,61,.525,8,18,.444,12,18,.667,12,36,19,11,5,11,16,19,55,.345,6,17,.353,14,19,.737,12,29,7,4,2,16,19,123.5,85.3,68.3,.295,.295,.604,55.4,59.4,16.2,13.2,.590,13.7,41.4,.197,.400,20.0,66.7,.255
29,2016-03-03,@,Northwestern State,W,95,55,36,69,.522,13,24,.542,10,15,.667,15,36,18,12,3,10,20,19,46,.413,3,9,.333,14,18,.778,6,22,13,2,6,20,15,135.7,78.6,69.8,.217,.348,.624,62.1,50.0,17.1,8.1,.616,11.6,48.4,.145,.446,26.8,77.8,.304
30,2016-03-05,@,Sam Houston State,W,85,64,30,49,.612,7,19,.368,18,22,.818,4,31,22,5,4,14,22,19,49,.388,9,19,.474,17,26,.654,10,26,16,7,2,15,23,125.0,94.1,67.9,.449,.388,.715,54.4,73.3,7.4,13.3,.684,19.1,20.0,.367,.480,19.6,73.0,.347
31,2016-03-11,N,Houston Baptist,W,104,68,33,70,.471,9,27,.333,29,32,.906,16,41,21,7,3,6,17,22,51,.431,8,20,.400,16,22,.727,5,27,9,1,2,18,21,138.7,90.7,74.8,.457,.386,.610,60.3,63.6,9.3,9.7,.536,6.6,42.1,.414,.510,22.7,83.3,.314
32,2016-03-12,N,Texas A&M-Corpus Christi,W,82,60,28,60,.467,4,17,.235,22,30,.733,11,33,15,12,0,9,22,22,52,.423,3,18,.167,13,19,.684,13,34,9,4,1,20,26,117.1,85.7,70.1,.500,.283,.552,49.3,53.6,17.1,0.0,.500,10.8,34.4,.367,.452,24.7,62.9,.250
33,2016-03-18,N,West Virginia,W,70,56,17,55,.309,7,23,.304,29,39,.744,10,32,12,15,3,6,25,16,52,.308,3,16,.188,21,27,.778,15,45,8,5,7,22,27,98.6,78.9,70.7,.709,.418,.476,41.6,70.6,21.1,8.3,.373,7.5,25.0,.527,.337,25.3,59.5,.404
34,2016-03-20,N,Notre Dame,L,75,76,29,64,.453,8,27,.296,9,9,1.000,12,25,19,5,5,5,15,29,51,.569,6,17,.353,12,16,.750,11,31,15,2,2,13,12,123.0,124.6,60.9,.141,.422,.549,44.6,65.5,8.2,14.7,.516,6.8,37.5,.141,.627,18.2,54.2,.235
