G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,N,Washington,L,71,77,19,73,.260,2,15,.133,31,48,.646,22,49,5,7,8,13,28,25,72,.347,3,20,.150,24,40,.600,22,59,12,8,8,17,34,82.6,89.5,86.4,.658,.205,.371,45.4,26.3,8.1,15.4,.274,11.9,37.3,.425,.368,15.7,55.1,.333
2,2015-11-21,,Texas A&M-Corpus Christi,W,67,56,23,57,.404,8,20,.400,13,20,.650,15,45,13,3,6,18,16,18,72,.250,8,28,.286,12,15,.800,18,36,13,10,6,13,19,93.1,77.8,71.8,.351,.351,.504,55.6,56.5,4.2,13.6,.474,21.3,45.5,.228,.306,14.1,62.5,.167
3,2015-11-25,N,Texas A&M,L,73,84,22,48,.458,7,20,.350,22,37,.595,9,28,13,4,3,14,31,24,49,.490,8,22,.364,28,37,.757,10,32,13,3,3,12,25,104.3,120.0,69.6,.771,.417,.557,46.7,59.1,5.7,11.1,.531,17.6,29.0,.458,.571,15.3,65.5,.571
4,2015-11-26,N,Washington,W,82,70,23,58,.397,6,15,.400,30,42,.714,17,37,10,8,2,10,25,24,59,.407,10,24,.417,12,17,.706,14,31,12,2,7,18,32,115.5,98.6,71.0,.724,.259,.526,54.4,43.5,11.3,5.7,.448,11.4,50.0,.517,.492,21.2,58.8,.203
5,2015-11-27,N,Michigan,L,72,78,27,54,.500,10,26,.385,8,19,.421,8,24,16,5,2,10,15,29,50,.580,14,25,.560,6,12,.500,6,27,15,5,0,10,19,116.1,125.8,62.4,.352,.481,.571,47.1,59.3,8.1,8.0,.593,13.7,27.6,.148,.720,15.2,72.7,.120
6,2015-12-01,,Texas-Arlington,W (1 OT),80,73,26,56,.464,11,31,.355,17,26,.654,10,31,15,3,8,15,22,23,70,.329,5,29,.172,22,27,.815,19,42,14,8,2,15,25,105.3,96.1,67.6,.464,.554,.585,42.5,57.7,3.9,19.5,.563,18.0,30.3,.304,.364,15.3,52.5,.314
7,2015-12-04,,Samford,W,59,49,20,43,.465,6,21,.286,13,18,.722,8,31,8,2,6,13,20,17,50,.340,3,16,.188,12,14,.857,8,24,9,3,1,12,20,100.0,83.1,58.6,.419,.488,.572,56.4,40.0,3.4,17.6,.535,20.1,33.3,.302,.370,17.5,74.2,.240
8,2015-12-08,,UTSA,W,116,50,44,68,.647,15,30,.500,13,22,.591,8,42,23,10,6,10,24,17,52,.327,2,17,.118,14,27,.519,5,23,6,6,1,23,21,141.5,61.0,81.6,.324,.441,.739,64.6,52.3,12.2,17.1,.757,11.3,30.8,.191,.346,26.2,87.2,.269
9,2015-12-12,,UNC,W,84,82,29,62,.468,12,24,.500,14,23,.609,14,33,10,3,3,8,23,26,50,.520,6,16,.375,24,28,.857,4,25,10,5,6,6,22,127.3,124.2,66.1,.371,.387,.576,56.9,34.5,4.5,8.8,.565,9.9,40.0,.226,.580,8.7,82.6,.480
10,2015-12-15,,Appalachian State,W,67,55,27,69,.391,5,13,.385,8,18,.444,18,46,12,4,15,9,16,18,60,.300,12,20,.600,7,10,.700,9,36,11,1,1,13,19,97.1,79.7,68.7,.261,.188,.432,56.1,44.4,5.8,37.5,.428,10.4,40.0,.116,.400,16.7,75.7,.117
