G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-14,,Central Arkansas,W,98,81,38,65,.585,10,21,.476,12,17,.706,8,26,20,9,2,11,17,29,57,.509,11,23,.478,12,17,.706,7,29,14,5,3,17,20,128.9,106.6,75.6,.262,.323,.671,47.3,52.6,11.8,5.9,.662,13.1,26.7,.185,.605,20.7,72.0,.211
2,2015-11-17,,Wichita State,W,77,67,23,50,.460,10,22,.455,21,28,.750,3,31,15,6,5,13,21,20,55,.364,8,26,.308,19,24,.792,6,31,10,9,2,9,25,108.5,94.4,71.4,.560,.440,.608,50.0,65.2,8.5,17.2,.560,17.0,10.7,.420,.436,11.9,82.4,.345
3,2015-11-20,N,Ohio,W,90,88,26,57,.456,4,13,.308,34,46,.739,8,27,14,5,1,10,26,24,47,.511,10,20,.500,30,40,.750,7,30,11,5,4,22,34,111.1,108.6,80.9,.807,.228,.571,47.4,53.8,6.2,3.7,.491,11.3,25.8,.596,.617,25.0,73.1,.638
4,2015-11-22,N,Indiana State,W,67,59,22,59,.373,4,16,.250,19,36,.528,11,47,13,7,6,10,23,20,56,.357,5,22,.227,14,27,.519,4,34,10,7,1,14,31,87.0,76.6,77.0,.610,.271,.440,58.0,59.1,9.1,17.6,.407,11.6,26.8,.322,.402,16.9,90.0,.250
5,2015-11-23,N,South Carolina,L,75,83,24,54,.444,5,16,.313,22,31,.710,7,30,9,4,0,15,25,27,54,.500,7,14,.500,22,28,.786,5,33,12,7,2,12,25,98.7,109.2,75.5,.574,.296,.546,47.6,37.5,5.3,0.0,.491,17.9,20.0,.407,.565,15.1,82.1,.407
6,2015-11-28,,Little Rock,L,60,64,20,51,.392,9,31,.290,11,18,.611,11,27,10,9,3,10,14,22,44,.500,8,15,.533,12,15,.800,5,28,12,5,1,16,22,100.0,106.7,60.3,.353,.608,.504,49.1,50.0,15.0,10.3,.480,14.4,32.4,.216,.591,23.8,76.2,.273
7,2015-12-02,@,Oklahoma State,W,66,56,20,50,.400,6,20,.300,20,23,.870,8,32,8,8,2,10,23,16,55,.291,2,19,.105,22,25,.880,12,33,8,5,3,12,22,101.5,86.2,64.9,.460,.400,.542,49.2,40.0,12.3,5.6,.460,14.1,27.6,.400,.309,15.2,66.7,.400
8,2015-12-05,,Oral Roberts,L,68,70,22,58,.379,7,24,.292,17,21,.810,9,33,10,6,2,9,16,26,58,.448,8,17,.471,10,11,.909,6,31,6,3,3,13,17,98.6,101.4,69.1,.362,.414,.500,51.6,45.5,8.7,4.9,.440,11.7,26.5,.293,.517,17.1,80.0,.172
9,2015-12-08,,Iona,W,90,81,31,60,.517,10,20,.500,18,34,.529,7,34,15,9,4,12,20,25,60,.417,8,20,.400,23,29,.793,10,35,13,7,2,16,27,112.5,101.3,80.5,.567,.333,.591,49.3,48.4,11.3,10.0,.600,13.6,21.9,.300,.483,17.8,73.0,.383
10,2015-12-13,@,Missouri State,W,70,61,28,65,.431,6,24,.250,8,11,.727,4,35,15,5,1,11,18,20,63,.317,3,17,.176,18,22,.818,12,39,9,5,6,11,17,93.3,81.3,74.8,.169,.369,.498,47.3,53.6,6.7,2.2,.477,13.5,12.9,.123,.341,13.0,72.1,.286
11,2015-12-19,N,Oregon State,L,71,76,24,53,.453,5,17,.294,18,28,.643,10,32,14,6,3,13,23,22,54,.407,7,18,.389,25,31,.806,11,36,12,6,3,12,21,101.4,108.6,69.5,.528,.321,.535,47.1,58.3,8.6,8.3,.500,16.4,28.6,.340,.472,14.9,66.7,.463
12,2015-12-22,,Northern Arizona,W,90,55,35,62,.565,7,17,.412,13,20,.650,7,30,20,14,5,8,18,16,51,.314,5,19,.263,18,20,.900,10,35,12,5,1,23,19,123.3,75.3,73.0,.323,.274,.629,46.2,57.1,19.2,15.6,.621,10.1,21.9,.210,.363,27.5,69.7,.353
13,2015-12-29,,SMU,L,69,81,26,59,.441,6,20,.300,11,22,.500,14,27,13,6,1,7,14,31,55,.564,10,15,.667,9,13,.692,10,29,15,4,5,11,19,111.3,130.6,62.3,.373,.339,.497,48.2,50.0,9.7,2.5,.492,9.2,42.4,.186,.655,15.2,56.5,.164
14,2016-01-02,@,Cincinnati,L,57,76,18,54,.333,4,21,.190,17,25,.680,8,25,14,6,2,14,15,27,59,.458,12,23,.522,10,15,.667,14,38,20,11,5,13,24,82.6,110.1,68.5,.463,.389,.433,39.7,77.8,8.7,5.6,.370,17.5,25.0,.315,.559,16.4,54.8,.169
15,2016-01-05,,East Carolina,W,55,43,24,67,.358,6,28,.214,1,3,.333,16,40,16,9,5,16,14,17,57,.298,2,16,.125,7,9,.778,13,39,6,8,1,21,13,79.7,62.3,68.9,.045,.418,.402,50.6,66.7,13.0,12.2,.403,19.0,38.1,.015,.316,25.5,64.9,.123
16,2016-01-10,@,Tulane,W,81,67,31,53,.585,13,20,.650,6,14,.429,2,20,13,7,4,8,16,25,65,.385,4,27,.148,13,21,.619,19,41,8,3,2,8,12,124.6,103.1,64.8,.264,.377,.679,32.8,41.9,10.8,10.5,.708,11.8,8.3,.113,.415,9.6,48.6,.200
17,2016-01-14,,UConn,W,60,51,18,51,.353,6,25,.240,18,26,.692,4,35,10,6,2,6,10,17,55,.309,8,29,.276,9,13,.692,6,37,11,3,1,11,17,90.9,77.3,65.8,.510,.490,.474,48.6,55.6,9.1,7.7,.412,8.7,11.4,.353,.382,15.2,83.8,.164
18,2016-01-19,@,East Carolina,W,84,69,30,58,.517,14,27,.519,10,14,.714,5,26,22,12,3,9,19,22,46,.478,9,22,.409,16,23,.696,6,29,14,2,4,19,16,121.7,100.0,69.3,.241,.466,.650,47.3,73.3,17.4,12.5,.638,12.2,17.9,.172,.576,25.0,77.8,.348
19,2016-01-24,,UCF,W,75,60,24,69,.348,8,32,.250,19,27,.704,17,42,15,5,3,5,15,23,51,.451,6,17,.353,8,12,.667,6,34,6,3,2,18,26,108.7,87.0,69.3,.391,.464,.458,55.3,62.5,7.2,8.8,.406,5.8,37.8,.275,.510,24.1,80.6,.157
20,2016-01-27,@,Houston,L,66,81,22,67,.328,3,26,.115,19,28,.679,14,35,7,4,2,5,18,27,58,.466,6,18,.333,21,25,.840,12,44,12,1,5,11,22,94.3,115.7,70.1,.418,.388,.411,44.3,31.8,5.7,5.0,.351,5.9,30.4,.284,.517,13.6,63.6,.362
