G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2015-11-13,@,NC State,W,85,68,31,60,.517,9,22,.409,14,19,.737,8,38,16,9,2,14,17,27,71,.380,6,22,.273,8,14,.571,13,33,15,8,5,10,17,113.3,90.7,74.8,.317,.367,.616,53.5,51.6,12.0,4.1,.592,16.9,28.6,.233,.423,11.4,69.8,.113
2,2015-11-17,@,Liberty,W,70,59,25,45,.556,2,9,.222,18,28,.643,7,38,15,3,1,11,16,23,53,.434,6,28,.214,7,12,.583,3,20,8,6,1,5,22,112.9,95.2,61.2,.622,.200,.600,65.5,60.0,4.8,4.0,.578,15.9,29.2,.400,.491,7.8,91.2,.132
3,2015-11-19,,Washington Adventist,W,85,60,32,69,.464,7,22,.318,14,21,.667,9,40,20,13,10,11,16,22,63,.349,3,15,.200,13,19,.684,9,39,9,7,10,17,17,104.9,74.1,80.5,.304,.319,.538,50.6,62.5,16.0,20.8,.514,12.2,23.1,.203,.373,19.1,77.5,.206
4,2015-11-21,@,Dayton,L,66,69,23,55,.418,10,22,.455,10,19,.526,5,25,16,5,2,11,15,25,53,.472,6,20,.300,13,18,.722,10,37,15,7,4,16,19,95.7,100.0,68.8,.345,.400,.515,40.3,69.6,7.2,6.1,.509,14.7,15.6,.182,.528,20.6,66.7,.245
5,2015-11-25,,Hampton,W,86,67,27,57,.474,10,22,.455,22,29,.759,7,40,16,5,13,9,22,23,69,.333,7,26,.269,14,24,.583,14,36,12,5,5,5,24,119.4,93.1,72.1,.509,.386,.608,52.6,59.3,6.9,30.2,.561,11.3,24.1,.386,.384,5.9,70.2,.203
6,2015-11-28,@,Howard,L,77,79,28,58,.483,12,24,.500,9,14,.643,10,35,17,1,6,11,24,25,63,.397,6,17,.353,23,30,.767,14,33,6,5,2,6,16,114.9,117.9,67.5,.241,.414,.596,51.5,60.7,1.5,13.0,.586,14.5,34.5,.155,.444,7.2,64.1,.365
7,2015-12-01,,Old Dominion,W,55,48,21,55,.382,0,15,.000,13,18,.722,6,36,7,6,5,7,12,21,58,.362,2,18,.111,4,9,.444,8,37,7,4,4,13,24,83.3,72.7,65.9,.327,.273,.433,49.3,33.3,9.1,12.5,.382,9.9,17.1,.236,.379,17.3,78.9,.069
8,2015-12-05,@,Virginia,L,52,67,19,46,.413,6,18,.333,8,13,.615,3,28,8,4,2,19,16,26,59,.441,2,12,.167,13,17,.765,8,32,10,15,5,5,12,78.8,101.5,66.1,.283,.391,.498,46.7,42.1,6.1,4.3,.478,26.7,11.1,.174,.458,6.9,75.8,.220
9,2015-12-18,,Mary Washington,W,94,64,34,66,.515,10,21,.476,16,22,.727,5,42,21,3,6,5,10,23,71,.324,12,40,.300,6,6,1.000,5,32,14,1,4,8,22,122.1,83.1,76.7,.333,.318,.615,56.8,61.8,3.9,19.4,.591,6.1,15.6,.242,.408,9.8,88.1,.085
10,2015-12-21,,High Point,W (1 OT),78,75,28,66,.424,10,29,.345,12,18,.667,13,37,16,9,7,15,15,26,61,.426,7,17,.412,16,19,.842,8,31,16,9,1,15,20,101.3,97.4,68.3,.273,.439,.523,54.4,57.1,11.7,15.9,.500,16.8,36.1,.182,.484,17.6,75.0,.262
