G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,,Manhattan,W,76,64,25,52,.481,7,18,.389,19,32,.594,7,29,18,14,6,15,20,22,62,.355,8,22,.364,12,19,.632,18,41,11,10,2,23,26,100.0,84.2,75.6,.615,.346,.565,41.4,72.0,18.4,15.0,.548,18.2,23.3,.365,.419,24.5,55.0,.194
2,2016-11-13,@,Wake Forest,L,74,94,30,67,.448,9,25,.360,5,9,.556,13,29,12,5,2,10,24,29,58,.500,13,26,.500,23,29,.793,14,38,16,4,6,9,16,108.8,138.2,67.5,.134,.373,.519,43.3,40.0,7.4,6.3,.515,12.3,35.1,.075,.612,11.1,53.3,.397
3,2016-11-16,,Robert Morris,W,75,62,28,61,.459,4,22,.182,15,20,.750,11,33,17,8,7,14,17,24,57,.421,5,13,.385,9,12,.750,8,31,12,6,3,19,15,101.4,83.8,73.6,.328,.361,.532,51.6,60.7,10.8,15.9,.492,16.6,32.4,.246,.465,23.3,73.3,.158
4,2016-11-19,@,Butler,L,60,86,21,46,.457,7,19,.368,11,13,.846,1,21,5,5,2,18,16,36,58,.621,8,15,.533,6,12,.500,3,24,19,7,3,8,15,87.0,124.6,68.9,.283,.413,.575,46.7,23.8,7.2,4.7,.533,25.7,4.5,.239,.690,11.2,87.0,.103
5,2016-11-21,@,Vanderbilt,W,75,72,27,53,.509,8,19,.421,13,17,.765,7,31,9,4,4,11,10,29,62,.468,7,18,.389,7,9,.778,9,24,15,4,2,8,16,115.4,110.8,65.2,.321,.358,.614,56.4,33.3,6.2,9.1,.585,15.3,31.8,.245,.524,10.8,72.7,.113
6,2016-11-24,N,Norfolk State,W,84,58,30,61,.492,11,25,.440,13,21,.619,11,38,13,10,2,12,18,21,55,.382,4,9,.444,12,18,.667,5,28,6,5,5,15,19,115.1,79.5,72.8,.344,.410,.592,57.6,43.3,13.7,4.3,.582,14.5,32.4,.213,.418,19.1,84.4,.218
7,2016-11-25,N,Northern Colorado,W,75,63,28,56,.500,8,23,.348,11,16,.688,8,28,12,3,2,13,16,25,51,.490,6,21,.286,7,14,.500,5,27,9,5,1,15,19,110.3,92.6,68.1,.286,.411,.590,50.9,42.9,4.4,6.7,.571,17.0,26.7,.196,.549,20.6,80.0,.137
8,2016-11-30,,Richmond,W,73,68,24,59,.407,9,22,.409,16,23,.696,3,35,19,8,4,14,18,27,67,.403,4,19,.211,10,19,.526,10,43,14,9,4,15,18,90.1,84.0,81.0,.390,.373,.522,44.9,79.2,9.9,8.3,.483,16.7,8.3,.271,.433,16.5,76.2,.149
9,2016-12-03,@,La Salle,L,73,83,26,52,.500,8,21,.381,13,17,.765,4,23,12,5,4,17,19,29,57,.509,8,16,.500,17,22,.773,10,29,11,11,3,15,23,100.0,113.7,72.8,.327,.404,.608,44.2,46.2,6.8,9.8,.577,22.1,17.4,.250,.579,18.2,65.5,.298
10,2016-12-06,@,Fairfield,W,75,64,31,65,.477,5,23,.217,8,15,.533,11,37,14,13,3,12,17,23,57,.404,9,21,.429,9,13,.692,9,37,14,5,1,18,17,102.7,87.7,72.7,.231,.354,.520,50.0,45.2,17.8,8.3,.515,14.3,28.2,.123,.482,22.2,74.3,.158
