G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,@,Alabama,L,53,70,17,62,.274,9,23,.391,10,16,.625,10,31,7,2,2,13,22,21,48,.438,10,26,.385,18,26,.692,7,36,13,8,8,11,19,77.9,102.9,68.5,.258,.371,.381,46.3,41.2,2.9,9.1,.347,15.7,25.6,.161,.542,15.4,75.0,.375
2,2016-11-14,,College of Charleston,L,64,71,24,54,.444,8,21,.381,8,14,.571,8,27,11,5,4,12,20,21,49,.429,8,21,.381,21,23,.913,8,31,11,5,4,13,16,98.5,109.2,64.8,.259,.389,.528,46.6,45.8,7.7,14.3,.519,16.5,25.8,.148,.510,17.8,70.4,.429
3,2016-11-16,,Coppin State,W,89,59,29,63,.460,11,29,.379,20,25,.800,17,57,16,5,6,18,17,19,70,.271,12,36,.333,9,21,.429,15,33,6,8,1,8,22,120.3,79.7,74.4,.397,.460,.594,63.3,55.2,6.8,17.6,.548,19.4,48.6,.317,.357,9.1,72.7,.129
4,2016-11-19,@,BYU,L,65,81,26,76,.342,5,26,.192,8,16,.500,7,38,12,6,3,9,15,33,69,.478,7,23,.304,8,13,.615,4,42,24,3,7,12,11,77.4,96.4,84.4,.211,.342,.389,47.5,46.2,7.1,6.5,.375,9.7,15.6,.105,.529,13.8,88.6,.116
5,2016-11-21,N,Southern Utah,W,83,68,30,54,.556,8,17,.471,15,18,.833,7,33,9,5,6,18,25,22,60,.367,10,30,.333,14,21,.667,11,26,10,3,2,14,18,113.7,93.2,73.3,.333,.315,.663,55.9,30.0,6.8,20.0,.630,22.3,31.8,.278,.450,16.7,70.3,.233
6,2016-11-23,@,Wake Forest,L,74,86,27,73,.370,12,29,.414,8,14,.571,9,38,18,10,1,12,22,27,57,.474,11,26,.423,21,24,.875,3,40,21,3,6,14,15,91.4,106.2,81.0,.192,.397,.465,48.7,66.7,12.3,3.2,.452,13.1,19.6,.110,.570,17.0,90.6,.368
7,2016-11-29,,Chattanooga,L,52,68,20,54,.370,3,16,.188,9,14,.643,11,31,10,7,2,15,13,27,59,.458,9,27,.333,5,10,.500,11,33,14,8,6,12,19,80.0,104.6,64.7,.259,.296,.429,48.4,50.0,10.8,6.3,.398,19.8,33.3,.167,.534,15.8,64.5,.085
8,2016-11-30,,Methodist,W,88,59,32,70,.457,11,31,.355,13,17,.765,15,43,18,12,2,20,12,22,63,.349,3,23,.130,12,13,.923,9,30,8,13,5,17,16,110.0,73.8,80.1,.243,.443,.564,58.9,56.3,15.0,5.0,.536,20.4,41.7,.186,.373,19.7,75.7,.190
9,2016-12-03,,UNC Asheville,L (1 OT),77,79,28,58,.483,13,29,.448,8,18,.444,8,34,17,7,0,16,15,30,63,.476,10,28,.357,9,15,.600,5,31,21,11,1,10,21,102.7,105.3,66.5,.310,.500,.579,52.3,60.7,9.3,0.0,.595,19.4,23.5,.138,.556,12.5,83.9,.143
10,2016-12-05,,Piedmont,W,100,63,33,67,.493,10,25,.400,24,36,.667,19,53,19,6,3,12,14,20,65,.308,11,28,.393,12,17,.706,12,30,11,10,2,16,26,129.9,81.8,77.1,.537,.373,.595,63.9,57.6,7.8,8.1,.567,12.5,51.4,.358,.392,18.0,73.9,.185
