G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,,South Dakota,L,74,79,26,55,.473,7,18,.389,15,19,.789,8,29,13,6,5,14,18,30,65,.462,8,24,.333,11,19,.579,15,37,9,7,5,13,18,104.2,111.3,71.0,.345,.327,.578,43.9,50.0,8.5,12.2,.536,17.9,26.7,.273,.523,14.9,58.3,.169
2,2016-11-15,@,UMKC,L,62,68,23,51,.451,3,15,.200,13,24,.542,12,32,8,12,1,22,21,24,51,.471,11,27,.407,9,13,.692,6,26,11,9,1,19,22,87.3,95.8,71.3,.471,.294,.497,55.2,34.8,16.9,4.2,.480,26.1,37.5,.255,.578,24.9,76.9,.176
3,2016-11-19,,Simpson,W,76,61,23,58,.397,6,23,.261,24,34,.706,12,44,12,5,3,12,13,25,60,.417,9,26,.346,2,7,.286,2,29,11,7,2,11,23,104.1,83.6,73.2,.586,.397,.512,60.3,52.2,6.8,8.8,.448,13.9,30.8,.414,.492,14.8,94.1,.033
4,2016-11-24,N,Iona,L,53,64,18,43,.419,6,10,.600,11,17,.647,7,26,14,2,1,19,11,24,56,.429,12,35,.343,4,6,.667,5,21,20,13,6,11,18,82.8,100.0,64.0,.395,.233,.519,55.3,77.8,3.1,4.8,.488,27.1,30.4,.256,.536,15.7,79.2,.071
5,2016-11-25,N,UC-Davis,L,58,64,22,50,.440,6,18,.333,8,10,.800,5,18,14,9,3,10,19,24,49,.490,9,22,.409,7,13,.538,10,29,16,5,3,18,16,95.1,104.9,61.5,.200,.360,.530,38.3,63.6,14.8,11.1,.500,15.4,20.8,.160,.582,24.6,56.5,.143
6,2016-11-26,@,Alaska-Anchorage,L,69,74,25,53,.472,9,22,.409,10,11,.909,5,22,16,5,2,12,23,22,52,.423,11,26,.423,19,25,.760,11,31,16,6,7,10,13,107.8,115.6,64.1,.208,.415,.593,41.5,64.0,7.8,7.7,.557,17.1,20.0,.189,.529,13.5,60.7,.365
7,2016-11-30,@,DePaul,L,75,77,26,58,.448,8,29,.276,15,18,.833,15,37,17,8,1,17,20,30,57,.526,5,15,.333,12,17,.706,11,30,11,7,0,14,19,110.3,113.2,68.3,.310,.500,.563,55.2,65.4,11.8,2.4,.517,20.3,44.1,.259,.570,17.7,66.7,.211
8,2016-12-03,,Fresno State,L (1 OT),76,78,25,62,.403,8,27,.296,18,23,.783,8,31,14,10,1,14,18,32,55,.582,8,20,.400,6,19,.316,7,37,11,11,8,21,21,97.4,100.0,69.8,.371,.435,.521,45.6,56.0,12.8,2.9,.468,16.1,21.1,.290,.655,24.7,76.7,.109
9,2016-12-10,,Jackson State,L,63,68,17,64,.266,5,19,.263,24,30,.800,13,45,6,6,2,13,16,24,70,.343,9,30,.300,11,19,.579,16,53,12,10,4,12,23,81.8,88.3,76.6,.469,.297,.403,45.9,35.3,7.8,5.0,.305,14.2,26.0,.375,.407,13.2,66.7,.157
10,2016-12-17,N,Iowa State,L,80,97,31,74,.419,10,24,.417,8,9,.889,11,42,14,1,3,10,21,34,77,.442,14,32,.438,15,24,.625,16,45,20,4,5,5,13,103.9,126.0,77.3,.122,.324,.511,48.3,45.2,1.3,6.7,.486,11.3,27.5,.108,.532,5.4,66.0,.195
11,2016-12-19,,South Dakota State,L,75,83,29,64,.453,10,36,.278,7,8,.875,9,30,15,6,6,13,22,27,57,.474,8,25,.320,21,25,.840,11,35,11,6,1,15,12,104.2,115.3,72.3,.125,.563,.553,46.2,51.7,8.3,18.8,.531,16.1,27.3,.109,.544,17.9,65.6,.368
12,2016-12-22,,Mississippi Valley State,W,101,69,36,68,.529,17,33,.515,12,19,.632,12,42,27,7,2,11,14,27,69,.391,8,23,.348,7,13,.538,15,34,10,5,4,16,16,132.9,90.8,76.1,.279,.485,.656,55.3,75.0,9.2,4.3,.654,12.5,38.7,.176,.449,17.5,66.7,.101
13,2016-12-29,,Loyola (IL),W,102,98,35,65,.538,10,18,.556,22,24,.917,10,37,17,5,2,16,19,36,70,.514,14,30,.467,12,16,.750,6,24,22,10,5,9,22,124.4,119.5,81.5,.369,.277,.668,60.7,48.6,6.1,5.0,.615,17.3,35.7,.338,.614,10.4,81.8,.171
14,2017-01-01,@,Southern Illinois,L,69,83,27,62,.435,8,24,.333,7,12,.583,9,29,14,4,1,16,21,31,62,.500,6,13,.462,15,24,.625,14,41,15,12,4,13,14,93.2,112.2,73.6,.194,.387,.510,41.4,51.9,5.4,2.0,.500,19.1,25.0,.113,.548,15.0,58.8,.242
15,2017-01-04,@,Wichita State,L,65,90,23,61,.377,9,28,.321,10,16,.625,4,22,10,7,1,15,14,37,76,.487,8,24,.333,8,11,.727,18,50,19,11,2,14,15,83.3,115.4,78.8,.262,.459,.474,30.6,43.5,9.0,1.9,.451,17.9,11.1,.164,.539,14.7,50.0,.105
16,2017-01-08,,Evansville,W,88,76,28,61,.459,9,25,.360,23,25,.920,11,34,10,6,4,8,13,29,60,.483,7,17,.412,11,16,.688,8,27,15,4,5,10,21,125.7,108.6,69.7,.410,.410,.604,55.7,35.7,8.6,9.3,.533,9.9,36.7,.377,.542,12.9,74.2,.183
17,2017-01-11,,Indiana State,W,87,70,33,69,.478,10,24,.417,11,19,.579,6,39,21,10,2,9,17,22,68,.324,9,25,.360,17,23,.739,12,44,8,3,8,12,20,108.8,87.5,80.0,.275,.348,.558,47.0,63.6,12.5,4.7,.551,10.3,15.8,.159,.390,13.2,73.3,.250
18,2017-01-15,@,Northern Iowa,L,60,79,21,55,.382,11,32,.344,7,10,.700,6,24,9,6,0,12,16,29,51,.569,8,24,.333,13,15,.867,3,28,14,9,3,10,11,92.3,121.5,65.4,.182,.582,.502,46.2,42.9,9.2,0.0,.482,16.7,19.4,.127,.647,14.7,85.7,.255
19,2017-01-18,,Southern Illinois,W (1 OT),88,84,26,58,.448,12,27,.444,24,30,.800,12,38,12,2,6,11,22,31,72,.431,10,25,.400,12,20,.600,14,35,11,7,4,7,22,120.5,115.1,64.8,.517,.466,.609,52.1,46.2,2.7,12.8,.552,13.2,36.4,.414,.500,7.9,65.0,.167
20,2017-01-21,@,Illinois State,L,58,72,18,59,.305,10,32,.313,12,15,.800,10,32,10,7,2,14,18,24,55,.436,7,22,.318,17,23,.739,11,35,15,6,11,14,12,82.9,102.9,69.5,.254,.542,.439,47.8,55.6,10.0,6.1,.390,17.5,29.4,.203,.500,17.5,66.7,.309
