G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-12,@,Denver,W,92,84,26,48,.542,10,22,.455,30,41,.732,7,31,11,11,0,15,27,27,57,.474,12,25,.480,18,28,.643,10,33,14,5,0,18,33,119.5,109.1,76.9,.854,.458,.682,48.4,42.3,14.3,0.0,.646,18.2,23.3,.625,.579,20.4,70.6,.316
2,2016-11-14,@,Air Force,L,68,86,23,48,.479,7,22,.318,15,22,.682,3,21,10,6,2,13,27,26,53,.491,10,17,.588,24,30,.800,9,32,18,4,1,10,19,100.0,126.5,68.4,.458,.458,.582,39.6,43.5,8.8,5.6,.552,18.2,11.5,.313,.585,12.9,66.7,.453
3,2016-11-18,N,Youngstown State,W,79,54,31,61,.508,8,20,.400,9,11,.818,9,34,14,5,2,15,18,19,55,.345,4,23,.174,12,18,.667,6,25,7,7,3,15,15,109.7,75.0,72.4,.180,.328,.596,57.6,45.2,6.9,6.3,.574,18.5,32.1,.148,.382,19.1,80.6,.218
4,2016-11-19,N,Florida International,W (1 OT),78,75,28,54,.519,7,16,.438,15,19,.789,3,22,9,6,2,10,14,30,61,.492,3,15,.200,12,14,.857,7,25,9,4,1,11,18,109.9,105.6,63.0,.352,.296,.619,46.8,32.1,8.5,4.3,.583,13.7,14.3,.278,.516,14.0,73.1,.197
5,2016-11-20,@,South Alabama,L,58,71,21,56,.375,8,22,.364,8,11,.727,10,27,9,6,3,17,18,28,53,.528,7,18,.389,8,14,.571,9,33,18,8,6,16,17,86.6,106.0,67.4,.196,.393,.474,45.0,42.9,9.0,8.6,.446,21.7,29.4,.143,.594,21.2,65.4,.151
6,2016-11-23,,Trinity Baptist,W,97,52,34,69,.493,16,37,.432,13,16,.813,13,47,22,11,3,10,12,20,59,.339,5,15,.333,7,12,.583,7,30,6,7,1,17,13,131.1,70.3,74.2,.232,.536,.633,61.0,64.7,14.9,6.8,.609,11.5,36.1,.188,.381,20.8,82.9,.119
7,2016-11-26,@,North Carolina A&T,W,66,49,20,47,.426,9,22,.409,17,24,.708,8,27,14,8,1,8,16,17,40,.425,4,13,.308,11,19,.579,5,25,7,3,0,15,18,111.9,83.1,58.7,.511,.468,.565,51.9,70.0,13.6,3.7,.521,12.0,28.6,.362,.475,23.4,79.2,.275
8,2016-11-30,@,Milwaukee,L,67,72,25,55,.455,9,27,.333,8,14,.571,8,30,16,5,2,14,21,23,51,.451,8,19,.421,18,27,.667,9,35,16,5,1,10,19,101.5,109.1,66.2,.255,.491,.543,46.2,64.0,7.6,6.3,.536,18.5,23.5,.145,.529,13.5,71.0,.353
9,2016-12-05,@,Bethune-Cookman,W,76,66,25,52,.481,5,19,.263,21,25,.840,5,32,15,8,4,9,15,24,57,.421,9,26,.346,9,17,.529,5,25,15,3,5,12,19,108.6,94.3,70.0,.481,.365,.595,56.1,60.0,11.4,12.9,.529,12.3,20.0,.404,.500,15.6,84.4,.158
10,2016-12-07,,Eastern Kentucky,L,76,80,26,52,.500,9,22,.409,15,24,.625,4,22,16,9,1,8,21,27,49,.551,5,13,.385,21,27,.778,5,29,7,7,3,12,21,111.8,117.6,68.1,.462,.423,.599,43.1,61.5,13.2,2.8,.587,11.2,14.3,.288,.602,16.3,78.3,.429
11,2016-12-10,@,Marist,W,85,64,32,62,.516,11,24,.458,10,16,.625,12,34,17,8,4,10,21,23,55,.418,6,26,.231,12,17,.706,9,30,15,1,1,13,18,126.9,95.5,67.3,.258,.387,.611,53.1,53.1,11.9,13.8,.605,12.6,36.4,.161,.473,17.1,71.0,.218
12,2016-12-17,@,Florida A&M,W,75,72,26,56,.464,11,24,.458,12,17,.706,6,27,8,13,1,11,18,26,53,.491,9,20,.450,11,19,.579,4,28,17,6,4,17,17,104.2,100.0,72.1,.304,.429,.585,49.1,30.8,18.1,3.0,.563,14.7,20.0,.214,.575,21.5,84.0,.208
13,2016-12-19,,Florida Memorial,W,81,63,27,54,.500,6,18,.333,21,26,.808,10,41,14,4,4,12,19,23,67,.343,10,30,.333,7,11,.636,10,30,10,5,3,8,24,117.4,91.3,68.9,.481,.333,.610,57.7,51.9,5.8,10.8,.556,15.3,33.3,.389,.418,10.0,75.6,.104
14,2016-12-21,@,Davidson,L,60,75,21,58,.362,12,27,.444,6,9,.667,8,27,17,9,1,13,17,26,57,.456,11,27,.407,12,17,.706,9,37,18,8,5,11,15,89.6,111.9,67.2,.155,.466,.482,42.2,81.0,13.4,3.3,.466,17.3,22.2,.103,.553,14.5,67.9,.211
15,2016-12-28,,Thomas University,W,93,64,31,56,.554,12,22,.545,19,27,.704,8,38,17,9,5,14,23,24,56,.429,4,17,.235,12,25,.480,5,26,7,3,2,18,24,119.2,82.1,77.9,.482,.393,.676,59.4,54.8,11.5,12.8,.661,16.9,27.6,.339,.464,21.0,85.7,.214
16,2016-12-31,,South Carolina State,W,89,85,32,62,.516,9,22,.409,16,19,.842,8,23,18,7,0,8,16,29,55,.527,12,21,.571,15,22,.682,9,28,8,3,3,12,17,127.1,121.4,69.7,.306,.355,.627,45.1,56.3,10.0,0.0,.589,10.1,29.6,.258,.636,15.5,62.5,.273
17,2017-01-03,,Middle Georgia State,W,124,85,46,77,.597,21,34,.618,11,12,.917,9,39,29,12,3,12,8,32,71,.451,13,29,.448,8,10,.800,9,27,13,6,3,16,14,147.6,101.2,84.2,.156,.442,.750,59.1,63.0,14.3,7.1,.734,12.7,33.3,.143,.542,17.4,76.9,.113
18,2017-01-07,,North Florida,L,64,80,19,53,.358,7,20,.350,19,21,.905,9,30,8,5,3,18,23,28,60,.467,9,27,.333,15,21,.714,7,27,13,12,5,11,17,87.7,109.6,73.0,.396,.377,.508,52.6,42.1,6.8,9.1,.425,22.2,31.0,.358,.542,13.6,75.0,.250
19,2017-01-12,@,NJIT,W,82,81,29,53,.547,8,16,.500,16,26,.615,6,30,11,8,3,13,16,29,67,.433,14,38,.368,9,13,.692,13,34,18,4,0,14,22,112.3,111.0,73.3,.491,.302,.627,46.9,37.9,11.0,10.3,.623,16.6,22.2,.302,.537,16.1,64.9,.134
20,2017-01-14,@,USC Upstate,L,66,73,24,55,.436,10,24,.417,8,11,.727,8,29,15,6,1,15,17,24,54,.444,10,28,.357,15,21,.714,9,32,15,6,5,13,11,97.1,107.4,67.6,.200,.436,.548,47.5,62.5,8.8,3.8,.527,19.9,25.8,.145,.537,16.9,70.0,.278
21,2017-01-19,,Lipscomb,L,95,112,29,62,.468,8,27,.296,29,34,.853,12,31,12,9,0,22,37,33,49,.673,8,20,.400,38,52,.731,4,27,19,12,5,22,28,105.6,124.4,89.9,.548,.435,.608,53.4,41.4,10.0,0.0,.532,22.0,34.3,.468,.755,23.0,82.6,.776
22,2017-01-21,,Kennesaw State,L,71,81,25,62,.403,6,21,.286,15,21,.714,11,24,8,15,1,13,18,29,55,.527,9,19,.474,14,18,.778,7,32,17,6,3,19,17,94.7,108.0,74.8,.339,.339,.493,42.9,32.0,20.0,2.8,.452,15.3,30.6,.242,.609,23.0,65.0,.255
23,2017-01-25,,Stetson,W,103,92,34,67,.507,18,32,.563,17,19,.895,9,32,19,6,1,12,24,30,58,.517,10,26,.385,22,31,.710,6,29,14,5,2,14,19,128.8,115.0,79.9,.284,.478,.677,52.5,55.9,7.5,3.1,.642,13.6,28.1,.254,.603,16.1,79.3,.379
24,2017-01-28,@,Florida Gulf Coast,L,56,78,18,55,.327,11,35,.314,9,17,.529,8,26,10,11,0,18,18,32,60,.533,2,17,.118,12,21,.571,14,47,15,7,4,18,18,75.7,105.4,73.5,.309,.636,.444,35.6,55.6,14.9,0.0,.427,22.2,19.5,.164,.550,20.5,56.3,.200
25,2017-01-30,@,Stetson,W,89,86,30,61,.492,11,26,.423,18,29,.621,10,33,12,9,1,11,16,32,63,.508,12,29,.414,10,12,.833,4,30,18,5,2,14,23,115.6,111.7,77.2,.475,.426,.595,52.4,40.0,11.7,2.9,.582,12.8,27.8,.295,.603,16.9,85.2,.159
26,2017-02-04,,Florida Gulf Coast,L,57,67,20,54,.370,8,24,.333,9,16,.563,11,27,8,6,2,15,18,22,50,.440,5,19,.263,18,21,.857,8,33,7,7,3,16,19,85.1,100.0,66.8,.296,.444,.463,45.0,40.0,9.0,6.5,.444,19.6,30.6,.167,.490,21.1,66.7,.360
27,2017-02-09,,USC Upstate,L,67,70,25,65,.385,13,36,.361,4,5,.800,11,33,15,7,1,10,21,26,56,.464,6,23,.261,12,23,.522,12,40,13,5,4,15,12,98.5,102.9,68.2,.077,.554,.497,45.2,60.0,10.3,3.0,.485,12.9,28.2,.062,.518,18.3,64.7,.214
