G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,@,USC,L,61,75,22,57,.386,10,29,.345,7,11,.636,9,29,11,8,3,14,28,21,51,.412,6,20,.300,27,38,.711,13,37,9,9,5,14,16,88.4,108.7,68.6,.193,.509,.490,43.9,50.0,11.6,9.7,.474,18.4,27.3,.123,.471,16.9,60.6,.529
2,2016-11-14,,Wyoming,L,72,73,26,53,.491,4,14,.286,16,23,.696,6,32,15,6,7,11,27,21,53,.396,9,28,.321,22,27,.815,8,29,12,3,4,12,23,104.3,105.8,69.4,.434,.264,.563,52.5,57.7,8.7,28.0,.528,14.7,22.2,.302,.481,15.4,76.5,.415
3,2016-11-18,N,NC State,L,72,85,28,56,.500,5,18,.278,11,13,.846,6,23,11,0,0,18,20,30,51,.588,4,14,.286,21,27,.778,5,25,13,10,4,12,10,98.6,116.4,72.5,.232,.321,.579,47.9,39.3,0.0,0.0,.545,22.5,23.1,.196,.627,15.8,77.3,.412
4,2016-11-19,N,Washington State,L,63,87,23,66,.348,7,27,.259,10,16,.625,7,24,14,3,0,5,21,28,48,.583,9,21,.429,22,25,.880,2,34,19,1,7,14,17,87.5,120.8,71.7,.242,.409,.428,41.4,60.9,4.2,0.0,.402,6.4,17.9,.152,.677,19.0,89.5,.458
5,2016-11-21,N,Oral Roberts,W,68,47,24,54,.444,11,24,.458,9,10,.900,9,42,16,3,2,20,17,18,58,.310,2,21,.095,9,15,.600,8,27,10,10,1,11,14,98.6,68.1,68.9,.185,.444,.579,60.9,66.7,4.3,5.4,.546,25.4,32.1,.167,.328,14.4,80.5,.155
6,2016-11-24,@,Ole Miss,L,81,86,28,73,.384,12,33,.364,13,17,.765,14,37,19,3,3,10,23,28,62,.452,11,26,.423,19,28,.679,10,37,15,5,8,14,17,103.8,110.3,78.2,.233,.452,.500,50.0,67.9,3.8,8.3,.466,11.0,34.1,.178,.540,15.7,69.7,.306
7,2016-11-27,@,South Dakota,L,67,72,25,53,.472,7,19,.368,10,12,.833,6,30,12,3,4,11,26,18,48,.375,9,23,.391,27,38,.711,8,31,10,4,2,7,16,104.7,112.5,64.4,.226,.358,.571,49.2,48.0,4.7,16.0,.538,15.8,20.7,.189,.469,9.6,75.0,.563
8,2016-12-03,,Milwaukee,W,75,69,28,56,.500,10,21,.476,9,11,.818,10,30,12,7,4,9,10,28,58,.483,10,23,.435,3,4,.750,9,27,12,3,1,11,13,123.0,113.1,61.1,.196,.375,.612,52.6,42.9,11.5,11.4,.589,12.8,35.7,.161,.569,15.5,69.0,.052
9,2016-12-07,,San Jose State,W,81,62,28,54,.519,5,17,.294,20,23,.870,9,37,14,13,4,17,22,23,53,.434,7,19,.368,9,20,.450,9,28,9,9,3,19,19,111.0,84.9,72.7,.426,.315,.624,56.9,50.0,17.8,11.8,.565,20.8,32.1,.370,.500,23.3,75.7,.170
10,2016-12-10,@,Wyoming,L,83,85,25,60,.417,7,19,.368,26,31,.839,11,39,9,5,1,7,27,25,53,.472,10,23,.435,25,32,.781,3,30,15,3,2,9,23,115.3,118.1,72.5,.517,.317,.555,56.5,36.0,6.9,3.3,.475,8.6,28.9,.433,.566,11.7,90.3,.472
11,2016-12-13,@,Oregon,L,67,81,27,69,.391,5,17,.294,8,11,.727,10,28,11,6,1,13,23,30,58,.517,6,19,.316,15,25,.600,13,39,16,8,8,13,14,90.5,109.5,73.6,.159,.246,.451,41.8,40.7,8.1,2.6,.428,14.9,27.8,.116,.569,15.7,58.1,.259
12,2016-12-17,@,UC-Riverside,W,71,63,22,47,.468,6,16,.375,21,29,.724,4,26,12,6,4,19,29,18,50,.360,2,16,.125,25,34,.735,11,34,8,11,2,21,28,93.4,82.9,76.0,.617,.340,.584,43.3,54.5,7.9,11.8,.532,23.8,14.8,.447,.380,24.1,66.7,.500
13,2016-12-22,,Pepperdine,W,71,70,23,53,.434,13,24,.542,12,17,.706,4,23,18,9,3,11,18,26,50,.520,6,13,.462,12,16,.750,7,35,9,4,3,19,18,102.9,101.4,68.8,.321,.453,.581,39.7,78.3,13.0,8.1,.557,15.3,12.5,.226,.580,24.8,73.1,.240
14,2016-12-29,,Idaho State,W,74,62,30,59,.508,9,28,.321,5,8,.625,7,33,21,8,3,8,18,21,55,.382,8,21,.381,12,14,.857,8,31,13,6,2,11,15,115.6,96.9,64.2,.136,.475,.589,51.6,70.0,12.5,8.8,.585,11.3,23.3,.085,.455,15.1,76.5,.218
15,2016-12-31,,Weber State,L (1 OT),81,84,26,65,.400,10,17,.588,19,26,.731,11,36,10,0,4,1,21,28,61,.459,8,22,.364,20,27,.741,7,37,12,0,3,4,26,117.4,121.7,61.4,.400,.262,.524,49.3,38.5,0.0,10.3,.477,1.3,26.8,.292,.525,5.1,78.1,.328
16,2017-01-05,@,Idaho,W,70,57,20,58,.345,12,32,.375,18,24,.750,10,27,12,8,2,5,23,20,44,.455,3,12,.250,14,24,.583,8,36,7,0,4,20,26,106.1,86.4,65.9,.414,.552,.504,42.9,60.0,12.1,6.3,.448,6.7,26.3,.310,.489,26.5,68.0,.318
17,2017-01-07,@,Eastern Washington,W,65,59,22,52,.423,5,18,.278,16,24,.667,3,34,9,6,0,10,14,23,57,.404,6,19,.316,7,8,.875,3,33,9,5,3,11,21,92.9,84.3,69.6,.462,.346,.513,50.7,40.9,8.6,0.0,.471,13.6,9.1,.308,.456,15.3,91.2,.123
18,2017-01-12,,Northern Colorado,W,89,68,32,61,.525,15,31,.484,10,14,.714,9,36,19,8,5,12,25,22,54,.407,4,14,.286,20,29,.690,9,33,6,5,3,13,12,125.4,95.8,71.2,.230,.508,.658,52.2,59.4,11.3,12.5,.648,15.1,27.3,.164,.444,16.1,75.0,.370
19,2017-01-14,,North Dakota,W,76,70,28,63,.444,4,16,.250,16,25,.640,9,34,11,5,3,7,15,27,59,.458,4,10,.400,12,15,.800,7,34,12,2,4,15,20,102.7,94.6,73.5,.397,.254,.508,50.0,39.3,6.8,6.1,.476,8.5,25.0,.254,.492,18.5,78.1,.203
20,2017-01-19,@,Portland State,L,79,88,32,69,.464,5,22,.227,10,17,.588,11,36,20,9,1,15,27,30,55,.545,10,20,.500,18,34,.529,4,30,17,8,5,15,19,96.3,107.3,81.6,.246,.319,.512,54.5,62.5,11.0,2.9,.500,16.3,29.7,.145,.636,17.4,86.2,.327
