G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,@,VCU,L,65,80,25,53,.472,6,17,.353,9,14,.643,5,22,9,7,0,13,19,31,56,.554,6,19,.316,12,19,.632,10,34,14,11,1,14,15,95.6,117.6,68.3,.264,.321,.545,39.3,36.0,10.3,0.0,.528,17.9,17.2,.170,.607,17.7,63.0,.214
2,2016-11-14,@,Georgia,L,46,60,20,59,.339,4,22,.182,2,5,.400,5,28,10,8,4,11,12,22,55,.400,6,20,.300,10,11,.909,9,40,17,4,5,17,11,67.6,88.2,67.8,.085,.373,.375,41.2,50.0,11.8,11.4,.373,15.2,13.9,.034,.455,22.0,71.9,.182
3,2016-11-17,@,USC Upstate,W,73,57,27,56,.482,9,23,.391,10,14,.714,12,31,15,8,1,7,16,21,48,.438,8,25,.320,7,16,.438,12,30,13,1,2,16,13,123.7,96.6,58.6,.250,.411,.583,50.8,55.6,13.6,4.3,.563,10.1,40.0,.179,.521,22.3,61.3,.146
4,2016-11-20,,Siena,W,92,80,34,59,.576,9,16,.563,15,20,.750,6,25,23,11,4,15,16,30,55,.545,6,14,.429,14,22,.636,6,24,21,8,4,19,22,117.9,102.6,78.0,.339,.271,.672,51.0,67.6,14.1,9.8,.653,18.0,25.0,.254,.600,22.5,76.0,.255
5,2016-11-22,@,Furman,W,64,58,19,54,.352,6,19,.316,20,27,.741,9,31,10,15,0,11,13,20,52,.385,7,26,.269,11,13,.846,11,40,14,6,3,20,17,94.1,85.3,68.0,.500,.352,.479,43.7,52.6,22.1,0.0,.407,14.1,23.7,.370,.452,25.6,66.7,.212
6,2016-11-25,@,Kansas,L,57,95,23,63,.365,6,18,.333,5,11,.455,8,22,10,7,0,8,16,38,61,.623,13,21,.619,6,16,.375,12,46,28,5,7,15,15,81.4,135.7,69.9,.175,.286,.418,32.4,43.5,10.0,0.0,.413,10.5,19.0,.079,.730,17.9,53.8,.098
7,2016-11-29,,Brevard,W,68,50,24,52,.462,6,16,.375,14,20,.700,7,32,17,12,3,18,20,18,45,.400,6,15,.400,8,21,.381,4,24,12,7,4,18,17,95.8,70.4,70.7,.385,.308,.553,57.1,70.8,16.9,10.0,.519,22.6,25.9,.269,.467,24.7,86.2,.178
8,2016-12-03,@,Coastal Carolina,W (1 OT),79,77,30,63,.476,10,28,.357,9,15,.600,5,31,21,11,1,10,21,28,58,.483,13,29,.448,8,18,.444,8,34,17,7,0,16,15,105.3,102.7,66.5,.238,.444,.563,47.7,70.0,14.7,3.4,.556,12.5,16.1,.143,.595,19.4,76.5,.138
9,2016-12-06,@,Elon,W,78,67,27,55,.491,6,13,.462,18,28,.643,4,32,8,11,3,8,22,22,57,.386,7,28,.250,16,22,.727,10,38,13,2,3,15,21,108.3,93.1,72.4,.509,.236,.571,45.7,29.6,15.3,10.3,.545,10.5,12.5,.327,.447,18.2,73.7,.281
10,2016-12-10,,Warren Wilson,W,117,52,40,70,.571,12,23,.522,25,38,.658,15,47,26,26,3,17,19,16,52,.308,7,28,.250,13,24,.542,7,26,8,8,3,36,23,128.6,57.1,91.2,.543,.329,.664,64.4,65.0,28.6,12.5,.657,16.2,44.1,.357,.375,36.2,82.1,.250
11,2016-12-17,,Western Carolina,W,59,57,18,50,.360,3,15,.200,20,35,.571,8,34,13,10,4,10,14,20,59,.339,6,24,.250,11,12,.917,9,37,12,4,3,19,23,81.9,79.2,71.7,.700,.300,.443,47.9,72.2,13.9,11.4,.390,13.1,22.2,.400,.390,22.7,74.3,.186
12,2016-12-19,,UNC Greensboro,L,73,75,27,62,.435,10,25,.400,9,13,.692,11,31,15,7,2,11,13,30,60,.500,10,20,.500,5,12,.417,11,35,20,7,3,15,17,105.8,108.7,68.9,.210,.403,.535,47.0,55.6,10.1,5.0,.516,13.9,31.4,.145,.583,18.6,64.5,.083
13,2016-12-22,@,Ohio State,L,77,79,28,64,.438,11,24,.458,10,15,.667,7,26,14,4,3,9,23,29,53,.547,3,10,.300,18,26,.692,8,35,15,2,4,13,16,106.9,109.7,71.7,.234,.375,.541,42.6,50.0,5.6,7.0,.523,11.2,20.6,.156,.575,16.6,70.4,.340
14,2016-12-29,@,Radford,L (1 OT),77,80,33,71,.465,4,13,.308,7,12,.583,8,31,11,7,1,12,18,29,59,.492,11,23,.478,11,20,.550,11,37,20,10,7,16,16,100.0,103.9,68.5,.169,.183,.502,45.6,33.3,9.1,2.8,.493,13.5,23.5,.099,.585,18.9,67.6,.186
15,2016-12-31,,Gardner-Webb,W (1 OT),90,85,32,62,.516,16,31,.516,10,17,.588,10,29,25,11,2,19,20,30,59,.508,9,18,.500,16,26,.615,14,36,14,11,2,23,21,112.5,106.3,70.9,.274,.500,.642,44.6,78.1,13.8,4.9,.645,21.3,31.3,.161,.585,24.4,57.6,.271
16,2017-01-03,@,Liberty,W,70,57,24,51,.471,9,20,.450,13,19,.684,6,31,17,5,1,8,14,21,50,.420,6,24,.250,9,11,.818,5,25,9,1,0,11,19,112.9,91.9,61.6,.373,.392,.583,55.4,70.8,8.1,3.8,.559,11.8,23.1,.255,.480,16.6,83.3,.180
17,2017-01-07,,High Point,W,88,58,29,51,.569,13,21,.619,17,25,.680,2,25,20,10,1,11,19,19,56,.339,4,18,.222,16,20,.800,12,36,11,2,2,18,19,122.2,80.6,71.7,.490,.412,.700,41.0,69.0,13.9,2.6,.696,14.9,7.7,.333,.375,21.6,65.7,.286
18,2017-01-11,,Longwood,W,89,68,34,62,.548,10,22,.455,11,16,.688,7,33,14,8,1,7,20,22,50,.440,3,14,.214,21,28,.750,5,30,7,5,3,11,17,129.0,98.6,69.5,.258,.355,.639,52.4,41.2,11.6,2.8,.629,9.1,21.9,.177,.470,14.8,83.9,.420
19,2017-01-14,@,Charleston Southern,W,76,67,25,57,.439,6,19,.316,20,29,.690,11,37,14,9,0,11,16,24,57,.421,7,27,.259,12,18,.667,11,31,10,3,2,14,22,108.6,95.7,69.7,.509,.333,.537,54.4,56.0,12.9,0.0,.491,13.5,35.5,.351,.482,17.6,70.3,.211
20,2017-01-19,@,Winthrop,L,73,76,22,53,.415,6,18,.333,23,31,.742,6,28,12,6,1,16,22,24,57,.421,9,30,.300,19,26,.731,8,36,9,7,4,14,23,94.8,98.7,76.5,.585,.340,.539,43.8,54.5,7.8,3.7,.472,19.1,17.6,.434,.500,16.8,73.3,.333
21,2017-01-21,,Campbell,W,72,56,29,52,.558,6,12,.500,8,15,.533,3,31,22,7,0,12,14,20,49,.408,4,16,.250,12,16,.750,4,23,8,8,2,11,14,109.1,84.8,65.9,.288,.231,.609,57.4,75.9,10.6,0.0,.615,16.9,13.6,.154,.449,16.3,87.5,.245
22,2017-01-26,@,Presbyterian,W,73,47,27,57,.474,12,27,.444,7,7,1.000,8,31,19,7,3,9,7,19,50,.380,7,16,.438,2,2,1.000,5,23,10,2,2,15,8,119.7,77.0,61.1,.123,.474,.605,57.4,70.4,11.5,8.8,.579,13.0,30.8,.123,.450,22.7,82.1,.040
23,2017-01-28,,Radford,W,80,69,27,57,.474,7,14,.500,19,30,.633,9,28,12,6,4,11,14,25,63,.397,10,30,.333,9,11,.818,8,34,16,3,4,8,25,112.7,97.2,70.7,.526,.246,.561,45.2,44.4,8.5,12.1,.535,13.4,25.7,.333,.476,10.5,70.4,.143
24,2017-02-01,,Charleston Southern,W,91,73,31,63,.492,8,21,.381,21,25,.840,6,31,19,11,2,11,13,28,58,.483,5,17,.294,12,15,.800,5,32,12,5,5,19,19,113.8,91.3,79.5,.397,.333,.608,49.2,61.3,13.8,4.9,.556,12.8,18.2,.333,.526,22.6,83.3,.207
