G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,,Albany (NY),L,81,87,27,63,.429,9,25,.360,18,22,.818,3,22,9,7,8,12,23,30,61,.492,7,14,.500,20,25,.800,10,40,16,4,3,14,22,101.3,108.8,79.7,.349,.397,.551,35.5,33.3,8.8,17.0,.500,14.0,9.1,.286,.549,16.1,65.5,.328
2,2016-11-13,,Duquesne,W,82,74,28,58,.483,7,21,.333,19,23,.826,6,30,20,6,10,13,20,26,63,.413,8,22,.364,14,19,.737,11,32,10,6,1,16,22,107.9,97.4,76.5,.397,.362,.595,48.4,71.4,7.9,24.4,.543,15.9,22.2,.328,.476,18.2,68.6,.222
3,2016-11-15,,Grand Canyon,W,85,76,32,69,.464,8,19,.421,13,16,.813,11,35,20,9,6,11,20,26,67,.388,7,23,.304,17,21,.810,15,41,12,4,3,15,16,110.4,98.7,76.8,.232,.275,.555,46.1,62.5,11.7,13.6,.522,12.6,29.7,.188,.440,16.3,61.5,.254
4,2016-11-19,N,Duke,L,68,78,28,64,.438,6,21,.286,6,11,.545,9,33,12,3,3,14,23,27,57,.474,9,24,.375,15,23,.652,9,35,12,3,4,12,16,93.2,106.8,72.6,.172,.328,.491,48.5,42.9,4.1,9.1,.484,16.8,25.7,.094,.553,15.0,72.7,.263
5,2016-11-20,N,Cincinnati,L,50,71,17,47,.362,5,20,.250,11,12,.917,2,22,5,4,4,18,15,30,60,.500,6,16,.375,5,10,.500,9,36,12,10,1,14,16,72.5,102.9,69.2,.255,.426,.474,37.9,29.4,5.8,9.1,.415,25.5,6.9,.234,.550,17.8,69.0,.083
6,2016-11-23,,Colgate,W,72,59,22,65,.338,11,26,.423,17,21,.810,14,39,14,6,3,9,13,21,51,.412,10,21,.476,7,10,.700,3,27,11,6,4,16,19,104.3,85.5,69.4,.323,.400,.480,59.1,63.6,8.7,10.0,.423,10.7,36.8,.262,.510,22.3,89.3,.137
7,2016-11-26,@,George Washington,W,74,68,25,60,.417,5,13,.385,19,22,.864,8,37,17,6,7,14,16,24,56,.429,5,24,.208,15,20,.750,6,33,14,7,7,14,16,98.7,90.7,75.0,.367,.217,.525,52.9,68.0,8.0,21.9,.458,16.6,22.9,.317,.473,17.6,82.9,.268
8,2016-11-29,,Georgia Tech,W,67,60,26,61,.426,4,15,.267,11,15,.733,10,36,14,11,8,11,11,24,66,.364,7,16,.438,5,7,.714,11,35,15,6,8,16,16,93.1,83.3,71.7,.246,.246,.492,50.7,53.8,15.3,16.0,.459,13.9,29.4,.180,.417,18.8,70.3,.076
9,2016-12-03,,Wright State,W,72,50,25,60,.417,7,20,.350,15,20,.750,9,43,15,10,10,16,19,16,66,.242,6,23,.261,12,15,.800,13,38,8,10,1,17,16,93.5,64.9,76.8,.333,.333,.518,53.1,60.0,13.0,23.3,.475,18.7,26.5,.250,.288,18.9,72.3,.182
10,2016-12-07,,George Mason,L,66,85,22,61,.361,10,28,.357,12,16,.750,7,26,14,5,6,13,17,32,63,.508,5,14,.357,16,20,.800,6,39,12,9,3,12,18,85.7,110.4,76.6,.262,.459,.481,40.0,63.6,6.5,12.2,.443,15.9,17.5,.197,.548,14.2,76.0,.254
11,2016-12-10,N,Pitt,L,73,81,24,67,.358,6,22,.273,19,22,.864,11,37,14,6,4,12,22,27,63,.429,10,22,.455,17,24,.708,12,38,14,5,7,12,20,96.1,106.6,76.4,.328,.328,.471,49.3,58.3,7.9,9.8,.403,13.4,29.7,.284,.508,13.9,68.4,.270
12,2016-12-18,@,St. John's (NY),W,92,76,32,64,.500,13,23,.565,15,23,.652,10,37,23,11,3,20,20,25,67,.373,9,24,.375,17,22,.773,14,35,15,12,3,20,18,109.5,90.5,84.2,.359,.359,.614,51.4,71.9,13.1,7.0,.602,21.1,32.3,.234,.440,20.5,65.9,.254
13,2016-12-21,,Morgan State,W,96,55,34,73,.466,7,24,.292,21,24,.875,12,48,23,11,7,7,19,18,56,.321,5,17,.294,14,17,.824,5,31,8,4,7,16,19,124.7,71.4,77.2,.329,.329,.569,60.8,67.6,14.3,17.9,.514,7.7,31.6,.288,.366,20.0,87.8,.250
14,2016-12-27,,Northwestern,L,77,87,25,60,.417,4,15,.267,23,34,.676,8,31,10,6,5,11,19,28,63,.444,11,26,.423,20,26,.769,13,40,19,5,5,11,27,101.3,114.5,76.3,.567,.250,.506,43.7,40.0,7.9,13.5,.450,12.6,22.9,.383,.532,12.7,63.9,.317
15,2017-01-01,@,Rutgers,W,60,47,20,55,.364,7,22,.318,13,18,.722,5,37,12,7,3,14,17,18,63,.286,3,20,.150,8,13,.615,10,40,6,6,4,17,17,81.1,63.5,74.4,.327,.400,.472,48.1,60.0,9.5,7.0,.427,18.1,14.3,.236,.310,19.7,76.2,.127
16,2017-01-04,@,Michigan,L,69,72,24,50,.480,8,19,.421,13,19,.684,7,36,10,2,6,13,17,25,56,.446,6,21,.286,16,21,.762,5,25,10,9,3,5,14,104.5,109.1,65.5,.380,.380,.584,59.0,41.7,3.0,17.1,.560,18.0,25.9,.260,.500,7.0,85.3,.286
17,2017-01-07,N,Michigan State,W,72,63,26,56,.464,5,19,.263,15,24,.625,8,36,18,4,5,13,18,23,56,.411,7,23,.304,10,14,.714,2,25,11,7,6,17,26,96.0,84.0,75.0,.429,.339,.534,59.0,69.2,5.3,15.2,.509,16.2,25.8,.268,.473,21.3,93.3,.179
18,2017-01-14,,Minnesota,W,52,50,17,56,.304,2,14,.143,16,20,.800,12,37,8,9,5,17,11,20,53,.377,2,7,.286,8,11,.727,5,31,8,8,5,19,15,73.2,70.4,71.4,.357,.250,.397,54.4,47.1,12.7,10.9,.321,20.6,31.6,.286,.396,24.6,83.3,.151
19,2017-01-18,,Indiana,L,75,78,23,60,.383,8,20,.400,21,31,.677,12,30,11,10,5,11,19,30,61,.492,9,25,.360,9,15,.600,11,35,11,5,5,15,23,102.7,106.8,72.9,.517,.333,.502,46.2,47.8,13.7,13.9,.450,12.8,33.3,.350,.566,18.0,62.1,.148
20,2017-01-21,@,Purdue,L,52,77,20,64,.313,8,21,.381,4,6,.667,9,25,13,7,3,13,18,30,53,.566,8,20,.400,9,15,.600,7,37,23,6,5,16,12,74.3,110.0,70.0,.094,.328,.389,40.3,65.0,10.0,9.1,.375,16.3,23.1,.063,.642,21.0,69.6,.170
21,2017-01-24,@,Wisconsin,L,55,82,19,49,.388,9,18,.500,8,12,.667,7,23,13,5,4,17,22,26,55,.473,9,23,.391,21,29,.724,12,35,15,7,1,11,15,83.3,124.2,66.2,.245,.367,.503,39.7,68.4,7.6,12.5,.480,23.7,23.3,.163,.555,13.8,57.1,.382
22,2017-01-28,,Illinois,W,71,67,26,53,.491,9,18,.500,10,14,.714,5,26,13,7,8,12,12,27,65,.415,8,22,.364,5,8,.625,14,37,15,7,2,13,16,106.0,100.0,67.2,.264,.340,.595,41.3,50.0,10.4,18.6,.575,16.7,17.9,.189,.477,15.9,60.0,.077
