G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,@,Arizona State,L,70,88,26,67,.388,6,27,.222,12,15,.800,8,29,14,5,1,14,20,33,67,.493,9,28,.321,13,18,.722,11,40,11,7,3,16,15,87.5,110.0,80.3,.224,.403,.472,42.0,53.8,6.3,2.6,.433,15.9,21.6,.179,.560,17.5,65.6,.194
2,2016-11-13,@,Cal State Fullerton,L (2 OT),100,106,37,71,.521,11,23,.478,15,21,.714,7,32,21,7,3,15,22,36,73,.493,12,31,.387,22,26,.846,12,39,24,5,3,17,19,111.1,117.8,71.7,.296,.324,.617,45.1,56.8,7.8,7.1,.599,15.6,20.6,.211,.575,16.6,67.6,.301
3,2016-11-17,,George Fox,W,113,81,38,58,.655,7,20,.350,30,45,.667,15,39,20,11,1,13,9,30,71,.423,14,43,.326,7,9,.778,12,24,18,7,1,16,26,144.9,103.8,78.3,.776,.345,.712,61.9,52.6,14.1,3.6,.716,14.1,55.6,.517,.521,17.5,66.7,.099
4,2016-11-25,@,Loyola Marymount,L,62,78,23,61,.377,5,21,.238,11,22,.500,13,28,17,9,0,12,17,31,54,.574,9,22,.409,7,12,.583,11,37,19,5,4,14,20,92.5,116.4,66.6,.361,.344,.434,43.1,73.9,13.4,0.0,.418,14.4,33.3,.180,.657,19.0,57.7,.130
5,2016-11-27,@,Pepperdine,W,91,85,35,66,.530,7,17,.412,14,18,.778,5,24,22,15,1,9,17,32,62,.516,11,23,.478,10,14,.714,8,31,23,5,1,20,13,113.8,106.3,79.6,.273,.258,.610,43.6,62.9,18.8,2.6,.583,10.8,17.9,.212,.605,22.6,70.4,.161
6,2016-12-03,,Texas-Rio Grande Valley,W,87,74,32,56,.571,13,22,.591,10,14,.714,3,19,23,12,1,13,17,27,56,.482,9,25,.360,11,18,.611,8,28,17,10,3,16,15,119.2,101.4,72.6,.250,.393,.694,40.4,71.9,16.4,3.2,.688,17.2,13.0,.179,.563,19.9,66.7,.196
7,2016-12-10,@,Cal State Bakersfield,L,79,81,28,62,.452,8,18,.444,15,27,.556,11,30,9,9,3,12,22,27,55,.491,11,26,.423,16,25,.640,13,38,16,5,4,17,25,108.2,111.0,73.4,.435,.290,.528,44.1,32.1,12.3,10.3,.516,13.8,30.6,.242,.591,20.3,59.4,.291
8,2016-12-13,,New Hope Christian,W,110,79,49,86,.570,4,21,.190,8,15,.533,18,56,23,11,5,11,6,30,74,.405,13,32,.406,6,7,.857,6,24,17,7,2,12,13,129.4,92.9,84.7,.174,.244,.591,70.0,46.9,12.9,11.9,.593,10.6,50.0,.093,.493,13.4,86.4,.081
9,2016-12-16,@,San Francisco,W,82,78,27,62,.435,6,16,.375,22,26,.846,11,33,8,9,5,9,19,27,58,.466,11,28,.393,13,20,.650,8,31,12,5,2,12,22,113.9,108.3,71.9,.419,.258,.551,51.6,29.6,12.5,16.7,.484,10.8,32.4,.355,.560,15.1,73.3,.224
10,2016-12-20,@,Portland,W,77,75,30,62,.484,10,27,.370,7,11,.636,14,37,13,6,5,9,18,28,54,.519,6,14,.429,13,19,.684,6,23,12,6,5,9,13,120.3,117.2,64.1,.177,.435,.573,61.7,43.3,9.4,12.5,.565,11.8,45.2,.113,.574,12.5,79.3,.241
