G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,,Northern Arizona,W,67,64,23,60,.383,8,35,.229,13,19,.684,5,32,13,6,1,8,18,20,59,.339,8,27,.296,16,20,.800,11,46,9,5,2,14,19,93.1,88.9,71.8,.317,.583,.485,41.0,56.5,8.3,3.1,.450,10.4,12.5,.217,.407,17.0,71.1,.271
2,2016-11-12,,UC-Davis,L,58,63,22,56,.393,5,24,.208,9,12,.750,7,32,11,6,5,17,27,23,56,.411,3,9,.333,14,21,.667,7,29,10,2,2,12,22,81.7,88.7,71.3,.214,.429,.470,52.5,50.0,8.5,10.6,.438,21.6,24.1,.161,.438,15.4,78.1,.250
3,2016-11-13,,Tennessee State,L,61,69,22,53,.415,9,27,.333,8,12,.667,8,33,12,3,0,15,22,24,53,.453,10,16,.625,11,20,.550,10,32,10,5,3,10,17,95.3,107.8,64.1,.226,.509,.520,50.8,54.5,4.7,0.0,.500,20.4,26.7,.151,.547,13.8,71.4,.208
4,2016-11-19,,Northern Colorado,W,88,72,32,60,.533,14,31,.452,10,16,.625,8,28,20,7,3,10,17,28,56,.500,7,18,.389,9,13,.692,7,28,14,4,4,14,16,127.5,104.3,69.4,.267,.517,.651,50.0,62.5,10.1,7.9,.650,12.9,27.6,.167,.563,18.4,74.1,.161
5,2016-11-21,,Sacred Heart,W,84,74,30,55,.545,12,28,.429,12,16,.750,0,23,22,8,4,10,20,29,63,.460,3,13,.231,13,20,.650,12,39,16,4,2,18,17,110.5,97.4,75.6,.291,.509,.671,37.1,73.3,10.5,8.0,.655,13.8,0.0,.218,.484,19.9,65.7,.206
6,2016-11-24,N,Arizona,L,61,69,22,55,.400,12,31,.387,5,7,.714,6,24,12,5,2,10,16,24,50,.480,9,18,.500,12,19,.632,8,33,12,2,8,12,13,96.8,109.5,62.7,.127,.564,.523,42.1,54.5,7.9,6.3,.509,14.6,19.4,.091,.570,16.9,69.2,.240
7,2016-11-25,N,Vanderbilt,L,66,76,23,49,.469,6,21,.286,14,15,.933,1,19,8,0,1,9,20,24,48,.500,15,28,.536,13,17,.765,5,26,18,1,1,13,15,103.1,118.8,64.1,.306,.429,.588,42.2,34.8,0.0,5.0,.531,13.8,4.5,.286,.656,18.8,78.3,.271
8,2016-11-30,,UC-Irvine,L,55,58,20,59,.339,11,27,.407,4,5,.800,5,24,14,10,3,5,11,24,44,.545,6,10,.600,4,8,.500,3,35,15,3,4,16,13,90.2,95.1,61.1,.085,.458,.448,40.7,70.0,16.4,8.8,.432,7.5,13.5,.068,.614,25.1,86.4,.091
9,2016-12-03,@,San Jose State,L,40,55,13,46,.283,4,16,.250,10,18,.556,7,26,6,5,0,15,20,19,41,.463,3,10,.300,14,22,.636,7,32,10,6,5,15,20,65.6,90.2,61.0,.391,.348,.367,44.8,46.2,8.2,0.0,.326,21.6,21.9,.217,.500,22.6,73.1,.341
10,2016-12-10,,Cal State East Bay,W,75,50,24,48,.500,6,18,.333,21,35,.600,13,38,16,3,3,12,20,17,54,.315,6,21,.286,10,15,.667,12,30,8,2,3,15,28,117.2,78.1,63.9,.729,.375,.580,55.9,66.7,4.7,9.1,.563,15.7,41.9,.438,.370,19.7,67.6,.185
11,2016-12-13,,UC-Riverside,W,77,53,26,55,.473,8,18,.444,17,21,.810,9,41,18,6,2,9,19,18,56,.321,6,18,.333,11,13,.846,4,27,13,3,5,11,23,114.9,79.1,67.1,.382,.327,.593,60.3,69.2,9.0,5.3,.545,12.2,28.1,.309,.375,15.0,88.9,.196
12,2016-12-17,@,Washington State,L,68,69,26,59,.441,12,27,.444,4,4,1.000,8,33,14,4,0,13,17,27,52,.519,6,13,.462,9,14,.643,3,23,19,6,3,8,13,104.6,106.2,64.8,.068,.458,.558,58.9,53.8,6.2,0.0,.542,17.6,28.6,.068,.577,12.0,89.3,.173
13,2016-12-22,@,Valparaiso,W (2 OT),87,80,32,70,.457,12,28,.429,11,12,.917,7,35,17,7,1,11,20,29,62,.468,10,26,.385,12,18,.667,6,36,13,3,2,15,16,108.8,100.0,63.7,.171,.400,.575,49.3,53.1,8.8,2.8,.543,12.7,18.9,.157,.548,17.5,82.4,.194
14,2016-12-29,@,BYU,L,59,89,21,69,.304,7,31,.226,10,14,.714,8,34,13,4,0,8,22,32,60,.533,9,14,.643,16,24,.667,7,45,18,3,5,8,14,79.7,120.3,74.0,.203,.449,.390,43.0,61.9,5.4,0.0,.355,9.6,17.4,.145,.608,10.1,78.8,.267
15,2016-12-31,,San Francisco,W,72,58,23,53,.434,13,26,.500,13,16,.813,8,30,15,5,2,10,16,21,54,.389,5,23,.217,11,16,.688,12,34,9,5,2,13,19,114.3,92.1,62.6,.302,.491,.594,46.9,65.2,7.9,6.5,.557,14.2,26.7,.245,.435,17.4,64.7,.204
16,2017-01-05,,Portland,W,70,42,27,57,.474,14,32,.438,2,2,1.000,4,26,20,7,2,6,18,13,43,.302,3,13,.231,13,18,.722,5,29,7,2,1,16,9,114.8,68.9,61.3,.035,.561,.604,47.3,74.1,11.5,6.7,.596,9.4,14.3,.035,.337,23.7,81.5,.302
17,2017-01-07,@,Loyola Marymount,L,56,66,21,57,.368,8,30,.267,6,8,.750,4,27,10,3,4,11,19,26,57,.456,4,10,.400,10,14,.714,7,35,15,6,4,10,13,83.6,98.5,67.2,.140,.526,.461,43.5,47.6,4.5,8.5,.439,15.3,12.5,.105,.491,13.6,76.7,.175
18,2017-01-12,@,San Diego,W,59,57,22,49,.449,8,22,.364,7,9,.778,2,19,13,7,2,8,19,19,38,.500,6,18,.333,13,20,.650,3,27,11,2,2,14,15,100.0,96.6,58.9,.184,.449,.554,41.3,59.1,11.9,10.0,.531,13.1,7.7,.143,.579,22.8,85.0,.342
19,2017-01-14,@,Pepperdine,W,75,61,27,56,.482,14,29,.483,7,12,.583,6,31,17,4,2,6,19,21,51,.412,7,21,.333,12,19,.632,3,27,16,2,1,8,14,119.0,96.8,63.4,.214,.518,.608,53.4,63.0,6.3,6.7,.607,8.9,20.0,.125,.480,11.8,89.3,.235
20,2017-01-19,,Gonzaga,L,57,88,19,52,.365,9,25,.360,10,14,.714,1,23,13,4,4,10,21,30,58,.517,6,19,.316,22,28,.786,7,36,16,4,3,6,14,82.6,127.5,69.0,.269,.481,.486,39.0,68.4,5.8,10.3,.452,14.6,3.3,.192,.569,7.8,75.9,.379
21,2017-01-21,,Loyola Marymount,W,64,63,24,47,.511,9,23,.391,7,9,.778,3,24,19,9,1,15,18,22,48,.458,9,18,.500,10,16,.625,5,27,15,10,2,16,15,98.5,96.9,64.9,.191,.489,.624,47.1,79.2,13.8,3.3,.606,22.6,12.0,.149,.552,22.3,80.8,.208
22,2017-01-26,,BYU,W,76,68,23,52,.442,14,31,.452,16,18,.889,4,28,16,6,3,16,23,23,52,.442,3,15,.200,19,23,.826,8,32,13,7,3,18,22,104.1,93.2,72.7,.346,.596,.628,46.7,69.6,8.2,8.1,.577,20.9,14.3,.308,.471,22.2,75.0,.365
23,2017-01-28,,Saint Mary's,L,59,72,23,53,.434,6,22,.273,7,10,.700,6,20,18,6,1,4,18,24,42,.571,8,16,.500,16,20,.800,5,30,18,1,1,9,13,105.4,128.6,55.6,.189,.415,.511,40.0,78.3,10.7,3.8,.491,6.5,19.4,.132,.667,14.9,73.7,.381
24,2017-02-02,@,Portland,W,60,45,21,48,.438,9,19,.474,9,13,.692,5,28,13,3,1,9,21,13,38,.342,1,11,.091,18,25,.720,1,23,3,3,4,10,19,101.7,76.3,58.5,.271,.396,.554,54.9,61.9,5.1,3.7,.531,14.2,18.5,.188,.355,16.7,95.8,.474
25,2017-02-04,@,Gonzaga,L,55,90,19,48,.396,5,16,.313,12,18,.667,2,17,9,4,2,9,23,31,51,.608,8,16,.500,20,30,.667,6,36,20,6,1,9,16,83.3,136.4,65.9,.375,.333,.486,32.1,47.4,6.1,5.7,.448,13.7,6.3,.250,.686,12.1,71.4,.392
26,2017-02-09,@,San Francisco,L,58,61,20,51,.392,8,22,.364,10,15,.667,4,26,7,6,4,10,16,23,53,.434,8,25,.320,7,14,.500,10,36,10,6,4,12,18,92.1,96.8,62.9,.294,.431,.499,41.9,35.0,9.5,14.3,.471,14.7,13.3,.196,.509,16.7,68.8,.132
27,2017-02-11,@,Pacific,W,64,47,22,45,.489,5,22,.227,15,18,.833,3,37,11,2,0,7,12,19,61,.311,8,25,.320,1,6,.167,8,29,13,2,0,6,15,106.7,78.3,59.7,.400,.489,.598,56.1,50.0,3.3,0.0,.544,11.6,12.5,.333,.377,8.6,81.0,.016
28,2017-02-16,,Pepperdine,W,106,55,39,61,.639,22,36,.611,6,7,.857,7,33,32,9,5,13,19,21,51,.412,3,9,.333,10,14,.714,3,18,11,3,0,14,15,153.6,79.7,69.5,.115,.590,.824,64.7,82.1,13.0,11.9,.820,16.8,31.8,.098,.441,19.5,89.7,.196
29,2017-02-18,,San Diego,L (2 OT),58,60,20,53,.377,7,20,.350,11,14,.786,4,31,13,4,2,7,9,23,60,.383,10,26,.385,4,7,.571,8,36,13,3,2,12,13,89.2,92.3,52.0,.264,.377,.486,46.3,65.0,6.2,5.9,.443,10.5,12.5,.208,.467,15.9,77.1,.067
30,2017-02-23,,Pacific,W,69,68,23,48,.479,14,30,.467,9,14,.643,2,21,18,6,0,10,14,25,49,.510,7,14,.500,11,14,.786,6,31,14,5,4,14,19,109.5,107.9,63.2,.292,.625,.631,40.4,78.3,9.5,0.0,.625,15.5,7.4,.188,.582,20.1,76.0,.224
31,2017-02-25,@,Saint Mary's,L,56,70,20,43,.465,8,20,.400,8,14,.571,1,18,9,2,0,11,20,25,45,.556,7,14,.500,13,22,.591,4,27,15,5,3,10,15,91.8,114.8,60.6,.326,.465,.564,40.0,45.0,3.3,0.0,.558,18.1,4.2,.186,.633,15.3,81.0,.289
32,2017-03-04,N,San Francisco,W,76,69,23,54,.426,10,20,.500,20,23,.870,6,25,9,6,3,11,26,23,46,.500,4,16,.250,19,26,.731,10,34,4,3,0,19,25,110.1,100.0,68.6,.426,.370,.585,42.4,39.1,8.7,10.0,.519,14.5,20.0,.370,.543,24.6,65.5,.413
33,2017-03-06,N,Gonzaga,L,68,77,26,63,.413,9,25,.360,7,11,.636,7,26,6,3,2,5,17,29,52,.558,3,10,.300,16,20,.800,4,33,8,3,5,8,13,103.0,116.7,65.9,.175,.397,.498,44.1,23.1,4.5,4.8,.484,6.8,19.4,.111,.587,11.5,82.6,.308
