G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,@,Iowa State,L,71,113,25,76,.329,13,48,.271,8,16,.500,10,33,20,12,2,22,20,47,85,.553,8,26,.308,11,20,.550,15,60,31,11,4,20,16,72.4,115.3,97.6,.211,.632,.425,35.5,80.0,12.2,3.4,.414,20.8,18.2,.105,.600,17.5,60.5,.129
2,2016-11-13,@,Iowa,L,84,116,30,68,.441,11,28,.393,13,24,.542,9,35,21,12,4,20,20,42,87,.483,18,43,.419,14,20,.700,18,50,33,6,5,15,20,91.3,126.1,92.0,.353,.412,.529,41.2,70.0,13.0,9.1,.522,20.1,22.0,.191,.586,13.5,59.1,.161
3,2016-11-17,,Middle Georgia State,W,101,93,30,67,.448,24,52,.462,17,25,.680,4,35,24,9,10,16,14,35,89,.393,16,38,.421,7,12,.583,20,54,21,9,1,20,23,108.6,100.0,92.8,.373,.776,.640,39.3,80.0,9.7,19.6,.627,16.9,10.5,.254,.483,17.4,60.8,.079
4,2016-11-19,@,Memphis,L,86,99,28,70,.400,16,48,.333,14,23,.609,4,28,21,7,4,12,20,37,77,.481,7,29,.241,18,25,.720,12,52,27,6,5,12,15,96.6,111.2,88.9,.329,.686,.531,35.0,75.0,7.9,8.3,.514,12.9,9.1,.200,.526,11.9,66.7,.234
5,2016-11-21,,Fort Valley State,W,118,101,40,74,.541,23,45,.511,15,23,.652,11,42,29,4,4,14,16,35,88,.398,14,39,.359,17,24,.708,19,40,17,7,2,8,19,134.1,114.8,88.2,.311,.608,.695,51.2,72.5,4.5,8.2,.696,14.2,34.4,.203,.477,7.4,62.0,.193
6,2016-11-25,N,St. Francis (NY),L,91,97,28,61,.459,16,35,.457,19,29,.655,9,28,12,6,3,12,25,31,64,.484,12,30,.400,23,32,.719,13,38,14,8,3,17,22,113.8,121.3,80.5,.475,.574,.608,42.4,42.9,7.5,8.8,.590,13.8,26.5,.311,.578,17.7,59.4,.359
7,2016-11-26,N,Grambling,L,104,110,36,62,.581,17,37,.459,15,21,.714,7,31,23,9,1,20,23,40,73,.548,13,31,.419,17,28,.607,13,34,22,13,1,19,20,116.9,123.6,88.6,.339,.597,.722,47.7,63.9,10.1,2.4,.718,21.7,25.0,.242,.637,18.0,64.9,.233
8,2016-11-28,@,San Diego State,L,67,100,24,75,.320,10,38,.263,9,17,.529,11,42,12,3,3,16,19,35,83,.422,14,40,.350,16,21,.762,15,52,22,6,7,10,15,76.1,113.6,88.0,.227,.507,.403,44.7,50.0,3.4,7.0,.387,16.1,22.9,.120,.506,9.7,67.4,.193
9,2016-12-01,,Georgia Southern,L,75,94,25,57,.439,14,34,.412,11,19,.579,3,29,20,9,2,18,16,35,76,.461,13,34,.382,11,18,.611,14,42,17,6,3,12,19,91.5,114.6,81.8,.333,.596,.568,40.8,80.0,11.0,4.8,.561,21.4,9.7,.193,.546,12.4,65.0,.145
10,2016-12-03,@,Oregon,L,59,128,19,76,.250,11,50,.220,10,16,.625,8,25,10,9,1,18,16,54,90,.600,12,35,.343,8,11,.727,19,65,36,8,12,15,15,64.1,139.1,92.4,.211,.658,.353,27.8,52.6,9.8,1.8,.322,17.7,14.8,.132,.667,13.6,47.2,.089
11,2016-12-11,@,Oregon State,W (1 OT),93,90,32,66,.485,15,34,.441,14,21,.667,13,36,19,6,4,12,22,31,70,.443,10,35,.286,18,27,.667,19,43,22,3,7,12,20,124.0,120.0,67.0,.318,.515,.612,45.6,59.4,8.0,11.4,.598,13.6,35.1,.212,.514,12.7,54.8,.257
12,2016-12-19,@,William & Mary,L,85,112,29,75,.387,14,44,.318,13,22,.591,12,38,17,7,1,13,26,36,70,.514,19,44,.432,21,34,.618,13,49,30,5,8,10,18,100.0,131.8,84.8,.293,.587,.497,43.7,58.6,8.2,3.8,.480,13.2,25.0,.173,.650,10.4,66.7,.300
13,2016-12-29,@,ETSU,L,71,92,22,59,.373,15,38,.395,12,18,.667,7,35,13,7,0,21,22,31,71,.437,14,39,.359,16,27,.593,12,43,24,11,6,10,18,86.6,112.2,81.7,.305,.644,.526,44.9,59.1,8.5,0.0,.500,23.7,18.4,.203,.535,10.7,70.0,.225
14,2017-01-04,,Bethune-Cookman,W,104,91,35,72,.486,12,41,.293,22,37,.595,13,39,19,4,3,6,22,33,77,.429,11,29,.379,14,23,.609,21,49,19,3,2,14,27,126.8,111.0,81.8,.514,.569,.581,44.3,54.3,4.9,6.3,.569,6.3,31.7,.306,.500,13.7,55.3,.182
15,2017-01-09,@,Hampton,L,80,84,25,60,.417,14,36,.389,16,26,.615,6,35,15,8,3,17,20,30,69,.435,10,28,.357,14,19,.737,10,39,15,4,5,13,22,97.6,102.4,82.2,.433,.600,.553,47.3,60.0,9.8,7.3,.533,19.0,17.1,.267,.507,14.3,74.4,.203
