G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,,St. Thomas (TX),W,82,64,30,62,.484,7,26,.269,15,23,.652,10,34,15,12,2,14,16,23,53,.434,9,29,.310,9,13,.692,4,24,17,3,1,20,17,107.9,84.2,76.1,.371,.419,.562,58.6,50.0,15.8,8.3,.540,16.1,33.3,.242,.519,25.3,85.7,.170
2,2016-11-14,,Alabama State,W,98,62,37,62,.597,10,22,.455,14,20,.700,12,33,29,12,3,16,23,22,50,.440,5,16,.313,13,25,.520,10,24,9,6,5,21,23,132.4,83.8,74.2,.323,.355,.685,57.9,78.4,16.2,8.8,.677,18.3,46.2,.226,.490,25.3,67.7,.260
3,2016-11-18,,Jacksonville State,W,79,60,28,56,.500,11,21,.524,12,19,.632,11,32,16,8,4,8,15,21,48,.438,9,21,.429,9,14,.643,6,24,15,3,1,14,19,127.4,96.8,62.3,.339,.375,.607,57.1,57.1,12.9,14.8,.598,11.0,37.9,.214,.531,20.4,77.8,.188
4,2016-11-21,,Illinois State,W,80,71,26,56,.464,6,14,.429,22,30,.733,10,33,20,10,2,12,19,22,51,.431,10,25,.400,17,22,.773,5,27,17,7,3,17,24,109.6,97.3,72.9,.536,.250,.569,55.0,76.9,13.7,7.7,.518,14.6,31.3,.393,.529,21.7,82.1,.333
5,2016-11-25,@,UNLV,W,63,59,21,58,.362,6,24,.250,15,28,.536,9,38,11,9,7,12,18,22,57,.386,9,19,.474,6,10,.600,8,33,14,5,6,19,22,85.1,79.7,73.5,.483,.414,.442,53.5,52.4,12.2,18.4,.414,14.4,26.5,.259,.465,23.5,78.4,.105
6,2016-11-26,N,Washington,W,93,80,30,57,.526,7,18,.389,26,33,.788,10,31,14,9,3,18,22,28,61,.459,5,18,.278,19,23,.826,10,26,13,8,4,18,25,116.3,100.0,80.3,.579,.316,.640,54.4,46.7,11.3,7.0,.588,19.9,38.5,.456,.500,20.0,67.7,.311
7,2016-11-30,,Washington,W,86,71,31,67,.463,5,17,.294,19,28,.679,10,29,19,12,6,9,19,27,59,.458,10,12,.833,7,18,.389,18,44,14,5,6,25,23,111.7,92.2,76.9,.418,.254,.535,39.7,61.3,15.6,12.8,.500,10.1,27.8,.284,.542,27.0,51.4,.119
8,2016-12-03,,Arkansas State,W,77,54,25,53,.472,7,19,.368,20,27,.741,11,38,17,8,9,9,17,19,55,.345,8,22,.364,8,20,.400,8,27,15,3,2,15,21,113.2,79.4,67.7,.509,.358,.585,58.5,68.0,11.8,27.3,.538,12.0,36.7,.377,.418,18.9,77.1,.145
9,2016-12-07,@,SMU,L,59,74,23,54,.426,6,22,.273,7,12,.583,10,28,13,2,3,9,21,23,52,.442,5,16,.313,23,30,.767,10,34,14,2,3,5,14,98.3,123.3,60.0,.222,.407,.494,45.2,56.5,3.3,8.3,.481,13.1,29.4,.130,.490,7.0,64.3,.442
10,2016-12-10,,Wofford,W,72,63,21,49,.429,6,19,.316,24,41,.585,13,39,16,8,7,12,10,26,63,.413,5,20,.250,6,8,.750,8,29,11,4,2,11,28,104.3,91.3,68.6,.837,.388,.526,57.4,76.2,11.6,16.3,.490,14.9,38.2,.490,.452,14.1,76.5,.095
