G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,N,Marquette,L,71,95,23,58,.397,8,24,.333,17,26,.654,10,35,13,4,5,19,10,39,74,.527,13,31,.419,4,5,.800,9,36,22,13,4,11,23,89.9,120.3,78.9,.448,.414,.505,49.3,56.5,5.1,11.6,.466,21.3,27.0,.293,.615,12.6,73.5,.054
2,2016-11-15,,Belmont,W,80,66,23,50,.460,9,18,.500,25,31,.806,6,37,13,2,4,13,15,24,68,.353,9,41,.220,9,13,.692,10,31,15,4,2,8,23,111.1,91.7,72.0,.620,.360,.618,54.4,56.5,2.8,14.8,.550,16.7,22.2,.500,.419,9.7,75.6,.132
3,2016-11-18,,Norfolk State,W,75,52,21,56,.375,10,28,.357,23,28,.821,14,44,16,4,9,12,19,18,60,.300,2,11,.182,14,20,.700,10,30,2,3,1,12,21,108.7,75.4,69.4,.500,.500,.541,59.5,76.2,5.8,18.4,.464,14.8,41.2,.411,.317,14.7,75.0,.233
4,2016-11-21,,Bucknell,L,72,75,29,62,.468,7,18,.389,7,9,.778,9,24,15,4,2,8,16,27,53,.509,8,19,.421,13,17,.765,7,31,9,4,4,11,10,110.8,115.4,65.2,.145,.290,.543,43.6,51.7,6.2,5.9,.524,10.8,27.3,.113,.585,15.3,68.2,.245
5,2016-11-24,N,Butler,L,66,76,22,52,.423,7,22,.318,15,19,.789,7,31,11,5,4,16,29,21,52,.404,9,25,.360,25,36,.694,12,36,14,6,1,12,17,94.3,108.6,69.6,.365,.423,.541,46.3,50.0,7.1,14.8,.490,20.8,22.6,.288,.490,14.8,66.7,.481
6,2016-11-25,N,Santa Clara,W,76,66,24,48,.500,15,28,.536,13,17,.765,5,26,18,1,1,13,15,23,49,.469,6,21,.286,14,15,.933,1,19,8,0,1,9,20,118.8,103.1,64.1,.354,.583,.678,57.8,75.0,1.6,3.6,.656,18.8,21.7,.271,.531,13.8,95.5,.286
7,2016-11-29,,Tennessee State,W,83,59,25,46,.543,10,23,.435,23,30,.767,11,32,12,6,3,18,19,20,49,.408,7,15,.467,12,25,.480,7,16,8,3,3,14,20,122.1,86.8,67.6,.652,.500,.689,66.7,48.0,8.8,8.8,.652,23.0,55.0,.500,.480,18.7,75.0,.245
8,2016-12-03,N,Minnesota,L,52,56,19,63,.302,8,25,.320,6,9,.667,11,41,12,4,4,12,13,23,59,.390,3,9,.333,7,15,.467,8,38,15,7,8,9,7,76.5,82.4,67.7,.143,.397,.386,51.9,63.2,5.9,8.0,.365,15.1,26.8,.095,.415,12.0,78.9,.119
9,2016-12-06,,High Point,W,90,63,29,50,.580,19,32,.594,13,15,.867,4,24,23,8,3,13,16,19,41,.463,12,15,.800,13,16,.813,3,19,12,5,1,19,17,138.5,96.9,65.4,.300,.640,.788,55.8,79.3,12.3,11.5,.770,18.5,20.0,.260,.610,28.1,87.0,.317
10,2016-12-08,@,Middle Tennessee,L,48,71,17,53,.321,5,19,.263,9,13,.692,4,29,9,3,2,13,10,28,61,.459,7,24,.292,8,13,.615,5,37,15,10,3,6,14,70.6,104.4,68.2,.245,.358,.406,43.9,52.9,4.4,5.4,.368,18.0,11.1,.170,.516,8.2,83.3,.131
