G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-11,,South Carolina State,W,85,39,30,63,.476,4,23,.174,21,29,.724,13,47,21,10,5,10,18,14,52,.269,3,16,.188,8,11,.727,5,22,5,4,1,19,23,116.4,53.4,72.5,.460,.365,.554,68.1,70.0,13.7,13.9,.508,11.5,43.3,.333,.298,24.9,87.2,.154
2,2016-11-13,,Long Beach State,W,92,55,31,56,.554,10,20,.500,20,31,.645,8,40,16,11,8,14,26,20,64,.313,2,20,.100,13,22,.591,10,28,8,6,1,21,25,113.6,67.9,81.1,.554,.357,.650,58.8,51.6,13.6,18.2,.643,16.5,30.8,.357,.328,22.0,76.2,.203
3,2016-11-16,,Tulsa,W,80,53,27,63,.429,6,22,.273,20,26,.769,12,43,20,7,5,15,21,18,54,.333,6,22,.273,11,21,.524,3,27,9,8,3,14,24,103.9,68.8,76.7,.413,.349,.531,61.4,74.1,9.1,15.6,.476,16.6,33.3,.317,.389,18.0,91.2,.204
4,2016-11-20,,Maryland-Eastern Shore,W,116,79,35,53,.660,15,24,.625,31,43,.721,4,25,20,7,0,12,25,27,55,.491,10,21,.476,15,24,.625,6,21,11,8,3,17,35,146.8,100.0,79.4,.811,.453,.790,54.3,57.1,8.9,0.0,.802,14.0,21.1,.585,.582,20.4,77.8,.273
5,2016-11-23,N,LSU,W,82,47,31,69,.449,9,18,.500,11,18,.611,12,42,16,7,3,14,14,18,64,.281,4,25,.160,7,13,.538,11,35,8,9,6,16,18,106.5,61.0,77.4,.261,.261,.529,54.5,51.6,9.1,7.7,.514,15.3,33.3,.159,.313,18.6,73.2,.109
6,2016-11-24,N,Louisville,L,52,62,18,57,.316,6,22,.273,10,18,.556,11,32,12,4,0,12,17,19,52,.365,7,24,.292,17,23,.739,10,42,13,4,8,14,22,77.6,92.5,66.7,.316,.386,.397,43.2,66.7,6.0,0.0,.368,15.5,25.6,.175,.433,18.2,67.7,.327
7,2016-11-25,N,Michigan State,L,72,77,22,61,.361,5,22,.227,23,30,.767,11,29,9,8,1,6,20,26,52,.500,11,25,.440,14,21,.667,7,34,20,2,6,14,25,102.9,110.0,69.6,.492,.361,.478,46.0,40.9,11.4,3.7,.402,7.4,28.9,.377,.606,18.4,72.0,.269
8,2016-11-29,,Southern Nazarene,W,87,57,32,61,.525,8,18,.444,15,20,.750,14,39,21,10,2,12,21,16,49,.327,6,20,.300,19,31,.613,5,22,8,6,3,15,19,122.5,80.3,71.1,.328,.295,.617,63.9,65.6,14.1,6.9,.590,14.5,45.2,.246,.388,19.1,83.3,.388
9,2016-12-03,@,Colorado State,W,82,67,28,60,.467,13,27,.481,13,17,.765,10,29,15,8,2,13,23,18,44,.409,7,18,.389,24,29,.828,8,30,12,7,3,19,20,117.1,95.7,69.9,.283,.450,.602,49.2,53.6,11.4,7.7,.575,16.0,31.3,.217,.489,24.7,70.4,.545
10,2016-12-06,,Saint Louis,W,75,45,27,60,.450,8,20,.400,13,17,.765,8,46,20,6,3,9,12,15,58,.259,8,28,.286,7,10,.700,2,26,11,7,1,9,18,108.7,65.2,69.4,.283,.333,.551,63.9,74.1,8.7,10.0,.517,11.7,25.0,.217,.328,12.5,95.0,.121
