G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2016-11-12,@,LSU,L,69,91,24,65,.369,8,22,.364,13,13,1.000,13,30,9,2,0,12,19,34,66,.515,6,21,.286,17,21,.810,17,41,11,9,5,7,15,101.5,133.8,68.1,.200,.338,.485,42.3,37.5,2.9,0.0,.431,14.4,35.1,.200,.561,8.4,50.0,.258
2,2016-11-15,,Allen,W,117,77,42,62,.677,17,26,.654,16,22,.727,9,41,27,4,7,16,16,28,73,.384,6,21,.286,15,21,.714,8,19,10,9,1,7,15,144.4,95.1,80.7,.355,.419,.807,68.3,64.3,4.9,13.5,.815,18.1,45.0,.258,.425,7.8,80.0,.205
3,2016-11-21,N,Vermont,L,59,60,20,45,.444,4,12,.333,15,21,.714,4,23,8,5,3,18,25,19,50,.380,4,16,.250,18,22,.818,6,26,12,5,1,12,18,86.8,88.2,67.7,.467,.267,.537,46.9,40.0,7.4,8.8,.489,24.7,16.7,.333,.420,16.6,76.0,.360
4,2016-11-22,N,Bradley,L,62,70,19,55,.345,6,18,.333,18,25,.720,9,31,12,7,2,14,22,23,54,.426,5,18,.278,19,27,.704,10,37,10,6,6,13,21,87.3,98.6,70.9,.455,.327,.464,45.6,63.2,9.9,5.6,.400,17.3,25.0,.327,.472,16.3,68.8,.352
5,2016-11-23,N,Kent State,L,59,66,21,56,.375,13,31,.419,4,5,.800,4,29,17,5,1,12,20,20,57,.351,5,19,.263,21,29,.724,10,36,8,7,1,5,11,89.4,100.0,66.1,.089,.554,.505,44.6,81.0,7.6,2.6,.491,17.1,13.3,.071,.395,6.6,71.4,.368
6,2016-11-27,@,Colorado,L,60,75,23,53,.434,8,23,.348,6,8,.750,5,21,19,5,1,12,22,26,46,.565,6,12,.500,17,27,.630,6,28,13,6,2,12,11,93.8,117.2,64.3,.151,.434,.528,42.9,82.6,7.8,2.9,.509,17.4,18.5,.113,.630,16.9,72.7,.370
7,2016-11-29,,Mars Hill,W,79,76,27,52,.519,10,22,.455,15,23,.652,9,24,19,8,0,13,12,31,53,.585,6,14,.429,8,9,.889,7,25,16,7,1,16,19,117.9,113.4,66.6,.442,.423,.628,49.0,70.4,11.9,0.0,.615,17.1,33.3,.288,.642,21.8,68.2,.151
8,2016-12-03,N,Miami (FL),L,57,74,21,58,.362,5,23,.217,10,15,.667,9,24,10,8,3,12,17,24,48,.500,7,15,.467,19,21,.905,10,35,15,7,2,16,12,86.4,112.1,66.1,.259,.397,.438,40.7,47.6,12.1,9.1,.405,15.6,26.5,.172,.573,21.6,60.0,.396
9,2016-12-06,,Virginia Wise,W,116,56,45,64,.703,15,22,.682,11,15,.733,9,42,34,5,6,11,12,20,61,.328,10,30,.333,6,13,.462,7,15,11,7,1,12,17,158.9,76.7,72.7,.234,.344,.815,73.7,75.6,6.8,19.4,.820,13.4,52.9,.172,.410,15.2,82.5,.098
10,2016-12-10,@,TCU,L,63,72,26,63,.413,5,20,.250,6,8,.750,8,29,11,4,2,11,28,21,49,.429,6,19,.316,24,41,.585,13,39,16,8,7,12,10,91.3,104.3,68.6,.127,.317,.472,42.6,42.3,5.8,6.7,.452,14.1,23.5,.095,.490,14.9,61.8,.490
11,2016-12-15,,Austin Peay,W,96,77,37,62,.597,13,24,.542,9,15,.600,6,28,25,9,1,10,21,29,51,.569,5,11,.455,14,24,.583,3,26,9,4,6,15,17,129.7,104.1,73.8,.242,.387,.694,51.9,67.6,12.2,2.5,.702,12.6,20.7,.145,.618,19.4,88.0,.275
12,2016-12-19,@,Coastal Carolina,W,75,74,28,56,.500,13,28,.464,6,11,.545,7,26,18,6,0,10,19,28,54,.519,7,20,.350,11,19,.579,12,36,8,3,1,14,19,115.4,113.8,64.6,.196,.500,.612,41.9,64.3,9.2,0.0,.616,14.0,22.6,.107,.583,18.2,61.3,.204
13,2016-12-22,@,Georgia Tech,L,72,76,25,63,.397,11,31,.355,11,12,.917,10,30,18,4,3,8,16,27,52,.519,5,11,.455,17,22,.773,6,35,17,5,5,10,12,107.5,113.4,66.6,.190,.492,.524,46.2,72.0,6.0,7.3,.484,10.4,25.6,.175,.567,13.8,76.9,.327
14,2016-12-31,,Mercer,W,88,71,27,53,.509,8,21,.381,26,30,.867,7,33,20,8,3,7,20,24,56,.429,7,21,.333,16,22,.727,5,24,11,3,2,8,22,129.4,104.4,68.4,.566,.396,.654,57.9,74.1,11.8,8.6,.585,9.4,26.9,.491,.491,10.7,83.9,.286
15,2017-01-02,,Citadel,L (1 OT),103,104,33,65,.508,5,19,.263,32,35,.914,14,43,18,9,2,23,22,36,73,.493,12,35,.343,20,26,.769,8,24,16,19,3,16,27,112.0,113.0,81.8,.538,.292,.631,64.2,54.5,9.8,5.3,.546,22.0,46.7,.492,.575,15.8,78.4,.274
16,2017-01-05,@,Chattanooga,L,66,77,24,52,.462,10,19,.526,8,9,.889,2,26,15,2,1,14,21,28,56,.500,5,18,.278,16,22,.727,7,29,9,7,3,9,14,97.1,113.2,68.4,.173,.365,.586,47.3,62.5,2.9,2.6,.558,19.9,8.3,.154,.545,11.9,77.4,.286
17,2017-01-08,@,Samford,L (1 OT),89,91,29,63,.460,13,30,.433,18,23,.783,7,26,22,3,0,9,26,29,58,.500,4,14,.286,29,34,.853,9,35,20,5,0,9,22,118.7,121.3,66.7,.365,.476,.602,42.6,75.9,4.0,0.0,.563,10.9,21.2,.286,.534,10.8,67.9,.500
18,2017-01-14,,Furman,W,67,58,24,53,.453,6,18,.333,13,19,.684,8,37,14,6,2,12,16,25,60,.417,4,20,.200,4,10,.400,7,30,7,9,2,8,16,101.5,87.9,65.9,.358,.340,.540,55.2,58.3,9.1,5.0,.509,16.2,25.8,.245,.450,11.0,80.6,.067
19,2017-01-19,,VMI,W,88,70,31,63,.492,6,20,.300,20,23,.870,11,36,15,5,0,13,18,26,59,.441,5,21,.238,13,21,.619,9,29,11,10,1,15,18,117.3,93.3,75.5,.365,.317,.595,55.4,48.4,6.7,0.0,.540,15.0,35.5,.317,.483,17.9,73.5,.220
20,2017-01-22,@,ETSU,L,72,79,23,51,.451,9,20,.450,17,19,.895,7,21,11,9,1,17,18,30,52,.577,6,17,.353,13,18,.722,9,28,11,7,7,18,17,102.9,112.9,69.8,.373,.392,.600,42.9,47.8,12.9,2.9,.539,22.1,26.9,.333,.635,22.9,60.9,.250
21,2017-01-25,,UNC Greensboro,W,93,74,34,62,.548,11,25,.440,14,16,.875,8,28,24,2,2,6,17,25,53,.472,5,16,.313,19,21,.905,7,29,8,3,0,13,19,136.8,108.8,68.3,.258,.403,.668,49.1,70.6,2.9,5.4,.637,7.9,26.7,.226,.519,17.1,74.1,.358
22,2017-01-28,@,Western Carolina,L,62,68,21,52,.404,7,25,.280,13,19,.684,6,26,11,5,3,14,19,25,53,.472,5,15,.333,13,18,.722,7,35,10,4,2,18,22,87.3,95.8,70.8,.365,.481,.508,42.6,52.4,7.0,7.9,.471,18.7,17.6,.250,.519,22.6,74.1,.245
23,2017-02-02,@,Citadel,W,100,90,33,56,.589,10,17,.588,24,30,.800,9,38,17,5,4,20,19,32,69,.464,13,33,.394,13,16,.813,7,24,15,12,2,12,28,123.5,111.1,81.4,.536,.304,.712,61.3,51.5,6.2,11.1,.679,22.2,34.6,.429,.558,13.5,80.6,.188
24,2017-02-04,@,Mercer,W,65,62,22,51,.431,11,22,.500,10,13,.769,3,20,19,8,0,8,17,19,53,.358,5,19,.263,19,22,.864,13,38,8,2,1,14,16,103.2,98.4,63.3,.255,.431,.568,34.5,86.4,12.7,0.0,.539,12.3,10.7,.196,.406,18.1,56.7,.358
25,2017-02-06,,ETSU,W,79,76,24,53,.453,13,25,.520,18,24,.750,7,22,14,9,3,12,15,28,55,.509,9,18,.500,11,14,.786,9,32,14,5,3,20,24,111.3,107.0,71.0,.453,.472,.613,40.7,58.3,12.7,8.1,.575,15.7,23.3,.340,.591,24.5,62.5,.200
26,2017-02-09,,Samford,W (4 OT),131,127,41,92,.446,13,35,.371,36,44,.818,17,46,26,3,3,11,23,43,82,.524,14,27,.519,27,32,.844,10,43,29,2,1,15,36,124.8,121.0,69.7,.478,.380,.580,51.7,63.4,2.9,5.5,.516,8.9,34.0,.391,.610,13.4,74.4,.329
27,2017-02-11,,Chattanooga,L,65,73,26,66,.394,6,21,.286,7,10,.700,11,35,16,3,5,7,18,25,51,.490,8,21,.381,15,20,.750,5,33,13,4,6,9,15,98.5,110.6,65.6,.152,.318,.459,51.5,61.5,4.5,16.7,.439,9.0,28.2,.106,.569,12.9,82.8,.294
28,2017-02-15,@,UNC Greensboro,L,55,74,16,52,.308,7,22,.318,16,24,.667,9,29,13,5,0,11,12,28,52,.538,7,19,.368,11,12,.917,1,27,13,5,4,9,22,83.3,112.1,65.6,.462,.423,.434,51.8,81.3,7.6,0.0,.375,14.8,25.7,.308,.606,13.5,95.2,.212
