G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,Iona,W,69,67,24,62,.387,4,15,.267,17,19,.895,18,44,6,1,0,11,16,26,59,.441,4,22,.182,11,14,.786,5,21,14,6,3,7,21,104.5,101.5,65.8,.306,.242,.486,67.7,25.0,1.5,0.0,.419,13.4,52.9,.274,.475,9.6,83.9,.186
2,2017-11-13,@,Boston University,W,88,74,32,56,.571,3,5,.600,21,29,.724,9,33,11,2,1,11,15,29,65,.446,8,27,.296,8,11,.727,7,26,13,7,4,7,21,123.9,104.2,70.3,.518,.089,.631,55.9,34.4,2.8,2.6,.598,13.6,32.1,.375,.508,9.1,77.4,.123
3,2017-11-17,,Yale,W,80,72,32,59,.542,3,14,.214,13,19,.684,9,35,16,4,3,14,15,28,67,.418,7,28,.250,9,13,.692,11,27,10,6,5,13,17,108.1,97.3,74.1,.322,.237,.588,56.5,50.0,5.4,7.7,.568,17.1,36.0,.220,.470,15.1,70.3,.134
4,2017-11-20,,SUNY-Oneonta,W,102,77,37,72,.514,7,21,.333,21,28,.750,13,41,17,4,0,7,24,23,57,.404,10,25,.400,21,28,.750,8,27,13,3,3,14,28,130.8,98.7,77.8,.389,.292,.598,60.3,45.9,5.1,0.0,.563,7.6,40.6,.292,.491,16.6,77.8,.368
5,2017-11-22,@,Dartmouth,W,91,73,34,64,.531,8,17,.471,15,16,.938,14,27,13,8,0,12,13,27,49,.551,8,17,.471,11,12,.917,8,23,11,5,7,20,19,133.8,107.4,68.2,.250,.266,.635,54.0,38.2,11.8,0.0,.594,14.4,48.3,.234,.633,26.8,61.9,.224
6,2017-11-25,@,Holy Cross,W,78,62,31,58,.534,10,21,.476,6,10,.600,8,29,18,5,1,7,15,24,48,.500,5,18,.278,9,14,.643,3,18,11,3,4,9,14,127.9,101.6,61.2,.172,.362,.622,61.7,58.1,8.2,3.3,.621,10.0,34.8,.103,.552,14.1,87.5,.188
7,2017-11-27,@,Monmouth,L,73,81,26,54,.481,3,11,.273,18,28,.643,7,34,5,2,3,15,23,28,56,.500,8,18,.444,17,24,.708,2,26,12,7,4,8,24,98.6,109.5,74.4,.519,.204,.542,56.7,19.2,2.7,7.9,.509,18.2,22.6,.333,.571,10.6,93.1,.304
8,2017-11-29,,Colgate,W,75,69,25,59,.424,6,18,.333,19,23,.826,11,32,14,7,1,10,15,25,55,.455,8,22,.364,11,16,.688,5,22,9,7,1,9,20,110.3,101.5,67.8,.390,.305,.536,59.3,56.0,10.3,3.0,.475,12.5,39.3,.322,.527,12.6,80.8,.200
9,2017-12-02,,Columbia,W,86,82,28,62,.452,6,13,.462,24,29,.828,12,35,13,11,1,9,15,31,62,.500,9,21,.429,11,18,.611,9,34,19,3,3,16,25,114.7,109.3,75.2,.468,.210,.567,50.7,46.4,14.7,2.4,.500,10.6,32.4,.387,.573,18.5,71.9,.177
10,2017-12-06,,Bryant,W,84,68,33,61,.541,9,17,.529,9,13,.692,9,33,21,2,2,14,14,24,61,.393,11,26,.423,9,16,.563,7,21,21,10,4,9,16,118.3,95.8,71.4,.213,.279,.625,61.1,63.6,2.8,5.7,.615,17.2,39.1,.148,.484,11.6,77.4,.148
