G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,Iowa,L,62,95,23,61,.377,6,26,.231,10,18,.556,12,28,10,9,2,19,33,31,52,.596,12,22,.545,21,35,.600,8,36,23,8,7,17,19,80.5,123.4,77.1,.295,.426,.446,43.8,43.5,11.7,6.7,.426,21.5,30.0,.164,.712,19.9,66.7,.404
2,2017-11-12,@,Purdue,L,42,111,14,65,.215,2,21,.095,12,19,.632,8,21,7,4,1,13,24,40,66,.606,12,28,.429,19,28,.679,13,54,24,6,9,14,22,52.5,138.8,79.7,.292,.323,.284,28.0,50.0,5.0,2.6,.231,14.9,16.3,.185,.697,15.0,50.0,.288
3,2017-11-14,,Silver Lake,W,101,53,35,67,.522,3,18,.167,28,43,.651,9,35,22,21,4,14,20,17,52,.327,3,10,.300,16,21,.762,5,33,9,4,0,38,32,107.4,56.4,93.7,.642,.269,.578,51.5,62.9,22.3,9.5,.545,13.8,24.3,.418,.356,38.0,83.9,.308
4,2017-11-16,@,Notre Dame,L,66,105,22,61,.361,6,16,.375,16,21,.762,11,21,13,9,2,15,21,36,58,.621,10,22,.455,23,30,.767,12,37,18,9,8,12,18,89.2,141.9,73.6,.344,.262,.465,36.2,59.1,12.2,5.6,.410,17.4,30.6,.262,.707,14.2,45.5,.397
5,2017-11-18,@,Northern Iowa,L,44,82,17,54,.315,4,15,.267,6,12,.500,7,23,6,6,1,16,23,31,59,.525,5,20,.250,15,22,.682,13,45,16,6,5,13,14,63.8,118.8,69.1,.222,.278,.369,33.8,35.3,8.7,2.6,.352,21.1,17.9,.111,.568,15.8,55.2,.254
6,2017-11-21,,East-West,W,113,65,43,89,.483,4,15,.267,23,33,.697,20,56,27,11,7,12,28,18,64,.281,2,18,.111,27,37,.730,8,28,9,5,11,19,26,118.9,68.4,94.6,.371,.169,.540,66.7,62.8,11.6,15.2,.506,10.3,50.0,.258,.297,18.9,81.8,.422
7,2017-11-23,@,UMBC,L,73,84,29,56,.518,3,8,.375,12,14,.857,12,40,12,6,1,21,26,26,64,.406,14,30,.467,18,30,.600,12,27,21,10,6,11,18,98.6,113.5,74.1,.250,.143,.583,59.7,41.4,8.1,2.9,.545,25.1,44.4,.214,.516,12.3,70.0,.281
8,2017-11-24,N,Presbyterian,L,73,75,27,56,.482,10,25,.400,9,13,.692,7,30,13,5,1,14,19,23,53,.434,13,27,.481,16,21,.762,5,26,14,7,4,11,15,105.8,108.7,69.1,.232,.446,.587,53.6,48.1,7.2,3.8,.571,18.4,25.0,.161,.557,14.9,82.1,.302
9,2017-11-26,@,Drake,L,67,79,24,55,.436,9,21,.429,10,14,.714,7,29,7,2,1,11,15,29,61,.475,11,29,.379,10,12,.833,7,30,19,0,3,9,13,100.0,117.9,67.2,.255,.382,.543,49.2,29.2,3.0,3.1,.518,15.1,23.3,.182,.566,11.9,75.9,.164
10,2017-11-29,@,Marquette,L,69,95,24,58,.414,7,22,.318,14,17,.824,8,29,8,4,1,10,17,34,64,.531,18,39,.462,9,15,.600,11,38,23,3,2,8,17,101.5,139.7,68.1,.293,.379,.522,43.3,33.3,5.9,4.0,.474,13.1,22.9,.241,.672,10.1,65.6,.141
11,2017-12-02,,Northern Illinois,L,77,95,25,59,.424,10,25,.400,17,22,.773,9,30,11,2,5,17,18,34,65,.523,11,22,.500,16,23,.696,11,35,22,10,1,9,22,101.3,125.0,75.7,.373,.424,.554,46.2,44.0,2.6,11.6,.508,19.7,27.3,.288,.608,10.6,65.6,.246
12,2017-12-09,@,Oakland,L,50,82,16,59,.271,4,17,.235,14,17,.824,4,26,8,5,4,13,24,26,58,.448,4,23,.174,26,34,.765,10,45,17,8,9,12,15,65.8,107.9,76.1,.288,.288,.373,36.6,50.0,6.6,11.4,.305,16.2,10.3,.237,.483,13.9,68.8,.448
