G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,N,UCLA,L,60,63,20,58,.345,4,18,.222,16,20,.800,11,34,12,7,5,9,20,22,54,.407,5,14,.357,14,21,.667,10,30,11,6,6,14,17,89.6,94.0,66.7,.345,.310,.444,53.1,60.0,10.4,12.5,.379,11.8,35.5,.276,.454,18.0,69.7,.259
2,2017-11-19,,Bethune-Cookman,W,65,62,20,51,.392,1,8,.125,24,31,.774,15,38,14,6,10,19,18,20,55,.364,12,28,.429,10,25,.400,13,31,13,7,5,14,23,94.2,89.9,68.8,.608,.157,.494,55.1,70.0,8.7,37.0,.402,22.4,45.5,.471,.473,17.3,63.9,.182
3,2017-11-22,,Texas-Rio Grande Valley,W,78,68,26,48,.542,5,12,.417,21,34,.618,10,30,18,8,7,14,19,25,65,.385,2,18,.111,16,20,.800,15,32,16,8,2,16,22,108.3,94.4,71.8,.708,.250,.608,48.4,69.2,11.1,14.9,.594,17.9,37.0,.438,.400,17.7,57.1,.246
4,2017-11-24,,North Texas,W,63,49,23,53,.434,7,18,.389,10,12,.833,2,24,16,11,6,6,9,18,46,.391,8,15,.533,5,9,.556,6,31,12,3,1,18,12,101.6,79.0,62.5,.226,.340,.537,43.6,69.6,17.7,19.4,.500,9.3,7.4,.189,.478,26.4,78.6,.109
5,2017-11-28,,Northwestern,W,52,51,16,43,.372,4,14,.286,16,20,.800,7,34,14,4,4,14,10,21,58,.362,5,23,.217,4,5,.800,7,27,10,6,1,6,17,88.1,86.4,59.4,.465,.326,.495,55.7,87.5,6.8,11.4,.419,21.1,25.9,.372,.405,9.0,79.4,.069
6,2017-12-01,,Grambling,L,63,64,21,54,.389,10,27,.370,11,22,.500,9,30,17,6,8,13,17,24,54,.444,6,14,.429,8,12,.667,8,36,15,6,2,16,21,92.6,94.1,68.1,.407,.500,.489,45.5,81.0,8.8,20.0,.481,16.8,24.3,.204,.500,21.1,72.4,.148
7,2017-12-03,,Tennessee,L,70,77,21,54,.389,6,16,.375,22,33,.667,11,30,13,6,1,14,25,23,53,.434,8,20,.400,23,27,.852,9,32,15,5,7,14,24,97.2,106.9,71.8,.611,.296,.502,48.4,61.9,8.3,3.0,.444,16.7,32.4,.407,.509,17.5,67.9,.434
8,2017-12-06,@,Wofford,L,60,63,24,42,.571,5,13,.385,7,8,.875,3,29,11,4,3,16,14,21,59,.356,12,30,.400,9,13,.692,11,25,11,10,2,5,13,101.7,106.8,59.0,.190,.310,.655,53.7,45.8,6.8,10.3,.631,25.9,17.6,.167,.458,7.1,70.3,.153
9,2017-12-17,,Florida A&M,W,79,54,28,59,.475,6,15,.400,17,27,.630,12,42,15,11,7,14,16,20,62,.323,5,15,.333,9,15,.600,12,33,14,6,3,17,17,106.8,73.0,74.0,.458,.254,.550,56.0,53.6,14.9,14.9,.525,16.3,36.4,.288,.363,19.7,71.4,.145
10,2017-12-19,@,Georgia,L,59,80,22,60,.367,2,13,.154,13,17,.765,11,27,5,12,2,11,19,29,50,.580,9,19,.474,13,18,.722,7,33,17,6,4,15,16,88.1,119.4,67.3,.283,.217,.433,45.0,22.7,17.9,6.5,.383,13.9,29.7,.217,.670,20.4,69.6,.260
