G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,Tennessee Wesleyan,W,100,42,32,58,.552,13,28,.464,23,39,.590,10,54,26,7,7,12,14,15,74,.203,7,32,.219,5,13,.385,11,36,6,6,0,14,25,123.5,51.9,80.9,.672,.483,.653,60.0,81.3,8.6,16.7,.664,13.6,28.6,.397,.250,14.9,80.0,.068
2,2017-11-13,@,Richmond,W,94,61,35,61,.574,7,18,.389,17,22,.773,13,39,17,6,4,9,17,21,54,.389,4,19,.211,15,20,.750,7,20,11,7,3,10,22,140.3,91.0,67.0,.361,.295,.658,66.1,48.6,9.0,11.4,.631,11.2,50.0,.279,.426,13.6,78.8,.278
3,2017-11-15,@,Buffalo,L,76,81,26,62,.419,10,21,.476,14,23,.609,10,32,9,7,8,13,24,28,65,.431,9,25,.360,16,21,.762,10,37,18,1,5,14,22,98.7,105.2,77.5,.371,.339,.521,46.4,34.6,9.1,20.0,.500,15.1,27.0,.226,.500,15.7,68.8,.246
4,2017-11-20,N,Savannah State,W,86,71,33,62,.532,10,24,.417,10,18,.556,7,42,25,3,5,17,16,24,66,.364,11,42,.262,12,14,.857,4,29,14,8,5,12,19,106.2,87.7,80.6,.290,.387,.609,59.2,75.8,3.7,20.8,.613,19.4,21.9,.161,.447,14.2,89.7,.182
5,2017-11-21,@,Chattanooga,W (1 OT),77,75,30,58,.517,6,12,.500,11,15,.733,11,34,13,8,5,18,21,24,49,.490,10,22,.455,17,24,.708,3,18,10,6,3,12,14,108.5,105.6,62.9,.259,.207,.591,65.4,43.3,11.3,18.5,.569,21.7,42.3,.190,.592,16.6,88.5,.347
6,2017-11-26,@,Mississippi State,L,56,59,22,57,.386,6,19,.316,6,6,1.000,9,34,10,3,2,10,13,25,56,.446,4,18,.222,5,13,.385,12,35,9,2,5,12,11,90.3,95.2,61.5,.105,.333,.468,49.3,45.5,4.8,5.3,.439,14.3,28.1,.105,.482,16.2,67.6,.089
7,2017-11-30,,Alabama State,W,77,69,30,56,.536,4,17,.235,13,19,.684,11,35,16,7,11,16,18,22,62,.355,5,17,.294,20,22,.909,11,28,8,10,3,12,17,106.9,95.8,71.7,.339,.304,.592,55.6,53.3,9.7,24.4,.571,19.7,39.3,.232,.395,14.2,68.6,.323
8,2017-12-03,,Samford,W,89,58,33,53,.623,11,21,.524,12,20,.600,4,35,23,7,2,13,18,20,60,.333,8,31,.258,10,15,.667,9,29,14,7,1,18,17,120.3,78.4,73.8,.377,.396,.712,54.7,69.7,9.5,6.9,.726,17.2,16.7,.226,.400,21.1,77.5,.167
9,2017-12-09,,Louisiana-Monroe,W,75,56,29,50,.580,7,17,.412,10,13,.769,10,34,18,6,10,16,11,21,58,.362,8,25,.320,6,6,1.000,9,19,11,10,2,13,14,117.2,87.5,63.5,.260,.340,.668,64.2,62.1,9.4,30.3,.650,22.2,50.0,.200,.431,17.6,72.7,.103
10,2017-12-12,@,Oregon State,L,69,70,24,57,.421,5,11,.455,16,17,.941,10,27,6,6,2,11,21,24,46,.522,8,18,.444,14,22,.636,7,22,17,5,4,12,17,107.8,109.4,63.8,.298,.193,.530,55.1,25.0,9.4,7.1,.465,14.5,40.0,.281,.609,17.5,70.8,.304
