G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,St. Bonaventure,W,77,75,25,53,.472,8,22,.364,19,31,.613,5,29,12,6,2,13,24,24,61,.393,6,26,.231,21,31,.677,15,41,7,3,2,13,25,102.7,100.0,74.7,.585,.415,.568,41.4,48.0,8.0,5.7,.547,16.1,16.1,.358,.443,14.7,61.5,.344
2,2017-11-15,@,Minnesota,L,81,107,28,77,.364,11,26,.423,14,14,1.000,12,38,14,1,6,9,21,42,78,.538,11,25,.440,12,22,.545,16,43,32,5,12,4,13,102.5,135.4,78.6,.182,.338,.484,46.9,50.0,1.3,11.3,.435,9.7,30.8,.182,.609,4.3,61.9,.154
3,2017-11-19,@,UMass,L,76,101,27,60,.450,4,16,.250,18,22,.818,7,20,14,9,2,10,13,38,64,.594,15,26,.577,10,13,.769,10,35,22,2,4,18,16,100.0,132.9,75.8,.367,.267,.539,36.4,51.9,11.8,5.3,.483,12.4,21.9,.300,.711,20.4,56.5,.156
4,2017-11-21,@,BYU,L,88,95,30,66,.455,10,30,.333,18,25,.720,9,32,13,7,5,11,26,30,56,.536,7,12,.583,28,37,.757,6,34,14,4,3,14,19,108.6,117.3,80.7,.379,.455,.565,48.5,43.3,8.6,11.4,.530,12.4,24.3,.273,.598,16.0,79.3,.500
5,2017-11-24,,Alabama A&M,W,96,74,31,61,.508,10,27,.370,24,32,.750,13,41,12,6,5,10,21,25,61,.410,6,16,.375,18,27,.667,8,28,12,4,0,11,24,128.0,98.7,75.0,.525,.443,.630,59.4,38.7,8.0,11.1,.590,11.6,39.4,.393,.459,13.0,77.8,.295
6,2017-11-25,N,Texas-Arlington,L,90,95,27,64,.422,13,33,.394,23,27,.852,5,22,15,8,0,8,19,35,59,.593,8,22,.364,17,22,.773,9,39,20,4,5,15,17,115.4,121.8,77.6,.422,.516,.586,36.1,55.6,10.3,0.0,.523,9.4,14.3,.359,.661,17.8,65.4,.288
7,2017-11-27,,Army,W,77,71,24,65,.369,10,24,.417,19,30,.633,14,43,12,8,6,9,12,30,71,.423,9,21,.429,2,7,.286,9,37,16,3,6,11,23,102.7,94.7,75.3,.462,.369,.486,53.8,50.0,10.7,12.0,.446,10.2,33.3,.292,.486,12.9,76.3,.028
8,2017-11-29,,Buffalo,L,87,106,29,64,.453,8,20,.400,21,27,.778,12,31,10,4,3,14,17,40,69,.580,12,28,.429,14,19,.737,10,31,26,9,4,9,24,111.5,135.9,77.9,.422,.313,.566,50.0,34.5,5.1,7.3,.516,15.4,36.4,.328,.667,10.3,65.5,.203
9,2017-12-05,@,New Hampshire,W,78,70,28,56,.500,11,24,.458,11,20,.550,11,32,4,4,1,9,15,23,55,.418,11,25,.440,13,15,.867,8,29,12,1,1,9,18,123.8,111.1,63.3,.357,.429,.595,52.5,14.3,6.3,3.3,.598,12.1,34.4,.196,.518,12.7,72.4,.236
10,2017-12-10,,Saint Francis (PA),L (1 OT),87,93,30,68,.441,9,26,.346,18,31,.581,12,34,17,5,7,6,18,33,63,.524,8,15,.533,19,23,.826,8,35,10,3,2,14,25,111.5,119.2,69.6,.456,.382,.526,49.3,56.7,6.4,14.6,.507,6.8,30.8,.265,.587,15.9,73.3,.302
11,2017-12-16,@,Norfolk State,W,85,82,26,54,.481,12,25,.480,21,34,.618,8,29,15,6,6,14,17,27,61,.443,12,21,.571,16,19,.842,9,36,17,6,2,17,27,110.4,106.5,77.1,.630,.463,.606,44.6,57.7,7.8,15.0,.593,16.6,22.9,.389,.541,19.5,70.0,.262
