G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-11,,Wagner,L,49,60,15,47,.319,4,22,.182,15,30,.500,7,32,7,10,4,16,25,20,55,.364,6,21,.286,14,22,.636,12,38,12,6,5,16,21,70.0,85.7,69.9,.638,.468,.400,45.7,46.7,14.3,11.8,.362,20.7,21.2,.319,.418,19.6,67.6,.255
2,2017-11-14,,Lafayette,W,96,80,38,70,.543,13,26,.500,7,11,.636,9,32,13,8,5,8,24,27,52,.519,10,20,.500,16,27,.593,5,30,11,3,4,15,14,128.0,106.7,74.5,.157,.371,.638,51.6,34.2,10.7,15.6,.636,9.6,26.5,.100,.615,18.8,82.1,.308
3,2017-11-18,@,Seton Hall,L,53,82,20,54,.370,8,27,.296,5,10,.500,6,27,9,3,0,18,21,30,60,.500,7,21,.333,15,19,.789,11,38,19,6,7,11,14,75.7,117.1,69.9,.185,.500,.451,41.5,45.0,4.3,0.0,.444,23.5,18.2,.093,.558,13.7,65.6,.250
4,2017-11-22,,Kean,W,116,63,44,65,.677,14,24,.583,14,17,.824,6,38,32,16,5,15,19,23,63,.365,7,24,.292,10,18,.556,9,24,11,10,3,21,15,139.8,75.9,82.8,.262,.369,.794,61.3,72.7,19.3,12.8,.785,17.0,28.6,.215,.421,22.7,78.0,.159
5,2017-11-25,,Drexel,W,65,53,25,57,.439,5,20,.250,10,14,.714,7,36,13,9,5,16,26,19,58,.328,3,21,.143,12,25,.480,17,40,5,6,3,17,15,91.5,74.6,71.3,.246,.351,.511,47.4,52.0,12.7,13.5,.482,20.1,23.3,.175,.353,19.6,63.0,.207
6,2017-11-28,,LIU-Brooklyn,W,73,69,29,58,.500,5,17,.294,10,20,.500,6,30,15,8,4,10,21,20,53,.377,7,22,.318,22,25,.880,10,36,8,6,0,16,19,102.8,97.2,71.2,.345,.293,.541,45.5,51.7,11.3,12.9,.543,12.9,18.8,.172,.443,19.8,70.6,.415
7,2017-11-30,@,West Virginia,L,69,102,23,57,.404,6,17,.353,17,23,.739,8,33,8,7,2,18,22,35,71,.493,14,34,.412,18,24,.750,13,41,17,9,8,12,23,86.3,127.5,79.7,.404,.298,.508,44.6,34.8,8.8,5.4,.456,20.9,22.2,.298,.592,12.7,65.8,.254
8,2017-12-03,,UMass-Lowell,W,78,65,30,61,.492,5,10,.500,13,21,.619,10,28,13,14,1,12,20,26,51,.510,4,14,.286,9,17,.529,10,37,9,5,4,23,23,106.8,89.0,72.5,.344,.164,.549,43.1,43.3,19.2,2.7,.533,14.5,27.0,.213,.549,28.0,64.3,.176
9,2017-12-07,@,Rutgers,L,64,73,23,75,.307,5,28,.179,13,19,.684,21,40,13,15,2,12,22,29,50,.580,3,8,.375,12,23,.522,9,38,9,8,9,19,16,87.7,100.0,73.0,.253,.373,.381,51.3,56.5,20.5,4.8,.340,12.5,42.0,.173,.610,23.8,67.9,.240
10,2017-12-09,,Iona,L,70,74,22,60,.367,7,23,.304,19,26,.731,16,35,9,4,2,9,15,26,58,.448,10,20,.500,12,14,.857,10,34,14,3,5,12,19,106.1,112.1,66.0,.433,.383,.484,50.7,40.9,6.1,5.3,.425,11.1,40.0,.317,.534,15.7,65.5,.207
