G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,Virginia,L,48,60,15,51,.294,4,26,.154,14,18,.778,13,30,9,5,2,17,20,18,42,.429,4,16,.250,20,24,.833,7,30,8,8,4,13,17,78.7,98.4,61.5,.353,.510,.403,50.0,60.0,8.2,7.7,.333,22.2,36.1,.275,.476,19.6,70.8,.476
2,2017-11-15,,North Carolina Wesleyan,W,82,48,32,62,.516,8,26,.308,10,15,.667,13,41,16,9,7,15,15,17,52,.327,5,17,.294,9,14,.643,7,24,7,10,3,19,20,115.5,67.6,70.9,.242,.419,.593,63.1,50.0,12.7,20.0,.581,17.8,43.3,.161,.375,24.5,80.0,.173
3,2017-11-17,,Ferrum,W,95,43,35,63,.556,13,28,.464,12,20,.600,15,43,19,17,4,19,15,16,50,.320,6,24,.250,5,7,.714,4,20,8,11,0,26,16,125.0,56.6,75.9,.317,.444,.655,68.3,54.3,22.4,15.4,.659,20.8,48.4,.190,.380,32.8,87.5,.100
4,2017-11-20,,Delaware,W,79,66,25,53,.472,14,27,.519,15,18,.833,8,30,15,7,7,13,14,24,53,.453,6,17,.353,12,15,.800,7,25,4,10,1,11,19,121.5,101.5,65.3,.340,.509,.642,54.5,60.0,10.8,19.4,.604,17.4,30.8,.283,.509,15.5,75.9,.226
5,2017-11-21,,Longwood,W,71,40,26,62,.419,11,34,.324,8,14,.571,11,39,15,12,6,18,18,12,41,.293,4,15,.267,12,22,.545,3,25,4,7,2,26,16,94.7,53.3,75.1,.226,.548,.517,60.9,57.7,16.0,23.1,.508,20.8,33.3,.129,.341,33.6,90.3,.293
6,2017-11-24,@,Wake Forest,L,75,81,25,51,.490,13,26,.500,12,22,.545,9,23,14,8,0,11,23,24,39,.615,8,14,.571,25,32,.781,5,27,12,5,0,16,20,117.2,126.6,64.3,.431,.510,.610,46.0,56.0,12.5,0.0,.618,15.2,29.0,.235,.718,22.8,73.7,.641
7,2017-11-28,@,Presbyterian,L,72,74,28,58,.483,10,23,.435,6,9,.667,8,27,13,6,0,13,19,29,53,.547,10,27,.370,6,10,.600,7,25,15,7,2,12,13,110.8,113.8,65.0,.155,.397,.578,51.9,46.4,9.2,0.0,.569,17.3,30.8,.103,.642,17.2,73.1,.113
8,2017-12-02,@,Liberty,W (3 OT),76,75,24,79,.304,11,41,.268,17,27,.630,14,45,10,11,4,17,33,19,58,.328,4,23,.174,33,42,.786,7,46,8,8,2,20,24,81.7,80.6,67.6,.342,.519,.414,49.5,41.7,11.8,11.4,.373,15.6,26.4,.215,.362,20.4,81.6,.569
9,2017-12-07,,Elon,W,75,44,31,58,.534,10,27,.370,3,4,.750,4,29,14,13,1,8,10,17,49,.347,4,28,.143,6,7,.857,4,25,11,3,0,16,4,117.2,68.8,64.1,.069,.466,.626,53.7,45.2,20.3,4.8,.621,11.8,16.0,.052,.388,23.4,86.2,.122
10,2017-12-13,,UNC Wilmington,W,71,58,25,66,.379,9,29,.310,12,17,.706,12,39,14,12,7,12,21,20,61,.328,4,14,.286,14,22,.636,16,45,9,6,3,17,15,97.3,79.5,73.3,.258,.439,.479,46.4,56.0,16.4,14.9,.447,13.9,29.3,.182,.361,19.2,62.8,.230
11,2017-12-16,@,NC State,W,81,76,31,60,.517,12,24,.500,7,13,.538,10,32,16,8,1,12,20,25,50,.500,7,20,.350,19,28,.679,4,25,17,7,2,9,16,119.1,111.8,68.2,.217,.400,.612,56.1,51.6,11.8,3.3,.617,15.4,32.3,.117,.570,12.4,84.6,.380
12,2017-12-19,,UNC Asheville,L,60,67,22,54,.407,9,30,.300,7,12,.583,12,26,13,10,0,19,20,22,46,.478,4,19,.211,19,26,.731,8,31,11,11,1,17,20,89.6,100.0,67.0,.222,.556,.503,45.6,59.1,14.9,0.0,.491,24.1,34.3,.130,.522,22.6,63.6,.413
13,2017-12-21,,Southeastern,W,85,67,29,56,.518,9,22,.409,18,22,.818,9,36,13,8,1,18,21,22,50,.440,3,15,.200,20,26,.769,3,20,10,5,1,16,22,113.3,89.3,75.4,.393,.393,.640,64.3,44.8,10.7,2.9,.598,21.3,34.6,.321,.470,20.4,90.0,.400
14,2017-12-30,,Wofford,W,71,67,24,52,.462,11,27,.407,12,16,.750,9,27,16,4,4,11,14,25,54,.463,12,26,.462,5,9,.556,9,27,14,4,3,14,19,114.5,108.1,62.4,.308,.519,.596,50.0,66.7,6.5,14.3,.567,15.6,33.3,.231,.574,19.4,66.7,.093
