G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,Northern Iowa,W,86,69,31,62,.500,6,18,.333,18,21,.857,9,35,20,8,3,7,15,23,55,.418,13,28,.464,10,15,.667,5,25,15,2,1,14,20,121.1,97.2,70.6,.339,.290,.597,58.3,64.5,11.3,11.1,.548,8.9,31.0,.290,.536,18.4,83.9,.182
2,2017-11-15,,Bucknell,W,93,81,31,66,.470,6,17,.353,25,33,.758,14,43,22,6,7,13,19,29,63,.460,11,28,.393,12,18,.667,7,26,15,4,6,13,26,117.7,102.5,79.1,.500,.258,.569,62.3,71.0,7.6,20.0,.515,13.7,42.4,.379,.548,15.4,80.6,.190
3,2017-11-20,@,Stanford,W,96,72,37,73,.507,11,26,.423,11,15,.733,9,39,15,4,1,14,22,24,56,.429,7,19,.368,17,28,.607,4,29,14,8,4,19,18,112.9,84.7,84.7,.205,.356,.599,57.4,40.5,4.7,2.7,.582,14.9,26.5,.151,.491,21.5,88.2,.304
4,2017-11-23,N,Portland,W,102,78,39,78,.500,10,24,.417,14,20,.700,15,49,22,7,5,13,14,29,73,.397,13,28,.464,7,10,.700,8,31,17,6,3,14,19,120.0,91.8,84.6,.256,.308,.583,61.3,56.4,8.2,11.1,.564,12.9,39.5,.179,.486,15.3,81.0,.096
5,2017-11-24,N,Arkansas,W,87,68,31,63,.492,8,16,.500,17,21,.810,9,42,16,2,7,14,13,27,72,.375,9,27,.333,5,8,.625,7,26,10,8,9,9,19,111.5,87.2,77.9,.333,.254,.596,61.8,51.6,2.6,15.6,.556,16.1,32.1,.270,.438,10.6,82.5,.069
6,2017-11-26,N,Michigan State,L,45,63,15,61,.246,1,18,.056,14,24,.583,11,30,9,8,4,16,14,22,55,.400,10,26,.385,9,13,.692,10,44,16,7,7,22,23,60.0,84.0,75.3,.393,.295,.311,40.5,60.0,10.7,13.8,.254,18.1,24.4,.230,.491,26.5,65.5,.164
7,2017-11-29,,Michigan,W,86,71,34,62,.548,7,15,.467,11,16,.688,9,34,24,2,6,12,12,28,66,.424,10,34,.294,5,11,.455,9,27,16,8,6,10,16,119.4,98.6,72.4,.258,.242,.618,55.7,70.6,2.8,18.8,.605,14.7,33.3,.177,.500,12.3,73.5,.076
8,2017-12-01,N,Davidson,W,85,75,32,68,.471,5,20,.250,16,23,.696,11,45,14,2,2,11,14,26,64,.406,14,33,.424,9,10,.900,4,23,19,7,4,7,21,113.3,100.0,75.3,.338,.294,.538,66.2,43.8,2.7,6.5,.507,12.2,36.7,.235,.516,9.2,89.5,.141
9,2017-12-03,,Tulane,W,97,73,38,58,.655,5,12,.417,16,29,.552,9,43,18,3,9,13,19,26,69,.377,10,27,.370,11,16,.688,7,22,17,2,1,8,24,126.0,94.8,76.7,.500,.207,.676,66.2,47.4,3.9,21.4,.698,15.3,37.5,.276,.449,9.5,82.9,.159
10,2017-12-06,,Western Carolina,W,104,61,37,65,.569,16,22,.727,14,21,.667,11,49,31,8,9,17,9,23,68,.338,12,35,.343,3,6,.500,7,23,19,10,5,15,18,130.0,76.3,79.9,.323,.338,.694,68.1,83.8,10.0,27.3,.692,18.5,40.7,.215,.426,17.5,84.4,.044
