G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,UNC,L,69,86,23,55,.418,13,28,.464,10,15,.667,5,25,15,2,1,14,20,31,62,.500,6,18,.333,18,21,.857,9,35,20,8,3,7,15,97.2,121.1,70.6,.273,.509,.555,41.7,65.2,2.8,2.3,.536,18.4,16.1,.182,.548,8.9,69.0,.290
2,2017-11-13,,Alcorn State,W,73,45,26,58,.448,15,27,.556,6,9,.667,10,47,15,5,2,13,15,16,53,.302,7,23,.304,6,10,.600,3,23,6,10,5,9,18,112.3,69.2,64.5,.155,.466,.586,67.1,57.7,7.7,6.7,.578,17.3,33.3,.103,.368,13.5,92.5,.113
3,2017-11-15,,Wartburg,W,72,43,26,64,.406,5,31,.161,15,23,.652,12,48,7,12,7,14,15,15,62,.242,5,23,.217,8,8,1.000,9,38,5,9,3,20,23,93.5,55.8,76.9,.359,.484,.480,55.8,26.9,15.6,17.9,.445,15.7,29.3,.234,.282,23.3,80.0,.129
4,2017-11-18,,Chicago State,W,82,44,31,59,.525,5,20,.250,15,22,.682,13,45,16,6,5,13,14,17,54,.315,4,15,.267,6,12,.500,7,23,6,6,1,16,23,118.8,63.8,69.1,.373,.339,.590,66.2,51.6,8.7,12.8,.568,15.8,44.8,.254,.352,21.1,82.1,.111
5,2017-11-22,N,SMU,W,61,58,23,48,.479,8,22,.364,7,11,.636,5,32,10,3,4,16,12,23,59,.390,6,21,.286,6,9,.667,8,25,14,5,5,12,13,92.4,87.9,65.8,.229,.458,.573,56.1,43.5,4.5,10.5,.563,23.1,22.7,.146,.441,15.9,77.1,.102
6,2017-11-23,N,NC State,W,64,60,21,55,.382,5,18,.278,17,22,.773,12,36,6,6,1,10,13,22,65,.338,8,30,.267,8,13,.615,19,39,7,6,4,13,19,100.0,93.8,64.3,.400,.327,.489,48.0,28.6,9.4,2.9,.427,13.3,37.5,.309,.400,15.4,55.8,.123
7,2017-11-24,N,Villanova,L,50,64,22,53,.415,6,23,.261,0,0,,7,35,7,2,5,11,14,24,56,.429,8,25,.320,8,11,.727,7,28,10,6,4,3,6,87.7,112.3,57.1,.000,.434,.472,55.6,31.8,3.5,16.1,.472,17.2,25.0,.000,.500,4.7,80.0,.143
8,2017-11-29,,UNLV,W (1 OT),77,68,27,66,.409,2,14,.143,21,27,.778,9,34,5,13,1,8,15,26,62,.419,7,20,.350,9,12,.750,9,41,10,6,3,20,22,98.7,87.2,69.6,.409,.212,.488,45.3,18.5,16.7,2.4,.424,9.2,22.0,.318,.476,22.8,73.5,.145
9,2017-12-07,,Texas-Arlington,W,62,58,22,48,.458,11,24,.458,7,12,.583,2,26,12,8,0,12,10,21,56,.375,9,28,.321,7,9,.778,5,31,12,10,3,13,14,93.9,87.9,66.0,.250,.500,.577,45.6,54.5,12.1,0.0,.573,18.3,7.1,.146,.455,17.7,82.8,.125
10,2017-12-10,,Dubuque,W,80,47,27,56,.482,12,21,.571,14,15,.933,4,41,16,8,1,13,8,18,67,.269,9,33,.273,2,2,1.000,8,32,7,4,3,11,14,111.1,65.3,71.5,.268,.375,.634,56.2,59.3,11.1,2.9,.589,17.1,14.3,.250,.336,13.9,82.2,.030
11,2017-12-16,N,Iowa State,L,65,76,23,64,.359,9,26,.346,10,14,.714,9,32,9,4,0,9,21,25,58,.431,7,19,.368,19,24,.792,9,39,9,4,4,9,16,92.9,108.6,70.0,.219,.406,.460,45.1,39.1,5.7,0.0,.430,11.3,23.1,.156,.491,11.5,71.9,.328
12,2017-12-22,,Xavier,L,67,77,23,57,.404,10,26,.385,11,14,.786,3,26,17,4,1,11,20,25,48,.521,12,23,.522,15,19,.789,2,33,13,8,3,15,17,94.4,108.5,70.8,.246,.456,.526,44.1,73.9,5.6,4.0,.491,14.7,8.8,.193,.646,20.8,92.0,.313
13,2017-12-28,,Southern Illinois,L,53,56,21,54,.389,5,20,.250,6,8,.750,7,34,7,4,1,10,14,22,51,.431,9,21,.429,3,10,.300,7,34,10,3,3,8,14,89.8,94.9,58.8,.148,.370,.458,50.0,33.3,6.8,3.3,.435,14.7,20.6,.111,.520,12.5,79.4,.059
14,2017-12-31,@,Bradley,L,53,72,18,49,.367,9,23,.391,8,12,.667,6,26,12,4,0,12,17,23,48,.479,9,14,.643,17,20,.850,6,32,14,4,6,9,18,86.9,118.0,60.6,.245,.469,.484,44.8,66.7,6.6,0.0,.459,18.0,18.8,.163,.573,13.5,76.9,.354
15,2018-01-04,@,Missouri State,L,55,62,20,53,.377,4,18,.222,11,19,.579,3,24,9,5,3,6,25,20,54,.370,4,16,.250,18,27,.667,15,49,6,3,6,13,17,84.6,95.4,64.9,.358,.340,.443,32.9,45.0,7.7,7.9,.415,8.8,8.1,.208,.407,16.3,58.3,.333
16,2018-01-07,,Loyola (IL),L,50,56,19,52,.365,6,20,.300,6,8,.750,10,34,13,2,5,12,16,19,54,.352,9,22,.409,9,13,.692,8,30,11,9,3,7,15,86.2,96.6,58.5,.154,.385,.448,53.1,68.4,3.4,15.6,.423,17.7,31.3,.115,.435,10.4,75.0,.167
17,2018-01-10,@,Indiana State,L,67,69,25,59,.424,8,20,.400,9,11,.818,6,25,13,7,2,6,10,27,51,.529,9,21,.429,6,10,.600,4,33,11,3,7,15,13,103.1,106.2,65.5,.186,.339,.522,43.1,52.0,10.8,6.7,.492,8.5,17.1,.153,.618,21.2,82.6,.118
18,2018-01-13,,Valparaiso,W,81,76,22,46,.478,6,13,.462,31,38,.816,8,38,12,3,0,17,18,30,66,.455,7,23,.304,9,16,.563,7,26,14,13,3,10,27,108.0,101.3,74.8,.826,.283,.632,59.4,54.5,4.0,0.0,.543,21.0,29.6,.674,.508,12.0,81.1,.136
19,2018-01-16,,Drake,W,68,54,25,51,.490,6,15,.400,12,14,.857,4,32,10,3,1,11,10,21,52,.404,8,23,.348,4,5,.800,2,23,16,5,1,9,18,107.9,85.7,63.0,.275,.294,.590,58.2,40.0,4.8,3.4,.549,16.0,16.0,.235,.481,14.2,93.3,.077
20,2018-01-21,@,Southern Illinois,L,53,64,19,55,.345,8,30,.267,7,9,.778,5,29,8,8,0,12,12,26,52,.500,8,17,.471,4,9,.444,5,35,12,10,3,11,14,82.8,100.0,64.3,.164,.545,.447,45.3,42.1,12.5,0.0,.418,16.8,14.3,.127,.577,16.4,82.8,.077
21,2018-01-24,,Illinois State,W,83,72,26,53,.491,11,24,.458,20,30,.667,8,35,18,9,6,10,13,29,65,.446,12,28,.429,2,7,.286,14,34,11,8,3,15,24,120.3,104.3,69.3,.566,.453,.617,50.7,69.2,13.0,16.2,.594,12.9,28.6,.377,.538,18.0,65.9,.031
22,2018-01-28,@,Loyola (IL),L,47,70,19,52,.365,4,21,.190,5,8,.625,7,24,8,5,3,11,15,25,49,.510,7,14,.500,13,13,1.000,4,32,14,8,0,8,12,79.7,118.6,59.5,.154,.404,.421,42.9,42.1,8.5,8.6,.404,16.5,20.0,.096,.582,12.7,81.0,.265
23,2018-01-31,@,Evansville,L,49,57,15,48,.313,6,26,.231,13,18,.722,5,31,10,7,2,10,17,21,46,.457,9,17,.529,6,12,.500,1,30,16,5,2,10,20,80.3,93.4,61.1,.375,.542,.433,50.8,66.7,11.5,6.9,.375,15.0,14.7,.271,.554,16.2,96.3,.130
24,2018-02-03,,Indiana State,L,66,77,23,46,.500,5,11,.455,15,23,.652,5,23,7,9,4,14,18,26,50,.520,10,22,.455,15,17,.882,6,28,9,7,5,14,20,100.0,116.7,66.0,.500,.239,.580,45.1,30.4,13.6,14.3,.554,19.7,18.5,.326,.620,19.4,75.0,.300
25,2018-02-07,,Bradley,W,74,65,20,46,.435,8,21,.381,26,36,.722,9,32,10,6,2,11,24,19,45,.422,2,13,.154,25,29,.862,2,24,4,5,5,8,24,113.8,100.0,64.9,.783,.457,.586,57.1,50.0,9.2,6.3,.522,14.8,29.0,.565,.444,12.0,92.0,.556
26,2018-02-10,@,Drake,L,64,71,25,66,.379,8,31,.258,6,12,.500,14,36,10,4,3,10,22,23,48,.479,6,20,.300,19,27,.704,4,30,11,6,1,10,18,95.5,106.0,67.3,.182,.470,.446,54.5,40.0,6.0,10.7,.439,12.2,35.0,.091,.542,14.1,84.6,.396
27,2018-02-13,,Evansville,W,47,41,15,54,.278,5,22,.227,12,19,.632,11,35,9,3,3,5,9,18,49,.367,5,17,.294,0,0,,5,32,7,2,5,9,18,85.5,74.5,55.0,.352,.407,.373,52.2,60.0,5.5,9.4,.324,7.4,28.9,.222,.418,15.5,82.8,.000
