G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,Ohio State,L,64,95,23,65,.354,10,25,.400,8,10,.800,6,16,12,7,2,18,22,40,67,.597,5,18,.278,10,16,.625,16,49,16,8,8,19,13,80.0,118.8,79.7,.154,.385,.459,24.6,52.2,8.8,4.1,.431,20.5,15.4,.123,.634,20.3,38.5,.149
2,2017-11-13,@,Grand Canyon,L,61,75,21,62,.339,4,20,.200,15,22,.682,14,35,9,13,3,19,29,21,43,.488,7,16,.438,26,36,.722,7,34,13,5,6,21,21,80.3,98.7,75.8,.355,.323,.421,50.7,42.9,17.1,11.1,.371,20.8,34.1,.242,.570,25.9,75.0,.605
3,2017-11-15,@,San Diego,L,53,65,18,54,.333,3,17,.176,14,25,.560,7,29,5,6,1,13,27,18,49,.367,5,23,.217,24,32,.750,8,40,12,6,5,16,21,73.6,90.3,72.0,.463,.315,.402,42.0,27.8,8.3,3.8,.361,16.5,17.9,.259,.418,20.0,73.3,.490
4,2017-11-19,@,Duquesne,W,66,59,25,66,.379,3,15,.200,13,23,.565,18,45,10,12,1,15,20,17,46,.370,6,21,.286,19,29,.655,5,30,5,6,10,20,17,89.2,79.7,74.4,.348,.227,.429,60.0,40.0,16.2,4.0,.402,16.3,41.9,.197,.435,25.1,84.4,.413
5,2017-11-24,N,Norfolk State,W,75,53,28,58,.483,10,27,.370,9,12,.750,9,30,19,6,2,20,24,18,44,.409,4,8,.500,13,19,.684,5,24,11,3,2,26,12,101.4,71.6,74.4,.207,.466,.589,55.6,67.9,8.1,5.6,.569,23.9,32.1,.155,.455,32.9,80.8,.295
6,2017-11-25,@,Little Rock,W,78,64,23,53,.434,11,30,.367,21,30,.700,13,32,11,3,2,16,23,24,47,.511,5,14,.357,11,21,.524,9,30,11,4,2,21,28,111.4,91.4,69.6,.566,.566,.580,51.6,47.8,4.3,6.1,.538,19.2,38.2,.396,.564,26.9,67.9,.234
7,2017-11-29,@,Youngstown State,W,81,74,26,49,.531,7,16,.438,22,33,.667,6,29,12,7,7,19,20,29,66,.439,3,16,.188,13,20,.650,9,28,17,11,3,14,27,102.5,93.7,79.1,.673,.327,.626,50.9,46.2,8.9,14.0,.602,22.7,24.0,.449,.462,15.6,71.9,.197
8,2017-12-02,@,Siena,L,74,76,27,67,.403,10,22,.455,10,19,.526,12,31,12,8,3,10,21,25,52,.481,4,10,.400,22,27,.815,9,39,11,5,5,16,13,101.4,104.1,72.9,.284,.328,.487,44.3,44.4,11.0,7.1,.478,11.6,28.6,.149,.519,19.8,67.9,.423
9,2017-12-06,N,Rider,W,78,75,27,59,.458,11,27,.407,13,18,.722,9,31,20,4,5,13,22,24,61,.393,8,21,.381,19,31,.613,19,44,11,9,1,15,19,108.3,104.2,71.6,.305,.458,.577,41.3,74.1,5.6,12.5,.551,16.1,26.5,.220,.459,16.5,53.7,.311
10,2017-12-10,N,Drexel,W,74,60,31,63,.492,11,25,.440,1,4,.250,8,28,18,10,2,13,19,23,54,.426,4,16,.250,10,17,.588,10,31,7,5,5,17,7,107.2,87.0,69.5,.063,.397,.570,47.5,58.1,14.5,5.3,.579,16.7,27.6,.016,.463,21.5,66.7,.185
