G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-11,,Saint Francis (PA),W,85,68,35,65,.538,12,26,.462,3,3,1.000,10,35,24,4,2,10,22,25,52,.481,4,12,.333,14,18,.778,2,20,8,6,1,9,10,126.9,101.5,67.0,.046,.400,.640,63.6,68.6,6.0,5.0,.631,13.1,35.7,.046,.519,12.9,92.6,.269
2,2017-11-13,,New Mexico State,W,92,74,33,60,.550,7,14,.500,19,26,.731,10,33,15,2,1,4,14,28,56,.500,8,21,.381,10,13,.769,6,26,12,0,2,8,20,141.5,113.8,65.3,.433,.233,.636,55.9,45.5,3.1,2.9,.608,5.2,33.3,.317,.571,11.4,79.3,.179
3,2017-11-15,,Cal State Fullerton,W,76,57,27,56,.482,7,18,.389,15,17,.882,5,22,17,9,4,8,21,22,50,.440,1,11,.091,12,19,.632,10,32,10,4,6,21,19,110.1,82.6,68.6,.304,.321,.593,40.7,63.0,13.0,10.3,.545,11.1,18.5,.268,.450,26.2,63.0,.240
4,2017-11-19,@,San Jose State,W,79,61,28,55,.509,9,22,.409,14,18,.778,6,25,18,3,2,5,12,25,55,.455,3,14,.214,8,12,.667,9,26,17,4,5,9,18,127.4,98.4,61.6,.327,.400,.622,49.0,64.3,4.8,4.9,.591,7.3,26.1,.255,.482,12.9,67.9,.145
5,2017-11-23,@,Harvard,W,89,71,26,49,.531,7,20,.350,30,32,.938,6,35,13,4,0,13,17,28,63,.444,4,21,.190,11,14,.786,4,18,15,6,3,7,21,123.6,98.6,71.9,.653,.408,.693,66.0,50.0,5.6,0.0,.602,16.8,30.0,.612,.476,9.1,87.9,.175
6,2017-11-24,N,Washington State,L,79,84,30,58,.517,9,16,.563,10,16,.625,6,24,14,1,0,9,16,33,56,.589,7,21,.333,11,14,.786,3,28,13,4,4,9,15,114.5,121.7,68.6,.276,.276,.602,46.2,46.7,1.4,0.0,.595,12.1,19.4,.172,.652,12.6,85.7,.196
7,2017-11-26,N,Georgia,L (1 OT),81,83,37,73,.507,4,13,.308,3,6,.500,11,33,17,2,1,6,12,33,65,.508,7,17,.412,10,13,.769,7,31,14,1,6,9,11,112.5,115.3,64.0,.082,.178,.534,51.6,45.9,2.8,2.1,.534,7.3,31.4,.041,.562,11.2,75.9,.154
8,2017-12-02,@,California,W,74,63,25,51,.490,6,19,.316,18,21,.857,6,29,12,4,3,9,17,26,53,.491,5,14,.357,6,11,.545,5,22,15,3,6,12,16,113.8,96.9,64.6,.412,.373,.607,56.9,48.0,6.2,7.7,.549,12.9,26.1,.353,.538,17.1,82.1,.113
9,2017-12-04,,Sacramento State,W,70,54,25,54,.463,7,26,.269,13,16,.813,11,39,16,3,5,15,13,22,54,.407,4,14,.286,6,8,.750,3,22,7,8,1,12,19,106.1,81.8,66.2,.296,.481,.568,63.9,64.0,4.5,12.5,.528,19.6,36.7,.241,.444,17.2,90.3,.111
10,2017-12-09,,Seattle,W,97,73,34,58,.586,13,24,.542,16,23,.696,7,26,25,7,2,4,18,24,54,.444,11,20,.550,14,19,.737,12,30,13,3,2,11,17,151.6,114.1,64.0,.397,.414,.704,46.4,73.5,10.9,5.9,.698,5.5,28.0,.276,.546,14.9,61.3,.259
11,2017-12-16,,UC-Irvine,W,73,66,23,56,.411,5,16,.313,22,29,.759,10,31,15,4,3,6,15,26,54,.481,6,14,.429,8,13,.615,10,33,11,5,5,15,26,112.3,101.5,65.5,.518,.286,.523,48.4,65.2,6.2,7.5,.455,7.9,30.3,.393,.537,20.0,67.7,.148
12,2017-12-19,,Dayton,W,69,54,25,49,.510,9,23,.391,10,15,.667,10,37,15,2,5,12,11,21,60,.350,9,26,.346,3,3,1.000,8,23,11,7,3,6,17,116.9,91.5,58.8,.306,.469,.615,61.7,60.0,3.4,14.7,.602,17.6,40.0,.204,.425,8.9,77.1,.050
13,2017-12-22,,UNC Asheville,W,95,69,34,65,.523,15,32,.469,12,17,.706,13,38,23,4,1,8,13,27,58,.466,2,11,.182,13,15,.867,3,21,12,5,0,6,17,139.7,101.5,68.1,.262,.492,.650,64.4,67.6,5.9,2.1,.638,9.9,41.9,.185,.483,8.4,89.3,.224
14,2017-12-28,,Loyola Marymount,W,87,59,31,50,.620,10,16,.625,15,19,.789,7,31,25,6,7,11,14,21,56,.375,4,19,.211,13,14,.929,6,19,11,8,3,10,15,133.8,90.8,64.8,.380,.320,.737,62.0,80.6,9.2,18.9,.720,15.7,35.0,.300,.411,13.8,80.0,.232
15,2017-12-30,@,BYU,W (1 OT),74,64,28,55,.509,9,27,.333,9,14,.643,4,32,13,8,4,15,15,24,59,.407,5,13,.385,11,15,.733,6,28,17,10,4,12,14,102.8,88.9,64.3,.255,.491,.600,53.3,46.4,11.1,8.7,.591,19.6,15.4,.164,.449,15.4,82.4,.186
16,2018-01-04,,Pacific,W,74,56,25,50,.500,10,23,.435,14,16,.875,6,30,18,5,1,11,13,23,57,.404,4,15,.267,6,9,.667,10,27,12,6,2,10,15,119.4,90.3,61.9,.320,.460,.642,52.6,72.0,8.1,2.4,.600,16.0,26.1,.280,.439,14.0,70.6,.105
17,2018-01-06,,San Diego,W,70,63,22,46,.478,1,11,.091,25,32,.781,5,27,5,7,6,10,17,21,46,.457,5,16,.313,16,20,.800,3,21,9,5,0,14,22,106.1,95.5,66.4,.696,.239,.572,56.3,22.7,10.6,20.0,.489,14.0,21.7,.543,.511,20.1,88.0,.348
18,2018-01-11,@,Santa Clara,W,81,57,32,58,.552,9,18,.500,8,11,.727,10,32,24,6,2,9,16,20,50,.400,5,19,.263,12,15,.800,10,25,11,2,1,13,13,132.8,93.4,61.2,.190,.310,.641,56.1,75.0,9.8,6.5,.629,12.5,40.0,.138,.450,18.5,68.8,.240
19,2018-01-13,@,Pepperdine,W,91,67,36,54,.667,7,14,.500,12,14,.857,2,33,28,2,0,15,20,27,62,.435,4,17,.235,9,16,.563,4,17,17,9,1,4,14,126.4,93.1,71.6,.259,.259,.750,66.0,77.8,2.8,0.0,.731,19.8,13.3,.222,.468,5.4,88.6,.145
20,2018-01-18,@,Gonzaga,W,74,71,30,53,.566,8,13,.615,6,12,.500,4,26,14,3,3,7,13,29,61,.475,6,22,.273,7,9,.778,6,28,11,4,4,5,12,117.5,112.7,63.0,.226,.245,.630,48.1,46.7,4.8,7.7,.642,10.7,15.4,.113,.525,7.1,78.6,.115
21,2018-01-20,@,Pacific,W,72,69,25,50,.500,4,14,.286,18,24,.750,5,24,11,5,1,11,19,24,49,.490,5,12,.417,16,23,.696,9,28,11,4,1,13,16,109.1,104.5,65.7,.480,.280,.586,46.2,44.0,7.6,2.7,.540,15.2,20.8,.360,.541,17.8,67.9,.327
22,2018-01-25,,BYU,W,75,62,29,54,.537,9,21,.429,8,9,.889,4,31,18,7,3,12,12,23,54,.426,7,17,.412,9,11,.818,5,22,14,7,5,10,16,115.4,95.4,65.3,.167,.389,.644,58.5,62.1,10.8,8.1,.620,17.1,19.0,.148,.491,14.4,84.4,.167
23,2018-01-27,,Portland,W,72,55,24,51,.471,12,23,.522,12,14,.857,4,35,15,6,2,12,14,22,60,.367,7,20,.350,4,9,.444,6,30,6,7,1,13,15,105.9,80.9,68.5,.275,.451,.624,53.8,62.5,8.8,5.0,.588,17.2,14.3,.235,.425,16.8,83.8,.067
