G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,Missouri Baptist University,W,81,69,27,54,.500,8,20,.400,19,21,.905,5,25,17,7,2,11,18,24,48,.500,8,23,.348,13,23,.565,8,25,10,3,4,16,16,119.1,101.5,68.5,.389,.370,.633,50.0,63.0,10.3,8.0,.574,14.7,22.7,.352,.583,21.4,71.4,.271
2,2017-11-13,@,Louisiana Tech,L (1 OT),95,96,36,75,.480,9,25,.360,14,19,.737,13,34,20,6,4,9,20,31,60,.517,6,21,.286,28,34,.824,7,36,16,1,8,9,17,120.3,121.5,70.3,.253,.333,.565,48.6,55.6,7.6,10.3,.540,9.7,31.0,.187,.567,10.6,75.0,.467
3,2017-11-16,@,Evansville,L,50,66,19,48,.396,8,25,.320,4,8,.500,5,29,9,5,5,18,24,18,45,.400,8,18,.444,22,27,.815,3,25,12,5,2,10,14,76.9,101.5,64.8,.167,.521,.483,53.7,47.4,7.7,18.5,.479,25.8,18.5,.083,.489,14.7,88.9,.489
4,2017-11-21,N,Cal State Northridge,W,74,59,28,61,.459,10,24,.417,8,11,.727,6,34,17,7,4,10,16,21,62,.339,5,19,.263,12,17,.706,9,32,9,5,3,8,10,105.7,84.3,69.7,.180,.393,.559,51.5,60.7,10.0,9.3,.541,13.1,20.7,.131,.379,10.2,75.7,.194
5,2017-11-22,N,Montana State,L,82,88,29,51,.569,4,15,.267,20,26,.769,8,30,11,5,1,15,26,27,54,.500,8,20,.400,26,34,.765,9,26,12,6,2,10,24,115.5,123.9,70.8,.510,.294,.647,53.6,37.9,7.0,2.9,.608,19.1,32.0,.392,.574,12.5,71.0,.481
6,2017-11-26,,North Carolina Central,L,70,77,22,63,.349,5,20,.250,21,27,.778,13,38,11,7,0,12,18,28,54,.519,7,19,.368,14,22,.636,3,29,12,7,4,12,22,94.6,104.1,74.1,.429,.317,.462,56.7,50.0,9.5,0.0,.389,13.7,33.3,.333,.583,15.7,89.3,.259
7,2017-11-28,,Hannibal-LaGrange,W,83,59,31,63,.492,6,19,.316,15,21,.714,8,34,14,10,3,9,12,25,58,.431,4,18,.222,5,12,.417,8,28,13,5,6,18,19,112.2,79.7,73.8,.333,.302,.569,54.8,45.2,13.5,7.5,.540,11.0,28.6,.238,.466,22.0,76.5,.086
8,2017-12-02,@,North Carolina Central,W,86,77,31,55,.564,10,16,.625,14,22,.636,8,30,18,6,2,10,16,29,57,.509,5,15,.333,14,19,.737,7,28,17,2,2,13,20,122.9,110.0,69.7,.400,.291,.657,51.7,58.1,8.6,4.8,.655,13.3,27.6,.255,.553,16.5,75.9,.246
9,2017-12-06,,UMKC,W,91,87,28,58,.483,12,22,.545,23,30,.767,10,32,21,3,5,10,15,31,72,.431,15,34,.441,10,14,.714,12,35,17,4,6,9,25,123.0,117.6,74.0,.517,.379,.630,47.8,75.0,4.1,13.2,.586,12.2,30.3,.397,.535,10.3,64.7,.139
10,2017-12-09,@,Southern Illinois,W,75,69,22,50,.440,12,26,.462,19,30,.633,6,27,9,8,0,11,20,25,63,.397,11,28,.393,8,15,.533,12,36,15,3,6,15,23,105.6,97.2,71.2,.600,.520,.584,42.9,40.9,11.3,0.0,.560,14.6,20.0,.380,.484,17.6,63.6,.127
11,2017-12-16,@,Kansas State,L,71,89,25,57,.439,11,25,.440,10,10,1.000,4,18,16,4,0,9,16,35,56,.625,11,23,.478,8,16,.500,9,35,25,5,4,11,9,107.6,134.8,66.2,.175,.439,.575,34.0,64.0,6.1,0.0,.535,12.7,13.3,.175,.723,14.7,60.9,.143
12,2017-12-20,,Bradley,L,67,75,21,55,.382,9,25,.360,16,22,.727,7,30,11,3,0,12,20,25,53,.472,9,18,.500,16,23,.696,7,31,12,4,5,10,20,97.1,108.7,68.7,.400,.455,.512,49.2,52.4,4.3,0.0,.464,15.5,22.6,.291,.557,13.5,76.7,.302
13,2017-12-22,@,Saint Louis,L,48,78,17,53,.321,5,21,.238,9,12,.750,7,24,10,3,1,11,11,32,58,.552,8,20,.400,6,9,.667,10,36,17,6,6,8,13,78.7,127.9,61.5,.226,.396,.409,40.0,58.8,4.9,2.6,.368,15.8,21.2,.170,.621,11.4,63.0,.103
14,2017-12-28,,Belmont,L,72,94,24,59,.407,9,23,.391,15,23,.652,12,28,13,7,0,12,13,36,60,.600,14,28,.500,8,10,.800,7,31,21,4,5,10,21,104.3,136.2,68.8,.390,.390,.515,47.5,54.2,10.1,0.0,.483,14.6,33.3,.254,.717,13.4,69.6,.133
15,2017-12-31,,Tennessee State,W,77,65,24,53,.453,12,35,.343,17,20,.850,8,37,15,5,4,14,15,24,56,.429,8,22,.364,9,11,.818,4,24,8,7,2,10,20,113.2,95.6,67.9,.377,.660,.616,60.7,62.5,7.4,11.8,.566,18.3,28.6,.321,.500,14.0,87.9,.161
16,2018-01-04,@,Murray State,L,73,89,25,55,.455,8,21,.381,15,20,.750,8,27,13,5,0,15,21,29,54,.537,8,17,.471,23,30,.767,8,29,12,9,3,12,19,101.4,123.6,71.9,.364,.382,.566,48.2,52.0,6.9,0.0,.527,18.9,27.6,.273,.611,15.0,70.4,.426
17,2018-01-06,@,Austin Peay,L,71,76,24,51,.471,11,24,.458,12,17,.706,7,22,14,4,2,12,21,28,62,.452,6,25,.240,14,20,.700,20,40,13,4,0,13,15,110.9,118.8,64.3,.333,.471,.601,35.5,58.3,6.3,5.4,.578,16.9,25.9,.235,.500,15.4,42.9,.226
18,2018-01-11,,Morehead State,W,78,75,26,51,.510,8,29,.276,18,25,.720,7,26,11,5,2,13,19,28,58,.483,7,25,.280,12,17,.706,11,34,10,6,0,17,22,111.4,107.1,70.5,.490,.569,.620,43.3,42.3,7.1,6.1,.588,17.1,23.3,.353,.543,20.5,63.3,.207
19,2018-01-13,,Eastern Kentucky,L,86,91,30,60,.500,11,28,.393,15,21,.714,8,34,14,6,1,16,17,29,64,.453,12,29,.414,21,22,.955,7,29,15,5,2,10,19,110.3,116.7,77.7,.350,.467,.615,54.0,46.7,7.7,2.9,.592,18.6,26.7,.250,.547,11.8,78.8,.328
20,2018-01-18,@,SIU-Edwardsville,W,86,74,26,55,.473,11,24,.458,23,29,.793,7,28,16,7,1,11,17,25,63,.397,10,33,.303,14,23,.609,11,35,16,4,5,10,21,117.8,101.4,72.9,.527,.436,.625,44.4,61.5,9.6,3.3,.573,13.8,22.6,.418,.476,11.9,65.6,.222
21,2018-01-20,@,Eastern Illinois,W,86,74,27,56,.482,12,26,.462,20,22,.909,7,28,20,6,0,8,14,27,58,.466,8,24,.333,12,18,.667,11,33,16,3,4,14,17,124.6,107.2,68.5,.393,.464,.647,45.9,74.1,8.7,0.0,.589,10.7,24.1,.357,.534,17.4,65.6,.207
22,2018-01-25,@,Tennessee Tech,L,65,76,21,49,.429,10,26,.385,13,20,.650,4,20,11,8,1,11,15,29,63,.460,8,25,.320,10,11,.909,14,37,18,6,5,15,15,97.0,113.4,67.4,.408,.531,.556,35.1,52.4,11.9,2.6,.531,15.8,14.8,.265,.524,18.0,53.3,.159
23,2018-01-27,@,Jacksonville State,L,60,78,18,47,.383,8,25,.320,16,23,.696,6,19,11,6,1,16,18,28,57,.491,7,21,.333,15,19,.789,13,37,19,8,3,13,21,89.6,116.4,67.0,.489,.532,.518,33.9,61.1,9.0,2.8,.468,21.6,20.0,.340,.553,16.5,50.0,.263
24,2018-02-01,,Murray State,L,75,87,28,68,.412,5,22,.227,14,19,.737,13,32,5,8,2,11,19,30,58,.517,11,23,.478,16,24,.667,8,34,10,7,4,15,21,98.7,114.5,75.7,.279,.324,.487,48.5,17.9,10.5,5.7,.449,12.5,33.3,.206,.612,17.8,70.4,.276
25,2018-02-03,,Austin Peay,L,81,96,30,54,.556,8,21,.381,13,20,.650,6,26,13,3,4,14,18,37,67,.552,11,19,.579,11,14,.786,9,32,23,2,4,10,21,111.0,131.5,73.1,.370,.389,.638,44.8,43.3,4.1,8.3,.630,18.1,20.7,.241,.634,12.0,69.0,.164
26,2018-02-08,@,Morehead State,W,78,62,28,53,.528,9,23,.391,13,19,.684,7,30,14,8,2,15,18,21,51,.412,5,22,.227,15,28,.536,11,32,7,4,4,17,16,111.4,88.6,70.2,.358,.434,.629,48.4,50.0,11.4,6.9,.613,19.5,25.0,.245,.461,20.9,67.6,.294
27,2018-02-10,@,UT-Martin,W (1 OT),81,77,30,55,.545,10,27,.370,11,15,.733,6,28,15,7,0,16,14,31,59,.525,8,23,.348,7,12,.583,8,27,18,7,4,14,11,114.1,108.5,63.5,.273,.491,.652,50.9,50.0,9.9,0.0,.636,20.5,24.0,.200,.593,17.8,73.3,.119
28,2018-02-15,,Eastern Illinois,W,80,73,24,54,.444,13,22,.591,19,28,.679,7,32,14,9,0,9,19,23,51,.451,9,20,.450,18,25,.720,4,32,9,4,5,12,19,114.3,104.3,70.1,.519,.407,.594,50.0,58.3,12.9,0.0,.565,11.8,20.0,.352,.539,16.0,86.2,.353
29,2018-02-17,,SIU-Edwardsville,W,79,74,22,51,.431,7,18,.389,28,35,.800,7,35,10,3,2,11,22,25,57,.439,7,21,.333,17,23,.739,7,29,6,8,5,12,25,109.7,102.8,72.3,.686,.353,.584,54.7,45.5,4.2,5.6,.500,14.0,24.1,.549,.500,15.0,80.0,.298
30,2018-02-22,@,Eastern Kentucky,L,88,91,31,57,.544,16,27,.593,10,16,.625,6,32,15,2,3,15,23,31,60,.517,9,22,.409,20,29,.690,8,29,17,6,6,8,14,118.9,123.0,73.7,.281,.474,.681,52.5,48.4,2.7,7.9,.684,18.8,22.2,.175,.592,9.8,76.5,.333
31,2018-02-24,,UT-Martin,L,66,72,22,58,.379,12,34,.353,10,19,.526,9,34,15,5,2,15,18,25,57,.439,7,20,.350,15,16,.938,4,31,6,3,2,12,18,90.4,98.6,72.8,.328,.586,.492,52.3,68.2,6.8,5.4,.483,18.3,25.0,.172,.500,15.7,86.2,.263
