G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,Southern-New Orleans,W,79,69,22,53,.415,5,17,.294,30,45,.667,10,40,13,6,1,18,24,23,65,.354,11,38,.289,12,21,.571,8,34,12,7,2,19,35,94.0,82.1,84.2,.849,.321,.531,54.1,59.1,7.1,3.7,.462,19.5,27.8,.566,.438,20.2,78.9,.185
2,2017-11-16,@,Michigan,L,47,61,20,49,.408,6,13,.462,1,3,.333,5,22,9,4,0,10,12,23,47,.489,8,23,.348,7,9,.778,8,31,13,5,3,9,10,87.0,113.0,53.9,.061,.265,.466,41.5,45.0,7.4,0.0,.469,16.5,17.9,.020,.574,14.9,68.0,.149
3,2017-11-20,,Blue Mountain College,W,90,46,35,66,.530,11,22,.500,9,14,.643,7,43,19,7,1,6,15,17,52,.327,6,26,.231,6,13,.462,3,27,6,2,0,16,15,126.8,64.8,71.4,.212,.333,.619,61.4,54.3,9.9,3.8,.614,7.6,22.6,.136,.385,21.6,92.3,.115
4,2017-11-24,N,South Dakota,L,71,84,28,61,.459,5,19,.263,10,16,.625,7,21,12,7,1,10,22,27,50,.540,7,17,.412,23,29,.793,9,38,15,3,0,15,20,100.0,118.3,70.7,.262,.311,.517,35.6,42.9,9.9,3.0,.500,12.7,19.4,.164,.610,19.0,60.9,.460
5,2017-11-25,N,Youngstown State,W,71,64,24,57,.421,9,23,.391,14,21,.667,4,26,20,6,3,12,20,20,53,.377,7,21,.333,17,25,.680,13,37,10,6,3,18,21,98.6,88.9,72.4,.368,.404,.530,41.3,83.3,8.3,9.4,.500,15.2,14.3,.246,.443,21.7,62.9,.321
6,2017-11-26,N,Northern Colorado,L,63,77,26,63,.413,6,18,.333,5,9,.556,7,26,17,8,1,8,14,29,54,.537,12,27,.444,7,7,1.000,3,34,13,3,5,15,11,91.3,111.6,68.8,.143,.286,.468,43.3,65.4,11.6,3.7,.460,10.6,18.4,.079,.648,20.7,86.4,.130
7,2017-11-29,@,South Alabama,L,58,69,22,60,.367,4,23,.174,10,18,.556,5,28,11,7,2,6,14,23,48,.479,11,29,.379,12,18,.667,4,36,15,3,8,11,17,86.6,103.0,66.6,.300,.383,.423,43.8,50.0,10.4,10.5,.400,8.0,13.5,.167,.594,16.3,85.2,.250
8,2017-12-03,,Rust,W,109,61,46,77,.597,7,24,.292,10,12,.833,13,38,32,16,2,7,7,24,59,.407,8,27,.296,5,7,.714,8,26,10,2,1,23,8,141.6,79.2,77.0,.156,.312,.659,59.4,69.6,20.8,6.3,.643,7.8,41.9,.130,.475,27.0,75.8,.085
9,2017-12-10,,Troy,W,89,71,30,53,.566,13,24,.542,16,19,.842,5,26,13,5,1,7,6,28,53,.528,11,31,.355,4,6,.667,5,23,16,4,1,13,17,139.1,110.9,63.9,.358,.453,.717,53.1,43.3,7.8,4.5,.689,10.1,21.7,.302,.632,18.9,80.8,.075
10,2017-12-13,@,Alabama A&M,W,69,54,27,58,.466,6,18,.333,9,11,.818,9,33,12,6,3,3,16,18,53,.340,6,24,.250,12,18,.667,12,32,12,2,1,10,14,119.0,93.1,58.4,.190,.310,.546,50.8,44.4,10.3,10.3,.517,4.5,31.0,.155,.396,14.0,66.7,.226
11,2017-12-16,,William Carey,W,75,58,27,64,.422,6,27,.222,15,21,.714,12,35,15,9,3,7,17,20,55,.364,6,20,.300,12,17,.706,11,37,8,1,3,18,19,107.1,82.9,69.5,.328,.422,.507,48.6,55.6,12.9,8.6,.469,8.6,31.6,.234,.418,22.2,67.6,.218
12,2017-12-21,@,Florida State,L,45,98,18,61,.295,4,24,.167,5,6,.833,6,26,10,9,0,20,7,37,66,.561,19,36,.528,5,6,.833,6,40,27,6,5,16,8,57.7,125.6,78.4,.098,.393,.352,39.4,55.6,11.5,0.0,.328,23.9,15.0,.082,.705,18.9,76.9,.076
