G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,New Orleans,W,77,61,25,56,.446,12,30,.400,15,19,.789,5,23,17,10,3,11,19,21,54,.389,4,14,.286,15,21,.714,13,37,9,4,1,21,17,106.9,84.7,71.5,.339,.536,.592,38.3,68.0,13.9,7.5,.554,14.5,17.2,.268,.426,24.7,58.1,.278
2,2017-11-14,,Central Connecticut,W,80,55,27,58,.466,9,21,.429,17,25,.680,11,37,15,9,3,14,14,20,48,.417,6,19,.316,9,14,.643,3,27,12,6,2,21,21,109.6,75.3,72.8,.431,.362,.572,57.8,55.6,12.3,10.3,.543,16.7,31.4,.293,.479,27.8,89.7,.188
3,2017-11-16,,Nebraska,W,79,56,30,69,.435,5,17,.294,14,20,.700,15,46,10,8,10,9,21,16,57,.281,6,26,.231,18,24,.750,9,34,9,4,5,16,20,106.8,75.7,74.0,.290,.246,.503,57.5,33.3,10.8,32.3,.471,10.3,37.5,.203,.333,19.0,77.5,.316
4,2017-11-20,,Molloy,W,71,43,29,65,.446,4,22,.182,9,14,.643,7,39,13,11,6,12,15,17,54,.315,5,24,.208,4,10,.400,5,32,7,5,2,21,16,93.4,56.6,75.7,.215,.338,.495,54.9,44.8,14.5,20.0,.477,14.3,20.6,.138,.361,26.3,86.5,.074
5,2017-11-23,N,Oregon State,W,82,77,25,66,.379,6,15,.400,26,30,.867,13,31,11,14,3,6,22,22,50,.440,11,24,.458,22,25,.880,9,35,11,2,2,21,26,110.8,104.1,73.6,.455,.227,.511,47.0,44.0,18.9,11.5,.424,7.0,33.3,.394,.550,25.3,66.7,.440
6,2017-11-24,N,Missouri,L,82,90,27,64,.422,11,25,.440,17,18,.944,9,24,18,4,5,11,26,25,54,.463,14,27,.519,26,32,.813,14,41,20,7,6,14,19,113.9,125.0,71.9,.281,.391,.565,36.9,66.7,5.6,18.5,.508,13.2,25.0,.266,.593,16.8,51.7,.481
7,2017-11-26,N,UCF,W,46,43,16,59,.271,7,27,.259,7,8,.875,14,41,8,9,15,21,25,14,53,.264,1,13,.077,14,23,.609,12,38,7,9,8,20,15,64.8,60.6,70.9,.136,.458,.366,51.9,50.0,12.7,37.5,.331,25.1,35.0,.119,.274,23.8,69.2,.264
8,2017-12-02,,Sacred Heart,W,90,55,34,62,.548,9,24,.375,13,18,.722,14,36,15,15,8,13,16,20,49,.408,7,21,.333,8,13,.615,8,24,9,5,1,25,17,126.8,77.5,70.9,.290,.387,.638,60.0,44.1,21.1,28.6,.621,15.6,46.7,.210,.480,31.2,73.3,.163
9,2017-12-05,N,Grand Canyon,W,68,60,21,53,.396,6,18,.333,20,27,.741,7,38,8,10,3,18,22,20,66,.303,8,32,.250,12,22,.545,14,41,9,11,2,21,22,85.0,75.0,80.1,.509,.340,.517,48.1,38.1,12.5,8.8,.453,21.5,20.6,.377,.364,21.5,68.9,.182
10,2017-12-08,N,Arizona State,L,70,82,25,64,.391,7,24,.292,13,22,.591,13,35,13,5,6,11,27,25,55,.455,9,23,.391,23,27,.852,4,33,16,1,0,12,18,94.6,110.8,74.1,.344,.375,.470,51.5,52.0,6.8,18.8,.445,12.9,31.0,.203,.536,15.0,84.6,.418
11,2017-12-17,,Iona,W,69,59,23,61,.377,0,12,.000,23,27,.852,10,37,9,9,10,8,15,22,63,.349,10,32,.313,5,10,.500,13,37,10,5,0,15,19,97.2,83.1,70.8,.443,.197,.467,50.0,39.1,12.7,32.3,.377,9.8,29.4,.377,.429,18.1,67.5,.079
12,2017-12-20,N,St. Joseph's,W,77,73,26,58,.448,7,22,.318,18,28,.643,5,35,16,6,8,13,15,29,70,.414,9,33,.273,6,10,.600,11,44,13,2,0,19,22,95.1,90.1,81.0,.483,.379,.540,44.3,61.5,7.4,21.6,.509,15.4,13.2,.310,.479,20.3,73.2,.086
13,2017-12-28,,Providence,L,72,94,28,64,.438,7,28,.250,9,13,.692,11,32,14,5,6,11,14,35,64,.547,16,30,.533,8,14,.571,9,34,24,8,1,10,14,101.4,132.4,70.9,.203,.438,.513,48.5,50.0,7.0,17.6,.492,13.6,30.6,.141,.672,12.4,70.0,.125
14,2017-12-31,@,Seton Hall,L,70,75,27,59,.458,9,18,.500,7,11,.636,10,32,16,10,7,14,19,24,57,.421,13,29,.448,14,23,.609,15,39,19,9,5,17,14,101.4,108.7,69.1,.186,.305,.545,45.1,59.3,14.5,25.0,.534,17.9,29.4,.119,.535,20.0,59.5,.246
15,2018-01-03,@,Creighton,L,71,78,28,62,.452,9,29,.310,6,10,.600,2,22,13,13,4,6,15,28,53,.528,10,22,.455,12,17,.706,4,38,20,1,3,17,11,98.6,108.3,72.4,.161,.468,.532,36.7,46.4,18.1,12.9,.524,8.2,5.6,.097,.623,21.8,83.3,.226
16,2018-01-06,,DePaul,L,74,91,27,67,.403,9,26,.346,11,14,.786,11,29,11,5,4,10,22,30,61,.492,9,19,.474,22,29,.759,12,40,17,5,3,12,19,100.0,123.0,73.7,.209,.388,.502,42.0,40.7,6.8,9.5,.470,12.0,28.2,.164,.566,13.8,60.0,.361
17,2018-01-09,,Georgetown,L,66,69,23,61,.377,4,20,.200,16,19,.842,7,30,10,13,10,14,23,20,60,.333,7,20,.350,22,29,.759,13,39,13,7,2,22,20,82.5,86.3,79.9,.311,.328,.471,43.5,43.5,16.3,25.0,.410,16.7,21.2,.262,.392,23.0,63.9,.367
18,2018-01-13,,Villanova,L,71,78,28,64,.438,1,12,.083,14,17,.824,7,27,10,7,3,8,17,23,53,.434,13,30,.433,19,24,.792,11,37,17,2,3,17,16,98.6,108.3,71.7,.266,.188,.493,42.2,35.7,9.7,13.0,.445,10.0,21.2,.219,.557,20.9,64.5,.358
