G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,Marshall,L (1 OT),91,102,34,64,.531,11,26,.423,12,15,.800,9,31,16,4,0,21,29,34,69,.493,11,38,.289,23,34,.676,14,31,21,7,1,12,18,109.6,122.9,73.9,.234,.406,.640,50.0,47.1,4.8,0.0,.617,22.8,34.6,.188,.572,12.4,61.1,.333
2,2017-11-12,@,Illinois,L,74,77,27,62,.435,7,18,.389,13,15,.867,8,30,15,11,3,19,27,26,58,.448,6,21,.286,19,27,.704,9,33,17,5,3,18,21,92.5,96.3,80.0,.242,.290,.535,47.6,55.6,13.8,8.1,.492,21.6,25.0,.210,.500,20.3,71.0,.328
3,2017-11-15,,North Carolina Central,W,74,57,27,63,.429,7,25,.280,13,19,.684,11,42,15,7,4,11,15,23,59,.390,4,17,.235,7,12,.583,6,29,15,6,5,16,19,101.4,78.1,73.4,.302,.397,.514,59.2,55.6,9.6,9.5,.484,13.2,32.4,.206,.424,19.8,83.8,.119
4,2017-11-18,@,Akron,L,59,76,25,59,.424,6,20,.300,3,5,.600,10,28,9,7,3,12,15,25,53,.472,15,31,.484,11,14,.786,10,30,18,2,2,14,10,92.2,118.8,63.5,.085,.339,.481,48.3,36.0,10.9,13.6,.475,16.4,33.3,.051,.613,19.0,64.3,.208
5,2017-11-22,@,Southern,L,66,69,24,56,.429,8,25,.320,10,12,.833,8,32,10,7,4,15,24,21,46,.457,5,15,.333,22,33,.667,4,20,12,5,1,12,15,95.7,100.0,69.2,.214,.446,.535,61.5,41.7,10.1,12.9,.500,19.6,33.3,.179,.511,16.3,85.7,.478
6,2017-11-26,,UMKC,L,55,65,23,54,.426,6,17,.353,3,6,.500,7,30,8,6,2,15,13,22,51,.431,14,28,.500,7,10,.700,6,27,15,10,3,13,13,85.9,101.6,63.8,.111,.315,.484,52.6,34.8,9.4,8.7,.481,20.9,25.0,.056,.569,18.9,79.3,.137
7,2017-11-29,@,LSU,L,60,84,21,48,.438,5,16,.313,13,18,.722,5,27,10,7,4,18,21,31,62,.500,10,30,.333,12,20,.600,11,30,22,13,1,7,16,87.0,121.7,68.5,.375,.333,.531,47.4,47.6,10.1,12.5,.490,24.1,20.8,.271,.581,8.9,66.7,.194
8,2017-12-02,@,Chattanooga,L,63,66,22,49,.449,10,23,.435,9,14,.643,2,26,10,7,2,13,23,19,52,.365,10,31,.323,18,22,.818,8,33,16,2,0,13,14,94.0,98.5,67.1,.286,.469,.566,44.1,45.5,10.4,9.5,.551,18.9,7.4,.184,.462,17.2,75.0,.346
9,2017-12-05,@,Arkansas State,W,92,78,32,52,.615,6,14,.429,22,24,.917,6,31,8,5,2,16,16,25,60,.417,12,33,.364,16,19,.842,11,26,12,8,5,18,21,122.7,104.0,74.7,.462,.269,.726,54.4,25.0,6.7,7.4,.673,20.2,28.6,.423,.517,20.7,69.4,.267
10,2017-12-10,,Cincinnati-Clermont,W,127,92,50,91,.549,15,35,.429,12,16,.750,19,49,32,17,8,11,10,33,75,.440,21,51,.412,5,7,.714,7,30,25,6,1,23,13,138.0,100.0,92.5,.176,.385,.644,62.0,64.0,18.5,33.3,.632,10.0,45.2,.132,.580,22.7,81.1,.067
11,2017-12-16,@,Mississippi State,L,61,92,24,65,.369,9,28,.321,4,6,.667,12,28,13,4,0,13,21,34,67,.507,11,33,.333,13,21,.619,21,52,21,8,5,12,10,89.7,135.3,68.4,.092,.431,.450,35.0,54.2,5.9,0.0,.438,16.1,27.9,.062,.590,13.5,43.2,.194
