G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,Louisiana College,W,100,50,37,64,.578,10,21,.476,16,24,.667,12,48,22,6,7,13,17,19,59,.322,10,26,.385,2,13,.154,7,27,11,6,1,18,24,131.6,65.8,76.3,.375,.328,.663,64.0,59.5,7.9,21.2,.656,14.7,37.5,.250,.407,21.6,83.7,.034
2,2017-11-16,N,Boise State,L,56,58,21,61,.344,4,18,.222,10,15,.667,10,39,10,5,8,11,14,21,60,.350,8,26,.308,8,13,.615,6,36,10,4,5,8,19,81.2,84.1,68.7,.246,.295,.411,52.0,47.6,7.2,23.5,.377,13.9,25.0,.164,.417,10.8,82.9,.133
3,2017-11-17,N,South Carolina,L,56,80,19,45,.422,5,13,.385,13,20,.650,4,22,12,8,6,21,24,27,58,.466,8,24,.333,18,23,.783,10,33,19,8,2,17,20,75.7,108.1,73.7,.444,.289,.514,40.0,63.2,10.8,17.6,.478,27.8,14.8,.289,.534,19.8,64.3,.310
4,2017-11-19,N,Appalachian State,L,72,76,27,59,.458,4,13,.308,14,20,.700,4,25,14,5,3,11,25,23,55,.418,10,26,.385,20,33,.606,12,42,10,4,2,14,20,97.3,102.7,74.1,.339,.220,.526,37.3,51.9,6.8,10.3,.492,13.8,11.8,.237,.509,16.5,63.6,.364
5,2017-11-25,@,New Mexico State,L,63,72,21,57,.368,7,24,.292,14,18,.778,0,29,8,4,0,11,22,25,57,.439,10,26,.385,12,23,.522,10,44,14,3,4,16,23,84.0,96.0,75.2,.316,.421,.481,39.7,38.1,5.3,0.0,.430,14.4,0.0,.246,.526,19.1,74.4,.211
6,2017-11-27,,Lamar,L,52,66,21,63,.333,7,26,.269,3,6,.500,12,38,10,2,5,15,15,23,59,.390,9,18,.500,11,17,.647,8,40,11,4,0,9,11,76.5,97.1,68.5,.095,.413,.395,48.7,47.6,2.9,12.2,.389,18.6,27.3,.048,.466,11.8,76.5,.186
7,2017-11-30,,New Mexico State,L,60,80,21,56,.375,4,23,.174,14,25,.560,7,23,4,2,0,18,17,30,56,.536,8,18,.444,12,18,.667,8,43,9,4,0,21,20,76.9,102.6,78.2,.446,.411,.442,34.8,19.0,2.6,0.0,.411,21.0,16.7,.250,.607,24.5,66.7,.214
8,2017-12-02,,New Mexico,W,88,76,29,54,.537,9,24,.375,21,27,.778,2,31,10,4,0,13,25,21,56,.375,11,31,.355,23,35,.657,9,36,11,4,0,14,25,112.8,97.4,77.7,.500,.444,.658,46.3,34.5,5.1,0.0,.620,16.3,6.9,.389,.473,16.2,76.3,.411
9,2017-12-09,,Washington State,W,76,69,24,57,.421,7,28,.250,21,22,.955,8,29,13,1,1,5,9,25,56,.446,12,31,.387,7,10,.700,8,31,17,4,0,12,17,116.9,106.2,64.6,.386,.491,.563,48.3,54.2,1.5,4.0,.482,6.9,25.8,.368,.554,16.5,72.4,.125
10,2017-12-19,,Incarnate Word,W,72,66,28,54,.519,4,12,.333,12,23,.522,7,28,5,8,2,18,18,21,48,.438,9,18,.500,15,22,.682,7,31,9,6,1,25,21,94.7,86.8,76.2,.426,.222,.554,47.5,17.9,10.5,6.7,.556,21.7,22.6,.222,.531,30.0,75.0,.313
