G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,Gonzaga,L,69,97,26,72,.361,4,21,.190,13,23,.565,13,32,5,9,3,10,21,35,72,.486,11,25,.440,16,22,.727,15,50,21,8,2,14,23,85.2,119.8,80.7,.319,.292,.416,39.0,19.2,11.1,6.4,.389,10.8,27.1,.181,.563,14.5,55.9,.222
2,2017-11-12,@,Washington State,L (1 OT),84,86,29,59,.492,14,32,.438,12,18,.667,4,42,15,6,5,18,24,25,76,.329,15,46,.326,21,29,.724,15,44,13,6,1,10,21,101.2,103.6,73.9,.305,.542,.622,48.8,51.7,7.2,16.7,.610,21.0,12.1,.203,.428,10.0,71.7,.276
3,2017-11-16,@,Ohio State,L,64,82,22,53,.415,6,22,.273,14,15,.933,4,26,12,5,3,16,17,30,65,.462,9,28,.321,13,16,.813,11,37,19,5,4,10,17,88.9,113.9,71.9,.283,.415,.532,41.3,54.5,6.9,8.1,.472,21.0,13.3,.264,.531,12.1,66.7,.200
4,2017-11-18,@,Syracuse,L,67,80,22,49,.449,8,21,.381,15,22,.682,3,21,16,5,2,10,20,26,57,.456,8,24,.333,20,30,.667,14,32,21,8,4,10,19,100.0,119.4,66.9,.449,.429,.563,39.6,72.7,7.5,6.1,.531,14.4,14.3,.306,.526,12.3,56.3,.351
5,2017-11-21,@,Kansas,L,71,114,26,71,.366,12,32,.375,7,13,.538,14,32,12,5,4,12,13,43,78,.551,19,36,.528,9,13,.692,16,47,27,6,7,7,13,94.7,152.0,75.2,.183,.451,.460,40.5,46.2,6.7,9.5,.451,13.5,31.1,.099,.673,7.7,52.9,.115
6,2017-11-24,@,Clemson,L,77,84,26,64,.406,7,29,.241,18,20,.900,9,24,12,7,2,10,22,30,49,.612,7,18,.389,17,24,.708,6,36,14,3,4,18,22,105.5,115.1,73.1,.313,.453,.524,40.0,46.2,9.6,6.5,.461,12.0,23.1,.281,.684,23.0,71.4,.347
7,2017-11-30,@,Oakland,L,87,97,33,71,.465,7,22,.318,14,17,.824,8,33,13,4,8,14,21,34,67,.507,7,20,.350,22,26,.846,7,36,26,8,8,8,14,104.8,116.9,82.7,.239,.310,.550,47.8,39.4,4.8,17.0,.514,15.0,21.6,.197,.560,9.2,78.1,.328
8,2017-12-02,@,Toledo,L,69,71,23,61,.377,8,18,.444,15,16,.938,8,39,10,7,5,18,15,25,58,.431,10,27,.370,11,17,.647,4,30,18,3,4,14,15,89.6,92.2,77.3,.262,.295,.503,56.5,43.5,9.1,16.1,.443,20.8,23.5,.246,.517,17.5,88.6,.190
9,2017-12-11,@,Oregon,L,68,74,24,61,.393,7,25,.280,13,14,.929,4,28,8,3,2,9,17,25,59,.424,8,25,.320,16,22,.727,9,38,15,5,6,12,16,93.2,101.4,72.6,.230,.410,.503,42.4,33.3,4.1,5.9,.451,11.7,12.1,.213,.492,14.7,72.7,.271
10,2017-12-14,@,Baylor,L,68,99,24,59,.407,7,19,.368,13,17,.765,12,25,12,6,2,14,15,41,62,.661,10,18,.556,7,13,.538,8,29,22,7,6,11,16,97.1,141.4,70.1,.288,.322,.507,46.3,50.0,8.6,4.5,.466,17.3,36.4,.220,.742,13.9,61.9,.113
