G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,South Alabama,W,75,50,27,56,.482,5,20,.250,16,22,.727,10,37,15,11,3,18,19,14,46,.304,7,20,.350,15,30,.500,8,27,6,9,2,24,22,100.0,66.7,75.4,.393,.357,.564,57.8,55.6,14.7,11.5,.527,21.3,34.5,.286,.380,28.5,77.1,.326
2,2017-11-14,,Maine,W,83,44,29,57,.509,10,18,.556,15,19,.789,6,36,19,10,8,11,14,14,57,.246,3,21,.143,13,15,.867,6,24,9,6,2,16,18,113.7,60.3,72.6,.333,.316,.629,60.0,65.5,13.7,22.2,.596,14.3,25.0,.263,.272,20.0,83.3,.228
3,2017-11-18,N,Boston College,W,75,64,27,61,.443,4,16,.250,17,24,.708,11,30,8,6,6,10,21,23,53,.434,3,19,.158,15,22,.682,8,31,9,2,4,18,22,104.2,88.9,72.4,.393,.262,.518,49.2,29.6,8.3,17.6,.475,12.1,32.4,.279,.462,22.1,70.4,.283
4,2017-11-19,N,Northwestern,W,85,49,29,48,.604,10,19,.526,17,21,.810,6,34,14,11,3,15,24,12,45,.267,6,23,.261,19,27,.704,6,19,6,5,0,17,18,125.0,72.1,67.9,.438,.396,.733,64.2,48.3,16.2,13.6,.708,20.6,31.6,.354,.333,22.7,82.4,.422
5,2017-11-22,,Wofford,W,79,56,27,57,.474,7,20,.350,18,26,.692,6,28,17,12,3,13,11,21,54,.389,5,20,.250,9,12,.750,7,27,7,4,2,21,26,105.3,74.7,75.0,.456,.351,.570,50.9,63.0,16.0,8.8,.535,15.8,23.1,.316,.435,26.0,75.9,.167
6,2017-11-25,,Savannah State,W,103,69,39,74,.527,8,25,.320,17,21,.810,17,45,31,10,5,11,14,23,64,.359,10,41,.244,13,19,.684,8,23,11,5,2,16,19,128.8,86.3,79.5,.284,.338,.613,66.2,79.5,12.5,21.7,.581,11.6,53.1,.230,.438,18.0,77.8,.203
7,2017-11-30,N,Seton Hall,L,79,89,30,63,.476,6,18,.333,13,16,.813,10,31,15,6,4,14,22,30,59,.508,11,20,.550,18,26,.692,12,30,18,7,4,13,18,108.2,121.9,73.5,.254,.286,.559,50.8,50.0,8.2,10.3,.524,16.5,35.7,.206,.602,15.4,63.6,.305
8,2017-12-05,,Nevada,W (1 OT),82,76,26,62,.419,4,16,.250,26,38,.684,9,34,8,10,5,12,14,25,59,.424,12,30,.400,14,17,.824,4,31,13,8,2,20,27,98.8,91.6,73.8,.613,.258,.512,52.3,30.8,12.0,17.2,.452,13.0,25.0,.419,.525,23.0,86.2,.237
9,2017-12-13,,Kennesaw State,W,82,53,32,62,.516,6,16,.375,12,21,.571,17,41,18,7,4,14,20,14,46,.304,5,16,.313,20,28,.714,4,20,9,7,2,15,22,117.1,75.7,69.6,.339,.258,.570,67.2,56.3,10.0,13.3,.565,16.3,51.5,.194,.359,20.2,85.7,.435
10,2017-12-16,,Rice,W,73,53,31,63,.492,4,16,.250,7,21,.333,10,30,23,15,7,9,20,17,44,.386,10,25,.400,9,15,.600,7,30,10,5,3,25,20,102.8,74.6,70.6,.333,.254,.500,50.0,74.2,21.1,36.8,.524,11.0,30.3,.111,.500,32.8,74.1,.205
11,2017-12-19,,Florida Atlantic,W,90,54,32,65,.492,14,26,.538,12,18,.667,8,35,20,12,4,8,10,21,58,.362,7,21,.333,5,9,.556,9,30,9,2,3,19,15,123.3,74.0,72.9,.277,.400,.612,53.8,62.5,16.4,10.8,.600,9.8,27.6,.185,.422,23.4,75.0,.086
12,2017-12-22,,Abilene Christian,W,74,47,25,49,.510,7,18,.389,17,34,.500,8,40,16,4,4,12,10,18,61,.295,4,20,.200,7,7,1.000,5,29,6,5,0,10,26,107.2,68.1,69.2,.694,.367,.568,58.0,64.0,5.8,9.8,.582,15.6,25.0,.347,.328,13.5,86.5,.115
13,2017-12-29,,Baylor,W,77,53,26,52,.500,9,22,.409,16,21,.762,15,36,18,5,2,15,17,19,51,.373,3,12,.250,12,16,.750,6,17,3,7,4,14,20,120.3,82.8,64.3,.404,.423,.621,67.9,69.2,7.8,5.1,.587,19.5,57.7,.308,.402,19.3,77.8,.235
14,2018-01-02,@,Kansas,W,85,73,29,67,.433,6,24,.250,21,25,.840,15,41,14,9,1,9,18,25,55,.455,6,26,.231,17,23,.739,8,27,10,7,2,15,19,116.4,100.0,72.9,.373,.358,.539,60.3,48.3,12.3,3.4,.478,10.2,44.1,.313,.509,18.5,76.5,.309
15,2018-01-06,,Kansas State,W,74,58,24,41,.585,6,17,.353,20,26,.769,5,27,12,11,3,14,21,20,42,.476,4,13,.308,14,23,.609,5,18,7,9,1,15,22,117.5,92.1,62.6,.634,.415,.694,60.0,50.0,17.5,10.3,.659,20.8,27.8,.488,.524,22.1,81.5,.333
16,2018-01-09,@,Oklahoma,L,65,75,25,67,.373,6,25,.240,9,14,.643,10,42,9,4,9,13,16,25,61,.410,7,22,.318,18,21,.857,4,34,13,7,10,10,14,84.4,97.4,76.8,.209,.373,.441,55.3,36.0,5.2,23.1,.418,15.0,25.0,.134,.467,12.3,88.9,.295
17,2018-01-13,,West Virginia,W,72,71,22,44,.500,4,15,.267,24,28,.857,4,26,9,3,4,12,19,23,59,.390,11,28,.393,14,19,.737,10,28,10,5,1,12,27,105.9,104.4,67.7,.636,.341,.628,48.1,40.9,4.4,12.9,.545,17.3,18.2,.545,.483,15.0,68.8,.237
18,2018-01-17,@,Texas,L,58,67,21,55,.382,7,27,.259,9,15,.600,9,30,11,8,1,9,19,23,45,.511,6,15,.400,15,21,.714,5,30,9,4,6,15,12,90.6,104.7,63.6,.273,.491,.467,50.0,52.4,12.5,3.3,.445,12.7,26.5,.164,.578,21.4,80.8,.333
19,2018-01-20,@,Iowa State,L,52,70,20,59,.339,6,26,.231,6,10,.600,13,34,14,1,4,14,13,27,57,.474,8,21,.381,8,11,.727,8,31,13,6,7,10,13,81.3,109.4,64.5,.169,.441,.408,52.3,70.0,1.6,11.1,.390,18.0,36.1,.102,.544,13.8,72.4,.140
20,2018-01-23,,Oklahoma State,W,75,70,22,52,.423,10,19,.526,21,33,.636,11,27,13,9,3,14,19,25,54,.463,7,17,.412,13,19,.684,8,27,10,6,6,19,29,104.2,97.2,72.4,.635,.365,.554,50.0,59.1,12.5,8.1,.519,17.1,36.7,.404,.528,23.2,66.7,.241
21,2018-01-27,@,South Carolina,W,70,63,20,47,.426,7,16,.438,23,28,.821,10,27,10,7,5,14,24,19,51,.373,5,26,.192,20,27,.741,12,30,13,6,0,15,27,106.1,95.5,65.6,.596,.340,.580,47.4,50.0,10.6,20.0,.500,18.8,35.7,.489,.422,19.0,58.6,.392
22,2018-01-31,,Texas,W (1 OT),73,71,22,52,.423,5,17,.294,24,37,.649,6,35,11,6,6,14,23,24,65,.369,10,27,.370,13,26,.500,10,35,14,9,8,13,29,92.4,89.9,70.2,.712,.327,.525,50.0,50.0,7.6,15.8,.471,16.8,19.4,.462,.446,14.4,74.4,.200
23,2018-02-03,@,TCU,W,83,71,28,55,.509,10,22,.455,17,21,.810,6,24,17,6,8,11,20,25,51,.490,6,12,.500,15,24,.625,10,31,19,6,3,17,20,118.6,101.4,69.7,.382,.400,.639,43.6,60.7,8.6,20.5,.600,14.5,22.2,.309,.549,21.4,64.3,.294
24,2018-02-07,,Iowa State,W,76,58,29,59,.492,2,11,.182,16,19,.842,8,29,15,7,5,8,16,22,57,.386,4,14,.286,10,17,.588,14,34,8,5,3,15,24,113.4,86.6,67.1,.322,.186,.559,46.0,51.7,10.4,11.6,.508,10.5,28.6,.271,.421,18.7,60.0,.175
25,2018-02-10,@,Kansas State,W,66,47,24,53,.453,7,15,.467,11,16,.688,4,30,15,13,2,11,21,13,45,.289,3,17,.176,18,25,.720,7,32,7,7,4,18,18,97.1,69.1,67.7,.302,.283,.545,48.4,62.5,19.1,7.1,.519,15.4,13.8,.208,.322,24.0,78.8,.400
26,2018-02-13,,Oklahoma,W,88,78,30,62,.484,11,21,.524,17,25,.680,9,27,15,7,3,9,18,26,56,.464,7,22,.318,19,25,.760,7,30,9,5,4,14,25,118.9,105.4,74.4,.403,.339,.596,47.4,50.0,9.5,8.8,.573,10.9,28.1,.274,.527,17.1,72.0,.339
27,2018-02-17,@,Baylor,L,57,59,20,51,.392,3,14,.214,14,18,.778,10,35,14,7,7,17,23,18,54,.333,3,13,.231,20,29,.690,11,29,12,7,6,12,19,83.8,86.8,67.7,.353,.275,.479,54.7,70.0,10.3,17.1,.422,22.2,35.7,.275,.361,15.0,69.4,.370
28,2018-02-21,@,Oklahoma State,L,71,79,25,60,.417,9,23,.391,12,16,.750,12,26,13,6,2,12,22,24,46,.522,11,22,.500,20,25,.800,9,28,13,5,4,17,18,106.0,117.9,66.7,.267,.383,.525,48.1,52.0,9.0,8.3,.492,15.1,38.7,.200,.641,22.7,60.9,.435
29,2018-02-24,,Kansas,L,72,74,24,56,.429,8,24,.333,16,23,.696,13,32,12,4,2,8,15,26,52,.500,11,25,.440,11,16,.688,4,25,12,4,5,10,18,112.5,115.6,63.8,.411,.429,.538,56.1,50.0,6.3,7.4,.500,10.7,38.2,.286,.606,14.4,82.6,.212
30,2018-02-26,@,West Virginia,L,74,84,24,55,.436,10,24,.417,16,25,.640,15,37,11,2,3,13,22,29,59,.492,10,23,.435,16,27,.593,8,23,16,9,4,5,20,110.4,125.4,66.9,.455,.436,.553,61.7,45.8,3.0,8.3,.527,16.3,50.0,.291,.576,6.5,73.3,.271
