G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,@,Old Dominion,L,54,57,19,55,.345,6,20,.300,10,14,.714,11,40,8,3,4,16,17,24,58,.414,3,16,.188,6,13,.462,7,29,11,5,10,8,18,81.8,86.4,65.9,.255,.364,.438,58.0,42.1,4.5,9.5,.400,20.6,33.3,.182,.440,11.1,80.6,.103
2,2017-11-13,,Frostburg State,W,89,45,32,65,.492,8,19,.421,17,25,.680,15,50,11,6,3,13,17,16,61,.262,1,16,.063,12,18,.667,11,28,7,11,3,16,18,118.7,60.0,74.7,.385,.292,.579,64.1,34.4,8.0,6.7,.554,14.5,46.9,.262,.270,18.7,76.1,.197
3,2017-11-17,@,Loyola (MD),W,95,72,34,55,.618,8,16,.500,19,30,.633,8,35,18,2,4,14,25,22,58,.379,4,16,.250,24,33,.727,9,26,10,7,1,9,27,128.4,97.3,74.5,.545,.291,.686,57.4,52.9,2.7,9.5,.691,16.8,32.0,.345,.414,10.9,75.0,.414
4,2017-11-20,,Florida Atlantic,W,76,52,31,58,.534,9,22,.409,5,7,.714,8,34,16,7,1,13,17,19,61,.311,3,22,.136,11,15,.733,14,35,6,6,3,14,12,113.4,77.6,67.2,.121,.379,.620,49.3,51.6,10.4,2.6,.612,17.5,27.6,.086,.336,17.0,65.0,.180
5,2017-11-21,N,Penn,W,79,71,24,52,.462,7,16,.438,24,37,.649,7,28,14,6,4,10,18,28,59,.475,6,19,.316,9,14,.643,8,32,15,4,1,14,24,109.7,98.6,72.1,.712,.308,.568,46.7,58.3,8.3,10.0,.529,12.6,22.6,.462,.525,17.6,72.4,.153
6,2017-11-22,N,Georgia Southern,W,70,67,20,51,.392,6,18,.333,24,32,.750,9,33,7,6,5,12,23,21,61,.344,6,26,.231,19,32,.594,12,32,14,5,3,11,21,97.2,93.1,72.2,.627,.353,.529,50.8,35.0,8.3,14.3,.451,15.3,31.0,.471,.393,12.6,66.7,.311
7,2017-11-27,,St. Mary's (MD),W,90,57,35,63,.556,12,24,.500,8,13,.615,13,32,22,8,8,10,13,24,54,.444,2,11,.182,7,11,.636,8,23,13,6,1,15,10,136.4,86.4,66.2,.206,.381,.651,58.2,62.9,12.1,18.6,.651,12.6,46.4,.127,.463,20.2,70.4,.130
8,2017-12-01,N,La Salle,W,67,60,25,53,.472,4,15,.267,13,16,.813,5,31,6,5,2,10,18,18,50,.360,9,26,.346,15,20,.750,5,25,9,3,1,12,18,101.5,90.9,66.1,.302,.283,.553,55.4,24.0,7.6,8.3,.509,14.2,20.0,.245,.450,16.8,83.9,.300
9,2017-12-02,N,Manhattan,W,56,55,20,53,.377,2,11,.182,14,19,.737,13,35,8,9,2,19,13,20,47,.426,8,18,.444,7,9,.778,5,22,16,12,3,19,18,83.6,82.1,66.7,.358,.208,.451,61.4,40.0,13.4,6.9,.396,23.4,43.3,.264,.511,27.0,81.5,.149
10,2017-12-06,,Morgan State,W (1 OT),82,78,26,55,.473,14,30,.467,16,24,.667,4,32,19,3,8,15,23,27,69,.391,5,14,.357,19,24,.792,12,34,5,5,0,8,17,106.5,101.3,68.4,.436,.545,.617,48.5,73.1,3.9,14.5,.600,18.4,15.4,.291,.428,9.0,70.0,.275
11,2017-12-09,,UMBC,W,78,65,27,60,.450,9,25,.360,15,17,.882,11,43,13,3,9,16,24,20,69,.290,10,31,.323,15,20,.750,13,30,14,6,1,12,18,104.0,86.7,75.3,.283,.417,.573,58.9,48.1,4.0,23.7,.525,19.0,39.3,.250,.362,13.3,71.1,.217
12,2017-12-20,@,Oakland,L,86,97,33,70,.471,9,17,.529,11,18,.611,8,27,16,10,4,12,24,28,52,.538,11,24,.458,30,36,.833,5,31,22,6,6,17,17,104.9,118.3,81.8,.257,.243,.547,46.6,48.5,12.2,14.3,.536,13.3,23.5,.157,.644,19.7,79.2,.577
13,2017-12-22,@,Pitt,L,59,63,22,62,.355,1,15,.067,14,22,.636,13,34,4,9,6,11,20,22,56,.393,7,28,.250,12,21,.571,11,39,14,7,6,19,18,81.9,87.5,72.2,.355,.242,.407,46.6,18.2,12.5,21.4,.363,13.2,31.7,.226,.455,22.4,65.6,.214
14,2017-12-30,@,College of Charleston,L,62,73,24,54,.444,5,16,.313,9,15,.600,6,26,7,2,2,11,21,21,41,.512,9,21,.429,22,28,.786,3,26,12,3,4,11,17,96.9,114.1,64.2,.278,.296,.507,50.0,29.2,3.1,10.0,.491,15.3,20.7,.167,.622,16.8,87.0,.537
15,2018-01-02,@,Elon,L,72,75,30,59,.508,8,22,.364,4,7,.571,5,30,9,7,5,15,15,28,58,.483,11,32,.344,8,12,.667,5,25,15,5,1,10,10,101.4,105.6,70.5,.119,.373,.578,54.5,30.0,9.9,19.2,.576,19.4,20.0,.068,.578,13.6,83.3,.138
16,2018-01-05,,UNC Wilmington,W,89,71,34,63,.540,12,22,.545,9,11,.818,13,35,18,11,8,13,20,25,56,.446,7,18,.389,14,24,.583,12,28,15,7,0,17,15,127.1,101.4,70.3,.175,.349,.652,55.6,52.9,15.7,21.1,.635,16.0,44.8,.143,.509,20.1,64.7,.250
17,2018-01-07,,College of Charleston,W,73,62,25,58,.431,4,17,.235,19,23,.826,10,35,14,6,7,12,17,22,58,.379,4,14,.286,14,18,.778,11,33,11,5,6,11,21,105.8,89.9,68.7,.397,.293,.530,51.5,56.0,8.7,15.9,.466,14.8,31.3,.328,.414,14.2,69.4,.241
18,2018-01-11,,Hofstra,L,73,76,25,46,.543,2,11,.182,21,28,.750,3,23,14,8,2,14,17,27,60,.450,13,26,.500,9,12,.750,10,31,16,7,1,14,25,104.3,108.6,70.0,.609,.239,.616,42.6,56.0,11.4,5.9,.565,19.1,12.5,.457,.558,17.6,66.7,.150
19,2018-01-13,@,William & Mary,W,99,73,38,59,.644,13,22,.591,10,12,.833,6,26,18,5,4,7,21,22,46,.478,9,26,.346,20,24,.833,2,17,15,3,2,11,15,150.0,110.6,66.1,.203,.373,.765,60.5,47.4,7.6,20.0,.754,9.8,28.6,.169,.576,16.1,90.9,.435
20,2018-01-18,,Drexel,W,90,68,27,58,.466,6,17,.353,30,37,.811,16,41,12,5,6,14,20,23,58,.397,5,20,.250,17,20,.850,6,22,13,3,3,12,26,121.6,91.9,73.5,.638,.293,.595,65.1,44.4,6.8,15.8,.517,15.6,50.0,.517,.440,15.1,80.6,.293
21,2018-01-20,@,UNC Wilmington,L (1 OT),71,73,22,62,.355,6,20,.300,21,27,.778,15,43,7,10,5,18,29,24,61,.393,5,21,.238,20,28,.714,11,38,10,8,2,15,24,91.0,93.6,69.4,.435,.323,.474,53.1,31.8,12.8,12.5,.403,19.4,35.7,.339,.434,16.8,71.8,.328
22,2018-01-25,,William & Mary,W (1 OT),96,82,37,64,.578,6,16,.375,16,27,.593,7,33,14,10,2,8,17,28,61,.459,16,37,.432,10,16,.625,8,34,18,5,0,18,26,123.1,105.1,69.5,.422,.250,.625,49.3,37.8,12.8,8.3,.625,9.4,21.2,.250,.590,20.8,76.5,.164
23,2018-01-27,,Elon,L,76,83,26,64,.406,7,17,.412,17,23,.739,15,36,8,6,5,10,21,27,57,.474,12,26,.462,17,21,.810,3,27,17,6,1,9,21,107.0,116.9,71.5,.359,.266,.507,57.1,30.8,8.5,16.1,.461,11.8,38.5,.266,.579,11.8,87.5,.298
24,2018-02-01,@,Delaware,W,75,71,26,60,.433,5,19,.263,18,24,.750,11,36,12,6,3,5,18,26,55,.473,6,15,.400,13,15,.867,4,29,9,3,6,11,18,111.9,106.0,67.3,.400,.317,.525,55.4,46.2,9.0,7.5,.475,6.5,30.6,.300,.527,15.0,86.2,.236
25,2018-02-03,@,James Madison,L,73,79,26,64,.406,5,18,.278,16,33,.485,19,39,8,10,0,9,24,28,53,.528,5,18,.278,18,29,.621,10,34,14,2,6,12,23,105.8,114.5,69.2,.516,.281,.458,53.4,30.8,14.5,0.0,.445,10.1,44.2,.250,.575,15.2,66.7,.340
26,2018-02-08,@,Drexel,W (1 OT),94,92,39,77,.506,7,16,.438,9,11,.818,17,38,15,6,4,14,21,31,66,.470,8,29,.276,22,29,.759,13,28,13,6,5,9,17,120.5,117.9,68.9,.143,.208,.572,57.6,38.5,7.7,10.8,.552,14.5,53.1,.117,.530,10.1,61.8,.333
27,2018-02-10,,Northeastern,L,62,77,23,59,.390,2,12,.167,14,19,.737,10,28,9,5,6,13,22,24,42,.571,10,19,.526,19,30,.633,5,28,14,5,4,16,18,89.9,111.6,69.1,.322,.203,.456,50.0,39.1,7.2,26.1,.407,16.0,30.3,.237,.690,22.1,78.3,.452
28,2018-02-15,,Delaware,W,67,65,25,56,.446,5,16,.313,12,21,.571,11,33,13,9,1,14,12,27,56,.482,6,19,.316,5,10,.500,5,28,12,8,3,14,17,97.1,94.2,69.4,.375,.286,.508,54.1,52.0,13.0,2.7,.491,17.5,32.4,.214,.536,18.7,81.5,.089
29,2018-02-17,,James Madison,L,66,69,25,54,.463,6,17,.353,10,23,.435,13,35,10,6,9,16,17,24,60,.400,8,23,.348,13,16,.813,13,30,10,8,3,12,21,98.5,103.0,67.3,.426,.315,.508,53.8,40.0,9.0,24.3,.519,19.8,43.3,.185,.467,15.1,62.9,.217
30,2018-02-22,@,Northeastern,L,75,80,29,68,.426,2,9,.222,15,25,.600,13,36,6,9,5,10,22,25,47,.532,12,25,.480,18,30,.600,6,34,19,6,5,17,23,100.0,106.7,74.6,.368,.132,.469,51.4,20.7,12.0,22.7,.441,11.1,31.7,.221,.660,21.7,79.3,.383
