G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2017-11-10,,Georgia Southern,L,83,85,27,62,.435,11,24,.458,18,23,.783,19,39,14,6,3,18,15,32,67,.478,11,27,.407,10,12,.833,14,29,6,7,2,12,22,116.9,119.7,71.3,.371,.387,.569,57.4,51.9,8.5,7.5,.524,19.8,55.9,.290,.560,14.2,58.8,.149
2,2017-11-14,,Liberty,L,66,79,26,60,.433,2,17,.118,12,18,.667,8,27,9,9,2,11,23,25,51,.490,9,21,.429,20,23,.870,8,37,15,7,3,17,21,93.0,111.3,71.2,.300,.283,.481,42.2,34.6,12.7,6.7,.450,13.8,21.6,.200,.578,21.5,70.4,.392
3,2017-11-17,N,Drake,L,74,77,26,57,.456,10,28,.357,12,14,.857,8,31,19,3,6,12,15,26,60,.433,15,30,.500,10,14,.714,8,30,19,6,1,12,15,107.2,111.6,69.2,.246,.491,.581,50.8,73.1,4.3,20.0,.544,15.9,26.7,.211,.558,15.3,74.2,.167
4,2017-11-18,N,Quinnipiac,W,72,55,25,60,.417,10,24,.417,12,17,.706,12,39,13,4,6,8,21,15,52,.288,8,28,.286,17,20,.850,8,29,8,2,3,13,16,110.8,84.6,65.3,.283,.400,.529,57.4,52.0,6.2,25.0,.500,10.5,36.4,.200,.365,17.4,77.1,.327
5,2017-11-19,N,Houston,L,73,78,19,50,.380,11,26,.423,24,28,.857,10,27,10,4,4,14,22,30,64,.469,9,20,.450,9,17,.529,13,34,23,3,1,10,25,107.4,114.7,68.2,.560,.520,.577,44.3,52.6,5.9,9.1,.490,18.1,32.3,.480,.539,12.2,56.7,.141
6,2017-11-24,,UNC Greensboro,W,81,75,24,39,.615,8,14,.571,25,32,.781,5,27,12,5,0,16,20,25,51,.490,13,26,.500,12,22,.545,9,23,14,8,0,11,23,126.6,117.2,64.3,.821,.359,.747,54.0,50.0,7.8,0.0,.718,22.8,26.3,.641,.618,15.2,71.0,.235
7,2017-11-28,,Illinois,W,80,73,24,47,.511,8,17,.471,24,31,.774,3,23,11,7,2,14,13,24,62,.387,12,29,.414,13,14,.929,13,35,15,7,1,19,24,108.1,98.6,73.7,.660,.362,.648,39.7,45.8,9.5,6.1,.596,18.5,12.0,.511,.484,21.7,60.6,.210
8,2017-12-02,,Richmond,W,82,53,31,57,.544,5,12,.417,15,21,.714,8,38,11,5,7,10,10,21,59,.356,6,26,.231,5,7,.714,5,23,12,6,2,12,16,118.8,76.8,69.2,.368,.211,.612,62.3,35.5,7.2,21.2,.588,13.0,30.8,.263,.407,16.1,85.7,.085
9,2017-12-05,@,Charlotte,W,80,57,29,58,.500,9,25,.360,13,23,.565,11,37,17,13,2,16,27,15,47,.319,5,23,.217,22,31,.710,8,32,7,7,2,20,17,108.1,77.0,73.8,.397,.431,.580,53.6,58.6,17.6,8.3,.578,18.8,31.4,.224,.372,24.5,76.5,.468
10,2017-12-08,,Army,W,109,80,40,69,.580,8,19,.421,21,24,.875,11,40,21,10,4,11,17,28,64,.438,13,30,.433,11,17,.647,9,26,20,4,5,13,22,139.7,102.6,78.2,.348,.275,.678,60.6,52.5,12.8,11.8,.638,12.0,39.3,.304,.539,15.3,76.3,.172
11,2017-12-18,@,Coastal Carolina,W,84,80,28,55,.509,7,22,.318,21,25,.840,13,33,14,10,5,17,20,29,57,.509,10,20,.500,12,19,.632,9,25,18,10,2,16,19,116.7,111.1,72.0,.455,.400,.628,56.9,50.0,13.9,13.5,.573,20.3,44.8,.382,.596,19.5,69.0,.211
12,2017-12-23,,Tennessee,L,60,79,20,53,.377,6,17,.353,14,17,.824,13,34,7,5,2,19,21,29,56,.518,10,23,.435,11,16,.688,6,26,15,7,4,17,22,84.5,111.3,70.8,.321,.321,.491,56.7,35.0,7.0,6.1,.434,23.7,39.4,.264,.607,21.1,77.8,.196
