,G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,1,2018-11-06,,Arlington Baptist,W,107,54,41,66,0.621,11,23,0.478,14,21,0.667,13,38,26,13,6,11,20,18,49,0.36700000000000005,5,12,0.41700000000000004,13,18,0.722,4,17,5,2,0,22,0,142.7,72.0,74.8,0.318,0.348,0.7040000000000001,69.1,63.4,17.3,16.2,0.705,12.6,50.0,0.212,0.418,27.7,86.2,0.265
1,2,2018-11-09,,Arkansas State,W,94,73,31,55,0.564,8,14,0.5710000000000001,24,31,0.774,11,38,17,8,0,18,27,26,59,0.441,6,17,0.353,15,24,0.625,9,26,13,6,2,16,23,122.1,94.8,77.1,0.564,0.255,0.674,59.4,54.8,10.4,0.0,0.636,20.5,39.3,0.436,0.49200000000000005,18.5,75.0,0.254
2,3,2018-11-15,@,Denver,W,67,61,22,49,0.449,10,24,0.41700000000000004,13,16,0.813,5,26,16,5,5,9,15,25,51,0.49,9,15,0.6,2,11,0.182,9,31,11,1,4,15,18,109.8,100.0,61.4,0.327,0.49,0.5920000000000001,45.6,72.7,8.2,13.9,0.551,13.7,18.5,0.265,0.578,21.1,70.0,0.039
3,4,2018-11-22,N,Elon,W,72,56,29,56,0.518,11,18,0.611,3,6,0.5,8,27,19,4,1,6,21,18,40,0.45,7,20,0.35,13,19,0.684,5,24,15,3,2,11,15,128.6,100.0,55.9,0.107,0.321,0.612,52.9,65.5,7.1,5.0,0.616,9.3,29.6,0.054000000000000006,0.5379999999999999,18.3,79.2,0.325
4,5,2018-11-23,@,Pacific,W,73,71,28,56,0.5,5,15,0.33299999999999996,12,18,0.667,6,27,11,4,2,9,28,20,46,0.435,3,13,0.231,28,37,0.757,8,29,5,6,3,9,19,110.6,107.6,66.1,0.321,0.268,0.565,48.2,39.3,6.1,6.1,0.545,12.2,22.2,0.214,0.467,12.4,72.4,0.609
5,6,2018-11-24,N,UC-Riverside,W,60,48,22,53,0.415,4,10,0.4,12,19,0.632,14,32,11,6,1,6,15,18,46,0.391,3,14,0.214,9,15,0.6,9,29,6,2,2,15,20,105.3,84.2,56.6,0.358,0.18899999999999997,0.484,52.5,50.0,10.5,3.1,0.45299999999999996,8.8,41.2,0.226,0.424,22.0,66.7,0.196
6,7,2018-11-27,,Howard Payne,W,90,53,37,61,0.607,6,20,0.3,10,18,0.556,10,28,21,19,3,16,15,19,42,0.452,6,14,0.429,9,16,0.563,4,20,10,8,1,28,13,120.0,70.7,74.6,0.295,0.32799999999999996,0.647,58.3,56.8,25.3,10.7,0.6559999999999999,18.7,38.5,0.16399999999999998,0.524,36.1,81.8,0.214
7,8,2018-12-01,@,Pepperdine,L,62,77,25,62,0.40299999999999997,4,18,0.222,8,13,0.615,8,29,13,9,1,11,24,22,46,0.478,8,18,0.444,25,30,0.833,5,33,16,6,2,15,16,87.3,108.5,70.7,0.21,0.29,0.455,46.8,52.0,12.7,3.6,0.435,13.9,22.2,0.129,0.565,19.9,80.8,0.5429999999999999
8,9,2018-12-04,,Campbell,W,83,68,27,48,0.563,7,14,0.5,22,26,0.846,3,18,11,14,0,10,23,22,45,0.489,3,14,0.214,21,28,0.75,9,30,6,4,2,22,19,120.3,98.6,69.3,0.542,0.292,0.688,37.5,40.7,20.3,0.0,0.635,14.2,12.5,0.45799999999999996,0.522,27.4,62.5,0.467
9,10,2018-12-08,,Schreiner,W,93,53,32,55,0.5820000000000001,11,21,0.524,18,24,0.75,10,32,22,10,4,17,20,19,52,0.365,5,19,0.263,10,14,0.7140000000000001,10,21,5,6,1,20,23,131.0,74.6,71.0,0.436,0.382,0.7,60.4,68.8,14.1,12.1,0.682,20.4,47.6,0.327,0.413,25.4,68.8,0.192
10,11,2018-12-15,@,Texas Tech,L,48,82,15,53,0.28300000000000003,5,21,0.23800000000000002,13,22,0.591,8,25,9,4,3,7,25,30,54,0.556,7,22,0.318,15,21,0.7140000000000001,5,36,14,5,2,10,21,72.7,124.2,65.7,0.415,0.396,0.37799999999999995,41.0,60.0,6.1,9.4,0.33,9.9,20.5,0.245,0.62,13.5,77.3,0.278
11,12,2018-12-21,@,Southeast Missouri State,W,70,68,23,50,0.46,4,15,0.267,20,28,0.7140000000000001,5,28,12,9,5,14,16,24,49,0.49,11,24,0.45799999999999996,9,13,0.6920000000000001,1,26,14,4,3,23,27,93.3,90.7,74.7,0.56,0.3,0.5529999999999999,51.9,52.2,12.0,20.0,0.5,18.1,16.7,0.4,0.602,29.4,95.8,0.184
12,13,2018-12-29,,McMurry,W,88,40,35,74,0.473,8,25,0.32,10,16,0.625,22,53,22,14,3,14,9,15,55,0.273,5,23,0.217,5,6,0.833,7,25,4,10,3,22,16,120.5,54.8,73.2,0.21600000000000003,0.33799999999999997,0.539,67.9,62.9,19.2,9.4,0.527,14.6,55.0,0.135,0.318,27.6,81.6,0.091
13,14,2019-01-02,,New Orleans,W,68,58,24,53,0.45299999999999996,8,17,0.47100000000000003,12,16,0.75,9,32,12,11,4,17,20,21,51,0.41200000000000003,0,8,0.0,16,27,0.593,9,27,9,8,1,19,20,95.8,81.7,71.2,0.302,0.321,0.561,54.2,50.0,15.5,9.3,0.528,21.9,33.3,0.226,0.41200000000000003,22.9,71.9,0.314
14,15,2019-01-05,@,Sam Houston State,L,68,71,22,50,0.44,10,14,0.7140000000000001,14,16,0.875,9,27,14,11,2,18,17,27,49,0.551,8,16,0.5,9,13,0.6920000000000001,6,23,14,10,5,18,14,101.5,106.0,66.9,0.32,0.28,0.59,54.0,63.6,16.4,6.1,0.54,23.8,34.6,0.28,0.633,24.6,75.0,0.184
