G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,Mars Hill,W,125,62,44,70,.629,14,28,.500,23,33,.697,12,37,22,10,2,11,19,22,55,.400,3,8,.375,15,19,.789,8,24,7,5,1,24,29,152.4,75.6,82.4,.471,.400,.730,60.7,50.0,12.2,4.3,.729,11.4,42.9,.329,.427,27.3,75.8,.273
2,2018-11-11,@,Alabama,L,73,81,25,51,.490,9,15,.600,14,25,.560,9,36,7,4,1,21,29,25,65,.385,5,16,.313,26,43,.605,21,44,7,9,4,9,23,98.6,109.5,74.2,.490,.294,.581,45.0,28.0,5.4,2.0,.578,25.0,28.1,.275,.423,9.5,56.3,.400
3,2018-11-15,N,Purdue,L,70,92,23,56,.411,8,28,.286,16,24,.667,6,26,12,4,2,14,12,36,66,.545,13,31,.419,7,10,.700,10,34,16,8,5,12,18,94.6,124.3,74.1,.429,.500,.519,43.3,52.2,5.4,5.7,.482,17.2,20.0,.286,.644,14.5,66.7,.106
4,2018-11-16,N,Wichita State,L,76,82,26,55,.473,11,24,.458,13,24,.542,7,26,14,3,2,12,16,30,59,.508,9,20,.450,13,17,.765,10,34,15,6,3,11,21,108.6,117.1,69.7,.436,.436,.572,43.3,53.8,4.3,5.1,.573,15.3,22.6,.236,.585,14.1,65.5,.220
5,2018-11-18,N,Ball State,L (1 OT),86,94,30,72,.417,7,20,.350,19,25,.760,11,38,11,5,2,19,31,28,59,.475,5,18,.278,33,43,.767,8,38,16,7,6,16,20,95.6,104.4,79.7,.347,.278,.513,50.0,36.7,5.6,4.9,.465,18.5,26.8,.264,.517,16.8,77.1,.559
6,2018-11-26,,Winston-Salem,W,91,64,33,68,.485,15,34,.441,10,17,.588,12,41,18,3,3,13,23,21,57,.368,7,24,.292,15,26,.577,9,30,10,6,2,16,19,118.2,83.1,76.7,.250,.500,.598,57.7,54.5,3.9,9.1,.596,14.6,36.4,.147,.430,18.7,76.3,.263
7,2018-11-30,N,East Carolina,L,81,83,32,61,.525,4,20,.200,13,22,.591,8,33,8,6,3,10,24,28,60,.467,3,14,.214,24,33,.727,14,38,10,5,1,12,19,109.5,112.2,73.6,.361,.328,.567,46.5,25.0,8.1,6.5,.557,12.3,25.0,.213,.492,13.7,64.1,.400
8,2018-12-04,,Howard,W,100,86,37,68,.544,11,28,.393,15,23,.652,11,43,12,1,4,15,23,32,72,.444,4,14,.286,18,28,.643,10,27,7,7,2,7,22,120.5,103.6,82.6,.338,.412,.634,61.4,32.4,1.2,6.9,.625,16.0,39.3,.221,.472,7.6,76.2,.250
9,2018-12-08,,North Carolina Central,W,82,73,27,59,.458,7,25,.280,21,25,.840,8,30,14,2,5,13,12,28,58,.483,5,20,.250,12,17,.706,10,34,13,8,1,17,21,110.8,98.6,74.5,.424,.424,.578,46.9,51.9,2.7,13.2,.517,15.5,25.0,.356,.526,20.5,68.8,.207
10,2018-12-15,@,South Florida,L,69,76,22,56,.393,5,22,.227,20,24,.833,6,29,9,3,6,12,22,27,62,.435,6,15,.400,16,28,.571,16,44,13,8,2,16,24,93.2,102.7,74.4,.429,.393,.512,39.7,40.9,4.1,12.8,.438,15.1,17.6,.357,.484,17.5,59.0,.258
