G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,San Francisco,L,42,76,14,51,.275,3,19,.158,11,12,.917,5,28,7,7,3,18,16,32,61,.525,6,22,.273,6,12,.500,10,41,18,10,3,12,20,60.9,110.1,69.2,.235,.373,.370,40.6,50.0,10.1,7.7,.304,24.1,13.9,.216,.574,15.2,69.7,.098
2,2018-11-09,,San Diego,L,57,76,20,53,.377,3,23,.130,14,17,.824,5,27,6,4,2,10,17,30,60,.500,8,27,.296,8,13,.615,7,36,18,6,0,8,18,85.1,113.4,66.6,.321,.434,.467,42.9,30.0,6.0,6.1,.406,14.1,14.7,.264,.567,10.8,75.9,.133
3,2018-11-12,@,Arkansas,L,58,81,18,56,.321,7,29,.241,15,18,.833,9,32,11,3,0,24,31,23,49,.469,8,20,.400,27,41,.659,5,30,14,10,6,15,21,73.4,102.5,79.0,.321,.518,.449,51.6,61.1,3.8,0.0,.384,27.1,26.5,.268,.551,18.0,82.1,.551
4,2018-11-17,N,Texas A&M-Corpus Christi,W (1 OT),57,54,18,56,.321,8,27,.296,13,16,.813,8,37,9,7,3,17,16,21,59,.356,5,21,.238,7,12,.583,8,33,6,8,3,16,18,78.1,74.0,64.6,.286,.482,.448,52.9,50.0,9.6,7.9,.393,21.1,24.2,.232,.398,19.8,78.4,.119
5,2018-11-18,@,Texas-Arlington,L,59,68,20,45,.444,6,23,.261,13,25,.520,9,29,10,4,0,18,25,18,47,.383,8,26,.308,24,28,.857,9,33,11,8,1,13,26,90.8,104.6,65.1,.556,.511,.519,46.8,50.0,6.2,0.0,.511,24.0,27.3,.289,.468,17.7,69.0,.511
6,2018-11-20,N,Sacramento State,L,55,58,22,59,.373,7,16,.438,4,10,.400,8,31,8,11,4,19,18,22,57,.386,4,15,.267,10,14,.714,12,37,11,15,6,21,14,74.3,78.4,73.7,.169,.271,.431,45.6,36.4,14.9,9.5,.432,23.0,24.2,.068,.421,24.8,65.7,.175
7,2018-11-23,@,Indiana,L,62,76,24,50,.480,10,20,.500,4,4,1.000,6,21,11,9,2,19,22,26,49,.531,10,17,.588,14,21,.667,8,22,11,3,3,14,9,95.4,116.9,64.9,.080,.400,.597,48.8,45.8,13.8,6.3,.580,26.8,30.0,.080,.633,19.2,65.2,.286
8,2018-11-29,,Northern Arizona,W,73,57,29,61,.475,10,32,.313,5,12,.417,7,31,17,7,0,10,14,22,51,.431,8,25,.320,5,11,.455,6,31,14,9,2,18,13,105.8,82.6,69.0,.197,.525,.547,50.0,58.6,10.1,0.0,.557,13.0,21.9,.082,.510,24.3,80.0,.098
9,2018-12-05,@,Northern Illinois,L,62,71,22,61,.361,11,33,.333,7,12,.583,7,24,17,5,2,10,18,25,52,.481,6,13,.462,15,22,.682,9,39,13,1,4,15,16,89.9,102.9,69.1,.197,.541,.465,38.1,77.3,7.2,5.1,.451,13.0,18.9,.115,.538,19.4,65.4,.288
10,2018-12-16,,William Jessup,W,83,65,30,54,.556,8,19,.421,15,19,.789,5,27,18,7,4,13,26,21,54,.389,4,18,.222,19,25,.760,11,30,13,7,0,22,21,112.2,87.8,74.0,.352,.352,.658,47.4,60.0,9.5,11.1,.630,17.1,20.8,.278,.426,25.0,66.7,.352
11,2018-12-22,@,Arizona,L,68,70,26,51,.510,4,11,.364,12,20,.600,5,25,11,3,4,8,24,24,51,.471,6,18,.333,16,25,.640,8,28,10,1,1,8,21,107.9,111.1,63.2,.392,.216,.562,47.2,42.3,4.8,12.1,.549,11.7,20.0,.235,.529,11.3,71.4,.314
12,2018-12-28,@,Loyola Marymount,L,59,77,20,49,.408,6,23,.261,13,16,.813,5,21,11,5,1,13,19,28,48,.583,5,14,.357,16,19,.842,5,29,18,9,2,10,19,93.7,122.2,63.3,.327,.469,.521,42.0,55.0,7.9,2.9,.469,18.7,17.2,.265,.635,14.9,76.2,.333
13,2018-12-30,@,USC,L,55,73,22,55,.400,4,17,.235,7,11,.636,9,28,11,6,0,14,13,29,55,.527,10,23,.435,5,10,.500,5,25,20,9,3,10,15,84.6,112.3,65.0,.200,.309,.457,52.8,50.0,9.2,0.0,.436,18.9,31.0,.127,.618,14.3,79.2,.091
14,2019-01-05,,Holy Names,W,90,60,34,52,.654,2,9,.222,20,30,.667,2,28,13,8,5,7,20,18,54,.333,8,26,.308,16,22,.727,8,27,12,4,1,15,22,126.8,84.5,71.4,.577,.173,.679,50.9,38.2,11.3,17.9,.673,9.6,9.5,.385,.407,18.9,76.5,.296
15,2019-01-10,@,UC-Irvine,L (1 OT),69,71,25,61,.410,5,16,.313,14,25,.560,6,34,10,3,2,12,28,23,58,.397,4,24,.167,21,34,.618,8,38,12,7,5,11,26,88.5,91.0,69.3,.410,.262,.473,47.2,40.0,3.8,5.9,.451,14.1,16.7,.230,.431,12.9,77.8,.362
16,2019-01-12,@,Long Beach State,L,77,82,28,58,.483,11,24,.458,10,14,.714,10,26,13,9,0,18,33,22,41,.537,6,15,.400,32,42,.762,7,26,7,8,5,17,19,106.9,113.9,71.8,.241,.414,.596,50.0,46.4,12.5,0.0,.578,21.8,34.5,.172,.610,21.8,69.6,.780
17,2019-01-17,,UCSB,L,58,69,23,48,.479,4,15,.267,8,12,.667,2,20,8,9,2,11,16,24,54,.444,11,24,.458,10,13,.769,11,33,13,7,1,14,14,92.1,109.5,62.9,.250,.313,.540,37.7,34.8,14.3,6.7,.521,17.0,8.3,.167,.546,18.9,62.1,.185
18,2019-01-19,,Cal Poly,W,75,63,26,53,.491,7,18,.389,16,24,.667,7,34,16,8,2,10,15,23,54,.426,8,25,.320,9,14,.643,6,27,11,2,3,13,22,110.3,92.6,67.5,.453,.340,.582,55.7,61.5,11.8,6.9,.557,13.4,25.0,.302,.500,17.7,81.8,.167
19,2019-01-26,@,Hawaii,L,60,80,20,50,.400,7,22,.318,13,16,.813,5,24,14,9,1,18,20,29,52,.558,8,22,.364,14,22,.636,7,34,18,10,1,15,18,84.5,112.7,70.5,.320,.440,.521,41.4,70.0,12.7,3.3,.470,23.8,15.6,.260,.635,19.4,73.1,.269
20,2019-02-02,@,UC-Riverside,W,84,71,26,49,.531,9,18,.500,23,23,1.000,7,23,17,10,2,11,16,25,50,.500,8,18,.444,13,21,.619,11,25,12,7,2,17,21,129.2,109.2,65.0,.469,.367,.701,47.9,65.4,15.4,6.3,.622,15.5,33.3,.469,.580,22.1,59.3,.260
21,2019-02-07,@,Cal Poly,W,63,53,24,46,.522,5,15,.333,10,14,.714,2,25,12,2,8,15,11,22,55,.400,5,19,.263,4,5,.800,6,27,10,8,5,14,15,95.5,80.3,65.5,.304,.326,.598,48.1,50.0,3.0,22.2,.576,22.2,8.7,.217,.445,19.6,79.3,.073
22,2019-02-09,@,UCSB,W,61,57,22,51,.431,6,18,.333,11,12,.917,4,24,9,6,1,11,17,20,51,.392,3,15,.200,14,18,.778,12,36,11,6,4,11,19,100.0,93.4,61.1,.235,.353,.538,40.0,40.9,9.8,2.8,.490,16.2,14.3,.216,.422,15.6,62.5,.275
23,2019-02-13,,Cal State Northridge,W,76,59,27,56,.482,12,25,.480,10,11,.909,5,33,20,8,3,9,14,21,53,.396,7,18,.389,10,16,.625,3,25,11,6,7,10,13,115.2,89.4,66.4,.196,.446,.621,56.9,74.1,12.1,8.6,.589,12.8,18.5,.179,.462,14.2,90.3,.189
24,2019-02-16,,Long Beach State,W,77,73,28,58,.483,12,27,.444,9,16,.563,9,32,20,3,1,14,21,27,50,.540,4,14,.286,15,26,.577,5,30,12,4,1,13,20,110.0,104.3,70.5,.276,.466,.587,51.6,71.4,4.3,2.8,.586,17.6,26.5,.155,.580,17.3,82.1,.300
25,2019-02-21,@,Cal State Fullerton,L,58,62,22,53,.415,6,18,.333,8,16,.500,5,31,9,4,1,10,17,23,55,.418,6,18,.333,10,14,.714,7,37,12,4,2,13,14,86.6,92.5,66.6,.302,.340,.479,45.6,40.9,6.0,2.7,.472,14.2,14.3,.151,.473,17.4,78.8,.182
26,2019-02-23,@,Cal State Northridge,L (1 OT),76,81,23,61,.377,9,24,.375,21,24,.875,8,30,12,6,2,15,23,28,61,.459,10,23,.435,15,26,.577,9,36,13,5,7,15,22,96.2,102.5,70.6,.393,.393,.525,45.5,52.2,7.6,5.3,.451,17.2,22.9,.344,.541,17.0,71.0,.246
27,2019-02-28,,UC-Irvine,L,48,64,16,53,.302,3,14,.214,13,21,.619,6,20,6,4,1,5,16,22,45,.489,5,16,.313,15,21,.714,8,43,10,4,2,13,19,78.7,104.9,61.0,.396,.264,.381,31.7,37.5,6.6,3.4,.330,7.4,14.6,.245,.544,19.1,63.6,.333
28,2019-03-02,,Cal State Fullerton,W,66,59,20,53,.377,5,19,.263,21,27,.778,4,29,9,11,7,9,15,22,52,.423,6,20,.300,9,14,.643,5,31,11,6,7,17,21,93.0,83.1,70.7,.509,.358,.501,48.3,45.0,15.5,21.9,.425,12.0,13.3,.396,.481,22.5,83.3,.173
29,2019-03-07,,Hawaii,L,69,76,25,52,.481,3,13,.231,16,21,.762,4,26,13,6,2,11,19,25,56,.446,8,24,.333,18,20,.900,7,32,14,3,3,15,21,97.2,107.0,71.2,.404,.250,.557,44.8,52.0,8.5,6.3,.510,15.1,13.8,.308,.518,18.6,75.9,.321
30,2019-03-09,,UC-Riverside,L,70,71,29,55,.527,7,18,.389,5,6,.833,3,22,15,6,0,11,13,27,51,.529,11,23,.478,6,9,.667,4,27,13,4,1,13,14,107.7,109.2,65.1,.109,.327,.605,44.9,51.7,9.2,0.0,.591,16.0,11.5,.091,.637,19.0,82.6,.118
31,2019-03-14,N,Cal State Fullerton,L (1 OT),71,75,32,63,.508,3,14,.214,4,11,.364,7,25,12,6,6,14,23,24,50,.480,4,13,.308,23,32,.719,7,33,11,7,8,16,19,94.7,100.0,66.4,.175,.222,.520,43.1,37.5,8.0,16.2,.532,17.0,21.2,.063,.520,19.7,72.0,.460
