G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,@,Wisconsin,L,63,85,21,59,.356,11,29,.379,10,16,.625,7,30,9,3,3,14,26,25,61,.410,12,32,.375,23,26,.885,11,36,17,4,8,5,15,90.0,121.4,72.7,.271,.492,.473,45.5,42.9,4.3,10.3,.449,17.4,21.9,.169,.508,6.4,67.6,.377
2,2018-11-10,@,Dayton,L,46,76,16,54,.296,3,24,.125,11,15,.733,7,31,4,2,1,21,16,30,61,.492,4,22,.182,12,18,.667,6,37,14,6,3,11,16,61.3,101.3,74.8,.278,.444,.376,45.6,25.0,2.7,2.6,.324,25.6,18.4,.204,.525,13.7,80.0,.197
3,2018-11-14,@,Navy,L,58,77,20,56,.357,7,27,.259,11,15,.733,9,34,9,6,7,14,20,27,63,.429,8,25,.320,15,19,.789,13,39,16,5,0,10,16,84.1,111.6,68.6,.268,.482,.459,46.6,45.0,8.7,18.4,.420,18.2,25.7,.196,.492,12.2,65.8,.238
4,2018-11-16,@,Virginia,L,40,97,17,52,.327,6,24,.250,0,0,,4,23,10,0,0,14,19,35,58,.603,15,25,.600,12,15,.800,5,34,24,8,5,4,8,63.5,154.0,62.7,.000,.462,.385,40.4,58.8,0.0,0.0,.385,21.2,12.1,.000,.733,5.8,79.2,.207
5,2018-11-19,@,Rider,L,67,87,23,59,.390,9,33,.273,12,20,.600,8,34,13,6,3,18,23,30,68,.441,9,22,.409,18,28,.643,12,42,19,9,3,11,19,84.8,110.1,79.4,.339,.559,.489,44.7,56.5,7.6,6.5,.466,20.8,21.1,.203,.507,11.9,68.4,.265
6,2018-11-21,@,Wofford,L,65,99,23,59,.390,5,25,.200,14,21,.667,3,28,11,6,2,10,12,36,69,.522,14,27,.519,13,16,.813,10,44,23,6,1,11,14,84.4,128.6,76.8,.356,.424,.471,38.9,47.8,7.8,4.8,.432,12.7,8.1,.237,.623,12.6,71.4,.188
7,2018-11-23,N,Charleston Southern,L,67,93,22,53,.415,7,24,.292,16,24,.667,6,24,11,6,5,15,25,32,65,.492,14,29,.483,15,22,.682,15,39,19,5,4,13,24,91.8,127.4,73.4,.453,.453,.520,38.1,50.0,8.2,13.9,.481,18.9,20.0,.302,.600,14.7,54.5,.231
8,2018-11-29,@,James Madison,L (1 OT),71,81,27,72,.375,10,29,.345,7,13,.538,15,33,11,6,5,20,23,26,56,.464,4,15,.267,25,35,.714,9,33,9,14,7,15,17,87.7,100.0,71.9,.181,.403,.454,50.0,40.7,7.4,12.2,.444,20.4,38.5,.097,.500,17.1,66.7,.446
9,2018-12-03,,UMBC,L,60,71,18,49,.367,7,27,.259,17,29,.586,11,35,7,5,1,15,16,25,53,.472,11,31,.355,10,12,.833,1,27,16,7,1,10,20,89.6,106.0,67.2,.592,.551,.478,56.5,38.9,7.5,4.5,.439,19.3,29.7,.347,.575,14.6,96.0,.189
10,2018-12-05,@,Richmond,L,47,82,18,53,.340,2,16,.125,9,15,.600,9,33,8,8,3,15,15,30,60,.500,13,28,.464,9,14,.643,8,37,19,10,3,11,16,69.1,120.6,67.9,.283,.302,.391,47.1,44.4,11.8,9.4,.358,20.0,23.7,.170,.608,14.2,75.0,.150
11,2018-12-09,,Tennessee State,L,55,64,18,47,.383,5,23,.217,14,24,.583,6,29,10,2,5,23,20,24,56,.429,4,14,.286,12,23,.522,9,33,7,13,3,18,23,72.4,84.2,75.7,.511,.489,.471,46.8,55.6,2.6,11.9,.436,28.3,20.0,.298,.464,21.2,71.9,.214
12,2018-12-12,@,UNC Greensboro,L,54,77,19,58,.328,3,23,.130,13,23,.565,15,39,4,3,4,16,21,26,53,.491,9,21,.429,16,24,.667,3,26,13,9,0,8,22,77.1,110.0,69.7,.397,.397,.392,60.0,21.1,4.3,12.5,.353,18.8,39.5,.224,.575,11.0,88.9,.302
13,2018-12-21,@,Louisiana-Monroe,L,63,80,26,58,.448,8,20,.400,3,7,.429,8,31,13,4,3,15,22,26,52,.500,13,25,.520,15,21,.714,3,26,15,6,0,9,15,92.6,117.6,68.2,.121,.345,.514,54.4,50.0,5.9,11.1,.517,19.7,25.8,.052,.625,12.7,88.5,.288
14,2018-12-23,@,Houston,L,44,75,14,65,.215,7,38,.184,9,11,.818,6,35,6,5,3,15,16,28,65,.431,7,25,.280,12,18,.667,7,47,17,7,6,12,11,55.7,94.9,78.9,.169,.585,.313,42.7,42.9,6.3,7.5,.269,17.6,13.0,.138,.485,14.0,80.6,.185
15,2018-12-29,@,Notre Dame,L,56,63,22,61,.361,6,23,.261,6,9,.667,15,47,8,2,3,12,17,20,59,.339,9,30,.300,14,19,.737,10,33,13,6,8,5,8,88.9,100.0,62.7,.148,.377,.429,58.8,36.4,3.2,10.3,.410,15.5,39.5,.098,.415,6.8,76.2,.237
16,2019-01-05,,Savannah State,W,73,67,23,55,.418,7,24,.292,20,26,.769,6,44,10,5,4,17,18,22,73,.301,8,48,.167,15,25,.600,14,43,11,7,4,10,22,91.3,83.8,79.6,.473,.436,.542,50.6,43.5,6.3,16.0,.482,20.2,17.1,.364,.356,10.5,73.1,.205
