G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,Stony Brook,L (1 OT),74,77,26,55,.473,6,20,.300,16,34,.471,9,33,13,7,7,14,21,27,70,.386,6,26,.231,17,27,.630,14,40,9,5,3,11,28,94.9,98.7,69.3,.618,.364,.520,45.2,50.0,9.0,15.9,.527,16.4,25.7,.291,.429,11.7,63.2,.243
2,2018-11-08,,Siena,L,61,69,23,54,.426,8,18,.444,7,13,.538,8,32,10,3,3,7,11,25,63,.397,13,34,.382,6,11,.545,13,38,15,7,4,6,12,101.7,115.0,60.2,.241,.333,.507,45.7,43.5,5.0,10.3,.500,10.4,24.2,.130,.500,8.1,64.9,.095
3,2018-11-11,@,Virginia,L,57,76,18,45,.400,6,18,.333,15,23,.652,5,24,8,4,2,15,21,30,55,.545,8,19,.421,8,13,.615,5,31,18,7,3,11,22,85.1,113.4,66.6,.511,.400,.510,43.6,44.4,6.0,5.6,.467,21.1,16.1,.333,.618,15.2,79.2,.145
4,2018-11-17,N,Michigan,L,61,84,25,64,.391,6,16,.375,5,6,.833,7,31,10,3,1,11,14,31,62,.500,15,30,.500,7,11,.636,8,38,20,6,2,10,12,87.1,120.0,70.0,.094,.250,.456,44.9,40.0,4.3,3.1,.438,14.1,18.9,.078,.621,12.9,75.0,.113
5,2018-11-18,N,South Carolina,L,55,90,16,58,.276,5,27,.185,18,25,.720,6,29,11,6,1,16,16,34,69,.493,13,25,.520,9,16,.563,9,39,19,7,3,15,26,67.9,111.1,81.2,.431,.466,.394,42.6,68.8,7.4,2.3,.319,18.6,16.7,.310,.587,16.4,71.9,.130
6,2018-11-24,,Manhattan,W,70,43,25,45,.556,6,17,.353,14,22,.636,7,34,17,8,7,21,19,17,55,.309,2,18,.111,7,15,.467,15,29,10,13,1,19,21,102.9,63.2,67.8,.489,.378,.631,54.0,68.0,11.8,18.9,.622,27.5,33.3,.311,.327,23.4,64.3,.127
7,2018-11-28,,Vermont,L,53,69,20,63,.317,3,14,.214,10,10,1.000,13,30,5,6,3,6,14,25,48,.521,11,19,.579,8,10,.800,3,30,17,3,5,12,14,86.9,113.1,61.3,.159,.222,.391,50.0,25.0,9.8,10.3,.341,8.1,32.5,.159,.635,18.5,85.0,.167
8,2018-12-01,@,Princeton,L,52,73,19,55,.345,3,20,.150,11,19,.579,8,30,7,7,2,13,21,25,48,.521,4,11,.364,19,28,.679,5,34,6,7,0,13,18,75.4,105.8,69.2,.345,.364,.406,46.9,36.8,10.1,5.4,.373,16.9,21.6,.200,.563,17.5,81.5,.396
9,2018-12-05,,Towson,W,68,64,21,42,.500,8,19,.421,18,26,.692,3,20,7,7,1,13,13,26,57,.456,4,16,.250,8,12,.667,12,34,13,5,1,15,20,104.6,98.5,65.0,.619,.452,.626,37.0,33.3,10.8,2.4,.595,19.3,12.0,.429,.491,19.3,58.6,.140
10,2018-12-08,,Valparaiso,L,79,82,31,53,.585,7,18,.389,10,19,.526,4,25,17,9,3,10,13,30,56,.536,15,27,.556,7,11,.636,7,29,21,5,2,12,12,117.9,122.4,67.1,.358,.340,.637,46.3,54.8,13.4,10.3,.651,13.9,15.4,.189,.670,16.4,75.0,.125
11,2018-12-14,,Howard,W,70,64,24,66,.364,7,20,.350,15,26,.577,9,42,11,7,3,11,23,20,65,.308,3,18,.167,21,31,.677,14,46,9,5,8,12,24,88.6,81.0,79.0,.394,.303,.447,47.7,45.8,8.9,6.4,.417,12.3,22.0,.227,.331,13.1,70.2,.323
12,2018-12-22,@,Harvard,L,61,75,23,50,.460,6,15,.400,9,20,.450,4,27,9,5,3,10,19,27,63,.429,10,30,.333,11,20,.550,16,44,16,7,2,12,17,91.0,111.9,67.0,.400,.300,.513,38.0,39.1,7.5,9.1,.520,14.4,12.5,.180,.508,14.2,59.0,.175
13,2018-12-29,,American,W (1 OT),71,67,23,68,.338,6,20,.300,19,27,.704,9,40,14,5,7,13,18,26,65,.400,5,16,.313,10,16,.625,10,46,8,6,7,19,24,85.5,80.7,74.0,.397,.294,.439,46.5,60.9,6.0,14.3,.382,13.9,20.0,.279,.438,20.7,75.6,.154
14,2019-01-06,@,St. Joseph's,W,70,56,23,57,.404,5,22,.227,19,22,.864,4,38,12,5,2,9,13,21,65,.323,5,28,.179,9,14,.643,7,34,9,7,2,8,16,95.9,76.7,72.6,.386,.386,.519,52.8,52.2,6.8,5.4,.447,11.8,12.9,.333,.362,10.0,82.9,.138
15,2019-01-09,,Dayton,L,66,72,24,64,.375,10,27,.370,8,9,.889,11,35,14,7,3,14,16,25,53,.472,10,23,.435,12,19,.632,7,34,18,9,1,15,13,93.0,101.4,70.7,.141,.422,.483,50.7,58.3,9.9,10.0,.453,17.0,28.9,.125,.566,19.5,77.4,.226
16,2019-01-12,,Richmond,L,56,76,19,59,.322,6,24,.250,12,15,.800,12,25,9,6,2,7,18,23,43,.535,9,22,.409,21,27,.778,7,34,17,6,9,8,17,94.9,128.8,59.0,.254,.407,.423,42.4,47.4,10.2,9.5,.373,9.6,30.8,.203,.640,12.5,65.0,.488
17,2019-01-16,@,La Salle,W,59,56,23,53,.434,5,18,.278,8,12,.667,6,33,9,3,1,18,13,22,64,.344,5,32,.156,7,10,.700,11,31,9,12,4,11,11,84.3,80.0,69.7,.226,.340,.503,51.6,39.1,4.3,3.1,.481,23.5,23.1,.151,.383,13.8,71.1,.109
18,2019-01-20,,Duquesne,L (1 OT),85,91,32,75,.427,7,27,.259,14,20,.700,11,35,17,8,5,10,20,32,67,.478,8,23,.348,19,23,.826,12,40,22,5,9,15,20,103.7,111.0,73.1,.267,.360,.503,46.7,53.1,9.8,11.4,.473,10.6,28.2,.187,.537,16.1,66.7,.284
19,2019-01-23,@,Davidson,L,62,73,20,50,.400,8,24,.333,14,18,.778,4,36,11,3,1,15,19,25,54,.463,11,26,.423,12,20,.600,0,28,10,6,0,7,15,88.6,104.3,70.0,.360,.480,.529,56.3,55.0,4.3,3.6,.480,20.4,12.5,.280,.565,9.9,100.0,.222
20,2019-01-26,@,George Mason,L,55,62,21,57,.368,6,28,.214,7,11,.636,7,38,9,4,5,18,19,23,55,.418,5,17,.294,11,26,.423,6,32,13,6,3,7,13,77.5,87.3,70.8,.193,.491,.442,54.3,42.9,5.6,13.2,.421,22.4,21.2,.123,.464,9.4,83.8,.200
21,2019-01-30,,Fordham,W,79,61,30,62,.484,7,20,.350,12,14,.857,7,38,21,5,7,9,8,23,64,.359,9,25,.360,6,8,.750,6,32,11,5,0,11,15,109.7,84.7,71.7,.226,.323,.575,54.3,70.0,6.9,17.9,.540,11.6,21.2,.194,.430,14.0,83.8,.094
22,2019-02-06,,VCU,L,50,60,15,44,.341,3,14,.214,17,22,.773,6,28,10,6,1,16,18,23,54,.426,3,20,.150,11,18,.611,13,38,12,6,2,14,20,78.1,93.8,64.0,.500,.318,.459,42.4,66.7,9.4,2.9,.375,22.7,19.4,.386,.454,18.3,62.9,.204
23,2019-02-09,@,Richmond,L,63,89,24,50,.480,6,15,.400,9,11,.818,0,16,12,4,1,11,15,33,53,.623,13,23,.565,10,14,.714,5,30,17,8,2,9,10,96.9,136.9,64.9,.220,.300,.570,34.8,50.0,6.2,3.3,.540,16.6,0.0,.180,.745,13.1,76.2,.189
24,2019-02-13,,Saint Louis,L,58,73,21,51,.412,8,17,.471,8,14,.571,5,23,13,2,1,14,16,23,49,.469,9,22,.409,18,22,.818,5,31,14,6,2,12,17,86.6,109.0,66.6,.275,.333,.503,42.6,61.9,3.0,3.7,.490,19.5,16.1,.157,.561,16.8,78.3,.367
25,2019-02-16,@,Duquesne,L,69,85,26,52,.500,9,20,.450,8,12,.667,8,29,14,2,0,16,15,29,66,.439,12,35,.343,15,20,.750,15,35,16,9,5,4,13,106.2,130.8,65.1,.231,.385,.598,45.3,53.8,3.1,0.0,.587,21.7,28.6,.154,.530,5.0,58.3,.227
26,2019-02-20,,UMass,W,79,67,27,49,.551,5,11,.455,20,28,.714,2,30,11,7,5,9,15,23,57,.404,8,24,.333,13,16,.813,6,27,16,7,1,13,20,112.9,95.7,70.5,.571,.224,.634,52.6,40.7,10.0,15.2,.602,12.6,8.7,.408,.474,16.8,82.4,.228
27,2019-02-23,@,VCU,L,57,85,21,54,.389,6,14,.429,9,10,.900,6,29,11,3,4,15,18,28,60,.467,9,23,.391,20,25,.800,9,36,18,9,4,9,15,81.4,121.4,69.8,.185,.259,.485,44.6,52.4,4.3,10.8,.444,20.3,18.2,.167,.542,11.1,71.9,.333
28,2019-02-26,@,Rhode Island,L,53,80,20,51,.392,0,11,.000,13,18,.722,11,33,6,1,1,19,11,32,59,.542,10,21,.476,6,13,.462,7,26,20,15,2,7,16,80.3,121.2,66.4,.353,.216,.445,55.9,30.0,1.5,2.6,.392,24.2,36.7,.255,.627,9.7,75.9,.102
29,2019-03-02,,St. Bonaventure,L,58,64,18,53,.340,8,22,.364,14,17,.824,3,23,11,5,1,7,11,26,56,.464,5,22,.227,7,11,.636,11,38,8,4,4,10,13,92.1,101.6,62.7,.321,.415,.475,37.7,61.1,7.9,2.9,.415,10.3,10.0,.264,.509,14.0,64.5,.125
30,2019-03-06,@,Fordham,L,56,67,21,65,.323,5,18,.278,9,14,.643,14,47,7,2,2,9,16,21,58,.362,10,29,.345,15,23,.652,5,36,17,7,7,4,14,83.6,100.0,67.3,.215,.277,.391,56.6,33.3,3.0,6.9,.362,11.2,31.1,.138,.448,5.5,86.8,.259
