G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,,Maryland-Eastern Shore,W,68,53,23,52,.442,9,24,.375,13,19,.684,7,39,15,8,7,19,13,22,63,.349,4,23,.174,5,9,.556,6,30,12,13,1,15,18,90.7,70.7,74.7,.365,.462,.557,56.5,65.2,10.7,17.5,.529,23.7,22.6,.250,.381,18.2,84.2,.079
2,2018-11-10,,Central Connecticut,W,85,78,27,59,.458,11,29,.379,20,26,.769,10,32,21,10,6,13,10,28,58,.483,12,25,.480,10,16,.625,8,31,12,5,6,16,19,114.9,105.4,74.0,.441,.492,.596,50.8,77.8,13.5,18.2,.551,15.4,30.3,.339,.586,19.6,73.3,.172
3,2018-11-13,@,Illinois,W,88,80,34,61,.557,6,18,.333,14,16,.875,10,37,16,5,6,22,16,31,67,.463,6,19,.316,12,17,.706,8,24,17,13,3,14,24,108.6,98.8,80.8,.262,.295,.641,60.7,47.1,6.2,12.5,.607,24.3,38.5,.230,.507,15.7,77.1,.179
4,2018-11-16,N,Loyola Marymount,L,52,65,17,49,.347,3,19,.158,15,20,.750,6,27,10,3,6,15,19,19,55,.345,5,20,.250,22,25,.880,12,39,6,9,4,11,19,77.6,97.0,66.7,.408,.388,.444,40.9,58.8,4.5,17.1,.378,20.4,18.2,.306,.391,14.1,63.6,.400
5,2018-11-18,N,South Florida,W (1 OT),76,73,25,58,.431,5,18,.278,21,27,.778,6,36,11,6,5,15,22,24,66,.364,9,25,.360,16,27,.593,12,37,14,6,3,12,23,96.2,92.4,70.5,.466,.310,.537,49.3,44.0,7.6,12.2,.474,17.5,19.4,.362,.432,13.2,71.4,.242
6,2018-11-24,,Campbell,W,93,85,33,67,.493,7,22,.318,20,24,.833,9,40,22,5,1,8,14,32,66,.485,15,40,.375,6,12,.500,5,31,16,8,2,11,21,119.2,109.0,77.6,.358,.328,.593,56.3,66.7,6.4,3.8,.545,9.3,25.7,.299,.598,13.3,86.1,.091
7,2018-11-28,,Richmond,W,90,82,32,64,.500,8,18,.444,18,25,.720,8,31,24,5,2,8,14,32,60,.533,12,26,.462,6,9,.667,3,28,21,4,6,10,17,121.6,110.8,73.6,.391,.281,.593,52.5,75.0,6.8,5.9,.563,9.5,24.2,.281,.633,13.5,88.5,.100
8,2018-12-03,,Liberty,W,88,78,29,55,.527,11,18,.611,19,29,.655,11,41,17,5,3,18,10,30,71,.423,13,36,.361,5,5,1.000,5,23,16,13,4,10,19,114.3,101.3,77.1,.527,.327,.640,64.1,58.6,6.5,8.6,.627,20.7,37.9,.345,.514,12.0,85.7,.070
9,2018-12-08,@,Syracuse,L,71,72,25,63,.397,10,31,.323,11,17,.647,13,40,17,4,3,15,15,25,58,.431,8,28,.286,14,22,.636,6,31,13,10,5,9,17,98.6,100.0,72.3,.270,.492,.499,56.3,68.0,5.6,10.0,.476,17.4,34.2,.175,.500,11.6,81.8,.241
10,2018-12-15,,SMU,L,73,81,23,58,.397,4,18,.222,23,29,.793,12,37,13,3,2,13,19,28,59,.475,10,25,.400,15,22,.682,7,30,15,7,4,10,20,100.0,111.0,72.6,.500,.310,.509,55.2,56.5,4.1,5.9,.431,15.3,34.3,.397,.559,12.6,78.1,.254
