G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-06,@,UC-Irvine,L,68,86,24,55,.436,12,27,.444,8,13,.615,5,21,15,4,2,8,16,34,63,.540,8,20,.400,10,13,.769,14,39,21,5,4,10,11,104.6,132.3,66.0,.236,.491,.556,35.0,62.5,6.2,4.7,.545,11.6,16.7,.145,.603,12.6,53.3,.159
2,2018-11-13,,Nicholls State,L,80,83,32,63,.508,8,23,.348,8,13,.615,10,37,17,2,4,18,18,27,59,.458,9,21,.429,20,24,.833,6,23,12,9,5,9,17,106.7,110.7,75.3,.206,.365,.578,61.7,53.1,2.7,10.5,.571,20.6,37.0,.127,.534,11.3,81.8,.339
3,2018-11-18,,Bethesda University (CA),W,87,59,35,64,.547,8,29,.276,9,13,.692,10,46,21,5,3,15,14,23,72,.319,8,32,.250,5,7,.714,7,27,13,7,0,11,15,113.0,76.6,77.3,.203,.453,.620,63.0,60.0,6.5,7.5,.609,17.6,33.3,.141,.375,12.7,83.7,.069
4,2018-11-23,N,Northwest Nazarene,L,73,77,25,54,.463,6,17,.353,17,24,.708,5,30,9,7,2,20,18,29,60,.483,7,20,.350,12,25,.480,11,34,15,13,4,16,22,92.4,97.5,78.6,.444,.315,.558,46.9,36.0,8.9,5.0,.519,23.4,17.9,.315,.542,18.2,69.4,.200
5,2018-11-24,N,UCSB,L,55,66,18,54,.333,5,24,.208,14,17,.824,8,26,8,6,3,8,22,22,60,.367,1,12,.083,21,24,.875,17,43,10,3,4,10,14,87.3,104.8,63.2,.315,.444,.443,37.7,44.4,9.5,6.3,.380,11.4,23.5,.259,.375,12.3,51.4,.350
6,2018-11-27,,West Coast Baptist,W,98,44,37,65,.569,7,20,.350,17,24,.708,7,45,21,9,1,8,11,18,66,.273,5,30,.167,3,5,.600,4,26,10,6,0,16,18,124.1,55.7,78.9,.369,.308,.641,63.4,56.8,11.4,2.8,.623,9.5,24.1,.262,.311,19.0,90.5,.045
7,2018-12-01,@,North Dakota,W,67,54,24,49,.490,7,12,.583,12,16,.750,3,28,11,9,3,11,17,20,55,.364,6,27,.222,8,15,.533,11,33,14,5,1,14,15,103.1,83.1,64.9,.327,.245,.592,45.9,45.8,13.8,10.7,.561,16.3,12.0,.245,.418,18.4,69.4,.145
8,2018-12-05,@,Washington State,L,70,90,28,63,.444,6,21,.286,8,15,.533,11,39,7,2,1,11,16,31,65,.477,13,35,.371,15,22,.682,8,32,17,4,5,4,17,98.6,126.8,70.8,.238,.333,.499,54.9,25.0,2.8,3.3,.492,13.6,31.4,.127,.577,5.0,77.8,.231
9,2018-12-08,,Cal State Bakersfield,L,67,73,22,48,.458,11,27,.407,12,19,.632,6,25,14,5,1,14,21,26,67,.388,6,25,.240,15,23,.652,14,33,13,6,2,5,17,100.0,109.0,67.0,.396,.563,.587,43.1,63.6,7.5,2.4,.573,19.7,24.0,.250,.433,6.0,57.6,.224
10,2018-12-15,,Omaha,L,80,89,26,56,.464,10,29,.345,18,26,.692,3,32,11,2,0,18,21,31,65,.477,10,26,.385,17,25,.680,6,29,16,4,0,7,23,98.8,109.9,80.6,.464,.518,.585,52.5,42.3,2.5,0.0,.554,20.8,11.5,.321,.554,8.3,82.9,.262
11,2018-12-21,@,Santa Clara,L,56,77,17,58,.293,4,19,.211,18,28,.643,19,42,7,3,2,13,13,31,61,.508,10,24,.417,5,7,.714,6,31,24,6,7,6,20,86.2,118.5,64.8,.483,.328,.393,57.5,41.2,4.6,5.4,.328,15.4,43.2,.310,.590,8.5,79.3,.082
12,2018-12-29,,Idaho State,L,55,72,18,54,.333,2,15,.133,17,24,.708,10,34,6,3,2,14,18,25,60,.417,12,32,.375,10,14,.714,9,38,15,6,6,9,20,80.9,105.9,68.0,.444,.278,.420,47.2,33.3,4.4,7.1,.352,17.6,25.6,.315,.517,11.9,72.7,.167
13,2018-12-31,,Weber State,L,87,93,30,56,.536,10,19,.526,17,19,.895,2,23,11,3,0,7,23,29,54,.537,9,22,.409,26,31,.839,5,28,15,2,1,7,18,124.3,132.9,70.4,.339,.339,.669,45.1,36.7,4.3,0.0,.625,9.7,8.0,.304,.620,9.2,80.8,.481
14,2019-01-03,,Eastern Washington,W,74,71,24,48,.500,10,19,.526,16,21,.762,6,28,12,7,1,12,19,24,59,.407,10,31,.323,13,17,.765,7,23,16,7,5,11,23,108.8,104.4,67.5,.438,.396,.638,54.9,50.0,10.3,3.6,.604,17.1,27.3,.333,.492,14.1,75.9,.220
15,2019-01-05,@,Northern Colorado,L (1 OT),79,83,30,61,.492,9,16,.563,10,16,.625,7,36,17,4,1,10,25,29,66,.439,11,34,.324,14,29,.483,13,34,18,5,4,7,16,108.2,113.7,64.6,.262,.262,.576,51.4,56.7,5.5,3.1,.566,12.7,25.0,.164,.523,8.1,69.0,.212
16,2019-01-10,,Montana State,L,67,77,25,59,.424,10,30,.333,7,11,.636,3,27,11,3,2,8,14,28,61,.459,8,27,.296,13,16,.813,8,35,14,2,2,7,13,98.5,113.2,68.4,.186,.508,.522,43.5,44.0,4.4,5.9,.508,11.1,10.0,.119,.525,9.3,75.0,.213
17,2019-01-19,,Montana,L,51,69,19,53,.358,7,21,.333,6,7,.857,7,31,8,3,5,10,14,27,64,.422,7,21,.333,8,14,.571,11,36,11,3,1,6,15,82.3,111.3,62.5,.132,.396,.453,46.3,42.1,4.8,11.6,.425,15.1,21.9,.113,.477,7.8,68.6,.125
18,2019-01-24,@,Sacramento State,L,48,69,17,44,.386,6,16,.375,8,11,.727,4,24,13,3,1,14,16,27,52,.519,6,19,.316,9,13,.692,8,32,21,6,2,11,16,80.0,115.0,60.2,.250,.364,.488,42.9,76.5,5.0,3.0,.455,22.1,14.3,.182,.577,15.9,71.4,.173
19,2019-01-26,@,Portland State,L,53,69,21,55,.382,6,23,.261,5,8,.625,11,22,10,7,1,19,20,23,53,.434,9,26,.346,14,20,.700,14,35,13,11,5,18,14,79.1,103.0,66.7,.145,.418,.451,38.6,47.6,10.4,3.7,.436,24.4,34.4,.091,.519,22.4,44.0,.264
