G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2018-11-08,,UMKC,W,77,63,21,47,.447,7,25,.280,28,38,.737,7,37,15,3,6,16,15,23,64,.359,9,27,.333,8,12,.667,9,30,10,11,0,9,27,106.9,87.5,71.9,.809,.532,.592,55.2,71.4,4.2,16.2,.521,19.7,25.0,.596,.430,11.4,76.9,.125
2,2018-11-11,,Green Bay,W,93,82,27,53,.509,5,18,.278,34,45,.756,6,33,16,10,4,17,15,32,69,.464,7,26,.269,11,16,.688,11,29,17,9,2,20,30,109.4,96.5,85.5,.849,.340,.625,53.2,59.3,11.8,9.3,.557,18.6,25.0,.642,.514,20.7,71.1,.159
3,2018-11-15,N,Oregon,W,77,69,19,52,.365,10,29,.345,29,33,.879,9,41,13,6,3,14,20,23,64,.359,6,19,.316,17,24,.708,12,33,15,8,6,8,24,106.9,95.8,72.0,.635,.558,.569,55.4,68.4,8.3,6.7,.462,17.1,30.0,.558,.406,9.6,72.7,.266
4,2018-11-16,N,UConn,W,91,72,29,57,.509,4,13,.308,29,37,.784,13,34,14,5,2,17,15,29,69,.420,4,26,.154,10,15,.667,12,25,10,11,0,14,24,116.7,92.3,78.4,.649,.228,.610,57.6,48.3,6.4,4.7,.544,18.6,50.0,.509,.449,15.5,63.6,.145
5,2018-11-21,,Alabama State,W,105,78,36,61,.590,9,23,.391,24,29,.828,4,29,20,8,5,8,13,33,73,.452,10,29,.345,2,8,.250,16,37,19,3,1,18,19,132.9,98.7,78.8,.475,.377,.702,43.9,55.6,10.1,11.4,.664,9.7,16.0,.393,.521,19.0,61.0,.027
6,2018-11-27,,Pitt,W,69,68,19,52,.365,12,31,.387,19,28,.679,10,33,12,11,4,13,18,26,55,.473,8,19,.421,8,13,.615,6,35,13,5,2,17,23,98.6,97.1,70.2,.538,.596,.528,48.5,63.2,15.7,11.1,.481,16.6,25.6,.365,.545,21.7,79.3,.145
7,2018-11-30,,Wisconsin,L,66,72,23,59,.390,6,24,.250,14,19,.737,11,38,9,2,4,11,16,27,56,.482,8,24,.333,10,14,.714,4,31,13,5,1,9,24,97.1,105.9,67.8,.322,.407,.485,55.1,39.1,2.9,12.5,.441,13.9,28.9,.237,.554,12.6,87.1,.179
8,2018-12-03,@,Michigan State,L,68,90,21,64,.328,6,22,.273,20,30,.667,14,30,13,7,3,10,23,31,60,.517,3,12,.250,25,32,.781,13,39,28,7,6,8,25,94.4,125.0,72.2,.469,.344,.435,43.5,61.9,9.7,6.3,.375,11.3,35.0,.313,.542,9.6,55.2,.417
9,2018-12-06,,Iowa State,W,98,84,35,61,.574,9,18,.500,19,23,.826,17,44,21,3,2,18,21,30,64,.469,6,23,.261,18,29,.621,10,20,14,11,2,10,21,130.7,112.0,75.4,.377,.295,.681,68.8,60.0,4.0,4.9,.648,20.0,63.0,.311,.516,11.4,73.0,.281
10,2018-12-15,N,Northern Iowa,W,77,54,29,54,.537,10,25,.400,9,14,.643,6,36,18,6,1,12,14,20,55,.364,6,29,.207,8,15,.533,6,27,12,3,0,11,16,114.9,80.6,66.9,.259,.463,.635,57.1,62.1,9.0,3.8,.630,16.5,22.2,.167,.418,15.0,83.3,.145
11,2018-12-18,,Western Carolina,W,78,60,23,49,.469,5,18,.278,27,37,.730,6,23,15,10,8,10,13,21,43,.488,7,16,.438,11,18,.611,6,27,11,4,0,23,24,111.4,85.7,69.6,.755,.367,.586,46.0,65.2,14.3,29.6,.520,13.1,22.2,.551,.570,30.9,73.9,.256
12,2018-12-22,,Savannah State,W,110,64,39,70,.557,19,42,.452,13,22,.591,8,42,30,8,2,6,10,25,68,.368,9,33,.273,5,9,.556,10,35,16,3,1,16,17,141.0,82.1,78.4,.314,.600,.684,54.5,76.9,10.3,5.7,.693,6.9,24.2,.186,.434,18.1,77.3,.074
13,2018-12-29,,Bryant,W,72,67,21,46,.457,9,25,.360,21,31,.677,9,31,16,6,7,9,13,25,58,.431,10,26,.385,7,12,.583,11,30,10,3,0,10,23,116.1,108.1,61.7,.674,.543,.593,50.8,76.2,9.7,21.9,.554,12.9,32.1,.457,.517,13.6,66.7,.121
14,2019-01-03,@,Purdue,L,70,86,24,50,.480,6,17,.353,16,19,.842,7,23,15,3,4,14,15,33,62,.532,9,24,.375,11,12,.917,9,26,22,4,3,7,18,106.1,130.3,65.9,.380,.340,.593,46.9,62.5,4.5,10.5,.540,19.2,29.2,.320,.605,9.4,64.0,.177
15,2019-01-06,,Nebraska,W,93,84,27,59,.458,10,22,.455,29,32,.906,11,38,16,6,6,13,22,30,65,.462,4,23,.174,20,26,.769,8,28,17,8,3,7,25,122.4,110.5,76.3,.542,.373,.627,57.6,59.3,7.9,14.3,.542,14.9,35.5,.492,.492,8.3,77.1,.308
16,2019-01-09,@,Northwestern,W,73,63,24,58,.414,4,17,.235,21,26,.808,9,36,14,6,0,7,15,22,57,.386,7,27,.259,12,16,.750,7,30,13,4,4,8,21,109.0,94.0,67.0,.448,.293,.519,54.5,58.3,9.0,0.0,.448,9.0,28.1,.362,.447,11.0,79.4,.211
17,2019-01-12,,Ohio State,W,72,62,25,55,.455,4,16,.250,18,25,.720,9,34,15,11,6,14,15,22,59,.373,10,25,.400,8,11,.727,11,36,14,9,1,20,23,98.6,84.9,72.6,.455,.291,.538,48.6,60.0,15.1,17.6,.491,17.3,26.5,.327,.458,23.7,69.4,.136
18,2019-01-16,@,Penn State,W,89,82,32,64,.500,12,28,.429,13,18,.722,7,34,18,9,1,11,11,30,64,.469,12,35,.343,10,13,.769,5,32,23,6,5,12,20,115.6,106.5,76.9,.281,.438,.613,51.5,56.3,11.7,3.4,.594,13.2,20.6,.203,.563,14.6,84.4,.156
19,2019-01-20,,Illinois,W,95,71,34,50,.680,15,21,.714,12,16,.750,1,26,29,3,5,14,11,27,69,.391,11,32,.344,6,9,.667,15,25,15,9,3,11,18,135.7,101.4,69.9,.320,.420,.825,51.0,85.3,4.3,13.5,.830,19.6,9.1,.240,.471,13.1,62.5,.087
20,2019-01-24,,Michigan State,L,67,82,27,70,.386,5,24,.208,8,8,1.000,10,23,13,9,0,5,16,27,51,.529,8,19,.421,20,21,.952,11,41,16,3,2,16,13,100.0,122.4,67.4,.114,.343,.454,35.9,48.1,13.4,0.0,.421,6.3,25.0,.114,.608,20.8,54.2,.392
21,2019-01-27,@,Minnesota,L,87,92,32,59,.542,10,18,.556,13,21,.619,9,31,23,7,1,13,23,32,56,.571,7,18,.389,21,31,.677,6,23,25,7,3,9,17,119.2,126.0,73.4,.356,.305,.631,57.4,71.9,9.6,2.6,.627,15.9,34.6,.220,.634,11.3,78.6,.375
